日時	"AUD/CAD(始値, 買い)"	"AUD/CAD(高値, 買い)"	"AUD/CAD(安値, 買い)"	"AUD/CAD(終値, 買い)"	"AUD/CAD(始値, 売り)*"	"AUD/CAD(高値, 売り)*"	"AUD/CAD(安値, 売り)*"	"AUD/CAD(終値, 売り)*"
2017/01/09 17:00:00	0.96756	0.97049	0.96590	0.96896	0.96578	0.97040	0.96544	0.96887
2017/01/06 17:00:00	0.97100	0.97405	0.96455	0.96741	0.96980	0.97396	0.96450	0.96538
2017/01/05 17:00:00	0.96890	0.97282	0.96725	0.97100	0.96860	0.97274	0.96715	0.96980
2017/01/04 17:00:00	0.96977	0.97577	0.96624	0.96890	0.96876	0.97571	0.96610	0.96860
2017/01/03 17:00:00	0.96968	0.97221	0.96655	0.96977	0.96739	0.97212	0.96650	0.96876
2016/12/30 17:00:00	0.97510	0.97699	0.96805	0.96968	0.97410	0.97672	0.96603	0.96739
2016/12/29 17:00:00	0.97350	0.97645	0.97217	0.97510	0.97290	0.97635	0.97115	0.97410
2016/12/28 17:00:00	0.97565	0.97950	0.97240	0.97350	0.97485	0.97950	0.97232	0.97290
2016/12/27 17:00:00	0.97218	0.97586	0.97080	0.97565	0.97072	0.97570	0.97068	0.97485
2016/12/23 17:00:00	0.97320	0.97465	0.96815	0.97218	0.97285	0.97455	0.96767	0.97072
2016/12/22 17:00:00	0.97095	0.97524	0.96891	0.97320	0.97055	0.97513	0.96860	0.97285
2016/12/21 17:00:00	0.97070	0.97309	0.96863	0.97095	0.97045	0.97298	0.96856	0.97055
2016/12/20 17:00:00	0.97170	0.97380	0.96835	0.97070	0.97120	0.97376	0.96827	0.97045
2016/12/19 17:00:00	0.97214	0.97450	0.97036	0.97170	0.97078	0.97441	0.97021	0.97120
2016/12/16 17:00:00	0.98140	0.98276	0.97239	0.97461	0.98101	0.98269	0.97230	0.97357
2016/12/15 17:00:00	0.98395	0.98727	0.98103	0.98140	0.98360	0.98718	0.98080	0.98101
2016/12/14 17:00:00	0.98510	0.99020	0.98254	0.98395	0.98470	0.98854	0.98243	0.98360
2016/12/13 17:00:00	0.98474	0.98694	0.98132	0.98510	0.98400	0.98690	0.98125	0.98470
2016/12/12 17:00:00	0.97911	0.98510	0.97625	0.98474	0.97822	0.98501	0.97594	0.98400
2016/12/09 17:00:00	0.98455	0.98687	0.97888	0.98243	0.98425	0.98680	0.97885	0.98044
2016/12/08 17:00:00	0.99035	0.99206	0.98213	0.98455	0.98995	0.99194	0.98209	0.98425
2016/12/07 17:00:00	0.99070	0.99233	0.98521	0.99035	0.99050	0.99223	0.98517	0.98995
2016/12/06 17:00:00	0.99175	0.99275	0.98584	0.99070	0.99140	0.99265	0.98580	0.99050
2016/12/05 17:00:00	0.99145	0.99404	0.98779	0.99175	0.98957	0.99394	0.98771	0.99140
2016/12/02 17:00:00	0.98753	0.99223	0.98526	0.99168	0.98745	0.99157	0.98520	0.99021
2016/12/01 17:00:00	0.99245	0.99335	0.98522	0.98753	0.99205	0.99325	0.98512	0.98745
2016/11/30 17:00:00	1.00530	1.00638	0.99089	0.99245	1.00510	1.00625	0.99083	0.99205
2016/11/29 17:00:00	1.00373	1.00632	1.00092	1.00530	1.00328	1.00624	1.00084	1.00510
2016/11/28 17:00:00	1.00531	1.00952	1.00073	1.00373	1.00450	1.00947	1.00064	1.00328
2016/11/25 17:00:00	1.00020	1.00735	0.99886	1.00685	0.99890	1.00687	0.99840	1.00417
2016/11/24 17:00:00	0.99630	1.00056	0.99510	1.00020	0.99585	1.00046	0.99437	0.99890
