日時	"AUD/CHF(始値, 買い)"	"AUD/CHF(高値, 買い)"	"AUD/CHF(安値, 買い)"	"AUD/CHF(終値, 買い)"	"AUD/CHF(始値, 売り)*"	"AUD/CHF(高値, 売り)*"	"AUD/CHF(安値, 売り)*"	"AUD/CHF(終値, 売り)*"
2016/12/29 17:00:00	0.73852	0.74039	0.73654	0.73868	0.73774	0.74033	0.73647	0.73861
2016/12/28 17:00:00	0.73898	0.74165	0.73792	0.73852	0.73812	0.74157	0.73772	0.73774
2016/12/27 17:00:00	0.73954	0.74062	0.73716	0.73898	0.73783	0.74054	0.73694	0.73812
2016/12/26 17:00:00	0.73733	0.74238	0.73515	0.73954	0.73598	0.74096	0.73381	0.73783
2016/12/23 17:00:00	0.74021	0.74123	0.73462	0.73733	0.73993	0.74114	0.73455	0.73598
2016/12/22 17:00:00	0.74339	0.74430	0.73707	0.74021	0.74304	0.74399	0.73700	0.73993
2016/12/21 17:00:00	0.74764	0.74815	0.74273	0.74339	0.74611	0.74810	0.74265	0.74304
2016/12/20 17:00:00	0.74578	0.74800	0.74375	0.74764	0.74377	0.74686	0.74329	0.74611
2016/12/19 17:00:00	0.74859	0.75007	0.74218	0.74578	0.74682	0.75000	0.74212	0.74377
2016/12/16 17:00:00	0.75823	0.75893	0.74785	0.74997	0.75761	0.75886	0.74777	0.74933
2016/12/15 17:00:00	0.75583	0.76160	0.75484	0.75823	0.75544	0.76153	0.75451	0.75761
2016/12/14 17:00:00	0.75969	0.76080	0.75541	0.75583	0.75899	0.76001	0.75527	0.75544
2016/12/13 17:00:00	0.76021	0.76125	0.75722	0.75969	0.75919	0.76090	0.75718	0.75899
2016/12/12 17:00:00	0.75984	0.76211	0.75628	0.76021	0.75762	0.76205	0.75543	0.75919
2016/12/09 17:00:00	0.75859	0.76277	0.75699	0.75843	0.75839	0.76274	0.75682	0.75713
2016/12/08 17:00:00	0.75415	0.75889	0.75081	0.75859	0.75254	0.75879	0.75061	0.75839
2016/12/07 17:00:00	0.75402	0.75497	0.74904	0.75415	0.75349	0.75488	0.74897	0.75254
2016/12/06 17:00:00	0.75225	0.75402	0.74721	0.75402	0.75168	0.75385	0.74714	0.75349
2016/12/05 17:00:00	0.75476	0.75815	0.74921	0.75225	0.75359	0.75807	0.74914	0.75168
2016/12/02 17:00:00	0.74939	0.75455	0.74736	0.75421	0.74908	0.75365	0.74730	0.75284
2016/12/01 17:00:00	0.75177	0.75324	0.74748	0.74939	0.75043	0.75317	0.74741	0.74908
2016/11/30 17:00:00	0.75717	0.75977	0.75043	0.75177	0.75698	0.75970	0.75024	0.75043
2016/11/29 17:00:00	0.75830	0.75963	0.75561	0.75717	0.75775	0.75956	0.75557	0.75698
2016/11/28 17:00:00	0.75365	0.75987	0.75107	0.75830	0.75188	0.75980	0.75100	0.75775
2016/11/25 17:00:00	0.75383	0.75776	0.75226	0.75522	0.75174	0.75767	0.75160	0.75335
2016/11/24 17:00:00	0.75130	0.75433	0.74959	0.75383	0.74962	0.75395	0.74945	0.75174
2016/11/23 17:00:00	0.74875	0.75330	0.74812	0.75130	0.74849	0.75323	0.74807	0.74962
2016/11/22 17:00:00	0.74357	0.74890	0.74279	0.74875	0.74285	0.74866	0.74245	0.74849
2016/11/21 17:00:00	0.74183	0.74441	0.73887	0.74357	0.74013	0.74432	0.73881	0.74285
2016/11/18 17:00:00	0.74637	0.74713	0.74082	0.74224	0.74563	0.74705	0.74035	0.74035
2016/11/17 17:00:00	0.74992	0.75141	0.74456	0.74637	0.74924	0.75107	0.74446	0.74563
2016/11/16 17:00:00	0.75740	0.75750	0.74874	0.74992	0.75713	0.75720	0.74867	0.74924
2016/11/15 17:00:00	0.75410	0.75759	0.75077	0.75740	0.75360	0.75741	0.75070	0.75713
2016/11/14 17:00:00	0.74714	0.75538	0.74598	0.75410	0.74617	0.75537	0.74562	0.75360
2016/11/11 17:00:00	0.75147	0.75237	0.74357	0.74621	0.75089	0.75227	0.74351	0.74456
2016/11/10 17:00:00	0.75208	0.76498	0.74745	0.75147	0.75130	0.76491	0.74734	0.75089
2016/11/09 17:00:00	0.75919	0.76435	0.72453	0.75208	0.75887	0.76421	0.72430	0.75130
2016/11/08 17:00:00	0.75317	0.76101	0.74987	0.75919	0.75288	0.76089	0.74984	0.75887
2016/11/07 17:00:00	0.75121	0.75319	0.74611	0.75317	0.75031	0.75305	0.74602	0.75288
2016/11/04 17:00:00	0.74843	0.75019	0.74211	0.74370	0.74823	0.75009	0.74204	0.74254
2016/11/03 17:00:00	0.74573	0.74897	0.74081	0.74843	0.74554	0.74890	0.74075	0.74823
2016/11/02 17:00:00	0.74651	0.74756	0.74068	0.74573	0.74621	0.74673	0.74063	0.74554
2016/11/01 17:00:00	0.75263	0.75862	0.74443	0.74651	0.75244	0.75859	0.74438	0.74621
2016/10/31 17:00:00	0.74929	0.75353	0.74928	0.75263	0.74864	0.75347	0.74864	0.75244
2016/10/28 17:00:00	0.75427	0.75560	0.74809	0.75170	0.75388	0.75554	0.74801	0.75000
2016/10/27 17:00:00	0.76022	0.76037	0.75312	0.75427	0.75987	0.76029	0.75305	0.75388
2016/10/26 17:00:00	0.76045	0.76657	0.75848	0.76022	0.76015	0.76650	0.75840	0.75987
2016/10/25 17:00:00	0.75624	0.76370	0.75449	0.76045	0.75599	0.76365	0.75441	0.76015
2016/10/24 17:00:00	0.75761	0.75958	0.75388	0.75624	0.75648	0.75951	0.75382	0.75599
2016/10/21 17:00:00	0.75783	0.76120	0.75501	0.75573	0.75665	0.76114	0.75496	0.75543
2016/10/20 17:00:00	0.76384	0.76537	0.75319	0.75783	0.76348	0.76527	0.75312	0.75665
2016/10/19 17:00:00	0.75900	0.76477	0.75783	0.76384	0.75873	0.76472	0.75777	0.76348
2016/10/18 17:00:00	0.75463	0.76093	0.75386	0.75900	0.75440	0.76088	0.75338	0.75873
2016/10/17 17:00:00	0.75514	0.75522	0.75072	0.75463	0.75452	0.75488	0.75065	0.75440
2016/10/14 17:00:00	0.74662	0.75650	0.74582	0.75471	0.74624	0.75643	0.74575	0.75418
2016/10/13 17:00:00	0.74924	0.75057	0.74182	0.74662	0.74893	0.74979	0.74177	0.74624
2016/10/12 17:00:00	0.74573	0.75084	0.74485	0.74924	0.74524	0.75077	0.74469	0.74893
2016/10/11 17:00:00	0.74751	0.74872	0.74184	0.74573	0.74734	0.74784	0.74178	0.74524
2016/10/10 17:00:00	0.74598	0.74955	0.74208	0.74751	0.74407	0.74948	0.74201	0.74734
2016/10/07 17:00:00	0.74407	0.74694	0.74087	0.74193	0.74385	0.74684	0.74080	0.74104
2016/10/06 17:00:00	0.74270	0.74445	0.73973	0.74407	0.74227	0.74433	0.73966	0.74385
2016/10/05 17:00:00	0.74602	0.74789	0.74171	0.74270	0.74576	0.74784	0.74161	0.74227
2016/10/04 17:00:00	0.74866	0.75236	0.74520	0.74602	0.74656	0.75229	0.74512	0.74576
2016/10/03 17:00:00	0.74572	0.74866	0.74277	0.74866	0.74359	0.74723	0.74205	0.74656
2016/09/30 17:00:00	0.73777	0.74552	0.73439	0.74552	0.73753	0.74538	0.73429	0.74329
2016/09/29 17:00:00	0.74712	0.74856	0.73724	0.73777	0.74675	0.74844	0.73716	0.73753
2016/09/28 17:00:00	0.74445	0.74783	0.74261	0.74712	0.74421	0.74776	0.74254	0.74675
2016/09/27 17:00:00	0.74024	0.74582	0.73820	0.74445	0.73991	0.74575	0.73810	0.74421
2016/09/26 17:00:00	0.73996	0.74085	0.73619	0.74024	0.73797	0.74076	0.73614	0.73991
2016/09/23 17:00:00	0.74082	0.74245	0.73774	0.74024	0.74036	0.74235	0.73764	0.73907
2016/09/22 17:00:00	0.74342	0.74445	0.73926	0.74082	0.74146	0.74433	0.73919	0.74036
2016/09/21 17:00:00	0.74004	0.74349	0.73869	0.74342	0.73964	0.74301	0.73862	0.74146
2016/09/20 17:00:00	0.73864	0.74050	0.73736	0.74004	0.73818	0.74044	0.73711	0.73964
2016/09/19 17:00:00	0.73456	0.74171	0.73306	0.73864	0.73258	0.74165	0.73215	0.73818
2016/09/16 17:00:00	0.73041	0.73523	0.72858	0.73494	0.73008	0.73472	0.72851	0.73300
2016/09/15 17:00:00	0.72739	0.73096	0.72480	0.73041	0.72679	0.73085	0.72473	0.73008
2016/09/14 17:00:00	0.72987	0.73267	0.72610	0.72739	0.72804	0.73259	0.72603	0.72679
2016/09/13 17:00:00	0.73571	0.73571	0.72585	0.72987	0.73501	0.73541	0.72573	0.72804
2016/09/12 17:00:00	0.73523	0.73632	0.73079	0.73571	0.73445	0.73573	0.73071	0.73501
2016/09/09 17:00:00	0.74378	0.74409	0.73522	0.73611	0.74309	0.74400	0.73486	0.73498
2016/09/08 17:00:00	0.74443	0.74915	0.74310	0.74378	0.74392	0.74906	0.74303	0.74309
2016/09/07 17:00:00	0.74565	0.74603	0.74188	0.74443	0.74524	0.74586	0.74177	0.74392
2016/09/06 17:00:00	0.74313	0.75004	0.74305	0.74565	0.74278	0.75005	0.74275	0.74524
2016/09/05 17:00:00	0.74276	0.74428	0.74132	0.74313	0.74097	0.74425	0.74097	0.74278
2016/09/02 17:00:00	0.74022	0.74313	0.73888	0.74304	0.74005	0.74292	0.73880	0.74160
2016/09/01 17:00:00	0.73986	0.74395	0.73813	0.74022	0.73946	0.74387	0.73800	0.74005
2016/08/31 17:00:00	0.73930	0.74072	0.73763	0.73986	0.73843	0.74059	0.73756	0.73946
2016/08/30 17:00:00	0.74096	0.74283	0.73738	0.73930	0.74021	0.74271	0.73730	0.73843
2016/08/29 17:00:00	0.74047	0.74181	0.73632	0.74096	0.73903	0.74170	0.73618	0.74021
2016/08/26 17:00:00	0.73747	0.74353	0.73654	0.74094	0.73683	0.74344	0.73646	0.73894
2016/08/25 17:00:00	0.73635	0.73846	0.73456	0.73747	0.73599	0.73831	0.73448	0.73683
2016/08/24 17:00:00	0.73416	0.73791	0.73161	0.73635	0.73313	0.73782	0.73152	0.73599
2016/08/23 17:00:00	0.73425	0.73628	0.73315	0.73416	0.73241	0.73581	0.73241	0.73313
2016/08/22 17:00:00	0.73253	0.73461	0.73038	0.73425	0.73051	0.73454	0.72951	0.73241
2016/08/19 17:00:00	0.73387	0.73455	0.72778	0.73291	0.73312	0.73374	0.72770	0.73206
2016/08/18 17:00:00	0.73721	0.74104	0.73345	0.73387	0.73597	0.74099	0.73312	0.73312
2016/08/17 17:00:00	0.74055	0.74148	0.73353	0.73721	0.73896	0.74097	0.73345	0.73597
2016/08/16 17:00:00	0.74850	0.74850	0.73846	0.74055	0.74625	0.74748	0.73839	0.73896
2016/08/15 17:00:00	0.74723	0.74884	0.74515	0.74850	0.74506	0.74875	0.74459	0.74625
2016/08/12 17:00:00	0.75117	0.75176	0.74520	0.74639	0.75093	0.75136	0.74492	0.74503
2016/08/11 17:00:00	0.75173	0.75700	0.74943	0.75117	0.75049	0.75616	0.74935	0.75093
2016/08/10 17:00:00	0.75325	0.75712	0.75092	0.75173	0.75257	0.75701	0.75049	0.75049
2016/08/09 17:00:00	0.75184	0.75507	0.74935	0.75325	0.75143	0.75498	0.74925	0.75257
2016/08/08 17:00:00	0.74747	0.75439	0.74440	0.75184	0.74564	0.75431	0.74432	0.75143
2016/08/05 17:00:00	0.74332	0.74914	0.74267	0.74766	0.74284	0.74903	0.74242	0.74629
2016/08/04 17:00:00	0.73870	0.74397	0.73805	0.74332	0.73828	0.74387	0.73759	0.74284
2016/08/03 17:00:00	0.73420	0.73873	0.73185	0.73870	0.73349	0.73846	0.73163	0.73828
2016/08/02 17:00:00	0.73165	0.73692	0.72542	0.73420	0.72946	0.73681	0.72372	0.73349
2016/08/01 17:00:00	0.73718	0.73827	0.72915	0.73165	0.73586	0.73815	0.72905	0.72946
2016/07/29 17:00:00	0.73653	0.73877	0.73113	0.73780	0.73544	0.73859	0.73106	0.73644
2016/07/28 17:00:00	0.73881	0.74294	0.73561	0.73653	0.73843	0.74289	0.73518	0.73544
2016/07/27 17:00:00	0.74473	0.75066	0.73773	0.73881	0.74431	0.75039	0.73759	0.73843
2016/07/26 17:00:00	0.73663	0.74740	0.73606	0.74473	0.73623	0.74732	0.73559	0.74431
2016/07/25 17:00:00	0.73769	0.74009	0.73581	0.73663	0.73597	0.73996	0.73552	0.73623
2016/07/22 17:00:00	0.73921	0.73965	0.73470	0.73789	0.73859	0.73946	0.73460	0.73654
2016/07/21 17:00:00	0.73951	0.74218	0.73588	0.73921	0.73768	0.74204	0.73549	0.73859
2016/07/20 17:00:00	0.73984	0.74144	0.73723	0.73951	0.73939	0.74132	0.73711	0.73768
2016/07/19 17:00:00	0.74601	0.74606	0.73588	0.73984	0.74556	0.74573	0.73578	0.73939
2016/07/18 17:00:00	0.74746	0.74851	0.74493	0.74601	0.74566	0.74837	0.74473	0.74556
2016/07/15 17:00:00	0.74876	0.75290	0.74279	0.74516	0.74838	0.75274	0.74239	0.74307
2016/07/14 17:00:00	0.74980	0.75173	0.74602	0.74876	0.74943	0.75160	0.74593	0.74838
2016/07/13 17:00:00	0.75405	0.75498	0.74775	0.74980	0.75363	0.75393	0.74767	0.74943
2016/07/12 17:00:00	0.74041	0.75529	0.74022	0.75405	0.74007	0.75520	0.73989	0.75363
2016/07/11 17:00:00	0.74399	0.74472	0.73960	0.74041	0.74199	0.74466	0.73951	0.74007
2016/07/08 17:00:00	0.73261	0.74582	0.73140	0.74484	0.73136	0.74454	0.72998	0.74275
2016/07/07 17:00:00	0.73368	0.73686	0.72846	0.73261	0.73282	0.73678	0.72832	0.73136
2016/07/06 17:00:00	0.72914	0.73506	0.72459	0.73368	0.72863	0.73498	0.72444	0.73282
2016/07/05 17:00:00	0.73323	0.73327	0.72524	0.72914	0.73113	0.73261	0.72515	0.72863
2016/07/04 17:00:00	0.73109	0.73406	0.72554	0.73323	0.72931	0.73397	0.72436	0.73113
2016/07/01 17:00:00	0.72744	0.73133	0.72582	0.73109	0.72696	0.73065	0.72563	0.72931
