日時	"CAD/JPY(始値, 買い)"	"CAD/JPY(高値, 買い)"	"CAD/JPY(安値, 買い)"	"CAD/JPY(終値, 買い)"	"CAD/JPY(始値, 売り)*"	"CAD/JPY(高値, 売り)*"	"CAD/JPY(安値, 売り)*"	"CAD/JPY(終値, 売り)*"
2017/01/09 17:00:00	88.388	88.664	88.237	88.319	88.267	88.660	88.231	88.314
2017/01/06 17:00:00	87.246	88.532	87.016	88.404	87.218	88.528	87.008	88.290
2017/01/05 17:00:00	88.179	88.237	87.135	87.246	88.120	88.226	87.126	87.218
2017/01/04 17:00:00	87.720	88.440	87.592	88.179	87.675	88.434	87.581	88.120
2017/01/03 17:00:00	87.168	88.254	87.168	87.720	87.097	88.251	87.097	87.675
2016/12/30 17:00:00	86.338	87.192	86.110	87.168	86.316	87.116	86.091	87.097
2016/12/29 17:00:00	86.485	86.512	85.970	86.338	86.450	86.473	85.965	86.316
2016/12/28 17:00:00	86.535	86.816	86.402	86.485	86.474	86.810	86.390	86.450
2016/12/27 17:00:00	86.713	86.867	86.488	86.535	86.566	86.865	86.471	86.474
2016/12/23 17:00:00	87.207	87.230	86.463	86.713	87.158	87.205	86.458	86.566
2016/12/22 17:00:00	87.660	87.678	86.903	87.207	87.648	87.663	86.893	87.158
2016/12/21 17:00:00	88.180	88.252	87.583	87.660	88.142	88.243	87.577	87.648
2016/12/20 17:00:00	87.343	88.279	87.289	88.180	87.330	88.276	87.276	88.142
2016/12/19 17:00:00	88.491	88.496	86.970	87.343	88.389	88.453	86.965	87.330
2016/12/16 17:00:00	88.632	88.787	88.036	88.442	88.611	88.781	88.029	88.409
2016/12/15 17:00:00	88.125	88.927	88.083	88.632	88.101	88.922	88.049	88.611
2016/12/14 17:00:00	87.727	88.361	87.487	88.125	87.707	88.353	87.400	88.101
2016/12/13 17:00:00	87.606	88.016	87.407	87.727	87.592	88.010	87.385	87.707
2016/12/12 17:00:00	87.843	88.483	87.433	87.606	87.807	88.477	87.426	87.592
2016/12/09 17:00:00	86.465	87.598	86.376	87.529	86.442	87.595	86.370	87.374
2016/12/08 17:00:00	85.996	86.538	85.627	86.465	85.950	86.531	85.620	86.442
2016/12/07 17:00:00	85.893	86.144	85.614	85.996	85.850	86.142	85.607	85.950
2016/12/06 17:00:00	85.807	86.122	85.546	85.893	85.745	86.117	85.534	85.850
2016/12/05 17:00:00	85.338	86.466	84.625	85.807	85.169	86.459	84.577	85.745
2016/12/02 17:00:00	85.684	85.833	85.342	85.455	85.646	85.828	85.317	85.317
2016/12/01 17:00:00	85.191	86.023	85.034	85.684	85.154	86.022	85.024	85.646
2016/11/30 17:00:00	83.672	85.259	83.475	85.191	83.662	85.248	83.461	85.154
2016/11/29 17:00:00	83.474	84.245	83.271	83.672	83.453	84.241	83.260	83.662
2016/11/28 17:00:00	83.621	84.066	82.725	83.474	83.522	84.062	82.714	83.453
2016/11/25 17:00:00	84.040	84.372	83.424	83.830	83.982	84.363	83.411	83.686
2016/11/24 17:00:00	83.447	84.135	83.214	84.040	83.396	84.087	83.204	83.982
2016/11/23 17:00:00	82.691	83.751	82.525	83.447	82.680	83.744	82.522	83.396
2016/11/22 17:00:00	82.643	82.987	82.269	82.691	82.558	82.979	82.262	82.680
2016/11/21 17:00:00	82.288	82.887	82.051	82.643	82.154	82.880	82.034	82.558
2016/11/18 17:00:00	81.458	82.204	81.242	82.204	81.411	82.133	81.234	82.050
2016/11/17 17:00:00	81.137	81.692	80.820	81.458	81.108	81.688	80.812	81.411
2016/11/16 17:00:00	81.226	81.637	80.991	81.137	81.184	81.633	80.966	81.108
2016/11/15 17:00:00	80.017	81.245	79.674	81.226	79.937	81.250	79.663	81.184
2016/11/14 17:00:00	79.174	80.054	78.936	80.017	79.156	80.046	78.925	79.937
2016/11/11 17:00:00	79.331	79.427	78.471	78.816	79.297	79.413	78.467	78.718
2016/11/10 17:00:00	78.728	79.604	78.301	79.331	78.707	79.600	78.290	79.297
2016/11/09 17:00:00	79.152	79.479	74.833	78.728	79.126	79.464	74.818	78.707
2016/11/08 17:00:00	78.180	79.167	77.908	79.152	78.162	79.146	77.901	79.126
2016/11/07 17:00:00	78.193	78.268	77.586	78.180	78.039	78.263	77.578	78.162
2016/11/04 17:00:00	76.875	77.094	76.537	76.975	76.866	77.088	76.531	76.909
2016/11/03 17:00:00	77.137	77.248	76.640	76.875	77.124	77.239	76.632	76.866
2016/11/02 17:00:00	77.796	77.803	76.913	77.137	77.781	77.799	76.908	77.124
2016/11/01 17:00:00	78.182	78.549	77.536	77.796	78.157	78.545	77.533	77.781
2016/10/31 17:00:00	77.834	78.538	77.834	78.182	77.733	78.534	77.721	78.157
2016/10/28 17:00:00	78.653	78.968	77.884	78.263	78.645	78.966	77.875	78.140
2016/10/27 17:00:00	78.091	78.732	77.895	78.653	78.085	78.726	77.888	78.645
2016/10/26 17:00:00	78.073	78.398	77.850	78.091	78.061	78.394	77.846	78.085
2016/10/25 17:00:00	78.417	78.656	77.987	78.073	78.408	78.652	77.982	78.061
2016/10/24 17:00:00	77.950	78.431	77.781	78.417	77.881	78.421	77.776	78.408
2016/10/21 17:00:00	78.591	78.760	77.610	77.860	78.561	78.750	77.604	77.839
2016/10/20 17:00:00	78.882	78.954	78.444	78.591	78.869	78.948	78.440	78.561
2016/10/19 17:00:00	79.239	79.416	78.618	78.882	79.232	79.412	78.616	78.869
2016/10/18 17:00:00	79.140	79.664	79.061	79.239	79.114	79.660	79.043	79.232
2016/10/17 17:00:00	79.575	79.575	78.926	79.140	79.495	79.495	78.922	79.114
2016/10/14 17:00:00	78.614	79.440	78.509	79.304	78.593	79.440	78.504	79.280
2016/10/13 17:00:00	78.498	78.757	77.971	78.614	78.467	78.744	77.961	78.593
2016/10/12 17:00:00	78.052	78.910	78.052	78.498	77.999	78.902	77.995	78.467
2016/10/11 17:00:00	78.649	78.932	77.762	78.052	78.623	78.926	77.759	77.999
2016/10/10 17:00:00	78.061	78.958	77.571	78.649	77.950	78.952	77.558	78.623
2016/10/07 17:00:00	78.652	78.743	77.395	77.458	78.612	78.701	77.341	77.341
2016/10/06 17:00:00	78.567	78.888	78.376	78.652	78.537	78.881	78.367	78.612
2016/10/05 17:00:00	78.022	78.751	77.832	78.567	77.995	78.743	77.824	78.537
2016/10/04 17:00:00	77.490	78.186	77.429	78.022	77.468	78.183	77.412	77.995
2016/10/03 17:00:00	77.244	77.586	77.108	77.490	77.109	77.582	77.102	77.468
2016/09/30 17:00:00	76.886	77.427	76.373	77.244	76.839	77.419	76.366	77.109
2016/09/29 17:00:00	76.991	77.850	76.499	76.886	76.970	77.842	76.494	76.839
2016/09/28 17:00:00	76.125	77.011	75.868	76.991	76.086	76.998	75.863	76.970
2016/09/27 17:00:00	75.866	76.697	75.412	76.125	75.837	76.689	75.402	76.086
2016/09/26 17:00:00	76.844	76.844	75.709	75.866	76.693	76.791	75.700	75.837
2016/09/23 17:00:00	77.272	77.496	76.644	76.745	77.239	77.489	76.637	76.656
2016/09/22 17:00:00	76.587	77.532	76.558	77.272	76.545	77.523	76.541	77.239
2016/09/21 17:00:00	77.140	77.895	76.161	76.587	77.090	77.885	76.154	76.545
2016/09/20 17:00:00	77.221	77.308	76.788	77.140	77.181	77.302	76.782	77.090
2016/09/19 17:00:00	77.298	77.666	76.987	77.221	77.206	77.658	76.979	77.181
2016/09/16 17:00:00	77.639	77.691	77.048	77.458	77.554	77.684	77.029	77.381
2016/09/15 17:00:00	77.649	77.985	77.175	77.639	77.597	77.977	77.162	77.554
2016/09/14 17:00:00	77.853	78.642	77.485	77.649	77.812	78.636	77.476	77.597
2016/09/13 17:00:00	78.124	78.225	77.513	77.853	78.082	78.213	77.514	77.812
2016/09/12 17:00:00	78.607	78.770	77.635	78.124	78.561	78.689	77.627	78.082
2016/09/09 17:00:00	79.250	79.536	78.658	78.730	79.205	79.438	78.650	78.655
2016/09/08 17:00:00	78.979	79.400	78.598	79.250	78.954	79.395	78.591	79.205
2016/09/07 17:00:00	79.443	79.497	78.653	78.979	79.410	79.478	78.646	78.954
2016/09/06 17:00:00	80.020	80.317	79.355	79.443	79.969	80.310	79.347	79.410
2016/09/05 17:00:00	80.170	80.185	79.702	80.020	80.089	80.147	79.694	79.969
2016/09/02 17:00:00	78.812	80.158	78.773	80.076	78.781	80.152	78.758	79.925
2016/09/01 17:00:00	78.932	79.217	78.620	78.812	78.897	79.210	78.604	78.781
2016/08/31 17:00:00	78.637	79.001	78.589	78.932	78.586	78.936	78.577	78.897
2016/08/30 17:00:00	78.349	78.877	78.204	78.637	78.314	78.871	78.192	78.586
2016/08/29 17:00:00	78.588	78.730	78.229	78.349	78.530	78.723	78.220	78.314
2016/08/26 17:00:00	77.811	78.420	77.766	78.368	77.772	78.413	77.744	78.216
2016/08/25 17:00:00	77.716	77.861	77.667	77.811	77.695	77.857	77.654	77.772
2016/08/24 17:00:00	77.640	77.843	77.426	77.716	77.610	77.833	77.421	77.695
2016/08/23 17:00:00	77.511	77.895	77.383	77.640	77.480	77.887	77.369	77.610
2016/08/22 17:00:00	78.182	78.265	77.344	77.511	78.108	78.189	77.336	77.480
2016/08/19 17:00:00	78.161	78.522	77.616	77.927	78.134	78.514	77.610	77.853
2016/08/18 17:00:00	78.094	78.500	77.591	78.161	78.051	78.495	77.582	78.134
2016/08/17 17:00:00	77.995	78.544	77.754	78.094	77.974	78.530	77.748	78.051
2016/08/16 17:00:00	78.357	78.388	77.621	77.995	78.344	78.364	77.610	77.974
2016/08/15 17:00:00	78.178	78.434	77.967	78.357	78.035	78.429	77.961	78.344
