日時	"CHF/JPY(始値, 買い)"	"CHF/JPY(高値, 買い)"	"CHF/JPY(安値, 買い)"	"CHF/JPY(終値, 買い)"	"CHF/JPY(始値, 売り)*"	"CHF/JPY(高値, 売り)*"	"CHF/JPY(安値, 売り)*"	"CHF/JPY(終値, 売り)*"
2017/01/09 17:00:00	115.070	115.418	114.900	114.964	114.992	115.413	114.894	114.956
2017/01/06 17:00:00	114.272	115.190	114.005	115.030	114.214	115.181	113.987	114.819
2017/01/05 17:00:00	115.028	115.028	113.806	114.272	114.734	114.954	113.787	114.214
2017/01/04 17:00:00	114.638	115.029	114.257	115.028	114.573	115.012	114.249	114.734
2017/01/03 17:00:00	115.148	115.156	114.289	114.638	114.860	115.148	114.279	114.573
2016/12/30 17:00:00	113.956	115.710	113.899	115.148	113.868	115.510	113.770	114.860
2016/12/29 17:00:00	114.062	114.125	113.402	113.956	113.951	114.114	113.390	113.868
2016/12/28 17:00:00	114.287	114.622	113.808	114.062	114.163	114.612	113.803	113.951
2016/12/27 17:00:00	114.320	114.372	113.968	114.287	114.154	114.366	113.956	114.163
2016/12/23 17:00:00	114.660	114.692	114.048	114.320	114.580	114.637	114.031	114.154
2016/12/22 17:00:00	114.529	114.915	114.407	114.660	114.497	114.906	114.327	114.580
2016/12/21 17:00:00	114.688	114.896	114.221	114.529	114.418	114.888	114.211	114.497
2016/12/20 17:00:00	114.039	114.967	113.907	114.688	113.781	114.959	113.781	114.418
2016/12/19 17:00:00	115.032	115.036	113.879	114.039	114.781	114.944	113.781	113.781
2016/12/16 17:00:00	114.762	115.157	114.568	114.940	114.699	115.150	114.558	114.843
2016/12/15 17:00:00	114.746	115.382	114.266	114.762	114.689	115.376	114.255	114.699
2016/12/14 17:00:00	113.829	114.932	113.652	114.746	113.736	114.912	113.646	114.689
2016/12/13 17:00:00	113.548	114.103	113.260	113.829	113.473	114.096	113.191	113.736
2016/12/12 17:00:00	113.426	114.207	113.181	113.548	113.141	114.199	113.138	113.473
2016/12/09 17:00:00	112.223	113.477	112.171	113.477	112.191	113.338	112.149	113.189
2016/12/08 17:00:00	113.020	113.230	112.091	112.223	112.872	113.211	112.077	112.191
2016/12/07 17:00:00	112.924	113.307	112.641	113.020	112.790	113.299	112.632	112.872
2016/12/06 17:00:00	113.184	113.418	112.687	112.924	113.044	113.409	112.679	112.790
2016/12/05 17:00:00	112.058	113.799	110.984	113.184	111.881	113.791	110.922	113.044
2016/12/02 17:00:00	112.958	113.120	112.312	112.438	112.861	113.012	112.245	112.245
2016/12/01 17:00:00	112.622	113.158	112.159	112.958	112.417	113.153	112.145	112.861
2016/11/30 17:00:00	111.101	112.665	110.855	112.622	111.072	112.574	110.848	112.417
2016/11/29 17:00:00	110.687	111.525	110.268	111.101	110.454	111.517	110.250	111.072
2016/11/28 17:00:00	111.681	111.685	110.457	110.687	111.407	111.504	110.432	110.454
2016/11/25 17:00:00	111.560	111.902	111.095	111.675	111.394	111.893	111.084	111.380
2016/11/24 17:00:00	110.858	111.560	110.475	111.560	110.587	111.550	110.463	111.394
2016/11/23 17:00:00	109.913	111.025	109.679	110.858	109.877	111.018	109.673	110.587
2016/11/22 17:00:00	109.946	110.031	109.475	109.913	109.817	110.022	109.461	109.877
2016/11/21 17:00:00	109.891	110.110	109.473	109.946	109.609	110.100	109.464	109.817
2016/11/18 17:00:00	109.382	109.889	109.074	109.872	109.321	109.856	109.070	109.675
2016/11/17 17:00:00	108.867	109.407	108.468	109.382	108.830	109.395	108.458	109.321
2016/11/16 17:00:00	109.040	109.412	108.741	108.867	108.975	109.403	108.734	108.830
2016/11/15 17:00:00	108.652	109.142	108.285	109.040	108.626	109.131	108.176	108.975
2016/11/14 17:00:00	108.069	108.764	107.885	108.652	107.990	108.748	107.874	108.626
2016/11/11 17:00:00	108.308	108.393	107.486	108.049	108.210	108.384	107.478	107.787
2016/11/10 17:00:00	107.349	108.346	106.878	108.308	107.299	108.337	106.862	108.210
2016/11/09 17:00:00	107.565	107.761	105.608	107.349	107.510	107.750	105.560	107.299
2016/11/08 17:00:00	107.232	107.731	106.960	107.565	107.188	107.723	106.952	107.510
2016/11/07 17:00:00	106.564	107.338	106.365	107.232	106.468	107.329	106.236	107.188
2016/11/04 17:00:00	105.737	106.562	105.553	106.556	105.720	106.541	105.544	106.433
2016/11/03 17:00:00	106.153	106.375	105.624	105.737	106.131	106.368	105.615	105.720
2016/11/02 17:00:00	106.810	106.850	106.094	106.153	106.768	106.840	106.085	106.131
2016/11/01 17:00:00	105.989	106.950	105.822	106.810	105.971	106.955	105.815	106.768
2016/10/31 17:00:00	105.872	106.336	105.771	105.989	105.725	106.329	105.707	105.971
2016/10/28 17:00:00	105.977	106.207	105.751	106.128	105.941	106.199	105.745	105.923
2016/10/27 17:00:00	105.180	106.013	104.939	105.977	105.154	106.006	104.928	105.941
2016/10/26 17:00:00	104.829	105.338	104.625	105.180	104.805	105.332	104.615	105.154
2016/10/25 17:00:00	104.873	105.181	104.604	104.829	104.850	105.173	104.594	104.805
2016/10/24 17:00:00	104.428	105.119	104.363	104.873	104.347	105.114	104.339	104.850
2016/10/21 17:00:00	104.753	104.944	104.012	104.543	104.636	104.932	104.004	104.481
2016/10/20 17:00:00	104.607	105.392	104.475	104.753	104.578	105.378	104.430	104.636
2016/10/19 17:00:00	104.938	105.019	104.268	104.607	104.917	105.011	104.263	104.578
2016/10/18 17:00:00	105.047	105.422	104.834	104.938	105.011	105.415	104.827	104.917
2016/10/17 17:00:00	105.405	105.472	104.974	105.047	105.359	105.462	104.967	105.011
2016/10/14 17:00:00	105.187	105.675	105.003	105.243	105.123	105.670	104.994	105.181
2016/10/13 17:00:00	105.209	105.614	104.570	105.187	105.162	105.603	104.561	105.123
2016/10/12 17:00:00	104.701	105.635	104.526	105.209	104.625	105.627	104.520	105.162
2016/10/11 17:00:00	105.466	105.776	104.326	104.701	105.426	105.770	104.314	104.625
2016/10/10 17:00:00	105.658	105.672	105.131	105.466	105.380	105.664	105.122	105.426
2016/10/07 17:00:00	106.002	106.104	105.150	105.398	105.943	106.034	105.137	105.225
2016/10/06 17:00:00	106.264	106.371	105.765	106.002	106.134	106.358	105.760	105.943
2016/10/05 17:00:00	105.146	106.462	104.948	106.264	105.083	106.449	104.937	106.134
2016/10/04 17:00:00	104.461	105.362	104.344	105.146	104.372	105.346	104.302	105.083
2016/10/03 17:00:00	104.200	104.592	104.100	104.461	103.923	104.538	103.923	104.372
2016/09/30 17:00:00	104.619	105.306	103.669	104.377	104.546	105.280	103.553	104.180
2016/09/29 17:00:00	103.797	105.248	103.664	104.619	103.663	105.240	103.599	104.546
2016/09/28 17:00:00	103.467	103.807	103.293	103.797	103.416	103.796	103.283	103.663
2016/09/27 17:00:00	103.553	104.160	103.178	103.467	103.494	104.151	103.169	103.416
2016/09/26 17:00:00	104.293	104.327	103.467	103.553	104.032	104.275	103.456	103.494
2016/09/23 17:00:00	104.024	104.419	103.749	104.301	103.980	104.403	103.740	104.024
2016/09/22 17:00:00	103.039	104.370	102.907	104.024	102.959	104.356	102.896	103.980
2016/09/21 17:00:00	103.894	104.782	102.896	103.039	103.851	104.769	102.875	102.959
2016/09/20 17:00:00	104.039	104.256	103.739	103.894	103.959	104.250	103.731	103.851
2016/09/19 17:00:00	104.362	104.546	103.656	104.039	104.074	104.533	103.650	103.959
2016/09/16 17:00:00	105.145	105.145	104.242	104.411	105.026	105.124	104.233	104.253
2016/09/15 17:00:00	105.261	105.571	104.789	105.145	105.164	105.564	104.775	105.026
2016/09/14 17:00:00	105.119	105.825	104.855	105.261	104.959	105.815	104.842	105.164
2016/09/13 17:00:00	104.846	105.333	104.353	105.119	104.737	105.324	104.337	104.959
2016/09/12 17:00:00	105.292	105.383	104.486	104.846	105.183	105.320	104.477	104.737
2016/09/09 17:00:00	105.428	105.725	104.863	105.328	105.356	105.713	104.856	105.178
2016/09/08 17:00:00	104.931	105.445	104.720	105.428	104.879	105.420	104.709	105.356
2016/09/07 17:00:00	105.248	105.309	104.343	104.931	105.188	105.267	104.319	104.879
2016/09/06 17:00:00	105.582	105.836	104.952	105.248	105.509	105.827	104.939	105.188
2016/09/05 17:00:00	106.292	106.302	105.359	105.582	106.045	106.230	105.350	105.509
2016/09/02 17:00:00	105.371	106.322	105.277	106.136	105.308	106.312	105.264	105.901
2016/09/01 17:00:00	105.136	105.604	104.757	105.371	105.115	105.555	104.749	105.308
2016/08/31 17:00:00	104.752	105.333	104.633	105.136	104.598	105.324	104.589	105.115
2016/08/30 17:00:00	104.205	104.924	104.037	104.752	104.159	104.913	104.026	104.598
2016/08/29 17:00:00	104.383	104.803	104.117	104.205	104.238	104.790	104.085	104.159
2016/08/26 17:00:00	103.931	104.302	103.436	104.138	103.827	104.293	103.389	104.021
2016/08/25 17:00:00	103.910	104.155	103.815	103.931	103.861	104.146	103.784	103.827
2016/08/24 17:00:00	104.116	104.333	103.537	103.910	103.989	104.321	103.528	103.861
2016/08/23 17:00:00	104.274	104.396	103.991	104.116	104.216	104.389	103.982	103.989
