日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/29 17:00:00	1.45176	1.45496	1.44731	1.45282	1.45001	1.45492	1.44724	1.45274
2016/12/28 17:00:00	1.45673	1.45675	1.44563	1.45176	1.45477	1.45575	1.44560	1.45001
2016/12/27 17:00:00	1.45505	1.45766	1.45191	1.45673	1.45279	1.45617	1.45181	1.45477
2016/12/26 17:00:00	1.45825	1.46147	1.44614	1.45505	1.45573	1.45914	1.44514	1.45279
2016/12/23 17:00:00	1.44645	1.45986	1.44442	1.45825	1.44575	1.45972	1.44431	1.45573
2016/12/22 17:00:00	1.44060	1.45371	1.43895	1.44645	1.43987	1.45364	1.43857	1.44575
2016/12/21 17:00:00	1.43128	1.44068	1.42918	1.44060	1.43068	1.44053	1.42911	1.43987
2016/12/20 17:00:00	1.43618	1.43731	1.43043	1.43128	1.43536	1.43724	1.43034	1.43068
2016/12/19 17:00:00	1.43418	1.44037	1.43092	1.43618	1.43292	1.44030	1.43081	1.43536
2016/12/16 17:00:00	1.41565	1.43437	1.41365	1.43267	1.41485	1.43426	1.41355	1.43064
2016/12/15 17:00:00	1.42290	1.42453	1.40922	1.41565	1.42203	1.42399	1.40912	1.41485
2016/12/14 17:00:00	1.41705	1.42303	1.41490	1.42290	1.41616	1.42293	1.41398	1.42203
2016/12/13 17:00:00	1.41907	1.42209	1.41260	1.41705	1.41801	1.42200	1.41252	1.41616
2016/12/12 17:00:00	1.41495	1.42066	1.41384	1.41907	1.41351	1.42056	1.41310	1.41801
2016/12/09 17:00:00	1.42272	1.42536	1.41199	1.41843	1.42185	1.42513	1.41189	1.41636
2016/12/08 17:00:00	1.43747	1.45171	1.42175	1.42272	1.43681	1.45135	1.42159	1.42185
2016/12/07 17:00:00	1.43666	1.44494	1.43417	1.43747	1.43617	1.44489	1.43408	1.43681
2016/12/06 17:00:00	1.44088	1.45027	1.43594	1.43666	1.44044	1.45020	1.43593	1.43617
2016/12/05 17:00:00	1.43194	1.44395	1.41477	1.44088	1.43072	1.44400	1.41467	1.44044
2016/12/02 17:00:00	1.43812	1.44374	1.42712	1.43149	1.43765	1.44367	1.42710	1.42962
2016/12/01 17:00:00	1.43414	1.43987	1.43061	1.43812	1.43329	1.43981	1.43050	1.43765
