日時	"EUR/CAD(始値, 買い)"	"EUR/CAD(高値, 買い)"	"EUR/CAD(安値, 買い)"	"EUR/CAD(終値, 買い)"	"EUR/CAD(始値, 売り)*"	"EUR/CAD(高値, 売り)*"	"EUR/CAD(安値, 売り)*"	"EUR/CAD(終値, 売り)*"
2017/01/09 17:00:00	1.39613	1.39765	1.39341	1.39473	1.39412	1.39758	1.39328	1.39466
2017/01/06 17:00:00	1.40289	1.40584	1.39169	1.39539	1.40247	1.40544	1.39160	1.39413
2017/01/05 17:00:00	1.39559	1.40422	1.39474	1.40289	1.39478	1.40413	1.39420	1.40247
2017/01/04 17:00:00	1.39739	1.40051	1.38789	1.39559	1.39692	1.40045	1.38778	1.39478
2017/01/03 17:00:00	1.41536	1.41536	1.38991	1.39739	1.41315	1.41315	1.38987	1.39692
2016/12/30 17:00:00	1.41647	1.43766	1.41210	1.41536	1.41583	1.43601	1.41198	1.41315
2016/12/29 17:00:00	1.41257	1.41796	1.41074	1.41647	1.41150	1.41787	1.41033	1.41583
2016/12/28 17:00:00	1.42014	1.42206	1.40822	1.41257	1.41917	1.42192	1.40812	1.41150
2016/12/27 17:00:00	1.41623	1.42015	1.41186	1.42014	1.41469	1.42005	1.41177	1.41917
2016/12/23 17:00:00	1.40743	1.41668	1.40699	1.41623	1.40668	1.41658	1.40667	1.41469
2016/12/22 17:00:00	1.39828	1.41699	1.39823	1.40743	1.39787	1.41687	1.39786	1.40668
2016/12/21 17:00:00	1.38921	1.39987	1.38845	1.39828	1.38841	1.39985	1.38802	1.39787
2016/12/20 17:00:00	1.39487	1.39642	1.38790	1.38921	1.39446	1.39634	1.38784	1.38841
2016/12/19 17:00:00	1.39369	1.40087	1.39249	1.39487	1.39159	1.40085	1.39148	1.39446
2016/12/16 17:00:00	1.38887	1.39810	1.38831	1.39468	1.38846	1.39807	1.38796	1.39393
2016/12/15 17:00:00	1.39970	1.40028	1.38769	1.38887	1.39908	1.39938	1.38763	1.38846
2016/12/14 17:00:00	1.39549	1.40314	1.39252	1.39970	1.39489	1.40294	1.39246	1.39908
2016/12/13 17:00:00	1.39646	1.39879	1.39137	1.39549	1.39623	1.39873	1.39133	1.39489
2016/12/12 17:00:00	1.38453	1.39867	1.38212	1.39646	1.38359	1.39859	1.38197	1.39623
2016/12/09 17:00:00	1.40059	1.40239	1.38631	1.39247	1.39977	1.40229	1.38631	1.39093
2016/12/08 17:00:00	1.42312	1.43592	1.39900	1.40059	1.42275	1.43553	1.39893	1.39977
2016/12/07 17:00:00	1.42318	1.42880	1.42103	1.42312	1.42252	1.42871	1.42098	1.42275
2016/12/06 17:00:00	1.42882	1.43066	1.42083	1.42318	1.42830	1.43059	1.42075	1.42252
2016/12/05 17:00:00	1.41881	1.42983	1.40295	1.42882	1.41667	1.42981	1.40270	1.42830
2016/12/02 17:00:00	1.41995	1.42313	1.41303	1.41838	1.41979	1.42305	1.41294	1.41683
