日時	"EUR/CHF(始値, 買い)"	"EUR/CHF(高値, 買い)"	"EUR/CHF(安値, 買い)"	"EUR/CHF(終値, 買い)"	"EUR/CHF(始値, 売り)*"	"EUR/CHF(高値, 売り)*"	"EUR/CHF(安値, 売り)*"	"EUR/CHF(終値, 売り)*"
2017/01/09 17:00:00	1.07163	1.07368	1.07125	1.07180	1.07083	1.07362	1.07083	1.07174
2017/01/06 17:00:00	1.07136	1.07366	1.07027	1.07271	1.07074	1.07348	1.07003	1.07145
2017/01/05 17:00:00	1.07121	1.07384	1.06937	1.07136	1.07028	1.07377	1.06932	1.07074
2017/01/04 17:00:00	1.06924	1.07328	1.06876	1.07121	1.06891	1.07322	1.06845	1.07028
2017/01/03 17:00:00	1.07246	1.07246	1.06803	1.06924	1.07121	1.07180	1.06800	1.06891
2016/12/30 17:00:00	1.07377	1.07632	1.07119	1.07246	1.07222	1.07610	1.07109	1.07121
2016/12/29 17:00:00	1.07185	1.07397	1.07010	1.07377	1.07021	1.07387	1.07004	1.07222
2016/12/28 17:00:00	1.07611	1.07612	1.07025	1.07185	1.07436	1.07604	1.07016	1.07021
2016/12/27 17:00:00	1.07411	1.07622	1.07302	1.07611	1.07271	1.07614	1.07271	1.07436
2016/12/23 17:00:00	1.07042	1.07414	1.07030	1.07411	1.06996	1.07405	1.06982	1.07271
2016/12/22 17:00:00	1.07056	1.07308	1.06956	1.07042	1.07012	1.07302	1.06910	1.06996
2016/12/21 17:00:00	1.06960	1.07075	1.06793	1.07056	1.06854	1.07070	1.06788	1.07012
2016/12/20 17:00:00	1.06877	1.06986	1.06806	1.06960	1.06841	1.06946	1.06800	1.06854
2016/12/19 17:00:00	1.07307	1.07370	1.06804	1.06877	1.07140	1.07355	1.06797	1.06841
2016/12/16 17:00:00	1.07295	1.07578	1.07110	1.07350	1.07218	1.07572	1.07104	1.07243
2016/12/15 17:00:00	1.07555	1.07672	1.07194	1.07295	1.07417	1.07665	1.07189	1.07218
2016/12/14 17:00:00	1.07622	1.07795	1.07304	1.07555	1.07456	1.07766	1.07297	1.07417
2016/12/13 17:00:00	1.07822	1.07892	1.07353	1.07622	1.07700	1.07876	1.07350	1.07456
2016/12/12 17:00:00	1.07409	1.07900	1.07306	1.07822	1.07291	1.07893	1.07222	1.07700
2016/12/09 17:00:00	1.07898	1.07978	1.07262	1.07451	1.07866	1.07973	1.07260	1.07316
2016/12/08 17:00:00	1.08351	1.08999	1.07782	1.07898	1.08320	1.08981	1.07774	1.07866
2016/12/07 17:00:00	1.08361	1.08485	1.08167	1.08351	1.08205	1.08478	1.08161	1.08320
2016/12/06 17:00:00	1.08395	1.08486	1.08096	1.08361	1.08255	1.08481	1.08088	1.08205
2016/12/05 17:00:00	1.08008	1.08535	1.06970	1.08395	1.07748	1.08528	1.06952	1.08255
2016/12/02 17:00:00	1.07832	1.07911	1.07406	1.07861	1.07674	1.07904	1.07329	1.07699
2016/12/01 17:00:00	1.07810	1.07929	1.07488	1.07832	1.07737	1.07832	1.07485	1.07674
2016/11/30 17:00:00	1.07797	1.08173	1.07653	1.07810	1.07670	1.08167	1.07647	1.07737
2016/11/29 17:00:00	1.07541	1.07800	1.07419	1.07797	1.07485	1.07762	1.07403	1.07670
2016/11/28 17:00:00	1.07408	1.07714	1.07382	1.07541	1.07284	1.07702	1.07284	1.07485
2016/11/25 17:00:00	1.07381	1.07570	1.07271	1.07552	1.07211	1.07558	1.07207	1.07393
2016/11/24 17:00:00	1.07391	1.07450	1.07167	1.07381	1.07249	1.07444	1.07161	1.07211
2016/11/23 17:00:00	1.07520	1.07531	1.07125	1.07391	1.07428	1.07525	1.07119	1.07249
2016/11/22 17:00:00	1.07295	1.07523	1.07189	1.07520	1.07182	1.07488	1.07139	1.07428
2016/11/21 17:00:00	1.07157	1.07410	1.06973	1.07295	1.06992	1.07404	1.06917	1.07182
2016/11/18 17:00:00	1.07090	1.07202	1.06868	1.07055	1.06988	1.07196	1.06862	1.06949
2016/11/17 17:00:00	1.07146	1.07420	1.06955	1.07090	1.07071	1.07414	1.06928	1.06988
2016/11/16 17:00:00	1.07445	1.07557	1.07051	1.07146	1.07373	1.07551	1.07043	1.07071
2016/11/15 17:00:00	1.07193	1.07594	1.07111	1.07445	1.07147	1.07586	1.07016	1.07373
2016/11/14 17:00:00	1.07239	1.07488	1.06881	1.07193	1.07115	1.07483	1.06875	1.07147
2016/11/11 17:00:00	1.07541	1.07619	1.07065	1.07302	1.07431	1.07610	1.07059	1.07243
2016/11/10 17:00:00	1.07417	1.07788	1.07379	1.07541	1.07385	1.07784	1.07374	1.07431
2016/11/09 17:00:00	1.07881	1.08317	1.07386	1.07417	1.07714	1.08310	1.07354	1.07385
2016/11/08 17:00:00	1.07612	1.07881	1.07565	1.07881	1.07529	1.07878	1.07515	1.07714
2016/11/07 17:00:00	1.08184	1.08331	1.07557	1.07612	1.08140	1.08279	1.07529	1.07529
2016/11/04 17:00:00	1.08183	1.08273	1.07652	1.07921	1.08155	1.08256	1.07647	1.07839
2016/11/03 17:00:00	1.08021	1.08243	1.07731	1.08183	1.08014	1.08238	1.07725	1.08155
2016/11/02 17:00:00	1.07845	1.08063	1.07544	1.08021	1.07814	1.08055	1.07538	1.08014
2016/11/01 17:00:00	1.08610	1.08634	1.07617	1.07845	1.08576	1.08632	1.07610	1.07814
2016/10/31 17:00:00	1.08501	1.08641	1.08178	1.08610	1.08445	1.08633	1.08175	1.08576
2016/10/28 17:00:00	1.08331	1.08641	1.08258	1.08536	1.08206	1.08635	1.08206	1.08449
2016/10/27 17:00:00	1.08399	1.08489	1.08265	1.08331	1.08343	1.08484	1.08201	1.08206
2016/10/26 17:00:00	1.08335	1.08443	1.08202	1.08399	1.08196	1.08437	1.08196	1.08343
2016/10/25 17:00:00	1.08117	1.08647	1.08056	1.08335	1.08078	1.08636	1.08045	1.08196
2016/10/24 17:00:00	1.08301	1.08301	1.07972	1.08117	1.08202	1.08291	1.07967	1.08078
2016/10/21 17:00:00	1.08527	1.08543	1.08073	1.08195	1.08463	1.08536	1.08069	1.08142
2016/10/20 17:00:00	1.08564	1.08728	1.08334	1.08527	1.08484	1.08719	1.08329	1.08463
2016/10/19 17:00:00	1.08766	1.08811	1.08461	1.08564	1.08654	1.08806	1.08457	1.08484
2016/10/18 17:00:00	1.08817	1.08954	1.08664	1.08766	1.08754	1.08948	1.08652	1.08654
2016/10/17 17:00:00	1.08668	1.08860	1.08614	1.08817	1.08637	1.08859	1.08603	1.08754
2016/10/14 17:00:00	1.09046	1.09095	1.08647	1.08666	1.09005	1.09069	1.08632	1.08640
2016/10/13 17:00:00	1.09091	1.09195	1.08702	1.09046	1.09014	1.09104	1.08695	1.09005
2016/10/12 17:00:00	1.09385	1.09385	1.08928	1.09091	1.09229	1.09312	1.08921	1.09014
2016/10/11 17:00:00	1.09481	1.09597	1.09222	1.09385	1.09370	1.09587	1.09219	1.09229
2016/10/10 17:00:00	1.09461	1.09730	1.09350	1.09481	1.09409	1.09725	1.09347	1.09370
2016/10/07 17:00:00	1.09399	1.09640	1.09106	1.09531	1.09359	1.09573	1.09098	1.09389
2016/10/06 17:00:00	1.09281	1.09498	1.09148	1.09399	1.09113	1.09492	1.09106	1.09359
2016/10/05 17:00:00	1.09751	1.09760	1.09151	1.09281	1.09641	1.09753	1.09110	1.09113
2016/10/04 17:00:00	1.09171	1.09752	1.09108	1.09751	1.09111	1.09750	1.09068	1.09641
2016/10/03 17:00:00	1.09114	1.09287	1.09015	1.09171	1.08959	1.09279	1.08878	1.09111
2016/09/30 17:00:00	1.08479	1.09221	1.08113	1.09221	1.08380	1.09178	1.08108	1.09108
