日時	"EUR/CZK(始値, 買い)"	"EUR/CZK(高値, 買い)"	"EUR/CZK(安値, 買い)"	"EUR/CZK(終値, 買い)"	"EUR/CZK(始値, 売り)*"	"EUR/CZK(高値, 売り)*"	"EUR/CZK(安値, 売り)*"	"EUR/CZK(終値, 売り)*"
2017/01/09 17:00:00	27.0250	27.0310	27.0210	27.0214	27.0170	27.0200	27.0060	27.0183
2017/01/06 17:00:00	27.0300	27.0391	27.0200	27.0391	27.0100	27.0200	27.0031	27.0031
2017/01/05 17:00:00	27.0330	27.0330	27.0200	27.0300	27.0080	27.0202	27.0070	27.0100
2017/01/04 17:00:00	27.0310	27.0340	27.0200	27.0330	27.0110	27.0210	27.0080	27.0080
2017/01/03 17:00:00	27.0581	27.0581	27.0186	27.0310	26.9883	27.0210	26.9883	27.0110
2016/12/30 17:00:00	27.0290	27.0581	27.0210	27.0581	27.0090	27.0210	26.9872	26.9883
2016/12/29 17:00:00	27.0290	27.0389	27.0204	27.0290	27.0210	27.0230	27.0086	27.0090
2016/12/28 17:00:00	27.0320	27.0541	27.0230	27.0290	27.0120	27.0470	27.0050	27.0210
2016/12/27 17:00:00	27.0340	27.0350	27.0210	27.0320	27.0130	27.0260	27.0120	27.0120
2016/12/23 17:00:00	27.0260	27.0577	27.0220	27.0340	27.0210	27.0240	26.9869	27.0130
2016/12/22 17:00:00	27.0290	27.0350	27.0209	27.0260	27.0090	27.0230	27.0080	27.0210
2016/12/21 17:00:00	27.0300	27.0309	27.0209	27.0290	27.0100	27.0230	27.0090	27.0090
2016/12/20 17:00:00	27.0300	27.0313	27.0209	27.0300	27.0100	27.0200	27.0090	27.0100
2016/12/19 17:00:00	27.0280	27.0330	27.0206	27.0300	27.0160	27.0241	27.0100	27.0100
2016/12/16 17:00:00	27.0300	27.0311	27.0209	27.0311	27.0040	27.0210	27.0040	27.0131
2016/12/15 17:00:00	27.0337	27.0404	27.0204	27.0300	27.0097	27.0200	27.0040	27.0040
2016/12/14 17:00:00	27.0250	27.0461	27.0210	27.0337	27.0190	27.0254	26.9950	27.0097
2016/12/13 17:00:00	27.0350	27.0438	27.0220	27.0250	27.0240	27.0351	27.0137	27.0190
2016/12/12 17:00:00	27.0390	27.0508	27.0200	27.0350	27.0160	27.0311	26.9992	27.0240
2016/12/09 17:00:00	27.0610	27.0697	27.0259	27.0380	27.0500	27.0560	27.0115	27.0190
2016/12/08 17:00:00	27.0349	27.0641	27.0290	27.0610	27.0250	27.0550	27.0211	27.0500
2016/12/07 17:00:00	27.0466	27.0545	27.0280	27.0349	27.0346	27.0430	27.0238	27.0250
2016/12/06 17:00:00	27.0570	27.0612	27.0380	27.0466	27.0390	27.0560	27.0326	27.0346
2016/12/05 17:00:00	27.0480	27.0980	27.0290	27.0570	27.0390	27.0556	26.9900	27.0390
2016/12/02 17:00:00	27.0660	27.0818	27.0370	27.0810	27.0470	27.0679	27.0130	27.0130
2016/12/01 17:00:00	27.0540	27.0694	27.0460	27.0660	27.0450	27.0650	27.0341	27.0470
2016/11/30 17:00:00	27.0620	27.0718	27.0512	27.0540	27.0550	27.0660	27.0443	27.0450
2016/11/29 17:00:00	27.0610	27.0781	27.0330	27.0620	27.0510	27.0630	27.0230	27.0550
2016/11/28 17:00:00	27.0470	27.0633	27.0295	27.0610	27.0170	27.0561	27.0106	27.0510
2016/11/25 17:00:00	27.0452	27.0616	27.0260	27.0616	27.0192	27.0420	26.9975	26.9980
2016/11/24 17:00:00	27.0380	27.0523	27.0270	27.0452	27.0260	27.0350	27.0127	27.0192
2016/11/23 17:00:00	27.0380	27.0410	27.0260	27.0380	27.0270	27.0353	27.0184	27.0260
2016/11/22 17:00:00	27.0360	27.0637	27.0270	27.0380	27.0240	27.0570	27.0133	27.0270
2016/11/21 17:00:00	27.0400	27.0770	27.0270	27.0360	27.0120	27.0746	27.0015	27.0240
2016/11/18 17:00:00	27.0340	27.0545	27.0230	27.0310	27.0240	27.0494	27.0119	27.0180
2016/11/17 17:00:00	27.0380	27.0761	27.0250	27.0340	27.0230	27.0714	27.0082	27.0240
2016/11/16 17:00:00	27.0500	27.1455	27.0270	27.0380	27.0280	27.1288	27.0198	27.0230
2016/11/15 17:00:00	27.0406	27.0570	27.0250	27.0500	27.0250	27.0460	27.0112	27.0280
2016/11/14 17:00:00	27.0570	27.0648	27.0210	27.0406	27.0065	27.0314	26.9999	27.0250
2016/11/11 17:00:00	27.0381	27.1160	27.0260	27.0499	27.0225	27.1110	27.0114	27.0121
2016/11/10 17:00:00	27.0407	27.0512	27.0193	27.0381	27.0047	27.0280	26.9918	27.0225
2016/11/09 17:00:00	27.0230	27.0487	27.0220	27.0407	27.0190	27.0330	26.9828	27.0047
2016/11/08 17:00:00	27.0220	27.0400	27.0212	27.0230	27.0200	27.0210	27.0040	27.0190
2016/11/07 17:00:00	27.0260	27.0517	27.0210	27.0220	27.0170	27.0219	26.9923	27.0200
2016/11/04 17:00:00	27.0309	27.0391	27.0161	27.0260	27.0111	27.0220	27.0029	27.0170
2016/11/03 17:00:00	27.0354	27.0354	27.0210	27.0309	27.0156	27.0252	27.0111	27.0111
2016/11/02 17:00:00	27.0290	27.0410	27.0230	27.0354	27.0200	27.0283	27.0110	27.0156
2016/11/01 17:00:00	27.0340	27.0391	27.0226	27.0290	27.0132	27.0269	27.0126	27.0200
2016/10/31 17:00:00	27.0467	27.0480	27.0230	27.0340	27.0164	27.0290	27.0090	27.0132
2016/10/28 17:00:00	27.0277	27.0526	27.0220	27.0400	27.0121	27.0290	27.0111	27.0200
2016/10/27 17:00:00	27.0401	27.0401	27.0211	27.0277	27.0039	27.0230	27.0039	27.0121
2016/10/26 17:00:00	27.0386	27.0401	27.0210	27.0401	27.0024	27.0214	27.0024	27.0039
2016/10/25 17:00:00	27.0392	27.0392	27.0210	27.0386	27.0032	27.0210	27.0024	27.0024
2016/10/24 17:00:00	27.0394	27.0394	27.0212	27.0392	26.9971	27.0201	26.9971	27.0032
2016/10/21 17:00:00	27.0243	27.0382	27.0215	27.0276	27.0109	27.0210	27.0018	27.0156
2016/10/20 17:00:00	27.0219	27.0356	27.0164	27.0243	27.0094	27.0210	27.0021	27.0109
2016/10/19 17:00:00	27.0248	27.0304	27.0210	27.0219	27.0144	27.0200	27.0082	27.0094
2016/10/18 17:00:00	27.0298	27.0337	27.0206	27.0248	27.0194	27.0260	27.0132	27.0144
2016/10/17 17:00:00	27.0405	27.0405	27.0210	27.0298	27.0001	27.0306	27.0001	27.0194
2016/10/14 17:00:00	27.0281	27.0583	27.0220	27.0583	27.0177	27.0305	26.9803	26.9803
2016/10/13 17:00:00	27.0366	27.0366	27.0220	27.0281	27.0126	27.0270	27.0126	27.0177
2016/10/12 17:00:00	27.0325	27.0366	27.0211	27.0366	27.0085	27.0260	27.0085	27.0126
2016/10/11 17:00:00	27.0307	27.0522	27.0207	27.0325	27.0151	27.0210	26.9928	27.0085
2016/10/10 17:00:00	27.0594	27.0594	27.0201	27.0307	26.9843	27.0220	26.9843	27.0151
2016/10/07 17:00:00	27.0214	27.0617	27.0157	27.0617	27.0016	27.0220	26.9815	26.9815
2016/10/06 17:00:00	27.0255	27.0293	27.0210	27.0214	27.0129	27.0210	27.0016	27.0016
2016/10/05 17:00:00	27.0250	27.0304	27.0211	27.0255	27.0150	27.0210	27.0074	27.0129
2016/10/04 17:00:00	27.0267	27.0293	27.0205	27.0250	27.0111	27.0210	27.0089	27.0150
2016/10/03 17:00:00	27.0381	27.0381	27.0210	27.0267	27.0034	27.0220	27.0034	27.0111
2016/09/30 17:00:00	27.0434	27.0564	27.0209	27.0564	27.0074	27.0270	26.9762	26.9762
2016/09/29 17:00:00	27.0260	27.0434	27.0200	27.0434	27.0190	27.0284	27.0074	27.0074
2016/09/28 17:00:00	27.0260	27.0326	27.0214	27.0260	27.0210	27.0243	27.0111	27.0190
2016/09/27 17:00:00	27.0283	27.0320	27.0210	27.0260	27.0157	27.0250	27.0116	27.0210
2016/09/26 17:00:00	27.0307	27.0331	27.0209	27.0283	27.0111	27.0215	27.0089	27.0157
2016/09/23 17:00:00	27.0260	27.0604	27.0200	27.0604	27.0190	27.0218	26.9802	26.9802
2016/09/22 17:00:00	27.0264	27.0495	27.0210	27.0260	27.0164	27.0220	26.9955	27.0190
2016/09/21 17:00:00	27.0403	27.0571	27.0220	27.0264	27.0043	27.0210	26.9849	27.0164
2016/09/20 17:00:00	27.0240	27.0403	27.0210	27.0403	27.0190	27.0210	27.0043	27.0043
2016/09/19 17:00:00	27.0413	27.0413	27.0210	27.0240	26.9965	27.0230	26.9965	27.0190
2016/09/16 17:00:00	27.0322	27.0579	27.0220	27.0579	27.0196	27.0250	26.9777	26.9777
2016/09/15 17:00:00	27.0280	27.0337	27.0220	27.0322	27.0210	27.0254	27.0064	27.0196
2016/09/14 17:00:00	27.0260	27.0324	27.0230	27.0280	27.0200	27.0250	27.0131	27.0210
2016/09/13 17:00:00	27.0230	27.0301	27.0210	27.0260	27.0190	27.0230	27.0118	27.0200
2016/09/12 17:00:00	27.0422	27.0422	27.0220	27.0230	26.9974	27.0245	26.9974	27.0190
2016/09/09 17:00:00	27.0400	27.0583	27.0200	27.0583	27.0040	27.0220	26.9781	26.9781
2016/09/08 17:00:00	27.0258	27.0400	27.0205	27.0400	27.0132	27.0210	27.0040	27.0040
2016/09/07 17:00:00	27.0339	27.0339	27.0213	27.0258	27.0099	27.0220	27.0099	27.0132
2016/09/06 17:00:00	27.0566	27.0566	27.0202	27.0339	26.9864	27.0220	26.9864	27.0099
2016/09/05 17:00:00	27.0460	27.0566	27.0220	27.0566	26.9911	27.0220	26.9864	26.9864
2016/09/02 17:00:00	27.0258	27.0579	27.0220	27.0579	27.0158	27.0210	26.9777	26.9777
2016/09/01 17:00:00	27.0320	27.0383	27.0220	27.0258	27.0210	27.0262	27.0155	27.0158
2016/08/31 17:00:00	27.0312	27.0461	27.0220	27.0320	27.0172	27.0380	27.0099	27.0210
2016/08/30 17:00:00	27.0276	27.0312	27.0230	27.0312	27.0162	27.0250	27.0107	27.0172
2016/08/29 17:00:00	27.0419	27.0419	27.0220	27.0276	26.9840	27.0220	26.9840	27.0162
2016/08/26 17:00:00	27.0332	27.0515	27.0213	27.0515	27.0098	27.0250	26.9697	26.9697
2016/08/25 17:00:00	27.0581	27.0581	27.0230	27.0332	26.9859	27.0280	26.9859	27.0098
2016/08/24 17:00:00	27.0289	27.0581	27.0220	27.0581	27.0149	27.0233	26.9859	26.9859
2016/08/23 17:00:00	27.0280	27.0346	27.0210	27.0289	27.0200	27.0250	27.0119	27.0149
2016/08/22 17:00:00	27.0441	27.0441	27.0230	27.0280	27.0017	27.0261	27.0017	27.0200
2016/08/19 17:00:00	27.0282	27.0627	27.0220	27.0627	27.0116	27.0253	26.9837	26.9837
2016/08/18 17:00:00	27.0407	27.0428	27.0220	27.0282	27.0047	27.0250	26.9902	27.0116
2016/08/17 17:00:00	27.0276	27.0537	27.0220	27.0407	27.0162	27.0222	26.9927	27.0047
2016/08/16 17:00:00	27.0566	27.0566	27.0173	27.0276	26.9844	27.0220	26.9844	27.0162
2016/08/15 17:00:00	27.0350	27.0566	27.0210	27.0566	27.0027	27.0200	26.9844	26.9844
2016/08/12 17:00:00	27.0322	27.0562	27.0210	27.0562	27.0088	27.0200	26.9772	26.9772
2016/08/11 17:00:00	27.0420	27.0546	27.0220	27.0322	27.0280	27.0311	27.0088	27.0088
2016/08/10 17:00:00	27.0266	27.0420	27.0203	27.0420	27.0152	27.0320	27.0004	27.0280
2016/08/09 17:00:00	27.0325	27.0356	27.0197	27.0266	27.0211	27.0244	27.0151	27.0152
2016/08/08 17:00:00	27.0370	27.0540	27.0210	27.0325	27.0090	27.0270	26.9930	27.0211
