日時	"EUR/JPY(始値, 買い)"	"EUR/JPY(高値, 買い)"	"EUR/JPY(安値, 買い)"	"EUR/JPY(終値, 買い)"	"EUR/JPY(始値, 売り)*"	"EUR/JPY(高値, 売り)*"	"EUR/JPY(安値, 売り)*"	"EUR/JPY(終値, 売り)*"
2017/01/09 17:00:00	123.244	123.731	123.230	123.455	123.211	123.723	123.177	123.449
2017/01/06 17:00:00	122.388	123.453	122.129	123.279	122.333	123.447	122.119	123.122
2017/01/05 17:00:00	123.051	123.127	122.027	122.388	122.944	123.119	122.011	122.333
2017/01/04 17:00:00	122.547	123.130	122.407	123.051	122.511	123.123	122.387	122.944
2017/01/03 17:00:00	123.343	123.343	122.275	122.547	123.172	123.327	122.263	122.511
2016/12/30 17:00:00	122.294	123.952	122.220	123.343	122.229	123.851	122.106	123.172
2016/12/29 17:00:00	122.149	122.388	121.601	122.294	122.062	122.379	121.593	122.229
2016/12/28 17:00:00	122.830	123.251	121.843	122.149	122.787	123.243	121.835	122.062
2016/12/27 17:00:00	122.732	123.005	122.454	122.830	122.560	123.003	122.448	122.787
2016/12/23 17:00:00	122.705	122.806	122.380	122.732	122.635	122.769	122.375	122.560
2016/12/22 17:00:00	122.574	123.206	122.476	122.705	122.532	123.199	122.450	122.635
2016/12/21 17:00:00	122.464	122.880	122.077	122.574	122.401	122.874	122.068	122.532
2016/12/20 17:00:00	121.817	122.799	121.739	122.464	121.781	122.793	121.711	122.401
2016/12/19 17:00:00	123.194	123.271	121.688	121.817	123.136	123.229	121.679	121.781
2016/12/16 17:00:00	123.088	123.640	122.839	123.339	123.063	123.635	122.832	123.217
2016/12/15 17:00:00	123.330	124.099	122.570	123.088	123.276	124.094	122.565	123.063
2016/12/14 17:00:00	122.411	123.425	122.138	123.330	122.376	123.412	122.133	123.276
2016/12/13 17:00:00	122.333	122.805	122.113	122.411	122.314	122.799	122.080	122.376
2016/12/12 17:00:00	121.579	122.937	121.579	122.333	121.532	122.929	121.527	122.314
2016/12/09 17:00:00	121.071	121.798	121.007	121.780	121.020	121.757	120.977	121.619
2016/12/08 17:00:00	122.434	123.370	120.920	121.071	122.319	123.349	120.913	121.020
2016/12/07 17:00:00	122.260	122.597	122.027	122.434	122.170	122.588	122.024	122.319
2016/12/06 17:00:00	122.575	122.938	121.942	122.260	122.490	122.934	121.937	122.170
2016/12/05 17:00:00	120.906	123.198	118.738	122.575	120.829	123.191	118.697	122.490
2016/12/02 17:00:00	121.680	121.895	120.883	121.122	121.597	121.891	120.879	120.969
2016/12/01 17:00:00	121.202	121.805	120.852	121.680	121.158	121.799	120.842	121.597
