日時	"EUR/NZD(始値, 買い)"	"EUR/NZD(高値, 買い)"	"EUR/NZD(安値, 買い)"	"EUR/NZD(終値, 買い)"	"EUR/NZD(始値, 売り)*"	"EUR/NZD(高値, 売り)*"	"EUR/NZD(安値, 売り)*"	"EUR/NZD(終値, 売り)*"
2016/12/29 17:00:00	1.50750	1.51019	1.50132	1.50786	1.50510	1.51003	1.50105	1.50771
2016/12/28 17:00:00	1.51861	1.51892	1.50271	1.50750	1.51690	1.51780	1.50258	1.50510
2016/12/27 17:00:00	1.51708	1.51935	1.51356	1.51861	1.51273	1.51903	1.51263	1.51690
2016/12/26 17:00:00	1.52238	1.52390	1.51230	1.51708	1.51896	1.52014	1.50783	1.51273
2016/12/23 17:00:00	1.51260	1.52374	1.51089	1.52238	1.51140	1.52351	1.51074	1.51896
2016/12/22 17:00:00	1.51170	1.51766	1.50806	1.51260	1.51060	1.51761	1.50710	1.51140
2016/12/21 17:00:00	1.50280	1.51270	1.49769	1.51170	1.50162	1.51212	1.49745	1.51060
2016/12/20 17:00:00	1.50190	1.50640	1.49954	1.50280	1.50100	1.50624	1.49917	1.50162
2016/12/19 17:00:00	1.49947	1.50576	1.49678	1.50190	1.49766	1.50557	1.49661	1.50100
2016/12/16 17:00:00	1.48010	1.50364	1.47764	1.50324	1.47900	1.50188	1.47394	1.50079
2016/12/15 17:00:00	1.48090	1.48319	1.47309	1.48010	1.47980	1.48308	1.47292	1.47900
2016/12/14 17:00:00	1.47540	1.48148	1.47163	1.48090	1.47430	1.48122	1.47058	1.47980
2016/12/13 17:00:00	1.48013	1.48109	1.46932	1.47540	1.47756	1.48094	1.46917	1.47430
2016/12/12 17:00:00	1.47831	1.48232	1.47362	1.48013	1.47694	1.48171	1.47348	1.47756
2016/12/09 17:00:00	1.48034	1.48238	1.47220	1.48170	1.47890	1.48227	1.47208	1.47878
2016/12/08 17:00:00	1.50120	1.50976	1.47684	1.48034	1.50030	1.50916	1.47661	1.47890
2016/12/07 17:00:00	1.50560	1.50970	1.50076	1.50120	1.50497	1.50871	1.50011	1.50030
2016/12/06 17:00:00	1.50780	1.51681	1.50248	1.50560	1.50700	1.51620	1.50213	1.50497
2016/12/05 17:00:00	1.49741	1.51412	1.47797	1.50780	1.49348	1.51395	1.47720	1.50700
2016/12/02 17:00:00	1.50470	1.50694	1.49239	1.49527	1.50340	1.50677	1.49130	1.49209
2016/12/01 17:00:00	1.49580	1.50696	1.49405	1.50470	1.49430	1.50680	1.49386	1.50340
2016/11/30 17:00:00	1.49480	1.49795	1.48404	1.49580	1.49400	1.49773	1.48388	1.49430
2016/11/29 17:00:00	1.50100	1.50110	1.49012	1.49480	1.50030	1.50030	1.48995	1.49400
