日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/12/29 17:00:00	3.69156	3.71180	3.68870	3.69367	3.68162	3.70980	3.68004	3.69291
2016/12/28 17:00:00	3.68750	3.70360	3.67994	3.69156	3.68150	3.70235	3.67661	3.68162
2016/12/27 17:00:00	3.67620	3.69190	3.66480	3.68750	3.66840	3.68981	3.66026	3.68150
2016/12/26 17:00:00	3.69026	3.69026	3.67320	3.67620	3.66588	3.67560	3.66510	3.66840
2016/12/23 17:00:00	3.67250	3.69026	3.66420	3.69026	3.66290	3.67736	3.65794	3.66588
2016/12/22 17:00:00	3.66270	3.68810	3.66150	3.67250	3.65510	3.68680	3.65510	3.66290
2016/12/21 17:00:00	3.66930	3.68171	3.64700	3.66270	3.66280	3.67770	3.64589	3.65510
2016/12/20 17:00:00	3.68012	3.68734	3.63864	3.66930	3.67152	3.68234	3.63739	3.66280
2016/12/19 17:00:00	3.66557	3.69919	3.64824	3.68012	3.64422	3.69328	3.63950	3.67152
2016/12/16 17:00:00	3.66150	3.68347	3.64812	3.67170	3.65690	3.67217	3.64404	3.65710
2016/12/15 17:00:00	3.72643	3.73698	3.65197	3.66150	3.71438	3.72598	3.64980	3.65690
2016/12/14 17:00:00	3.71290	3.72995	3.67450	3.72643	3.70720	3.72602	3.64815	3.71438
2016/12/13 17:00:00	3.69250	3.73329	3.67164	3.71290	3.68770	3.73131	3.67080	3.70720
2016/12/12 17:00:00	3.69347	3.75145	3.68807	3.69250	3.66406	3.74904	3.66406	3.68770
2016/12/09 17:00:00	3.65950	3.70291	3.63745	3.67703	3.65380	3.69962	3.63590	3.66779
2016/12/08 17:00:00	3.65293	3.73739	3.61000	3.65950	3.63977	3.72871	3.60900	3.65380
2016/12/07 17:00:00	3.70075	3.70857	3.63968	3.65293	3.68844	3.70730	3.63860	3.63977
2016/12/06 17:00:00	3.79520	3.81894	3.68040	3.70075	3.78700	3.80897	3.67936	3.68844
2016/12/05 17:00:00	3.76734	3.80885	3.71990	3.79520	3.71119	3.80768	3.69555	3.78700
2016/12/02 17:00:00	3.74190	3.85087	3.71941	3.76847	3.73340	3.82987	3.71873	3.73570
2016/12/01 17:00:00	3.64200	3.74355	3.64120	3.74190	3.63820	3.73887	3.63440	3.73340
2016/11/30 17:00:00	3.63200	3.64961	3.62633	3.64200	3.62970	3.64894	3.62300	3.63820
2016/11/29 17:00:00	3.62890	3.64185	3.61940	3.63200	3.62250	3.63900	3.61640	3.62970
2016/11/28 17:00:00	3.66660	3.67335	3.61805	3.62890	3.64980	3.66548	3.61692	3.62250
2016/11/25 17:00:00	3.64340	3.67250	3.63860	3.65886	3.63330	3.67062	3.63064	3.64747
2016/11/24 17:00:00	3.58500	3.66004	3.56510	3.64340	3.58090	3.65380	3.56300	3.63330
2016/11/23 17:00:00	3.60240	3.61281	3.58109	3.58500	3.59280	3.61201	3.57880	3.58090
2016/11/22 17:00:00	3.57820	3.60570	3.56509	3.60240	3.57070	3.60284	3.56370	3.59280
2016/11/21 17:00:00	3.58419	3.61208	3.56762	3.57820	3.56701	3.60924	3.55773	3.57070
2016/11/18 17:00:00	3.59028	3.61290	3.56476	3.57200	3.57669	3.61160	3.55910	3.56350
2016/11/17 17:00:00	3.55630	3.59320	3.54812	3.59028	3.55070	3.59200	3.54584	3.57669
2016/11/16 17:00:00	3.53310	3.56420	3.52480	3.55630	3.52280	3.56316	3.51547	3.55070
2016/11/15 17:00:00	3.53860	3.54388	3.51800	3.53310	3.52890	3.53970	3.51690	3.52280
2016/11/14 17:00:00	3.54134	3.55635	3.51030	3.53860	3.51931	3.55513	3.49561	3.52890
2016/11/11 17:00:00	3.54380	3.56731	3.51310	3.54134	3.53800	3.56584	3.51050	3.51931
2016/11/10 17:00:00	3.50800	3.55261	3.49016	3.54380	3.50040	3.55085	3.48930	3.53800
2016/11/09 17:00:00	3.48450	3.71261	3.47700	3.50800	3.47760	3.69065	3.47196	3.50040
2016/11/08 17:00:00	3.50170	3.52450	3.47902	3.48450	3.49450	3.52372	3.46942	3.47760
2016/11/07 17:00:00	3.49574	3.51644	3.47920	3.50170	3.47505	3.51134	3.47072	3.49450
2016/11/04 17:00:00	3.45730	3.53200	3.45495	3.52020	3.45490	3.53080	3.45300	3.51510
2016/11/03 17:00:00	3.45800	3.47790	3.44007	3.45730	3.45490	3.47630	3.43935	3.45490
2016/11/02 17:00:00	3.44280	3.47466	3.44127	3.45800	3.43910	3.47378	3.43870	3.45490
2016/11/01 17:00:00	3.39890	3.45698	3.39252	3.44280	3.39660	3.45611	3.39080	3.43910
2016/10/31 17:00:00	3.43735	3.43910	3.39270	3.39890	3.40903	3.41991	3.39202	3.39660
2016/10/28 17:00:00	3.39670	3.42475	3.38940	3.41800	3.39350	3.42306	3.38790	3.40990
2016/10/27 17:00:00	3.36330	3.40168	3.36231	3.39670	3.36080	3.40098	3.35967	3.39350
2016/10/26 17:00:00	3.34580	3.37753	3.34240	3.36330	3.34290	3.37685	3.33980	3.36080
2016/10/25 17:00:00	3.35560	3.36336	3.33927	3.34580	3.34830	3.36233	3.33860	3.34290
2016/10/24 17:00:00	3.36370	3.37228	3.34327	3.35560	3.34756	3.35894	3.33990	3.34830
