日時	"EUR/USD(始値, 買い)"	"EUR/USD(高値, 買い)"	"EUR/USD(安値, 買い)"	"EUR/USD(終値, 買い)"	"EUR/USD(始値, 売り)*"	"EUR/USD(高値, 売り)*"	"EUR/USD(安値, 売り)*"	"EUR/USD(終値, 売り)*"
2017/01/09 17:00:00	1.05319	1.05564	1.05170	1.05402	1.05291	1.05560	1.05164	1.05398
2017/01/06 17:00:00	1.06085	1.06241	1.05251	1.05372	1.06050	1.06220	1.05250	1.05319
2017/01/05 17:00:00	1.04922	1.06155	1.04811	1.06085	1.04864	1.06152	1.04807	1.06050
2017/01/04 17:00:00	1.04065	1.05004	1.03897	1.04922	1.04048	1.04999	1.03897	1.04864
2017/01/03 17:00:00	1.05295	1.05295	1.03406	1.04065	1.05174	1.05174	1.03402	1.04048
2016/12/30 17:00:00	1.04916	1.06607	1.04852	1.05295	1.04883	1.06542	1.04833	1.05174
2016/12/29 17:00:00	1.04182	1.04943	1.04090	1.04916	1.04088	1.04940	1.04080	1.04883
2016/12/28 17:00:00	1.04593	1.04802	1.03724	1.04182	1.04571	1.04799	1.03721	1.04088
2016/12/27 17:00:00	1.04601	1.04637	1.04327	1.04593	1.04489	1.04632	1.04321	1.04571
2016/12/23 17:00:00	1.04383	1.04695	1.04268	1.04601	1.04349	1.04687	1.04265	1.04489
2016/12/22 17:00:00	1.04250	1.04999	1.04239	1.04383	1.04233	1.04996	1.04231	1.04349
2016/12/21 17:00:00	1.03909	1.04514	1.03827	1.04250	1.03859	1.04511	1.03823	1.04233
2016/12/20 17:00:00	1.04039	1.04184	1.03524	1.03909	1.04021	1.04179	1.03522	1.03859
2016/12/19 17:00:00	1.04442	1.04798	1.03928	1.04039	1.04383	1.04794	1.03923	1.04021
2016/12/16 17:00:00	1.04151	1.04746	1.04009	1.04583	1.04123	1.04741	1.04006	1.04515
2016/12/15 17:00:00	1.05371	1.05398	1.03667	1.04151	1.05333	1.05395	1.03664	1.04123
2016/12/14 17:00:00	1.06265	1.06703	1.04963	1.05371	1.06235	1.06701	1.04961	1.05333
2016/12/13 17:00:00	1.06348	1.06674	1.06040	1.06265	1.06340	1.06668	1.06037	1.06235
2016/12/12 17:00:00	1.05348	1.06519	1.05256	1.06348	1.05302	1.06516	1.05253	1.06340
2016/12/09 17:00:00	1.06168	1.06299	1.05310	1.05631	1.06122	1.06296	1.05307	1.05540
2016/12/08 17:00:00	1.07533	1.08747	1.05975	1.06168	1.07520	1.08734	1.05971	1.06122
2016/12/07 17:00:00	1.07191	1.07685	1.07100	1.07533	1.07163	1.07682	1.07098	1.07520
2016/12/06 17:00:00	1.07647	1.07856	1.06987	1.07191	1.07632	1.07852	1.06982	1.07163
2016/12/05 17:00:00	1.06684	1.07966	1.05068	1.07647	1.06656	1.07962	1.05047	1.07632
2016/12/02 17:00:00	1.06623	1.06904	1.06255	1.06691	1.06595	1.06899	1.06251	1.06585
2016/12/01 17:00:00	1.05896	1.06689	1.05846	1.06623	1.05868	1.06689	1.05843	1.06595
