日時	"GBP/CAD(始値, 買い)"	"GBP/CAD(高値, 買い)"	"GBP/CAD(安値, 買い)"	"GBP/CAD(終値, 買い)"	"GBP/CAD(始値, 売り)*"	"GBP/CAD(高値, 売り)*"	"GBP/CAD(安値, 売り)*"	"GBP/CAD(終値, 売り)*"
2017/01/09 17:00:00	1.62402	1.62568	1.60649	1.61132	1.62171	1.62532	1.60630	1.61118
2017/01/06 17:00:00	1.64344	1.64411	1.62333	1.62779	1.64146	1.64392	1.62319	1.62551
2017/01/05 17:00:00	1.63979	1.64471	1.63179	1.64344	1.63892	1.64451	1.63168	1.64146
2017/01/04 17:00:00	1.64371	1.65032	1.63321	1.63979	1.64264	1.64997	1.63306	1.63892
2017/01/03 17:00:00	1.66159	1.66159	1.63913	1.64371	1.65796	1.65796	1.63902	1.64264
2016/12/30 17:00:00	1.65636	1.66459	1.65324	1.66159	1.65474	1.66451	1.65281	1.65796
2016/12/29 17:00:00	1.65800	1.66021	1.64804	1.65636	1.65735	1.65984	1.64784	1.65474
2016/12/28 17:00:00	1.66611	1.66908	1.65425	1.65800	1.66481	1.66889	1.65404	1.65735
2016/12/27 17:00:00	1.66488	1.66677	1.65578	1.66611	1.66205	1.66651	1.65569	1.66481
2016/12/23 17:00:00	1.65676	1.66495	1.65222	1.66488	1.65553	1.66416	1.65208	1.66205
2016/12/22 17:00:00	1.65727	1.66626	1.65505	1.65676	1.65652	1.66603	1.65487	1.65553
2016/12/21 17:00:00	1.65352	1.65837	1.64876	1.65727	1.65295	1.65828	1.64861	1.65652
2016/12/20 17:00:00	1.66223	1.66575	1.64881	1.65352	1.66117	1.66430	1.64869	1.65295
2016/12/19 17:00:00	1.66776	1.66942	1.65422	1.66223	1.66310	1.66921	1.65403	1.66117
2016/12/16 17:00:00	1.65669	1.66947	1.65184	1.66583	1.65553	1.66930	1.65162	1.66467
2016/12/15 17:00:00	1.66935	1.67278	1.65617	1.65669	1.66829	1.67262	1.65523	1.65553
2016/12/14 17:00:00	1.66240	1.67797	1.65670	1.66935	1.66181	1.67416	1.65656	1.66829
2016/12/13 17:00:00	1.66549	1.67006	1.66059	1.66240	1.66337	1.66991	1.66043	1.66181
2016/12/12 17:00:00	1.65336	1.66871	1.64968	1.66549	1.65196	1.66852	1.64956	1.66337
2016/12/09 17:00:00	1.66064	1.66380	1.65349	1.65816	1.65971	1.66366	1.65337	1.65554
2016/12/08 17:00:00	1.67106	1.67934	1.65775	1.66064	1.67045	1.67922	1.65757	1.65971
2016/12/07 17:00:00	1.68342	1.68424	1.66775	1.67106	1.68308	1.68407	1.66757	1.67045
2016/12/06 17:00:00	1.69013	1.69869	1.68128	1.68342	1.68927	1.69856	1.68111	1.68308
2016/12/05 17:00:00	1.68768	1.69765	1.68243	1.69013	1.68383	1.69718	1.67850	1.68927
2016/12/02 17:00:00	1.67744	1.69404	1.67235	1.69404	1.67672	1.69265	1.67210	1.69118
2016/12/01 17:00:00	1.68058	1.69831	1.67150	1.67744	1.68017	1.69811	1.67137	1.67672
2016/11/30 17:00:00	1.67826	1.68247	1.66157	1.68058	1.67754	1.68230	1.66142	1.68017
2016/11/29 17:00:00	1.66568	1.68424	1.66255	1.67826	1.66483	1.68410	1.66171	1.67754
2016/11/28 17:00:00	1.68384	1.68806	1.66218	1.66568	1.68098	1.68777	1.66205	1.66483
2016/11/25 17:00:00	1.68136	1.69047	1.67420	1.68987	1.67838	1.68899	1.67403	1.68702
2016/11/24 17:00:00	1.67892	1.68516	1.67677	1.68136	1.67716	1.68499	1.67473	1.67838
2016/11/23 17:00:00	1.66990	1.68100	1.66252	1.67892	1.66961	1.68084	1.66242	1.67716
2016/11/22 17:00:00	1.67700	1.67794	1.66122	1.66990	1.67589	1.67715	1.66103	1.66961
2016/11/21 17:00:00	1.66827	1.68327	1.65695	1.67700	1.66420	1.68293	1.65684	1.67589
2016/11/18 17:00:00	1.68013	1.68403	1.66352	1.67053	1.67710	1.68384	1.66334	1.66645
2016/11/17 17:00:00	1.67335	1.68079	1.66693	1.68013	1.67264	1.68044	1.66663	1.67710
2016/11/16 17:00:00	1.67505	1.68115	1.66700	1.67335	1.67483	1.68101	1.66690	1.67264
2016/11/15 17:00:00	1.69472	1.69634	1.66831	1.67505	1.69132	1.69533	1.66816	1.67483
2016/11/14 17:00:00	1.69858	1.70438	1.68858	1.69472	1.69567	1.70427	1.68842	1.69132
2016/11/11 17:00:00	1.69116	1.71219	1.68886	1.70938	1.69078	1.71203	1.68825	1.70472
2016/11/10 17:00:00	1.66566	1.69374	1.66217	1.69116	1.66513	1.69351	1.66201	1.69078
2016/11/09 17:00:00	1.64565	1.69689	1.64017	1.66566	1.64431	1.69661	1.63982	1.66513
2016/11/08 17:00:00	1.65705	1.66261	1.64314	1.64565	1.65613	1.66246	1.64295	1.64431
2016/11/07 17:00:00	1.66458	1.67223	1.65595	1.65705	1.66071	1.67184	1.65579	1.65613
2016/11/04 17:00:00	1.66961	1.68547	1.66903	1.67850	1.66895	1.68529	1.66815	1.67726
2016/11/03 17:00:00	1.64793	1.67287	1.64658	1.66961	1.64759	1.67280	1.64614	1.66895
2016/11/02 17:00:00	1.63940	1.65274	1.63748	1.64793	1.63903	1.65262	1.63721	1.64759
2016/11/01 17:00:00	1.64206	1.64392	1.63272	1.63940	1.64132	1.64380	1.63198	1.63903
2016/10/31 17:00:00	1.63546	1.64381	1.62702	1.64206	1.63481	1.64364	1.62687	1.64132
2016/10/28 17:00:00	1.62887	1.63752	1.62167	1.63427	1.62773	1.63728	1.62152	1.63155
2016/10/27 17:00:00	1.63868	1.64003	1.62732	1.62887	1.63833	1.63981	1.62722	1.62773
2016/10/26 17:00:00	1.62760	1.63922	1.62295	1.63868	1.62695	1.63886	1.62288	1.63833
2016/10/25 17:00:00	1.62651	1.63298	1.61268	1.62760	1.62574	1.63242	1.61252	1.62695
2016/10/24 17:00:00	1.63034	1.63647	1.62621	1.62651	1.62794	1.63636	1.62574	1.62574
2016/10/21 17:00:00	1.62168	1.63295	1.61049	1.63239	1.62053	1.63262	1.61031	1.63060
2016/10/20 17:00:00	1.61152	1.62178	1.61006	1.62168	1.61084	1.62153	1.60939	1.62053
2016/10/19 17:00:00	1.61253	1.61429	1.59892	1.61152	1.61144	1.61419	1.59877	1.61084
2016/10/18 17:00:00	1.60001	1.61731	1.59849	1.61253	1.59914	1.61717	1.59826	1.61144
2016/10/17 17:00:00	1.59832	1.60618	1.59395	1.60001	1.59420	1.60601	1.59381	1.59914
