日時	"GBP/CHF(始値, 買い)"	"GBP/CHF(高値, 買い)"	"GBP/CHF(安値, 買い)"	"GBP/CHF(終値, 買い)"	"GBP/CHF(始値, 売り)*"	"GBP/CHF(高値, 売り)*"	"GBP/CHF(安値, 売り)*"	"GBP/CHF(終値, 売り)*"
2017/01/09 17:00:00	1.24708	1.24843	1.23573	1.23583	1.24515	1.24824	1.23559	1.23571
2017/01/06 17:00:00	1.25497	1.25624	1.24764	1.25187	1.25322	1.25494	1.24748	1.24932
2017/01/05 17:00:00	1.25938	1.26079	1.24901	1.25497	1.25659	1.25853	1.24889	1.25322
2017/01/04 17:00:00	1.25801	1.26177	1.25607	1.25938	1.25651	1.26167	1.25572	1.25659
2017/01/03 17:00:00	1.25929	1.26630	1.25542	1.25801	1.25615	1.26618	1.25532	1.25651
2016/12/30 17:00:00	1.25579	1.25961	1.23647	1.25929	1.25367	1.25948	1.23433	1.25615
2016/12/29 17:00:00	1.25783	1.25918	1.24898	1.25579	1.25648	1.25864	1.24884	1.25367
2016/12/28 17:00:00	1.26208	1.26322	1.25619	1.25783	1.26042	1.26307	1.25596	1.25648
2016/12/27 17:00:00	1.26238	1.26365	1.25946	1.26208	1.26045	1.26348	1.25933	1.26042
2016/12/23 17:00:00	1.26038	1.26291	1.25456	1.26238	1.25903	1.26257	1.25442	1.26045
2016/12/22 17:00:00	1.26887	1.26979	1.25922	1.26038	1.26821	1.26937	1.25894	1.25903
2016/12/21 17:00:00	1.27441	1.27475	1.26504	1.26887	1.27069	1.27264	1.26492	1.26821
2016/12/20 17:00:00	1.27596	1.27668	1.26869	1.27441	1.27228	1.27526	1.26859	1.27069
2016/12/19 17:00:00	1.28356	1.28391	1.26533	1.27596	1.28018	1.28311	1.26522	1.27228
2016/12/16 17:00:00	1.27983	1.28319	1.27511	1.28213	1.27857	1.28306	1.27496	1.28124
2016/12/15 17:00:00	1.28235	1.28935	1.27861	1.27983	1.28123	1.28916	1.27830	1.27857
2016/12/14 17:00:00	1.28197	1.28904	1.27657	1.28235	1.28070	1.28716	1.27648	1.28123
2016/12/13 17:00:00	1.28565	1.28968	1.27986	1.28197	1.28316	1.28956	1.27977	1.28070
2016/12/12 17:00:00	1.28308	1.28836	1.27674	1.28565	1.27944	1.28825	1.27664	1.28316
2016/12/09 17:00:00	1.27948	1.28486	1.27626	1.28012	1.27877	1.28476	1.27613	1.27849
2016/12/08 17:00:00	1.27352	1.28212	1.27074	1.27948	1.26985	1.28199	1.26985	1.27877
2016/12/07 17:00:00	1.28127	1.28171	1.26825	1.27352	1.28011	1.28115	1.26810	1.26985
2016/12/06 17:00:00	1.28202	1.28937	1.27906	1.28127	1.28054	1.28926	1.27890	1.28011
2016/12/05 17:00:00	1.28472	1.29162	1.27916	1.28202	1.28236	1.29143	1.27727	1.28054
2016/12/02 17:00:00	1.27279	1.28844	1.27012	1.28805	1.27194	1.28702	1.26992	1.28610
2016/12/01 17:00:00	1.27311	1.28694	1.26945	1.27279	1.27102	1.28685	1.26934	1.27194
2016/11/30 17:00:00	1.26417	1.27510	1.25933	1.27311	1.26336	1.27507	1.25916	1.27102
2016/11/29 17:00:00	1.25852	1.26991	1.25588	1.26417	1.25725	1.26980	1.25517	1.26336
2016/11/28 17:00:00	1.26197	1.26558	1.25465	1.25852	1.25897	1.26433	1.25448	1.25725
2016/11/25 17:00:00	1.26718	1.26805	1.25666	1.26616	1.26446	1.26749	1.25654	1.26245
2016/11/24 17:00:00	1.26607	1.26918	1.26251	1.26718	1.26250	1.26907	1.26223	1.26446
2016/11/23 17:00:00	1.25658	1.26773	1.24867	1.26607	1.25601	1.26757	1.24858	1.26250
2016/11/22 17:00:00	1.26083	1.26271	1.25277	1.25658	1.25965	1.26258	1.25266	1.25601
2016/11/21 17:00:00	1.24895	1.26239	1.24287	1.26083	1.24609	1.26224	1.24277	1.25965
2016/11/18 17:00:00	1.25128	1.25640	1.24007	1.24963	1.24978	1.25627	1.23995	1.24639
2016/11/17 17:00:00	1.24738	1.25229	1.24247	1.25128	1.24655	1.25217	1.24229	1.24978
2016/11/16 17:00:00	1.24788	1.25212	1.24561	1.24738	1.24766	1.25201	1.24547	1.24655
2016/11/15 17:00:00	1.24702	1.25366	1.23382	1.24788	1.24559	1.25340	1.23372	1.24766
2016/11/14 17:00:00	1.24509	1.25169	1.23914	1.24702	1.24226	1.25158	1.23903	1.24559
2016/11/11 17:00:00	1.23933	1.25163	1.23698	1.24749	1.23834	1.25152	1.23683	1.24396
2016/11/10 17:00:00	1.22171	1.24194	1.21852	1.23933	1.22116	1.24176	1.21839	1.23834
2016/11/09 17:00:00	1.21150	1.22706	1.19618	1.22171	1.20995	1.22694	1.19596	1.22116
2016/11/08 17:00:00	1.20829	1.21325	1.20616	1.21150	1.20741	1.21315	1.20608	1.20995
2016/11/07 17:00:00	1.21789	1.21891	1.20775	1.20829	1.21694	1.21760	1.20730	1.20741
2016/11/04 17:00:00	1.21393	1.21717	1.21199	1.21279	1.21342	1.21704	1.21149	1.21163
2016/11/03 17:00:00	1.19772	1.21704	1.19566	1.21393	1.19737	1.21696	1.19554	1.21342
2016/11/02 17:00:00	1.19438	1.19991	1.19003	1.19772	1.19385	1.19987	1.18997	1.19737
2016/11/01 17:00:00	1.21123	1.21310	1.19128	1.19438	1.21071	1.21304	1.19119	1.19385
2016/10/31 17:00:00	1.20246	1.21285	1.20130	1.21123	1.20184	1.21273	1.20120	1.21071
2016/10/28 17:00:00	1.20909	1.21108	1.20289	1.20547	1.20814	1.21096	1.20256	1.20316
2016/10/27 17:00:00	1.21688	1.21852	1.20795	1.20909	1.21639	1.21836	1.20785	1.20814
2016/10/26 17:00:00	1.21229	1.21719	1.20853	1.21688	1.21165	1.21688	1.20842	1.21639
2016/10/25 17:00:00	1.21637	1.22167	1.20626	1.21229	1.21553	1.22154	1.20614	1.21165
2016/10/24 17:00:00	1.21702	1.21779	1.21005	1.21637	1.21492	1.21766	1.20996	1.21553
2016/10/21 17:00:00	1.21754	1.21894	1.21093	1.21568	1.21583	1.21880	1.21080	1.21463
2016/10/20 17:00:00	1.21539	1.21758	1.20397	1.21754	1.21468	1.21743	1.20380	1.21583
2016/10/19 17:00:00	1.21774	1.21950	1.21246	1.21539	1.21669	1.21940	1.21236	1.21468
2016/10/18 17:00:00	1.20551	1.22023	1.20445	1.21774	1.20466	1.22013	1.20373	1.21669
2016/10/17 17:00:00	1.20415	1.20734	1.20048	1.20551	1.20344	1.20723	1.20038	1.20466
2016/10/14 17:00:00	1.20888	1.21341	1.20345	1.20701	1.20800	1.21331	1.20335	1.20610
2016/10/13 17:00:00	1.21006	1.21104	1.19958	1.20888	1.20645	1.21086	1.19939	1.20800
2016/10/12 17:00:00	1.19920	1.21816	1.19719	1.21006	1.19808	1.21795	1.19651	1.20645
2016/10/11 17:00:00	1.21499	1.21667	1.19569	1.19920	1.21413	1.21573	1.19549	1.19808
2016/10/10 17:00:00	1.21588	1.21997	1.21010	1.21499	1.21212	1.21985	1.20995	1.21413
2016/10/07 17:00:00	1.23764	1.23948	1.18006	1.21614	1.23682	1.23817	1.17837	1.21440
2016/10/06 17:00:00	1.24366	1.24481	1.23552	1.23764	1.24158	1.24473	1.23542	1.23682
2016/10/05 17:00:00	1.24649	1.24829	1.24059	1.24366	1.24545	1.24727	1.24047	1.24158
2016/10/04 17:00:00	1.25087	1.25374	1.24401	1.24649	1.24904	1.25364	1.24379	1.24545
2016/10/03 17:00:00	1.25699	1.25922	1.24748	1.25087	1.25611	1.25908	1.24741	1.24904
2016/09/30 17:00:00	1.25335	1.26674	1.25070	1.26213	1.25248	1.26531	1.25055	1.25867
2016/09/29 17:00:00	1.26483	1.26794	1.25247	1.25335	1.26274	1.26761	1.25210	1.25248
2016/09/28 17:00:00	1.26482	1.26747	1.26091	1.26483	1.26393	1.26735	1.26080	1.26274
2016/09/27 17:00:00	1.25789	1.26505	1.25320	1.26482	1.25710	1.26491	1.25310	1.26393
2016/09/26 17:00:00	1.25906	1.25989	1.25042	1.25789	1.25665	1.25975	1.25036	1.25710
2016/09/23 17:00:00	1.26741	1.26927	1.25497	1.25969	1.26624	1.26839	1.25486	1.25664
2016/09/22 17:00:00	1.27045	1.27095	1.26159	1.26741	1.26846	1.27070	1.26137	1.26624
2016/09/21 17:00:00	1.27213	1.27356	1.26445	1.27045	1.27149	1.27341	1.26425	1.26846
2016/09/20 17:00:00	1.27761	1.27957	1.26661	1.27213	1.27658	1.27944	1.26654	1.27149
2016/09/19 17:00:00	1.27649	1.28319	1.27377	1.27761	1.27279	1.28301	1.27256	1.27658
2016/09/16 17:00:00	1.28684	1.28760	1.27436	1.27561	1.28605	1.28737	1.27318	1.27365
2016/09/15 17:00:00	1.28897	1.29268	1.28151	1.28684	1.28750	1.29244	1.28005	1.28605
2016/09/14 17:00:00	1.28952	1.29427	1.28098	1.28897	1.28685	1.29416	1.28086	1.28750
2016/09/13 17:00:00	1.29692	1.29704	1.28187	1.28952	1.29561	1.29666	1.28176	1.28685
2016/09/12 17:00:00	1.29383	1.29728	1.29179	1.29692	1.29241	1.29713	1.29163	1.29561
2016/09/09 17:00:00	1.29396	1.29885	1.29274	1.29499	1.29219	1.29873	1.29183	1.29339
2016/09/08 17:00:00	1.29421	1.29536	1.28643	1.29396	1.29353	1.29526	1.28613	1.29219
2016/09/07 17:00:00	1.30355	1.30386	1.29222	1.29421	1.30254	1.30310	1.29206	1.29353
2016/09/06 17:00:00	1.30404	1.31269	1.30190	1.30355	1.30333	1.31208	1.30174	1.30254
2016/09/05 17:00:00	1.30538	1.30865	1.30051	1.30404	1.30230	1.30853	1.30039	1.30333
2016/09/02 17:00:00	1.30067	1.30720	1.29756	1.30482	1.30021	1.30707	1.29642	1.30253
2016/09/01 17:00:00	1.29298	1.30855	1.29134	1.30067	1.29219	1.30839	1.29116	1.30021
2016/08/31 17:00:00	1.28759	1.29445	1.28529	1.29298	1.28597	1.29431	1.28513	1.29219
2016/08/30 17:00:00	1.28238	1.28855	1.27920	1.28759	1.28169	1.28843	1.27907	1.28597
2016/08/29 17:00:00	1.28386	1.28571	1.27909	1.28238	1.28206	1.28470	1.27897	1.28169
2016/08/26 17:00:00	1.27737	1.28574	1.27491	1.28558	1.27589	1.28534	1.27476	1.28362
2016/08/25 17:00:00	1.27981	1.28204	1.27253	1.27737	1.27922	1.28179	1.27240	1.27589
2016/08/24 17:00:00	1.27225	1.28346	1.26882	1.27981	1.27068	1.28332	1.26870	1.27922
2016/08/23 17:00:00	1.26463	1.27236	1.26284	1.27225	1.26408	1.27144	1.26271	1.27068
2016/08/22 17:00:00	1.25799	1.26508	1.25495	1.26463	1.25428	1.26498	1.25341	1.26408
2016/08/19 17:00:00	1.25752	1.25840	1.24756	1.25677	1.25557	1.25827	1.24743	1.25337
2016/08/18 17:00:00	1.25573	1.26283	1.25164	1.25752	1.25401	1.26270	1.25151	1.25557
2016/08/17 17:00:00	1.25547	1.25710	1.25111	1.25573	1.25291	1.25694	1.25096	1.25401
2016/08/16 17:00:00	1.25406	1.25585	1.24498	1.25547	1.25254	1.25567	1.24423	1.25291
2016/08/15 17:00:00	1.26148	1.26251	1.24998	1.25406	1.25778	1.26234	1.24982	1.25254
2016/08/12 17:00:00	1.26433	1.26787	1.25772	1.25991	1.26349	1.26763	1.25752	1.25798
2016/08/11 17:00:00	1.26985	1.27081	1.25914	1.26433	1.26761	1.26908	1.25902	1.26349
2016/08/10 17:00:00	1.27656	1.28215	1.26827	1.26985	1.27546	1.28191	1.26761	1.26761
2016/08/09 17:00:00	1.28141	1.28293	1.27370	1.27656	1.28077	1.28195	1.27357	1.27546
2016/08/08 17:00:00	1.28315	1.28494	1.27840	1.28141	1.28034	1.28482	1.27825	1.28077
2016/08/05 17:00:00	1.27726	1.28486	1.27641	1.28269	1.27630	1.28281	1.27570	1.28069
2016/08/04 17:00:00	1.29705	1.30079	1.27580	1.27726	1.29649	1.29904	1.27567	1.27630
2016/08/03 17:00:00	1.28821	1.29719	1.28401	1.29705	1.28749	1.29685	1.28384	1.29649
2016/08/02 17:00:00	1.27894	1.28888	1.27365	1.28821	1.27536	1.28871	1.27348	1.28749
2016/08/01 17:00:00	1.28477	1.28660	1.27422	1.27894	1.28192	1.28633	1.27411	1.27536
2016/07/29 17:00:00	1.29185	1.29479	1.27679	1.28324	1.29089	1.29466	1.27665	1.28126
2016/07/28 17:00:00	1.30415	1.30524	1.28750	1.29185	1.30345	1.30496	1.28739	1.29089
2016/07/27 17:00:00	1.30364	1.30829	1.29883	1.30415	1.30276	1.30794	1.29864	1.30345
2016/07/26 17:00:00	1.29606	1.30575	1.28689	1.30364	1.29482	1.30569	1.28672	1.30276
2016/07/25 17:00:00	1.29976	1.30045	1.29233	1.29606	1.29664	1.30027	1.29213	1.29482
2016/07/22 17:00:00	1.30518	1.31032	1.28970	1.29607	1.30426	1.30999	1.28959	1.29338
2016/07/21 17:00:00	1.30509	1.31059	1.29788	1.30518	1.30324	1.31043	1.29767	1.30426
2016/07/20 17:00:00	1.29285	1.30530	1.28914	1.30509	1.29166	1.30502	1.28896	1.30324
2016/07/19 17:00:00	1.30260	1.30474	1.28848	1.29285	1.30174	1.30446	1.28829	1.29166
2016/07/18 17:00:00	1.29809	1.30888	1.29677	1.30260	1.29469	1.30872	1.29427	1.30174
2016/07/15 17:00:00	1.30898	1.32085	1.29186	1.29770	1.30822	1.32055	1.29089	1.29420
2016/07/14 17:00:00	1.29561	1.32115	1.28973	1.30898	1.29490	1.32091	1.28947	1.30822
2016/07/13 17:00:00	1.31039	1.31868	1.29209	1.29561	1.30988	1.31826	1.29188	1.29490
2016/07/12 17:00:00	1.27811	1.31182	1.27506	1.31039	1.27439	1.31154	1.27272	1.30988
2016/07/11 17:00:00	1.27359	1.28064	1.26500	1.27811	1.26999	1.28061	1.26485	1.27439
2016/07/08 17:00:00	1.26431	1.27780	1.26112	1.27450	1.26029	1.27760	1.25957	1.27024
2016/07/07 17:00:00	1.26148	1.27491	1.25614	1.26431	1.25990	1.27471	1.25569	1.26029
2016/07/06 17:00:00	1.27236	1.27326	1.25168	1.26148	1.27147	1.27277	1.25084	1.25990
2016/07/05 17:00:00	1.29275	1.29275	1.26780	1.27236	1.28838	1.29002	1.26755	1.27147
2016/07/04 17:00:00	1.29248	1.29643	1.28879	1.29275	1.28747	1.29609	1.28747	1.28838
2016/07/01 17:00:00	1.29977	1.30338	1.28975	1.29570	1.29867	1.30301	1.28843	1.28843
2016/06/30 17:00:00	1.31643	1.32053	1.29215	1.29977	1.31528	1.32023	1.29191	1.29867
2016/06/29 17:00:00	1.31097	1.32612	1.30341	1.31643	1.30978	1.32591	1.30301	1.31528
2016/06/28 17:00:00	1.29452	1.31399	1.29216	1.31097	1.29345	1.31383	1.29089	1.30978
2016/06/27 17:00:00	1.31543	1.31805	1.28513	1.29452	1.30833	1.31180	1.28484	1.29345
2016/06/24 17:00:00	1.42951	1.44807	1.28714	1.33590	1.42045	1.44682	1.28517	1.32549
2016/06/23 17:00:00	1.41084	1.43072	1.40984	1.42951	1.40573	1.42954	1.40548	1.42045
2016/06/22 17:00:00	1.41033	1.41493	1.40400	1.41084	1.40873	1.41395	1.40370	1.40573
2016/06/21 17:00:00	1.41821	1.41854	1.40549	1.41033	1.41046	1.41824	1.40528	1.40873
2016/06/20 17:00:00	1.39294	1.41874	1.39129	1.41821	1.38701	1.41589	1.38511	1.41046
2016/06/17 17:00:00	1.37100	1.38028	1.37019	1.37928	1.37033	1.37985	1.36881	1.37716
2016/06/16 17:00:00	1.36577	1.37583	1.35263	1.37100	1.36526	1.37548	1.35232	1.37033
2016/06/15 17:00:00	1.36030	1.37314	1.35869	1.36577	1.35897	1.37290	1.35654	1.36526
2016/06/14 17:00:00	1.37758	1.37758	1.35820	1.36030	1.37523	1.37523	1.35803	1.35897
2016/06/13 17:00:00	1.37774	1.38358	1.36177	1.37758	1.37468	1.38294	1.36155	1.37523
2016/06/10 17:00:00	1.39539	1.39564	1.36939	1.37620	1.39391	1.39519	1.36910	1.37376
2016/06/09 17:00:00	1.39167	1.39804	1.38640	1.39539	1.39099	1.39787	1.38619	1.39391
2016/06/08 17:00:00	1.40454	1.40609	1.39063	1.39167	1.40338	1.40588	1.39046	1.39099
2016/06/07 17:00:00	1.40231	1.42338	1.40166	1.40454	1.40098	1.42226	1.40026	1.40338
2016/06/06 17:00:00	1.41468	1.41468	1.40007	1.40231	1.41159	1.41394	1.39989	1.40098
2016/06/03 17:00:00	1.42912	1.43152	1.41646	1.41756	1.42778	1.43132	1.41508	1.41545
2016/06/02 17:00:00	1.42489	1.43204	1.42235	1.42912	1.42399	1.43080	1.42175	1.42778
2016/06/01 17:00:00	1.43968	1.44160	1.42242	1.42489	1.43893	1.44139	1.42228	1.42399
2016/05/31 17:00:00	1.45283	1.46062	1.43725	1.43968	1.45232	1.46047	1.43706	1.43893
2016/05/30 17:00:00	1.45362	1.45603	1.44826	1.45283	1.45199	1.45583	1.44813	1.45232
2016/05/27 17:00:00	1.45184	1.45557	1.44788	1.45544	1.45101	1.45419	1.44771	1.45331
2016/05/26 17:00:00	1.45698	1.46143	1.44979	1.45184	1.45649	1.46128	1.44966	1.45101
2016/05/25 17:00:00	1.45470	1.46026	1.44787	1.45698	1.45315	1.46011	1.44772	1.45649
2016/05/24 17:00:00	1.43348	1.45472	1.43243	1.45470	1.43281	1.45372	1.43172	1.45315
2016/05/23 17:00:00	1.43808	1.44203	1.43212	1.43348	1.43723	1.44188	1.43197	1.43281
2016/05/20 17:00:00	1.44791	1.44892	1.43558	1.43706	1.44701	1.44876	1.43491	1.43495
2016/05/19 17:00:00	1.44212	1.44925	1.43910	1.44791	1.44163	1.44910	1.43873	1.44701
2016/05/18 17:00:00	1.41853	1.44239	1.41578	1.44212	1.41756	1.44203	1.41566	1.44163
2016/05/17 17:00:00	1.40826	1.41971	1.40790	1.41853	1.40754	1.41958	1.40715	1.41756
2016/05/16 17:00:00	1.40151	1.40859	1.39933	1.40826	1.39834	1.40838	1.39822	1.40754
2016/05/13 17:00:00	1.40323	1.40365	1.39813	1.40180	1.40132	1.40346	1.39802	1.39971
2016/05/12 17:00:00	1.40339	1.40760	1.39797	1.40323	1.40247	1.40748	1.39785	1.40132
2016/05/11 17:00:00	1.40984	1.41065	1.40200	1.40339	1.40907	1.41034	1.40188	1.40247
2016/05/10 17:00:00	1.39965	1.41007	1.39866	1.40984	1.39881	1.40980	1.39847	1.40907
2016/05/09 17:00:00	1.40221	1.40447	1.39436	1.39965	1.40123	1.40390	1.39423	1.39881
2016/05/06 17:00:00	1.40194	1.40648	1.39811	1.40432	1.40152	1.40548	1.39796	1.40222
2016/05/05 17:00:00	1.38866	1.40442	1.38813	1.40194	1.38763	1.40429	1.38742	1.40152
2016/05/04 17:00:00	1.38759	1.39203	1.38191	1.38866	1.38671	1.39181	1.38173	1.38763
2016/05/03 17:00:00	1.40093	1.40428	1.38575	1.38759	1.39951	1.40407	1.38561	1.38671
2016/05/02 17:00:00	1.39925	1.40646	1.39857	1.40093	1.39599	1.40630	1.39579	1.39951
2016/04/29 17:00:00	1.41288	1.41404	1.40042	1.40274	1.41145	1.41317	1.40022	1.40064
2016/04/28 17:00:00	1.41270	1.41488	1.40567	1.41288	1.41175	1.41473	1.40551	1.41145
2016/04/27 17:00:00	1.42011	1.42110	1.41122	1.41270	1.41896	1.42095	1.41069	1.41175
2016/04/26 17:00:00	1.41251	1.42159	1.41188	1.42011	1.41155	1.42144	1.41063	1.41896
2016/04/25 17:00:00	1.41855	1.41855	1.40515	1.41251	1.41535	1.41602	1.40496	1.41155
2016/04/22 17:00:00	1.39690	1.41281	1.39552	1.41074	1.39655	1.41227	1.39466	1.40865
2016/04/21 17:00:00	1.39408	1.39818	1.38971	1.39690	1.39265	1.39795	1.38935	1.39655
2016/04/20 17:00:00	1.38531	1.39753	1.37986	1.39408	1.38445	1.39729	1.37951	1.39265
2016/04/19 17:00:00	1.37734	1.38573	1.37674	1.38531	1.37593	1.38557	1.37549	1.38445
2016/04/18 17:00:00	1.37226	1.37862	1.36573	1.37734	1.36907	1.37839	1.36561	1.37593
2016/04/15 17:00:00	1.36960	1.37616	1.36666	1.37604	1.36772	1.37565	1.36647	1.37397
2016/04/14 17:00:00	1.37375	1.37441	1.36418	1.36960	1.37303	1.37355	1.36262	1.36772
2016/04/13 17:00:00	1.36394	1.37462	1.36250	1.37375	1.36190	1.37440	1.36039	1.37303
2016/04/12 17:00:00	1.35975	1.36698	1.35574	1.36394	1.35760	1.36676	1.35562	1.36190
2016/04/11 17:00:00	1.34660	1.36299	1.34413	1.35975	1.34442	1.36279	1.34243	1.35760
2016/04/08 17:00:00	1.34403	1.35216	1.34300	1.34794	1.34292	1.35192	1.34214	1.34589
2016/04/07 17:00:00	1.35025	1.35161	1.34164	1.34403	1.34927	1.35135	1.34145	1.34292
2016/04/06 17:00:00	1.35446	1.35922	1.34439	1.35025	1.35335	1.35907	1.34424	1.34927
2016/04/05 17:00:00	1.36834	1.36954	1.35211	1.35446	1.36708	1.36840	1.35192	1.35335
2016/04/04 17:00:00	1.36438	1.37198	1.36171	1.36834	1.36091	1.37184	1.36042	1.36708
2016/04/01 17:00:00	1.38173	1.38259	1.36037	1.36499	1.38051	1.38201	1.35907	1.36234
2016/03/31 17:00:00	1.38787	1.38860	1.37547	1.38173	1.38708	1.38828	1.37535	1.38051
2016/03/30 17:00:00	1.39207	1.39357	1.38486	1.38787	1.38944	1.39334	1.38461	1.38708
2016/03/29 17:00:00	1.38887	1.39531	1.38427	1.39207	1.38767	1.39513	1.38414	1.38944
2016/03/28 17:00:00	1.38269	1.39146	1.38027	1.38887	1.37978	1.39117	1.37839	1.38767
2016/03/25 17:00:00	1.38164	1.38420	1.37864	1.38226	1.38022	1.38278	1.37712	1.37916
2016/03/24 17:00:00	1.37748	1.38328	1.37211	1.38164	1.37600	1.38307	1.37196	1.38022
2016/03/23 17:00:00	1.38240	1.38525	1.37286	1.37748	1.38156	1.38506	1.37270	1.37600
2016/03/22 17:00:00	1.39386	1.39647	1.37736	1.38240	1.39315	1.39624	1.37717	1.38156
2016/03/21 17:00:00	1.40170	1.40511	1.39206	1.39386	1.40045	1.40333	1.39186	1.39315
2016/03/18 17:00:00	1.40176	1.40578	1.39662	1.40428	1.40083	1.40563	1.39640	1.40218
2016/03/17 17:00:00	1.39441	1.40288	1.38850	1.40176	1.39189	1.40273	1.38836	1.40083
2016/03/16 17:00:00	1.39807	1.39836	1.39117	1.39441	1.39577	1.39772	1.39081	1.39189
2016/03/15 17:00:00	1.41272	1.41313	1.39384	1.39807	1.41131	1.41253	1.39367	1.39577
2016/03/14 17:00:00	1.41318	1.42057	1.41076	1.41272	1.41243	1.42043	1.41065	1.41131
2016/03/11 17:00:00	1.40694	1.41737	1.40356	1.41445	1.40607	1.41720	1.40326	1.41193
2016/03/10 17:00:00	1.41816	1.42812	1.40204	1.40694	1.41741	1.42801	1.40186	1.40607
2016/03/09 17:00:00	1.41669	1.42869	1.41437	1.41816	1.41523	1.42853	1.41332	1.41741
2016/03/08 17:00:00	1.42046	1.42109	1.40645	1.41669	1.41915	1.42050	1.40633	1.41523
2016/03/07 17:00:00	1.41400	1.42189	1.41076	1.42046	1.41026	1.42173	1.41026	1.41915
