日時	"GBP/JPY(始値, 買い)"	"GBP/JPY(高値, 買い)"	"GBP/JPY(安値, 買い)"	"GBP/JPY(終値, 買い)"	"GBP/JPY(始値, 売り)*"	"GBP/JPY(高値, 売り)*"	"GBP/JPY(安値, 売り)*"	"GBP/JPY(終値, 売り)*"
2017/01/09 17:00:00	143.368	143.871	142.516	142.542	143.319	143.855	142.503	142.530
2017/01/06 17:00:00	143.383	144.067	142.995	143.850	143.159	144.053	142.969	143.554
2017/01/05 17:00:00	144.591	144.673	142.509	143.383	144.427	144.657	142.491	143.159
2017/01/04 17:00:00	144.155	144.970	143.696	144.591	144.069	144.952	143.685	144.427
2017/01/03 17:00:00	144.600	145.408	143.538	144.155	144.285	145.399	143.519	144.069
2016/12/30 17:00:00	143.008	144.626	142.720	144.600	142.826	144.611	142.691	144.285
2016/12/29 17:00:00	143.386	143.461	142.185	143.008	143.323	143.323	142.170	142.826
2016/12/28 17:00:00	144.156	144.714	143.021	143.386	143.987	144.701	143.003	143.323
2016/12/27 17:00:00	144.292	144.292	143.600	144.156	143.973	144.261	143.589	143.987
2016/12/23 17:00:00	144.412	144.533	143.503	144.292	144.315	144.489	143.484	143.973
2016/12/22 17:00:00	145.283	145.603	144.329	144.412	145.211	145.582	144.309	144.315
2016/12/21 17:00:00	145.803	145.905	144.903	145.283	145.699	145.875	144.894	145.211
2016/12/20 17:00:00	145.189	146.368	144.941	145.803	145.083	146.357	144.920	145.699
2016/12/19 17:00:00	147.445	147.466	144.540	145.189	147.148	147.354	144.527	145.083
2016/12/16 17:00:00	146.828	147.389	146.280	147.301	146.698	147.320	146.261	147.197
2016/12/15 17:00:00	147.095	148.469	146.354	146.828	146.988	148.459	146.343	146.698
2016/12/14 17:00:00	145.809	147.311	145.209	147.095	145.777	147.293	145.201	146.988
2016/12/13 17:00:00	145.905	146.720	145.525	145.809	145.705	146.710	145.492	145.777
2016/12/12 17:00:00	145.173	146.389	144.927	145.905	145.097	146.377	144.913	145.705
2016/12/09 17:00:00	143.564	145.154	143.424	145.136	143.490	145.128	143.336	144.827
2016/12/08 17:00:00	143.695	144.486	143.099	143.564	143.582	144.464	143.082	143.490
2016/12/07 17:00:00	144.588	144.812	143.009	143.695	144.496	144.798	142.994	143.582
2016/12/06 17:00:00	144.996	145.639	144.175	144.588	144.879	145.626	144.158	144.496
2016/12/05 17:00:00	143.836	146.048	142.600	144.996	143.597	146.037	142.508	144.879
2016/12/02 17:00:00	143.710	144.681	142.926	144.643	143.597	144.659	142.911	144.347
2016/12/01 17:00:00	143.170	145.205	142.654	143.710	143.082	145.192	142.639	143.597
2016/11/30 17:00:00	140.411	143.271	139.992	143.170	140.355	143.257	139.974	143.082
2016/11/29 17:00:00	139.039	141.384	138.523	140.411	138.935	141.374	138.515	140.355
2016/11/28 17:00:00	140.750	141.011	138.879	139.039	140.439	140.934	138.858	138.935
2016/11/25 17:00:00	141.247	141.760	139.982	141.329	140.977	141.744	139.964	141.014
2016/11/24 17:00:00	140.105	141.320	139.680	141.247	139.883	141.297	139.612	140.977
2016/11/23 17:00:00	138.075	140.360	137.283	140.105	138.059	140.346	137.271	139.883
2016/11/22 17:00:00	138.586	138.858	137.636	138.075	138.353	138.845	137.623	138.059
2016/11/21 17:00:00	136.953	138.880	136.294	138.586	136.884	138.866	136.277	138.353
2016/11/18 17:00:00	136.840	137.597	135.422	137.131	136.641	137.585	135.406	136.848
2016/11/17 17:00:00	135.766	136.926	135.001	136.840	135.673	136.897	134.993	136.641
2016/11/16 17:00:00	136.052	136.778	135.643	135.766	135.976	136.764	135.630	135.673
2016/11/15 17:00:00	135.502	136.587	134.195	136.052	135.334	136.563	134.183	135.976
