日時	"GBP/NZD(始値, 買い)"	"GBP/NZD(高値, 買い)"	"GBP/NZD(安値, 買い)"	"GBP/NZD(終値, 買い)"	"GBP/NZD(始値, 売り)*"	"GBP/NZD(高値, 売り)*"	"GBP/NZD(安値, 売り)*"	"GBP/NZD(終値, 売り)*"
2016/12/29 17:00:00	1.76860	1.77155	1.75767	1.75860	1.76630	1.76960	1.75748	1.75833
2016/12/28 17:00:00	1.78160	1.78210	1.76536	1.76860	1.77940	1.78112	1.76526	1.76630
2016/12/27 17:00:00	1.78330	1.78507	1.77605	1.78160	1.77754	1.78446	1.77585	1.77940
2016/12/26 17:00:00	1.78927	1.78927	1.77802	1.78330	1.78471	1.78630	1.77231	1.77754
2016/12/23 17:00:00	1.78039	1.79021	1.77388	1.78927	1.77880	1.78711	1.77369	1.78471
2016/12/22 17:00:00	1.79170	1.79400	1.77845	1.78039	1.79000	1.79374	1.77823	1.77880
2016/12/21 17:00:00	1.78880	1.79340	1.78134	1.79170	1.78760	1.79226	1.78090	1.79000
2016/12/20 17:00:00	1.78970	1.79312	1.78253	1.78880	1.78800	1.79287	1.78226	1.78760
2016/12/19 17:00:00	1.79457	1.79555	1.77910	1.78970	1.78978	1.79482	1.77885	1.78800
2016/12/16 17:00:00	1.76560	1.79614	1.76058	1.79541	1.76320	1.79530	1.76021	1.79260
2016/12/15 17:00:00	1.76600	1.77375	1.76086	1.76560	1.76440	1.77357	1.76026	1.76320
2016/12/14 17:00:00	1.75760	1.76726	1.74821	1.76600	1.75640	1.76693	1.74802	1.76440
2016/12/13 17:00:00	1.76560	1.77056	1.75500	1.75760	1.75940	1.77038	1.75480	1.75640
2016/12/12 17:00:00	1.76520	1.77065	1.75467	1.76560	1.76337	1.76952	1.75445	1.75940
2016/12/09 17:00:00	1.75510	1.76541	1.74964	1.76441	1.75360	1.76516	1.74941	1.76169
2016/12/08 17:00:00	1.76270	1.76525	1.74977	1.75510	1.76140	1.76484	1.74950	1.75360
2016/12/07 17:00:00	1.78090	1.78430	1.75698	1.76270	1.78030	1.78292	1.75674	1.76140
2016/12/06 17:00:00	1.78340	1.79690	1.77859	1.78090	1.78220	1.79601	1.77816	1.78030
2016/12/05 17:00:00	1.78117	1.80002	1.77519	1.78340	1.77512	1.79979	1.76700	1.78220
2016/12/02 17:00:00	1.77710	1.78601	1.77161	1.78565	1.77540	1.78458	1.77136	1.78134
2016/12/01 17:00:00	1.76630	1.79442	1.76378	1.77710	1.76510	1.79421	1.76353	1.77540
2016/11/30 17:00:00	1.75340	1.76798	1.73812	1.76630	1.75240	1.76766	1.73788	1.76510
2016/11/29 17:00:00	1.75620	1.76351	1.74901	1.75340	1.75470	1.76333	1.74879	1.75240
2016/11/28 17:00:00	1.77205	1.77546	1.75232	1.75620	1.76540	1.77262	1.75205	1.75470
2016/11/25 17:00:00	1.77970	1.78138	1.76062	1.77562	1.77740	1.78111	1.76041	1.77127
2016/11/24 17:00:00	1.77810	1.78477	1.77270	1.77970	1.77280	1.78454	1.77210	1.77740
2016/11/23 17:00:00	1.75940	1.77893	1.75221	1.77810	1.75820	1.77859	1.75203	1.77280
2016/11/22 17:00:00	1.76930	1.77140	1.75676	1.75940	1.76720	1.77108	1.75656	1.75820
2016/11/21 17:00:00	1.76573	1.77495	1.75200	1.76930	1.76480	1.77450	1.75178	1.76720
2016/11/18 17:00:00	1.76880	1.77017	1.74622	1.76465	1.76620	1.76989	1.74600	1.76029
2016/11/17 17:00:00	1.76040	1.77117	1.74770	1.76880	1.75847	1.77087	1.74749	1.76620
2016/11/16 17:00:00	1.75430	1.76740	1.75356	1.76040	1.75290	1.76716	1.75068	1.75847
2016/11/15 17:00:00	1.75570	1.76606	1.74291	1.75430	1.75360	1.76555	1.74274	1.75290
2016/11/14 17:00:00	1.76242	1.77370	1.75490	1.75570	1.75834	1.77347	1.75340	1.75360
2016/11/11 17:00:00	1.74130	1.77600	1.73715	1.77579	1.73990	1.77254	1.73680	1.76932
2016/11/10 17:00:00	1.70500	1.74470	1.69924	1.74130	1.70350	1.74434	1.69900	1.73990
2016/11/09 17:00:00	1.67760	1.72437	1.67327	1.70500	1.67520	1.72347	1.67230	1.70350
2016/11/08 17:00:00	1.68870	1.69570	1.67077	1.67760	1.68700	1.69555	1.67049	1.67520
2016/11/07 17:00:00	1.69552	1.70794	1.68736	1.68870	1.69457	1.70758	1.68670	1.68700
