日時	"GBP/USD(始値, 買い)"	"GBP/USD(高値, 買い)"	"GBP/USD(安値, 買い)"	"GBP/USD(終値, 買い)"	"GBP/USD(始値, 売り)*"	"GBP/USD(高値, 売り)*"	"GBP/USD(安値, 売り)*"	"GBP/USD(終値, 売り)*"
2017/01/09 17:00:00	1.22509	1.22718	1.21651	1.21745	1.22481	1.22706	1.21639	1.21738
2017/01/06 17:00:00	1.24273	1.24320	1.22619	1.22911	1.24122	1.24304	1.22612	1.22799
2017/01/05 17:00:00	1.23274	1.24334	1.22708	1.24273	1.23269	1.24326	1.22701	1.24122
2017/01/04 17:00:00	1.22396	1.23541	1.22216	1.23274	1.22366	1.23531	1.22207	1.23269
2017/01/03 17:00:00	1.23471	1.23471	1.21994	1.22396	1.23299	1.23299	1.21988	1.22366
2016/12/30 17:00:00	1.22677	1.23883	1.22465	1.23471	1.22582	1.23880	1.22449	1.23299
2016/12/29 17:00:00	1.22260	1.22751	1.22096	1.22677	1.22239	1.22746	1.22092	1.22582
2016/12/28 17:00:00	1.22719	1.22978	1.22012	1.22260	1.22656	1.22967	1.22005	1.22239
2016/12/27 17:00:00	1.22913	1.22913	1.22414	1.22719	1.22779	1.22868	1.22404	1.22656
2016/12/23 17:00:00	1.22839	1.22995	1.22293	1.22913	1.22816	1.22982	1.22284	1.22779
2016/12/22 17:00:00	1.23538	1.23795	1.22776	1.22839	1.23519	1.23781	1.22769	1.22816
2016/12/21 17:00:00	1.23683	1.23911	1.23243	1.23538	1.23663	1.23904	1.23234	1.23519
2016/12/20 17:00:00	1.23963	1.24197	1.23133	1.23683	1.23911	1.24170	1.23123	1.23663
2016/12/19 17:00:00	1.24928	1.25029	1.23556	1.23963	1.24812	1.25018	1.23548	1.23911
2016/12/16 17:00:00	1.24230	1.25114	1.23839	1.24898	1.24154	1.25100	1.23825	1.24823
2016/12/15 17:00:00	1.25665	1.25685	1.23763	1.24230	1.25624	1.25677	1.23758	1.24154
2016/12/14 17:00:00	1.26583	1.27289	1.25310	1.25665	1.26571	1.27226	1.25300	1.25624
2016/12/13 17:00:00	1.26836	1.27287	1.26541	1.26583	1.26687	1.27280	1.26532	1.26571
2016/12/12 17:00:00	1.25777	1.27001	1.25672	1.26836	1.25731	1.26994	1.25664	1.26687
2016/12/09 17:00:00	1.25891	1.26213	1.25526	1.25793	1.25844	1.26205	1.25522	1.25715
2016/12/08 17:00:00	1.26258	1.27054	1.25489	1.25891	1.26236	1.27044	1.25487	1.25844
2016/12/07 17:00:00	1.26787	1.26838	1.25702	1.26258	1.26777	1.26827	1.25698	1.26236
2016/12/06 17:00:00	1.27326	1.27754	1.26572	1.26787	1.27306	1.27747	1.26564	1.26777
2016/12/05 17:00:00	1.26899	1.27455	1.26299	1.27326	1.26771	1.27446	1.26249	1.27306
2016/12/02 17:00:00	1.25930	1.27385	1.25709	1.27383	1.25905	1.27372	1.25699	1.27215
2016/12/01 17:00:00	1.25069	1.26961	1.25050	1.25930	1.25061	1.26957	1.25011	1.25905
2016/11/30 17:00:00	1.24937	1.25240	1.24199	1.25069	1.24900	1.25231	1.24190	1.25061
2016/11/29 17:00:00	1.24190	1.25264	1.23887	1.24937	1.24139	1.25256	1.23879	1.24900
2016/11/28 17:00:00	1.24788	1.25322	1.23865	1.24190	1.24650	1.25313	1.23854	1.24139
2016/11/25 17:00:00	1.24560	1.24887	1.24162	1.24881	1.24456	1.24810	1.24157	1.24731
2016/11/24 17:00:00	1.24471	1.24953	1.24024	1.24560	1.24356	1.24945	1.24017	1.24456
2016/11/23 17:00:00	1.24234	1.24696	1.23605	1.24471	1.24231	1.24686	1.23601	1.24356
2016/11/22 17:00:00	1.24979	1.25136	1.23844	1.24234	1.24907	1.25124	1.23838	1.24231
2016/11/21 17:00:00	1.23439	1.25129	1.23129	1.24979	1.23442	1.25117	1.23123	1.24907
2016/11/18 17:00:00	1.24239	1.24369	1.23021	1.23602	1.24115	1.24362	1.23018	1.23432
2016/11/17 17:00:00	1.24441	1.25082	1.24087	1.24239	1.24405	1.25048	1.24084	1.24115
2016/11/16 17:00:00	1.24550	1.25034	1.24100	1.24441	1.24551	1.25023	1.24095	1.24405
2016/11/15 17:00:00	1.24935	1.25300	1.23798	1.24550	1.24839	1.25289	1.23795	1.24551
2016/11/14 17:00:00	1.25849	1.25969	1.24449	1.24935	1.25672	1.25924	1.24439	1.24839
2016/11/11 17:00:00	1.25553	1.26737	1.25257	1.26131	1.25541	1.26738	1.25251	1.25953
2016/11/10 17:00:00	1.24073	1.25852	1.23781	1.25553	1.24058	1.25844	1.23774	1.25541
