日時	"NZD/CAD(始値, 買い)"	"NZD/CAD(高値, 買い)"	"NZD/CAD(安値, 買い)"	"NZD/CAD(終値, 買い)"	"NZD/CAD(始値, 売り)*"	"NZD/CAD(高値, 売り)*"	"NZD/CAD(安値, 売り)*"	"NZD/CAD(終値, 売り)*"
2017/01/09 17:00:00	0.92380	0.92411	0.92112	0.92407	0.92183	0.92402	0.92101	0.92397
2017/01/06 17:00:00	0.92930	0.93216	0.92065	0.92196	0.92905	0.93159	0.92026	0.92026
2017/01/05 17:00:00	0.92685	0.93161	0.92474	0.92930	0.92640	0.93153	0.92465	0.92905
2017/01/04 17:00:00	0.92895	0.93132	0.92328	0.92685	0.92860	0.93125	0.92315	0.92640
2017/01/03 17:00:00	0.93278	0.93515	0.92541	0.92895	0.93015	0.93504	0.92537	0.92860
2016/12/30 17:00:00	0.94080	0.94105	0.93110	0.93278	0.94005	0.94072	0.92919	0.93015
2016/12/29 17:00:00	0.93880	0.94168	0.93650	0.94080	0.93795	0.94159	0.93635	0.94005
2016/12/28 17:00:00	0.93570	0.94090	0.93545	0.93880	0.93495	0.94081	0.93495	0.93795
2016/12/27 17:00:00	0.93197	0.93585	0.93081	0.93570	0.92978	0.93557	0.92978	0.93495
2016/12/23 17:00:00	0.93080	0.93274	0.92872	0.93197	0.93045	0.93262	0.92850	0.92978
2016/12/22 17:00:00	0.92550	0.93425	0.92485	0.93080	0.92520	0.93418	0.92433	0.93045
2016/12/21 17:00:00	0.92470	0.93073	0.92397	0.92550	0.92440	0.92841	0.92389	0.92520
2016/12/20 17:00:00	0.92915	0.93023	0.92274	0.92470	0.92880	0.92965	0.92265	0.92440
2016/12/19 17:00:00	0.93011	0.93185	0.92760	0.92915	0.92851	0.93180	0.92750	0.92880
2016/12/16 17:00:00	0.93875	0.94195	0.92722	0.92963	0.93850	0.94003	0.92714	0.92746
2016/12/15 17:00:00	0.94555	0.94615	0.93835	0.93875	0.94520	0.94605	0.93812	0.93850
2016/12/14 17:00:00	0.94610	0.95306	0.94409	0.94555	0.94580	0.95033	0.94389	0.94520
2016/12/13 17:00:00	0.94490	0.94860	0.94282	0.94610	0.94350	0.94854	0.94272	0.94580
2016/12/12 17:00:00	0.93706	0.94645	0.93373	0.94490	0.93650	0.94635	0.93350	0.94350
2016/12/09 17:00:00	0.94645	0.94795	0.93867	0.94147	0.94610	0.94785	0.93860	0.93930
2016/12/08 17:00:00	0.94840	0.95458	0.94504	0.94645	0.94810	0.95451	0.94495	0.94610
2016/12/07 17:00:00	0.94540	0.95047	0.94374	0.94840	0.94525	0.95034	0.94250	0.94810
2016/12/06 17:00:00	0.94785	0.95090	0.94240	0.94540	0.94745	0.95076	0.94208	0.94525
2016/12/05 17:00:00	0.94981	0.95243	0.94023	0.94785	0.94627	0.95041	0.94013	0.94745
2016/12/02 17:00:00	0.94435	0.95023	0.94212	0.95016	0.94405	0.94996	0.94205	0.94798
2016/12/01 17:00:00	0.95185	0.95239	0.93973	0.94435	0.95155	0.95221	0.93960	0.94405
2016/11/30 17:00:00	0.95730	0.96339	0.94963	0.95185	0.95705	0.96327	0.94950	0.95155
2016/11/29 17:00:00	0.94881	0.95823	0.94803	0.95730	0.94846	0.95813	0.94790	0.95705
2016/11/28 17:00:00	0.95140	0.95700	0.94618	0.94881	0.95095	0.95692	0.94605	0.94846
2016/11/25 17:00:00	0.94500	0.95349	0.94371	0.95317	0.94410	0.95321	0.94359	0.95097
2016/11/24 17:00:00	0.94555	0.94669	0.94246	0.94500	0.94435	0.94615	0.94236	0.94410
2016/11/23 17:00:00	0.94935	0.95080	0.94336	0.94555	0.94910	0.95069	0.94330	0.94435
2016/11/22 17:00:00	0.94820	0.95059	0.94425	0.94935	0.94795	0.95052	0.94420	0.94910
2016/11/21 17:00:00	0.94440	0.95030	0.94284	0.94820	0.94295	0.95017	0.94272	0.94795
2016/11/18 17:00:00	0.95035	0.95395	0.94626	0.94778	0.94985	0.95340	0.94554	0.94558
2016/11/17 17:00:00	0.95080	0.95455	0.94671	0.95035	0.95055	0.95443	0.94664	0.94985
2016/11/16 17:00:00	0.95515	0.95620	0.94660	0.95080	0.95490	0.95570	0.94652	0.95055
2016/11/15 17:00:00	0.96550	0.96675	0.95351	0.95515	0.96434	0.96662	0.95337	0.95490
2016/11/14 17:00:00	0.96420	0.96765	0.95928	0.96550	0.96395	0.96546	0.95912	0.96434
2016/11/11 17:00:00	0.97160	0.97379	0.96243	0.96422	0.97130	0.97360	0.96191	0.96201
2016/11/10 17:00:00	0.97740	0.97950	0.96872	0.97160	0.97690	0.97938	0.96861	0.97130
2016/11/09 17:00:00	0.98155	0.99275	0.97547	0.97740	0.98135	0.99247	0.97225	0.97690
2016/11/08 17:00:00	0.98165	0.98480	0.97899	0.98155	0.98130	0.98471	0.97889	0.98135
2016/11/07 17:00:00	0.98140	0.98214	0.97683	0.98165	0.97950	0.98195	0.97675	0.98130
2016/11/04 17:00:00	0.98360	0.98375	0.97859	0.98328	0.98280	0.98348	0.97850	0.98107
2016/11/03 17:00:00	0.97630	0.98360	0.97518	0.98360	0.97600	0.98324	0.97505	0.98280
2016/11/02 17:00:00	0.96215	0.97929	0.96170	0.97630	0.96180	0.97907	0.96145	0.97600
2016/11/01 17:00:00	0.95910	0.96270	0.95757	0.96215	0.95870	0.96259	0.95745	0.96180
2016/10/31 17:00:00	0.96085	0.96159	0.95655	0.95910	0.96045	0.96045	0.95648	0.95870
2016/10/28 17:00:00	0.95335	0.96133	0.95310	0.96107	0.95305	0.96051	0.95290	0.95888
2016/10/27 17:00:00	0.95725	0.95867	0.95140	0.95335	0.95695	0.95856	0.95129	0.95305
2016/10/26 17:00:00	0.95665	0.95905	0.95435	0.95725	0.95620	0.95895	0.95425	0.95695
2016/10/25 17:00:00	0.94855	0.95690	0.94700	0.95665	0.94830	0.95679	0.94675	0.95620
2016/10/24 17:00:00	0.95570	0.95730	0.94845	0.94855	0.95352	0.95716	0.94815	0.94830
2016/10/21 17:00:00	0.95212	0.95691	0.94780	0.95676	0.95128	0.95527	0.94770	0.95457
2016/10/20 17:00:00	0.94887	0.95438	0.94818	0.95212	0.94747	0.95417	0.94654	0.95128
2016/10/19 17:00:00	0.94305	0.94975	0.93886	0.94887	0.94212	0.94963	0.93877	0.94747
2016/10/18 17:00:00	0.93719	0.94637	0.93653	0.94305	0.93602	0.94626	0.93562	0.94212
2016/10/17 17:00:00	0.93278	0.93835	0.93042	0.93719	0.92991	0.93825	0.92991	0.93602
2016/10/14 17:00:00	0.93637	0.94087	0.93046	0.93223	0.93569	0.94072	0.92984	0.93007
2016/10/13 17:00:00	0.93799	0.93894	0.93431	0.93637	0.93713	0.93880	0.93415	0.93569
2016/10/12 17:00:00	0.93654	0.93819	0.93408	0.93799	0.93510	0.93806	0.93395	0.93713
2016/10/11 17:00:00	0.94057	0.94064	0.93125	0.93654	0.93985	0.94037	0.93116	0.93510
2016/10/10 17:00:00	0.95151	0.95325	0.93708	0.94057	0.95016	0.95214	0.93696	0.93985
2016/10/07 17:00:00	0.94775	0.95462	0.94350	0.95448	0.94666	0.95243	0.94325	0.95229
2016/10/06 17:00:00	0.94566	0.94836	0.94173	0.94775	0.94460	0.94721	0.94167	0.94666
2016/10/05 17:00:00	0.95151	0.95179	0.94379	0.94566	0.95067	0.95089	0.94362	0.94460
2016/10/04 17:00:00	0.95478	0.95946	0.95048	0.95151	0.95402	0.95936	0.95029	0.95067
2016/10/03 17:00:00	0.95765	0.95765	0.95077	0.95478	0.95548	0.95623	0.95066	0.95402
2016/09/30 17:00:00	0.95397	0.95990	0.95159	0.95765	0.95301	0.95753	0.95142	0.95548
2016/09/29 17:00:00	0.95293	0.95666	0.94916	0.95397	0.95265	0.95646	0.94908	0.95301
2016/09/28 17:00:00	0.96374	0.96470	0.95244	0.95293	0.96281	0.96424	0.95218	0.95265
2016/09/27 17:00:00	0.96234	0.96867	0.95919	0.96374	0.96184	0.96854	0.95898	0.96281
2016/09/26 17:00:00	0.95476	0.96306	0.95106	0.96234	0.95218	0.96295	0.95068	0.96184
2016/09/23 17:00:00	0.95400	0.95537	0.94615	0.95496	0.95327	0.95442	0.94590	0.95278
2016/09/22 17:00:00	0.96459	0.96499	0.95140	0.95400	0.96379	0.96379	0.95130	0.95327
2016/09/21 17:00:00	0.96528	0.96815	0.96078	0.96459	0.96408	0.96789	0.96062	0.96379
2016/09/20 17:00:00	0.96337	0.97359	0.96291	0.96528	0.96255	0.97350	0.96021	0.96408
2016/09/19 17:00:00	0.96113	0.96541	0.95962	0.96337	0.95898	0.96531	0.95846	0.96255
2016/09/16 17:00:00	0.96315	0.96734	0.95864	0.96116	0.96172	0.96592	0.95843	0.95898
2016/09/15 17:00:00	0.96162	0.96445	0.95807	0.96315	0.96051	0.96357	0.95800	0.96172
2016/09/14 17:00:00	0.95619	0.96357	0.95285	0.96162	0.95517	0.96346	0.95260	0.96051
2016/09/13 17:00:00	0.95909	0.96117	0.95353	0.95619	0.95861	0.96106	0.95334	0.95517
2016/09/12 17:00:00	0.95585	0.96038	0.95458	0.95909	0.95529	0.96006	0.95305	0.95861
2016/09/09 17:00:00	0.95750	0.95811	0.95220	0.95655	0.95696	0.95799	0.95092	0.95438
2016/09/08 17:00:00	0.96035	0.96210	0.95379	0.95750	0.95951	0.96201	0.95366	0.95696
2016/09/07 17:00:00	0.95301	0.96501	0.95137	0.96035	0.95238	0.96497	0.95106	0.95951
2016/09/06 17:00:00	0.94517	0.95304	0.94418	0.95301	0.94369	0.95273	0.94337	0.95238
2016/09/05 17:00:00	0.94687	0.95144	0.94360	0.94517	0.94471	0.95126	0.94346	0.94369
