日時	"NZD/CHF(始値, 買い)"	"NZD/CHF(高値, 買い)"	"NZD/CHF(安値, 買い)"	"NZD/CHF(終値, 買い)"	"NZD/CHF(始値, 売り)*"	"NZD/CHF(高値, 売り)*"	"NZD/CHF(安値, 売り)*"	"NZD/CHF(終値, 売り)*"
2016/12/29 17:00:00	0.71160	0.71380	0.71042	0.71172	0.71060	0.71369	0.71030	0.71154
2016/12/28 17:00:00	0.70870	0.71293	0.70832	0.71160	0.70795	0.71287	0.70755	0.71060
2016/12/27 17:00:00	0.70965	0.71031	0.70672	0.70870	0.70770	0.70980	0.70648	0.70795
2016/12/26 17:00:00	0.70684	0.71002	0.70554	0.70965	0.70494	0.70884	0.70370	0.70770
2016/12/23 17:00:00	0.70795	0.70915	0.70398	0.70684	0.70765	0.70908	0.70389	0.70494
2016/12/22 17:00:00	0.70840	0.71005	0.70595	0.70795	0.70820	0.70991	0.70545	0.70765
2016/12/21 17:00:00	0.71231	0.71408	0.70754	0.70840	0.71057	0.71397	0.70745	0.70820
2016/12/20 17:00:00	0.71317	0.71363	0.70958	0.71231	0.71126	0.71254	0.70951	0.71057
2016/12/19 17:00:00	0.71622	0.71675	0.70997	0.71317	0.71431	0.71665	0.70990	0.71126
2016/12/16 17:00:00	0.72525	0.72767	0.71390	0.71559	0.72485	0.72598	0.71347	0.71369
2016/12/15 17:00:00	0.72615	0.72850	0.72412	0.72525	0.72590	0.72835	0.72404	0.72485
2016/12/14 17:00:00	0.72960	0.73160	0.72557	0.72615	0.72895	0.73101	0.72553	0.72590
2016/12/13 17:00:00	0.72926	0.73152	0.72757	0.72960	0.72800	0.73143	0.72752	0.72895
2016/12/12 17:00:00	0.72720	0.73157	0.72453	0.72926	0.72517	0.73149	0.72391	0.72800
2016/12/09 17:00:00	0.72920	0.73135	0.72561	0.72667	0.72890	0.73125	0.72475	0.72476
2016/12/08 17:00:00	0.72215	0.73060	0.72189	0.72920	0.72090	0.73052	0.72052	0.72890
2016/12/07 17:00:00	0.71950	0.72246	0.71767	0.72215	0.71895	0.72239	0.71641	0.72090
2016/12/06 17:00:00	0.71900	0.72117	0.71434	0.71950	0.71830	0.72105	0.71415	0.71895
2016/12/05 17:00:00	0.72303	0.72633	0.71385	0.71900	0.72065	0.72397	0.71377	0.71830
2016/12/02 17:00:00	0.71650	0.72270	0.71590	0.72263	0.71615	0.72236	0.71525	0.72073
2016/12/01 17:00:00	0.72090	0.72205	0.71443	0.71650	0.71955	0.72110	0.71434	0.71615
2016/11/30 17:00:00	0.72105	0.72752	0.71920	0.72090	0.72075	0.72747	0.71920	0.71955
2016/11/29 17:00:00	0.71676	0.72250	0.71650	0.72105	0.71629	0.72242	0.71480	0.72075
