日時	"NZD/JPY(始値, 買い)"	"NZD/JPY(高値, 買い)"	"NZD/JPY(安値, 買い)"	"NZD/JPY(終値, 買い)"	"NZD/JPY(始値, 売り)*"	"NZD/JPY(高値, 売り)*"	"NZD/JPY(安値, 売り)*"	"NZD/JPY(終値, 売り)*"
2016/12/29 17:00:00	81.126	81.190	80.691	80.965	81.030	81.184	80.686	80.959
2016/12/28 17:00:00	80.949	81.535	80.913	81.126	80.861	81.528	80.854	81.030
2016/12/27 17:00:00	80.907	81.111	80.657	80.949	80.708	81.113	80.640	80.861
2016/12/26 17:00:00	80.711	81.027	80.607	80.907	80.637	80.827	80.454	80.708
2016/12/23 17:00:00	81.149	81.205	80.468	80.711	81.110	81.188	80.452	80.637
2016/12/22 17:00:00	81.132	81.430	81.013	81.149	81.100	81.421	80.993	81.110
2016/12/21 17:00:00	81.506	81.756	81.031	81.132	81.467	81.745	81.019	81.100
2016/12/20 17:00:00	81.149	81.798	81.037	81.506	81.121	81.792	81.027	81.467
2016/12/19 17:00:00	82.204	82.209	80.993	81.149	82.155	82.190	80.988	81.121
2016/12/16 17:00:00	83.193	83.390	81.953	82.121	83.166	83.383	81.944	82.042
2016/12/15 17:00:00	83.310	83.745	82.838	83.193	83.287	83.738	82.830	83.166
2016/12/14 17:00:00	82.982	83.457	82.880	83.310	82.967	83.446	82.849	83.287
2016/12/13 17:00:00	82.784	83.243	82.573	82.982	82.651	83.237	82.556	82.967
2016/12/12 17:00:00	82.291	83.114	82.133	82.784	82.263	83.108	82.098	82.651
2016/12/09 17:00:00	81.818	82.534	81.738	82.338	81.799	82.524	81.720	82.145
2016/12/08 17:00:00	81.541	82.026	81.460	81.818	81.490	82.015	81.437	81.799
2016/12/07 17:00:00	81.197	81.556	81.080	81.541	81.149	81.534	81.048	81.490
2016/12/06 17:00:00	81.313	81.483	80.613	81.197	81.260	81.471	80.591	81.149
2016/12/05 17:00:00	80.952	81.519	80.158	81.313	80.734	81.513	80.119	81.260
2016/12/02 17:00:00	80.903	81.269	80.608	81.144	80.848	81.261	80.601	81.003
2016/12/01 17:00:00	81.075	81.264	80.672	80.903	81.029	81.259	80.666	80.848
2016/11/30 17:00:00	80.084	81.087	80.079	81.075	80.072	81.073	80.060	81.029
2016/11/29 17:00:00	79.191	80.395	79.074	80.084	79.159	80.390	79.066	80.072
2016/11/28 17:00:00	79.518	79.670	78.838	79.191	79.432	79.632	78.833	79.159
2016/11/25 17:00:00	79.383	79.819	79.248	79.793	79.294	79.763	79.216	79.697
2016/11/24 17:00:00	78.965	79.477	78.560	79.383	78.748	79.433	78.545	79.294
2016/11/23 17:00:00	78.492	79.093	78.282	78.965	78.475	79.085	78.281	78.748
2016/11/22 17:00:00	78.350	78.517	78.096	78.492	78.266	78.507	78.080	78.475
2016/11/21 17:00:00	77.579	78.450	77.573	78.350	77.531	78.440	77.513	78.266
2016/11/18 17:00:00	77.396	77.911	77.307	77.821	77.345	77.902	77.296	77.677
2016/11/17 17:00:00	77.128	77.630	76.958	77.396	77.100	77.620	76.952	77.345
2016/11/16 17:00:00	77.581	77.708	77.013	77.128	77.532	77.704	77.009	77.100
2016/11/15 17:00:00	77.199	77.597	76.744	77.581	77.154	77.569	76.738	77.532
2016/11/14 17:00:00	76.331	77.232	75.779	77.199	76.310	77.226	75.769	77.154
2016/11/11 17:00:00	77.072	77.220	75.863	75.983	77.027	77.216	75.780	75.817
2016/11/10 17:00:00	76.943	77.520	76.249	77.072	76.894	77.515	76.241	77.027
2016/11/09 17:00:00	77.678	77.915	73.714	76.943	77.645	77.905	73.697	76.894
2016/11/08 17:00:00	76.732	77.844	76.388	77.678	76.706	77.835	76.382	77.645
2016/11/07 17:00:00	76.527	76.811	75.987	76.732	76.474	76.802	75.930	76.706
2016/11/04 17:00:00	75.602	75.628	75.204	75.627	75.550	75.589	75.202	75.509
2016/11/03 17:00:00	75.301	75.631	74.838	75.602	75.278	75.626	74.835	75.550
2016/11/02 17:00:00	74.832	75.584	74.722	75.301	74.804	75.482	74.713	75.278
2016/11/01 17:00:00	74.956	75.447	74.468	74.832	74.939	75.442	74.459	74.804
2016/10/31 17:00:00	74.769	75.236	74.695	74.956	74.675	75.229	74.620	74.939
2016/10/28 17:00:00	74.980	75.399	74.757	75.175	74.953	75.394	74.750	75.001
2016/10/27 17:00:00	74.744	75.003	74.652	74.980	74.727	74.996	74.643	74.953
2016/10/26 17:00:00	74.681	74.882	74.489	74.744	74.644	74.877	74.431	74.727
2016/10/25 17:00:00	74.377	74.855	74.153	74.681	74.359	74.848	74.136	74.644
2016/10/24 17:00:00	74.469	74.567	74.246	74.377	74.272	74.560	74.235	74.359
2016/10/21 17:00:00	74.809	74.892	74.021	74.409	74.747	74.882	74.013	74.366
2016/10/20 17:00:00	74.820	75.277	74.665	74.809	74.772	75.269	74.659	74.747
2016/10/19 17:00:00	74.695	75.065	74.375	74.820	74.672	75.062	74.373	74.772
2016/10/18 17:00:00	74.117	74.936	74.065	74.695	74.091	74.930	74.034	74.672
2016/10/17 17:00:00	74.023	74.291	73.688	74.117	74.001	74.283	73.677	74.091
2016/10/14 17:00:00	73.594	74.168	73.450	73.861	73.567	74.162	73.445	73.818
2016/10/13 17:00:00	73.603	73.696	73.024	73.594	73.556	73.672	73.013	73.567
2016/10/12 17:00:00	73.079	73.878	73.016	73.603	72.978	73.869	72.977	73.556
2016/10/11 17:00:00	73.951	74.064	72.756	73.079	73.913	74.044	72.743	72.978
2016/10/10 17:00:00	74.216	74.303	73.556	73.951	74.125	74.164	73.543	73.913
2016/10/07 17:00:00	74.491	74.637	73.522	73.858	74.435	74.557	73.510	73.708
2016/10/06 17:00:00	74.277	74.673	74.015	74.491	74.203	74.663	74.008	74.435
2016/10/05 17:00:00	74.226	74.347	73.689	74.277	74.158	74.338	73.680	74.203
2016/10/04 17:00:00	73.981	74.737	73.893	74.226	73.901	74.729	73.867	74.158
2016/10/03 17:00:00	73.745	73.985	73.511	73.981	73.544	73.947	73.502	73.901
2016/09/30 17:00:00	73.317	73.945	72.982	73.890	73.253	73.937	72.973	73.754
2016/09/29 17:00:00	73.329	74.157	73.047	73.317	73.300	74.152	73.038	73.253
