日時	"NZD/USD(始値, 買い)"	"NZD/USD(高値, 買い)"	"NZD/USD(安値, 買い)"	"NZD/USD(終値, 買い)"	"NZD/USD(始値, 売り)*"	"NZD/USD(高値, 売り)*"	"NZD/USD(安値, 売り)*"	"NZD/USD(終値, 売り)*"
2017/01/09 17:00:00	0.69670	0.69791	0.69491	0.69660	0.69640	0.69785	0.69487	0.69655
2017/01/06 17:00:00	0.70265	0.70449	0.69546	0.69643	0.70258	0.70434	0.69539	0.69539
2017/01/05 17:00:00	0.69679	0.70371	0.69540	0.70265	0.69659	0.70365	0.69535	0.70258
2017/01/04 17:00:00	0.69177	0.69752	0.68902	0.69679	0.69165	0.69750	0.68895	0.69659
2017/01/03 17:00:00	0.69351	0.69750	0.68850	0.69177	0.69195	0.69744	0.68845	0.69165
2016/12/30 17:00:00	0.69683	0.69804	0.69293	0.69351	0.69657	0.69795	0.69195	0.69195
2016/12/29 17:00:00	0.69208	0.69711	0.69165	0.69683	0.69196	0.69705	0.69158	0.69657
2016/12/28 17:00:00	0.68913	0.69310	0.68897	0.69208	0.68900	0.69305	0.68869	0.69196
2016/12/27 17:00:00	0.68889	0.69048	0.68792	0.68913	0.68783	0.69040	0.68783	0.68900
2016/12/23 17:00:00	0.69035	0.69132	0.68626	0.68889	0.69026	0.69125	0.68621	0.68783
2016/12/22 17:00:00	0.69002	0.69261	0.68884	0.69035	0.68991	0.69254	0.68879	0.69026
2016/12/21 17:00:00	0.69170	0.69482	0.68937	0.69002	0.69156	0.69477	0.68930	0.68991
2016/12/20 17:00:00	0.69296	0.69346	0.68829	0.69170	0.69283	0.69335	0.68826	0.69156
2016/12/19 17:00:00	0.69683	0.69897	0.69263	0.69296	0.69666	0.69890	0.69257	0.69283
2016/12/16 17:00:00	0.70392	0.70606	0.69316	0.69625	0.70379	0.70500	0.69309	0.69569
2016/12/15 17:00:00	0.71177	0.71242	0.70106	0.70392	0.71169	0.71231	0.70100	0.70379
2016/12/14 17:00:00	0.72046	0.72392	0.71052	0.71177	0.72038	0.72387	0.71046	0.71169
2016/12/13 17:00:00	0.71977	0.72328	0.71808	0.72046	0.71863	0.72323	0.71803	0.72038
2016/12/12 17:00:00	0.71302	0.72078	0.71157	0.71977	0.71276	0.72073	0.71150	0.71863
2016/12/09 17:00:00	0.71748	0.71892	0.71260	0.71381	0.71738	0.71889	0.71254	0.71284
2016/12/08 17:00:00	0.71655	0.72231	0.71467	0.71748	0.71645	0.72226	0.71461	0.71738
2016/12/07 17:00:00	0.71204	0.71681	0.71029	0.71655	0.71195	0.71679	0.71020	0.71645
2016/12/06 17:00:00	0.71410	0.71615	0.70955	0.71204	0.71397	0.71607	0.70932	0.71195
2016/12/05 17:00:00	0.71422	0.71596	0.70699	0.71410	0.71255	0.71567	0.70693	0.71397
2016/12/02 17:00:00	0.70899	0.71490	0.70859	0.71426	0.70889	0.71484	0.70854	0.71392
2016/12/01 17:00:00	0.70837	0.71055	0.70436	0.70899	0.70823	0.71051	0.70430	0.70889
2016/11/30 17:00:00	0.71262	0.71701	0.70705	0.70837	0.71260	0.71695	0.70698	0.70823
2016/11/29 17:00:00	0.70739	0.71329	0.70665	0.71262	0.70725	0.71323	0.70660	0.71260
2016/11/28 17:00:00	0.70478	0.71021	0.70337	0.70739	0.70443	0.71016	0.70323	0.70725
2016/11/25 17:00:00	0.70012	0.70628	0.69848	0.70431	0.69999	0.70623	0.69840	0.70419
2016/11/24 17:00:00	0.70123	0.70134	0.69718	0.70012	0.70005	0.70116	0.69713	0.69999
2016/11/23 17:00:00	0.70625	0.70803	0.69948	0.70123	0.70615	0.70797	0.69941	0.70005
2016/11/22 17:00:00	0.70661	0.70861	0.70322	0.70625	0.70652	0.70857	0.70318	0.70615
2016/11/21 17:00:00	0.69932	0.70776	0.69850	0.70661	0.69915	0.70772	0.69845	0.70652
2016/11/18 17:00:00	0.70261	0.70611	0.70008	0.70141	0.70252	0.70606	0.70006	0.70067
2016/11/17 17:00:00	0.70707	0.71107	0.70136	0.70261	0.70698	0.71102	0.70133	0.70252
2016/11/16 17:00:00	0.71027	0.71147	0.70356	0.70707	0.71014	0.71141	0.70354	0.70698
2016/11/15 17:00:00	0.71179	0.71448	0.70713	0.71027	0.71166	0.71444	0.70710	0.71014
2016/11/14 17:00:00	0.71414	0.71424	0.70702	0.71179	0.71396	0.71408	0.70699	0.71166
2016/11/11 17:00:00	0.72134	0.72289	0.71091	0.71192	0.72125	0.72284	0.71083	0.71107
2016/11/10 17:00:00	0.72799	0.73070	0.71767	0.72134	0.72783	0.73071	0.71764	0.72125
2016/11/09 17:00:00	0.73867	0.73942	0.72653	0.72799	0.73857	0.73933	0.72625	0.72783
2016/11/08 17:00:00	0.73443	0.74035	0.73182	0.73867	0.73435	0.74028	0.73178	0.73857
2016/11/07 17:00:00	0.73479	0.73503	0.72933	0.73443	0.73461	0.73479	0.72927	0.73435
2016/11/04 17:00:00	0.73419	0.73423	0.72994	0.73321	0.73366	0.73386	0.72990	0.73239
2016/11/03 17:00:00	0.72890	0.73419	0.72789	0.73419	0.72880	0.73402	0.72783	0.73366
2016/11/02 17:00:00	0.71848	0.73109	0.71809	0.72890	0.71840	0.73101	0.71804	0.72880
2016/11/01 17:00:00	0.71514	0.71912	0.71483	0.71848	0.71505	0.71908	0.71475	0.71840
2016/10/31 17:00:00	0.71555	0.71670	0.71380	0.71514	0.71535	0.71666	0.71376	0.71505
2016/10/28 17:00:00	0.71216	0.71726	0.71139	0.71668	0.71201	0.71724	0.71134	0.71653
2016/10/27 17:00:00	0.71541	0.71675	0.71087	0.71216	0.71528	0.71670	0.71081	0.71201
2016/10/26 17:00:00	0.71637	0.71843	0.71474	0.71541	0.71623	0.71838	0.71467	0.71528
2016/10/25 17:00:00	0.71388	0.71734	0.71100	0.71637	0.71375	0.71729	0.71092	0.71623
2016/10/24 17:00:00	0.71705	0.71768	0.71250	0.71388	0.71545	0.71764	0.71243	0.71375
2016/10/21 17:00:00	0.71966	0.72013	0.71441	0.71685	0.71913	0.71943	0.71436	0.71630
2016/10/20 17:00:00	0.72330	0.72668	0.71824	0.71966	0.72299	0.72659	0.71818	0.71913
2016/10/19 17:00:00	0.71910	0.72499	0.71906	0.72330	0.71896	0.72489	0.71893	0.72299
2016/10/18 17:00:00	0.71345	0.72182	0.71284	0.71910	0.71332	0.72180	0.71287	0.71896
2016/10/17 17:00:00	0.70933	0.71416	0.70781	0.71345	0.70917	0.71411	0.70770	0.71332
2016/10/14 17:00:00	0.70966	0.71334	0.70776	0.70884	0.70956	0.71330	0.70770	0.70845
2016/10/13 17:00:00	0.70639	0.71025	0.70351	0.70966	0.70603	0.71020	0.70345	0.70956
2016/10/12 17:00:00	0.70584	0.70950	0.70448	0.70639	0.70536	0.70945	0.70445	0.70603
2016/10/11 17:00:00	0.71370	0.71428	0.70475	0.70584	0.71348	0.71422	0.70472	0.70536
2016/10/10 17:00:00	0.71824	0.71895	0.71224	0.71370	0.71795	0.71830	0.71219	0.71348
2016/10/07 17:00:00	0.71662	0.72009	0.71102	0.71741	0.71636	0.72004	0.71098	0.71659
2016/10/06 17:00:00	0.71759	0.71853	0.71358	0.71662	0.71715	0.71789	0.71353	0.71636
2016/10/05 17:00:00	0.72118	0.72125	0.71487	0.71759	0.72078	0.72111	0.71485	0.71715
2016/10/04 17:00:00	0.72766	0.73112	0.71986	0.72118	0.72721	0.73108	0.71983	0.72078
2016/10/03 17:00:00	0.72840	0.72911	0.72539	0.72766	0.72721	0.72905	0.72535	0.72721
2016/09/30 17:00:00	0.72549	0.72981	0.72291	0.72891	0.72516	0.72977	0.72286	0.72829
2016/09/29 17:00:00	0.72844	0.73036	0.72371	0.72549	0.72837	0.73031	0.72365	0.72516
2016/09/28 17:00:00	0.73020	0.73082	0.72330	0.72844	0.72995	0.73050	0.72327	0.72837
2016/09/27 17:00:00	0.72741	0.73309	0.72602	0.73020	0.72733	0.73302	0.72597	0.72995
2016/09/26 17:00:00	0.72511	0.72877	0.72230	0.72741	0.72419	0.72872	0.72203	0.72733
2016/09/23 17:00:00	0.73141	0.73157	0.72241	0.72471	0.73111	0.73152	0.72237	0.72397
2016/09/22 17:00:00	0.73510	0.73803	0.72928	0.73141	0.73381	0.73700	0.72924	0.73111
2016/09/21 17:00:00	0.73164	0.73661	0.72786	0.73510	0.73139	0.73662	0.72784	0.73381
2016/09/20 17:00:00	0.72954	0.73587	0.72932	0.73164	0.72917	0.73583	0.72880	0.73139
2016/09/19 17:00:00	0.72651	0.73264	0.72560	0.72954	0.72559	0.73256	0.72549	0.72917
2016/09/16 17:00:00	0.73174	0.73313	0.72543	0.72724	0.73137	0.73308	0.72538	0.72629
2016/09/15 17:00:00	0.72864	0.73267	0.72413	0.73174	0.72812	0.73250	0.72409	0.73137
2016/09/14 17:00:00	0.72551	0.73135	0.72381	0.72864	0.72506	0.73129	0.72375	0.72812
2016/09/13 17:00:00	0.73539	0.73649	0.72354	0.72551	0.73523	0.73642	0.72348	0.72506
2016/09/12 17:00:00	0.73221	0.73574	0.72915	0.73539	0.73198	0.73569	0.72910	0.73523
2016/09/09 17:00:00	0.73999	0.74140	0.73147	0.73301	0.73985	0.74133	0.73144	0.73187
2016/09/08 17:00:00	0.74512	0.74829	0.73843	0.73999	0.74497	0.74823	0.73838	0.73985
2016/09/07 17:00:00	0.74192	0.74860	0.73979	0.74512	0.74163	0.74854	0.73970	0.74497
2016/09/06 17:00:00	0.73066	0.74226	0.73024	0.74192	0.73034	0.74220	0.73016	0.74163
2016/09/05 17:00:00	0.72799	0.73441	0.72799	0.73066	0.72780	0.73434	0.72772	0.73034
2016/09/02 17:00:00	0.72871	0.73621	0.72685	0.72996	0.72789	0.73601	0.72680	0.72869
2016/09/01 17:00:00	0.72514	0.72958	0.72277	0.72871	0.72485	0.72950	0.72270	0.72789
2016/08/31 17:00:00	0.72216	0.72662	0.72167	0.72514	0.72171	0.72657	0.72154	0.72485
