日時	"TRY/JPY(始値, 買い)"	"TRY/JPY(高値, 買い)"	"TRY/JPY(安値, 買い)"	"TRY/JPY(終値, 買い)"	"TRY/JPY(始値, 売り)*"	"TRY/JPY(高値, 売り)*"	"TRY/JPY(安値, 売り)*"	"TRY/JPY(終値, 売り)*"
2016/12/29 17:00:00	33.175	33.175	32.803	33.046	33.068	33.079	32.785	33.038
2016/12/28 17:00:00	33.352	33.435	33.072	33.175	33.315	33.418	33.015	33.068
2016/12/27 17:00:00	33.344	33.465	33.256	33.352	33.314	33.446	33.245	33.315
2016/12/26 17:00:00	33.452	33.516	33.334	33.344	33.313	33.337	33.071	33.314
2016/12/23 17:00:00	33.495	33.543	33.347	33.446	33.396	33.480	33.281	33.309
2016/12/22 17:00:00	33.504	33.562	33.390	33.495	33.430	33.543	33.382	33.396
2016/12/21 17:00:00	33.425	33.565	33.263	33.504	33.381	33.544	33.218	33.430
2016/12/20 17:00:00	33.166	33.695	33.120	33.425	33.098	33.688	33.079	33.381
2016/12/19 17:00:00	33.786	33.804	32.988	33.166	33.607	33.617	32.980	33.098
2016/12/16 17:00:00	33.649	33.860	33.547	33.694	33.610	33.850	33.423	33.579
2016/12/15 17:00:00	33.178	33.710	33.112	33.649	33.075	33.676	33.013	33.610
2016/12/14 17:00:00	33.017	33.613	32.893	33.178	32.918	33.362	32.886	33.075
2016/12/13 17:00:00	33.170	33.355	32.857	33.017	33.128	33.349	32.847	32.918
2016/12/12 17:00:00	33.097	33.240	32.600	33.170	32.989	33.198	32.593	33.128
2016/12/09 17:00:00	33.114	33.440	32.858	33.202	33.090	33.434	32.838	33.088
2016/12/08 17:00:00	33.635	33.977	32.679	33.114	33.495	33.972	32.663	33.090
2016/12/07 17:00:00	33.140	33.635	33.039	33.635	33.024	33.610	33.015	33.495
2016/12/06 17:00:00	32.358	33.160	32.155	33.140	32.240	33.154	32.111	33.024
2016/12/05 17:00:00	32.322	32.480	31.805	32.358	32.091	32.475	31.654	32.240
2016/12/02 17:00:00	32.585	32.735	31.631	32.350	32.505	32.730	31.599	32.150
2016/12/01 17:00:00	33.305	33.410	32.505	32.585	33.270	33.397	32.488	32.505
2016/11/30 17:00:00	32.970	33.319	32.867	33.305	32.950	33.305	32.835	33.270
2016/11/29 17:00:00	32.789	33.092	32.662	32.970	32.740	33.088	32.650	32.950
2016/11/28 17:00:00	32.779	32.900	32.498	32.789	32.678	32.892	32.484	32.740
2016/11/25 17:00:00	32.910	32.937	32.616	32.864	32.830	32.903	32.608	32.750
2016/11/24 17:00:00	33.160	33.520	32.771	32.910	33.120	33.514	32.731	32.830
2016/11/23 17:00:00	32.880	33.190	32.662	33.160	32.770	33.170	32.658	33.120
2016/11/22 17:00:00	32.985	33.045	32.708	32.880	32.905	33.039	32.697	32.770
2016/11/21 17:00:00	32.928	33.090	32.615	32.985	32.787	33.046	32.608	32.905
2016/11/18 17:00:00	32.715	33.000	32.482	32.965	32.592	32.916	32.477	32.870
2016/11/17 17:00:00	32.840	32.967	32.518	32.715	32.790	32.961	32.505	32.592
2016/11/16 17:00:00	33.240	33.310	32.789	32.840	33.140	33.225	32.777	32.790
2016/11/15 17:00:00	32.990	33.257	32.816	33.240	32.900	33.251	32.792	33.140
2016/11/14 17:00:00	33.047	33.133	32.695	32.990	32.689	33.028	32.644	32.900
2016/11/11 17:00:00	32.885	32.979	32.412	32.895	32.845	32.946	32.403	32.737
2016/11/10 17:00:00	32.925	33.182	32.582	32.885	32.865	33.177	32.559	32.845
2016/11/09 17:00:00	33.335	33.395	30.858	32.925	33.272	33.352	30.665	32.865
2016/11/08 17:00:00	33.005	33.341	32.783	33.335	32.935	33.319	32.778	33.272
2016/11/07 17:00:00	33.102	33.226	32.846	33.005	32.994	33.222	32.788	32.935
2016/11/04 17:00:00	33.100	33.131	32.445	32.718	33.080	33.111	32.440	32.593
2016/11/03 17:00:00	33.160	33.218	32.835	33.100	33.126	33.213	32.825	33.080
2016/11/02 17:00:00	33.469	33.480	32.962	33.160	33.435	33.440	32.956	33.126
2016/11/01 17:00:00	33.885	33.919	33.237	33.469	33.865	33.900	33.226	33.435
2016/10/31 17:00:00	33.613	33.953	33.591	33.885	33.435	33.948	33.426	33.865
2016/10/28 17:00:00	33.800	33.926	33.554	33.764	33.780	33.921	33.540	33.635
2016/10/27 17:00:00	33.910	33.960	33.668	33.800	33.890	33.945	33.663	33.780
2016/10/26 17:00:00	33.945	33.982	33.721	33.910	33.925	33.963	33.717	33.890
2016/10/25 17:00:00	33.856	34.043	33.776	33.945	33.785	34.039	33.750	33.925
2016/10/24 17:00:00	33.742	33.932	33.665	33.856	33.573	33.927	33.548	33.785
2016/10/21 17:00:00	33.986	34.062	33.529	33.764	33.906	34.002	33.525	33.634
2016/10/20 17:00:00	33.839	34.036	33.678	33.986	33.716	34.028	33.673	33.906
2016/10/19 17:00:00	33.574	33.852	33.440	33.839	33.521	33.839	33.432	33.716
2016/10/18 17:00:00	33.581	33.671	33.411	33.574	33.525	33.665	33.361	33.521
2016/10/17 17:00:00	33.837	33.910	33.431	33.581	33.740	33.743	33.424	33.525
2016/10/14 17:00:00	33.627	33.936	33.571	33.777	33.521	33.919	33.521	33.647
2016/10/13 17:00:00	33.803	33.876	33.301	33.627	33.704	33.840	33.292	33.521
2016/10/12 17:00:00	33.597	33.893	33.447	33.803	33.511	33.837	33.440	33.704
2016/10/11 17:00:00	33.764	33.851	33.442	33.597	33.673	33.825	33.428	33.511
2016/10/10 17:00:00	33.938	33.984	33.575	33.764	33.760	33.871	33.569	33.673
2016/10/07 17:00:00	34.200	34.217	33.716	33.791	34.129	34.183	33.644	33.659
2016/10/06 17:00:00	33.939	34.232	33.814	34.200	33.889	34.216	33.781	34.129
2016/10/05 17:00:00	33.726	33.969	33.566	33.939	33.556	33.954	33.539	33.889
2016/10/04 17:00:00	33.683	33.884	33.501	33.726	33.647	33.863	33.486	33.556
2016/10/03 17:00:00	33.764	33.847	33.539	33.683	33.669	33.823	33.524	33.647
2016/09/30 17:00:00	33.716	33.910	33.455	33.831	33.618	33.880	33.449	33.710
2016/09/29 17:00:00	33.815	34.092	33.529	33.716	33.749	34.082	33.516	33.618
2016/09/28 17:00:00	33.780	33.860	33.642	33.815	33.723	33.854	33.635	33.749
2016/09/27 17:00:00	33.728	34.008	33.562	33.780	33.625	34.001	33.540	33.723
2016/09/26 17:00:00	33.822	33.945	33.561	33.728	33.597	33.786	33.554	33.625
2016/09/23 17:00:00	34.241	34.393	34.068	34.127	34.193	34.373	33.959	33.990
2016/09/22 17:00:00	33.953	34.331	33.870	34.241	33.906	34.301	33.838	34.193
2016/09/21 17:00:00	34.157	34.440	33.758	33.953	34.113	34.416	33.714	33.906
2016/09/20 17:00:00	34.253	34.282	34.106	34.157	34.207	34.261	34.095	34.113
2016/09/19 17:00:00	34.298	34.386	34.104	34.253	34.192	34.364	34.097	34.207
2016/09/16 17:00:00	34.437	34.437	34.190	34.364	34.298	34.375	34.178	34.226
2016/09/15 17:00:00	34.406	34.543	34.188	34.437	34.336	34.535	34.113	34.298
2016/09/14 17:00:00	34.414	34.702	34.302	34.406	34.338	34.692	34.288	34.336
2016/09/13 17:00:00	34.362	34.467	34.121	34.414	34.288	34.451	34.055	34.338
2016/09/12 17:00:00	34.630	34.675	34.065	34.362	34.433	34.582	34.060	34.288
2016/09/09 17:00:00	34.703	34.765	34.480	34.760	34.643	34.707	34.407	34.418
2016/09/08 17:00:00	34.695	34.718	34.441	34.703	34.593	34.674	34.431	34.643
2016/09/07 17:00:00	34.926	34.949	34.587	34.695	34.870	34.914	34.581	34.593
2016/09/06 17:00:00	35.137	35.237	34.832	34.926	35.071	35.212	34.825	34.870
2016/09/05 17:00:00	35.324	35.329	34.990	35.137	35.220	35.249	34.984	35.071
2016/09/02 17:00:00	34.873	35.430	34.834	35.415	34.793	35.286	34.611	35.064
2016/09/01 17:00:00	34.993	35.050	34.730	34.873	34.916	35.043	34.700	34.793
2016/08/31 17:00:00	34.914	34.998	34.715	34.993	34.700	34.982	34.684	34.916
2016/08/30 17:00:00	34.564	34.914	34.477	34.914	34.519	34.789	34.440	34.700
2016/08/29 17:00:00	34.610	34.710	34.461	34.564	34.483	34.690	34.432	34.519
2016/08/26 17:00:00	34.271	34.629	34.072	34.617	34.171	34.475	34.061	34.273
2016/08/25 17:00:00	34.053	34.289	34.007	34.271	33.994	34.266	33.940	34.171
2016/08/24 17:00:00	33.968	34.154	33.775	34.053	33.910	34.090	33.770	33.994
2016/08/23 17:00:00	34.130	34.159	33.930	33.968	34.065	34.148	33.907	33.910
2016/08/22 17:00:00	34.489	34.509	34.037	34.130	34.265	34.380	34.029	34.065
2016/08/19 17:00:00	34.138	34.383	34.006	34.377	34.051	34.255	33.999	34.033
2016/08/18 17:00:00	34.364	34.378	34.080	34.138	34.243	34.338	34.045	34.051
2016/08/17 17:00:00	34.266	34.472	34.143	34.364	34.195	34.444	34.124	34.243
2016/08/16 17:00:00	34.459	34.493	34.085	34.266	34.400	34.448	34.011	34.195
2016/08/15 17:00:00	34.338	34.459	34.131	34.459	34.093	34.422	34.074	34.400
2016/08/12 17:00:00	34.515	34.556	34.133	34.405	34.412	34.538	34.052	34.065
2016/08/11 17:00:00	34.306	34.516	34.054	34.515	34.177	34.471	34.046	34.412
2016/08/10 17:00:00	34.357	34.357	34.112	34.306	34.282	34.343	34.083	34.177
2016/08/09 17:00:00	34.390	34.402	34.154	34.357	34.286	34.364	34.147	34.282
2016/08/08 17:00:00	34.047	34.442	33.992	34.390	33.711	34.435	33.656	34.286
2016/08/05 17:00:00	33.640	34.129	33.573	34.113	33.542	33.908	33.533	33.779
2016/08/04 17:00:00	33.624	33.738	33.403	33.640	33.558	33.717	33.383	33.542
2016/08/03 17:00:00	33.749	33.845	33.457	33.624	33.693	33.817	33.451	33.558
2016/08/02 17:00:00	34.255	34.398	33.623	33.749	34.212	34.367	33.612	33.693
2016/08/01 17:00:00	34.332	34.467	34.119	34.255	34.113	34.459	33.996	34.212
2016/07/29 17:00:00	34.967	35.120	34.108	34.312	34.879	35.055	33.965	33.976
2016/07/28 17:00:00	34.952	34.977	34.581	34.967	34.861	34.946	34.571	34.879
2016/07/27 17:00:00	34.441	35.103	34.393	34.952	34.237	34.971	34.237	34.861
2016/07/26 17:00:00	34.857	34.882	34.175	34.441	34.728	34.831	34.169	34.237
2016/07/25 17:00:00	34.630	35.165	34.586	34.857	34.417	35.156	34.388	34.728
2016/07/22 17:00:00	34.623	34.872	34.394	34.727	34.285	34.865	34.265	34.396
2016/07/21 17:00:00	34.702	35.087	34.290	34.623	34.501	35.071	34.243	34.285
2016/07/20 17:00:00	35.023	35.283	34.465	34.702	34.705	35.273	34.415	34.501
2016/07/19 17:00:00	35.681	35.814	34.623	35.023	35.608	35.730	34.588	34.705
2016/07/18 17:00:00	35.507	36.119	35.241	35.681	35.384	36.110	35.231	35.608
2016/07/15 17:00:00	36.604	36.918	34.537	34.901	36.523	36.881	34.205	34.563
2016/07/14 17:00:00	36.058	36.643	35.842	36.604	35.995	36.630	35.802	36.523
2016/07/13 17:00:00	36.290	36.348	35.744	36.058	36.232	36.281	35.729	35.995
2016/07/12 17:00:00	35.424	36.367	35.266	36.290	35.350	36.349	35.253	36.232
2016/07/11 17:00:00	34.933	35.486	34.724	35.424	34.684	35.434	34.548	35.350
2016/07/08 17:00:00	34.376	34.985	34.140	34.980	34.235	34.815	34.082	34.538
2016/07/07 17:00:00	34.524	34.577	34.175	34.376	34.450	34.566	34.130	34.235
2016/07/06 17:00:00	34.808	34.830	34.025	34.524	34.646	34.734	34.020	34.450
2016/07/05 17:00:00	35.332	35.354	34.599	34.808	35.228	35.268	34.593	34.646
2016/07/04 17:00:00	35.386	35.578	35.252	35.332	35.305	35.564	35.112	35.228
2016/07/01 17:00:00	35.875	35.966	35.306	35.522	35.730	35.892	35.137	35.164
2016/06/30 17:00:00	35.648	35.931	35.234	35.875	35.492	35.858	35.220	35.730
2016/06/29 17:00:00	35.430	35.655	35.190	35.648	35.286	35.586	35.130	35.492
2016/06/28 17:00:00	34.833	35.549	34.595	35.430	34.547	35.527	34.547	35.286
2016/06/27 17:00:00	34.674	34.896	34.400	34.833	34.385	34.878	34.271	34.547
2016/06/24 17:00:00	37.243	37.669	33.196	35.279	37.106	37.520	32.725	34.603
2016/06/23 17:00:00	36.132	37.278	35.998	37.243	35.982	37.154	35.949	37.106
2016/06/22 17:00:00	36.056	36.157	35.800	36.132	35.931	36.150	35.776	35.982
2016/06/21 17:00:00	35.885	36.176	35.707	36.056	35.679	36.146	35.661	35.931
2016/06/20 17:00:00	35.894	36.129	35.710	35.885	35.816	36.116	35.674	35.679
2016/06/17 17:00:00	35.596	35.802	35.479	35.759	35.506	35.774	35.384	35.402
2016/06/16 17:00:00	36.262	36.418	35.081	35.596	36.204	36.204	35.067	35.506
2016/06/15 17:00:00	36.197	36.391	36.091	36.262	36.092	36.348	36.010	36.204
2016/06/14 17:00:00	36.421	36.444	35.938	36.197	36.331	36.381	35.920	36.092
2016/06/13 17:00:00	36.580	36.626	36.089	36.421	36.306	36.579	36.062	36.331
2016/06/10 17:00:00	37.041	37.063	36.329	36.676	36.967	37.009	36.300	36.310
2016/06/09 17:00:00	37.004	37.061	36.644	37.041	36.949	37.043	36.627	36.967
2016/06/08 17:00:00	37.095	37.182	36.830	37.004	37.004	37.171	36.807	36.949
2016/06/07 17:00:00	37.067	37.278	36.906	37.095	36.996	37.267	36.885	37.004
2016/06/06 17:00:00	36.715	37.082	36.601	37.067	36.560	37.063	36.501	36.996
2016/06/03 17:00:00	36.937	37.068	36.568	36.876	36.840	36.978	36.495	36.505
2016/06/02 17:00:00	37.262	37.344	36.773	36.937	37.188	37.198	36.761	36.840
2016/06/01 17:00:00	37.577	37.623	36.981	37.262	37.487	37.595	36.969	37.188
2016/05/31 17:00:00	37.644	37.787	37.414	37.577	37.573	37.775	37.398	37.487
2016/05/30 17:00:00	37.563	37.671	37.327	37.644	37.192	37.657	37.192	37.573
2016/05/27 17:00:00	37.452	37.464	37.132	37.439	37.267	37.427	37.042	37.070
2016/05/26 17:00:00	37.555	37.578	37.207	37.452	37.468	37.533	37.168	37.267
2016/05/25 17:00:00	37.358	37.614	37.277	37.555	37.295	37.602	37.227	37.468
2016/05/24 17:00:00	36.494	37.407	36.343	37.358	36.401	37.391	36.328	37.295
2016/05/23 17:00:00	37.117	37.160	36.468	36.494	36.771	36.993	36.395	36.401
2016/05/20 17:00:00	36.806	37.183	36.739	37.163	36.722	37.146	36.671	36.799
2016/05/19 17:00:00	36.936	36.936	36.584	36.806	36.845	36.897	36.570	36.722
2016/05/18 17:00:00	36.844	36.989	36.596	36.936	36.769	36.970	36.572	36.845
2016/05/17 17:00:00	36.681	36.978	36.584	36.844	36.592	36.956	36.547	36.769
2016/05/16 17:00:00	36.628	36.737	36.429	36.681	36.439	36.711	36.394	36.592
2016/05/13 17:00:00	36.875	36.962	36.583	36.761	36.731	36.951	36.380	36.399
2016/05/12 17:00:00	36.752	37.114	36.622	36.875	36.605	37.076	36.580	36.731
2016/05/11 17:00:00	37.055	37.082	36.505	36.752	37.006	37.049	36.495	36.605
2016/05/10 17:00:00	36.813	37.192	36.790	37.055	36.733	37.179	36.710	37.006
2016/05/09 17:00:00	36.772	37.005	36.631	36.813	36.407	36.991	36.363	36.733
2016/05/06 17:00:00	36.724	36.801	36.191	36.776	36.557	36.718	36.177	36.409
2016/05/05 17:00:00	36.184	36.970	36.129	36.724	35.974	36.944	35.974	36.557
2016/05/04 17:00:00	37.427	37.742	35.930	36.184	37.317	37.632	35.770	35.974
2016/05/03 17:00:00	37.914	37.956	37.199	37.427	37.852	37.908	37.186	37.317
2016/05/02 17:00:00	38.113	38.190	37.883	37.914	37.779	38.150	37.726	37.852
2016/04/29 17:00:00	38.404	38.469	37.956	38.195	38.309	38.408	37.784	37.796
2016/04/28 17:00:00	39.552	39.593	38.213	38.404	39.460	39.541	38.199	38.309
2016/04/27 17:00:00	39.483	39.654	39.177	39.552	39.374	39.529	39.167	39.460
2016/04/26 17:00:00	39.115	39.526	38.867	39.483	39.063	39.512	38.854	39.374
2016/04/25 17:00:00	39.343	39.522	38.908	39.115	39.159	39.210	38.896	39.063
2016/04/22 17:00:00	38.677	39.440	38.597	39.432	38.558	39.386	38.516	39.029
2016/04/21 17:00:00	39.125	39.151	38.588	38.677	39.010	39.013	38.557	38.558
2016/04/20 17:00:00	38.604	39.125	38.335	39.125	38.515	39.051	38.321	39.010
2016/04/19 17:00:00	38.340	38.712	38.321	38.604	38.279	38.700	38.245	38.515
2016/04/18 17:00:00	38.024	38.348	37.660	38.340	37.760	38.333	37.619	38.279
2016/04/15 17:00:00	38.403	38.496	38.024	38.284	38.319	38.462	37.888	37.893
2016/04/14 17:00:00	38.451	38.482	38.076	38.403	38.347	38.402	38.057	38.319
2016/04/13 17:00:00	38.302	38.458	38.175	38.451	38.252	38.435	38.158	38.347
2016/04/12 17:00:00	38.143	38.377	38.092	38.302	38.045	38.366	38.041	38.252
2016/04/11 17:00:00	38.187	38.381	37.730	38.143	37.797	38.364	37.646	38.045
2016/04/08 17:00:00	37.821	38.263	37.753	38.130	37.737	38.246	37.677	37.739
2016/04/07 17:00:00	38.678	38.704	37.608	37.821	38.578	38.651	37.591	37.737
2016/04/06 17:00:00	38.995	39.090	38.409	38.678	38.874	39.066	38.381	38.578
2016/04/05 17:00:00	39.644	39.673	38.849	38.995	39.528	39.542	38.826	38.874
2016/04/04 17:00:00	39.615	39.759	39.415	39.644	39.459	39.742	39.391	39.528
2016/04/01 17:00:00	39.980	40.010	39.487	39.723	39.910	39.937	39.309	39.381
2016/03/31 17:00:00	39.700	39.981	39.498	39.980	39.575	39.958	39.460	39.910
2016/03/30 17:00:00	39.734	39.776	39.461	39.700	39.657	39.738	39.432	39.575
2016/03/29 17:00:00	39.572	39.795	39.481	39.734	39.506	39.773	39.454	39.657
2016/03/28 17:00:00	39.446	39.580	39.407	39.572	39.251	39.536	39.205	39.506
2016/03/25 17:00:00	39.295	39.507	39.197	39.499	39.243	39.351	39.089	39.100
2016/03/24 17:00:00	39.095	39.317	38.954	39.295	39.019	39.246	38.933	39.243
2016/03/23 17:00:00	39.230	39.333	39.006	39.095	39.144	39.317	38.982	39.019
2016/03/22 17:00:00	39.140	39.248	38.642	39.230	39.077	39.233	38.614	39.144
2016/03/21 17:00:00	39.042	39.143	38.686	39.140	38.788	39.118	38.669	39.077
2016/03/18 17:00:00	39.203	39.238	38.826	39.083	39.127	39.185	38.680	38.686
2016/03/17 17:00:00	39.269	39.390	38.688	39.203	39.164	39.351	38.667	39.127
2016/03/16 17:00:00	39.069	39.336	38.794	39.269	38.984	39.258	38.779	39.164
2016/03/15 17:00:00	39.672	39.807	38.802	39.069	39.611	39.721	38.786	38.984
2016/03/14 17:00:00	39.600	39.747	39.358	39.672	39.525	39.704	39.338	39.611
2016/03/11 17:00:00	39.155	39.884	39.005	39.878	39.083	39.696	38.859	39.462
2016/03/10 17:00:00	39.232	39.718	38.771	39.155	39.141	39.697	38.746	39.083
2016/03/09 17:00:00	38.663	39.241	38.557	39.232	38.604	39.205	38.522	39.141
2016/03/08 17:00:00	38.942	38.982	38.513	38.663	38.853	38.877	38.494	38.604
2016/03/07 17:00:00	39.260	39.354	38.715	38.942	39.104	39.176	38.697	38.853
2016/03/04 17:00:00	39.079	39.368	38.811	39.367	39.021	39.308	38.792	38.960
2016/03/03 17:00:00	38.810	39.083	38.753	39.079	38.742	39.059	38.584	39.021
2016/03/02 17:00:00	38.899	38.991	38.633	38.810	38.727	38.952	38.614	38.742
2016/03/01 17:00:00	38.035	39.067	37.837	38.899	37.916	38.918	37.772	38.727
2016/02/29 17:00:00	38.145	38.280	37.786	38.035	38.006	38.261	37.757	37.916
