日時	"USD/CAD(始値, 買い)"	"USD/CAD(高値, 買い)"	"USD/CAD(安値, 買い)"	"USD/CAD(終値, 買い)"	"USD/CAD(始値, 売り)*"	"USD/CAD(高値, 売り)*"	"USD/CAD(安値, 売り)*"	"USD/CAD(終値, 売り)*"
2017/01/09 17:00:00	1.32568	1.32696	1.32270	1.32642	1.32435	1.32690	1.32258	1.32635
2017/01/06 17:00:00	1.32250	1.32685	1.31781	1.32450	1.32257	1.32681	1.31777	1.32365
2017/01/05 17:00:00	1.33005	1.33139	1.31918	1.32250	1.33005	1.33127	1.31912	1.32257
2017/01/04 17:00:00	1.34284	1.34577	1.32821	1.33005	1.34262	1.34573	1.32816	1.33005
2017/01/03 17:00:00	1.34410	1.34613	1.33989	1.34284	1.34348	1.34612	1.33984	1.34262
2016/12/30 17:00:00	1.35033	1.35086	1.34013	1.34410	1.35017	1.35073	1.34008	1.34348
2016/12/29 17:00:00	1.35603	1.35660	1.34810	1.35033	1.35592	1.35605	1.34810	1.35017
2016/12/28 17:00:00	1.35761	1.35987	1.35400	1.35603	1.35732	1.35985	1.35384	1.35592
2016/12/27 17:00:00	1.35453	1.35805	1.35179	1.35761	1.35321	1.35804	1.35168	1.35732
2016/12/23 17:00:00	1.34842	1.35575	1.34800	1.35453	1.34805	1.35571	1.34794	1.35321
2016/12/22 17:00:00	1.34129	1.35208	1.34109	1.34842	1.34120	1.35204	1.34101	1.34805
2016/12/21 17:00:00	1.33686	1.34277	1.33586	1.34129	1.33678	1.34273	1.33578	1.34120
2016/12/20 17:00:00	1.34068	1.34345	1.33602	1.33686	1.34066	1.34340	1.33599	1.33678
2016/12/19 17:00:00	1.33449	1.34230	1.33182	1.34068	1.33310	1.34225	1.33173	1.34066
2016/12/16 17:00:00	1.33361	1.33930	1.33190	1.33420	1.33355	1.33922	1.33180	1.33342
2016/12/15 17:00:00	1.32831	1.34177	1.32701	1.33361	1.32822	1.34170	1.32676	1.33355
2016/12/14 17:00:00	1.31326	1.32959	1.30820	1.32831	1.31318	1.32947	1.30800	1.32822
2016/12/13 17:00:00	1.31313	1.31406	1.31027	1.31326	1.31304	1.31398	1.31022	1.31318
2016/12/12 17:00:00	1.31430	1.31635	1.31087	1.31313	1.31391	1.31615	1.31082	1.31304
2016/12/09 17:00:00	1.31919	1.32131	1.31525	1.31835	1.31900	1.32127	1.31522	1.31692
2016/12/08 17:00:00	1.32339	1.32510	1.31847	1.31919	1.32335	1.32503	1.31842	1.31900
2016/12/07 17:00:00	1.32773	1.32979	1.32237	1.32339	1.32765	1.32968	1.32231	1.32335
2016/12/06 17:00:00	1.32745	1.33118	1.32526	1.32773	1.32703	1.33115	1.32522	1.32765
2016/12/05 17:00:00	1.32999	1.33573	1.32363	1.32745	1.32820	1.33573	1.32358	1.32703
2016/12/02 17:00:00	1.33183	1.33220	1.32555	1.32981	1.33182	1.33189	1.32536	1.32853
2016/12/01 17:00:00	1.34371	1.34420	1.33010	1.33183	1.34371	1.34388	1.33005	1.33182
2016/11/30 17:00:00	1.34324	1.34644	1.33575	1.34371	1.34315	1.34634	1.33567	1.34371
