日時	"USD/CHF(始値, 買い)"	"USD/CHF(高値, 買い)"	"USD/CHF(安値, 買い)"	"USD/CHF(終値, 買い)"	"USD/CHF(始値, 売り)*"	"USD/CHF(高値, 売り)*"	"USD/CHF(安値, 売り)*"	"USD/CHF(終値, 売り)*"
2017/01/09 17:00:00	1.01769	1.01933	1.01644	1.01721	1.01689	1.01926	1.01637	1.01714
2017/01/06 17:00:00	1.00994	1.01856	1.00945	1.01853	1.00984	1.01832	1.00938	1.01738
2017/01/05 17:00:00	1.02113	1.02263	1.00874	1.00994	1.02057	1.02208	1.00867	1.00984
2017/01/04 17:00:00	1.02751	1.02918	1.02020	1.02113	1.02727	1.02910	1.02006	1.02057
2017/01/03 17:00:00	1.01938	1.03356	1.01938	1.02751	1.01759	1.03351	1.01759	1.02727
2016/12/30 17:00:00	1.02350	1.02368	1.00682	1.01938	1.02284	1.02318	1.00569	1.01759
2016/12/29 17:00:00	1.02884	1.02894	1.02076	1.02350	1.02800	1.02855	1.02070	1.02284
2016/12/28 17:00:00	1.02839	1.03217	1.02650	1.02884	1.02756	1.03212	1.02644	1.02800
2016/12/27 17:00:00	1.02769	1.02986	1.02683	1.02839	1.02609	1.02983	1.02609	1.02756
2016/12/23 17:00:00	1.02557	1.02816	1.02436	1.02769	1.02537	1.02808	1.02430	1.02609
2016/12/22 17:00:00	1.02693	1.02746	1.02187	1.02557	1.02672	1.02692	1.02179	1.02537
2016/12/21 17:00:00	1.02949	1.02963	1.02274	1.02693	1.02857	1.02955	1.02266	1.02672
2016/12/20 17:00:00	1.02754	1.03208	1.02606	1.02949	1.02699	1.03203	1.02599	1.02857
2016/12/19 17:00:00	1.02735	1.02832	1.02216	1.02754	1.02578	1.02827	1.02211	1.02699
2016/12/16 17:00:00	1.03015	1.03121	1.02417	1.02690	1.02983	1.03115	1.02411	1.02639
2016/12/15 17:00:00	1.02038	1.03441	1.01988	1.03015	1.02010	1.03436	1.01943	1.02983
2016/12/14 17:00:00	1.01241	1.02238	1.00839	1.02038	1.01187	1.02233	1.00834	1.02010
2016/12/13 17:00:00	1.01356	1.01474	1.01007	1.01241	1.01296	1.01461	1.01003	1.01187
2016/12/12 17:00:00	1.01971	1.01994	1.01249	1.01356	1.01826	1.01987	1.01240	1.01296
2016/12/09 17:00:00	1.01637	1.02141	1.01539	1.01785	1.01619	1.02135	1.01532	1.01669
2016/12/08 17:00:00	1.00771	1.01786	1.00212	1.01637	1.00675	1.01780	1.00188	1.01619
2016/12/07 17:00:00	1.01061	1.01103	1.00660	1.00771	1.00977	1.01097	1.00657	1.00675
2016/12/06 17:00:00	1.00689	1.01157	1.00500	1.01061	1.00593	1.01152	1.00495	1.00977
2016/12/05 17:00:00	1.01246	1.01852	1.00507	1.00689	1.01149	1.01817	1.00500	1.00593
2016/12/02 17:00:00	1.01065	1.01230	1.00716	1.01091	1.01017	1.01226	1.00672	1.00989
2016/12/01 17:00:00	1.01787	1.01901	1.00998	1.01065	1.01642	1.01777	1.00991	1.01017
2016/11/30 17:00:00	1.01174	1.02055	1.01075	1.01787	1.01149	1.02048	1.01067	1.01642
2016/11/29 17:00:00	1.01336	1.01769	1.01109	1.01174	1.01184	1.01762	1.01105	1.01149
2016/11/28 17:00:00	1.01209	1.01685	1.00795	1.01336	1.01111	1.01679	1.00786	1.01184
2016/11/25 17:00:00	1.01736	1.01870	1.01054	1.01475	1.01595	1.01859	1.01049	1.01310
2016/11/24 17:00:00	1.01721	1.01922	1.01455	1.01736	1.01589	1.01915	1.01450	1.01595
2016/11/23 17:00:00	1.01134	1.01828	1.00924	1.01721	1.01112	1.01821	1.00916	1.01589
2016/11/22 17:00:00	1.00882	1.01348	1.00684	1.01134	1.00859	1.01343	1.00675	1.01112
2016/11/21 17:00:00	1.01156	1.01174	1.00752	1.00882	1.00994	1.01167	1.00746	1.00859
2016/11/18 17:00:00	1.00715	1.01237	1.00605	1.01081	1.00689	1.01229	1.00599	1.00981
2016/11/17 17:00:00	1.00211	1.00741	0.99947	1.00715	1.00203	1.00735	0.99942	1.00689
2016/11/16 17:00:00	1.00191	1.00587	0.99843	1.00211	1.00169	1.00588	0.99836	1.00203
2016/11/15 17:00:00	0.99804	1.00250	0.99294	1.00191	0.99799	1.00255	0.99290	1.00169
2016/11/14 17:00:00	0.98981	1.00024	0.98861	0.99804	0.98899	1.00020	0.98813	0.99799
2016/11/11 17:00:00	0.98706	0.98936	0.98325	0.98884	0.98650	0.98930	0.98320	0.98715
2016/11/10 17:00:00	0.98463	0.98971	0.98213	0.98706	0.98438	0.98966	0.98204	0.98650
2016/11/09 17:00:00	0.97799	0.98496	0.95507	0.98463	0.97771	0.98478	0.95493	0.98438
2016/11/08 17:00:00	0.97458	0.97898	0.97356	0.97799	0.97431	0.97898	0.97352	0.97771
2016/11/07 17:00:00	0.97779	0.97899	0.97304	0.97458	0.97730	0.97895	0.97299	0.97431
2016/11/04 17:00:00	0.97408	0.97583	0.96815	0.96880	0.97394	0.97581	0.96788	0.96799
2016/11/03 17:00:00	0.97338	0.97606	0.96957	0.97408	0.97335	0.97601	0.96952	0.97394
2016/11/02 17:00:00	0.97548	0.97554	0.96955	0.97338	0.97526	0.97540	0.96951	0.97335
2016/11/01 17:00:00	0.98916	0.98992	0.97286	0.97548	0.98900	0.98989	0.97282	0.97526
2016/10/31 17:00:00	0.98736	0.99077	0.98698	0.98916	0.98693	0.99073	0.98680	0.98900
2016/10/28 17:00:00	0.99375	0.99506	0.98586	0.98823	0.99353	0.99502	0.98579	0.98749
2016/10/27 17:00:00	0.99359	0.99514	0.99122	0.99375	0.99334	0.99510	0.99116	0.99353
2016/10/26 17:00:00	0.99436	0.99593	0.99036	0.99359	0.99430	0.99587	0.99031	0.99334
2016/10/25 17:00:00	0.99361	0.99992	0.99330	0.99436	0.99343	0.99988	0.99308	0.99430
2016/10/24 17:00:00	0.99505	0.99570	0.99159	0.99361	0.99455	0.99565	0.99155	0.99343
2016/10/21 17:00:00	0.99338	0.99621	0.99244	0.99365	0.99239	0.99618	0.99225	0.99329
2016/10/20 17:00:00	0.98906	0.99338	0.98431	0.99338	0.98889	0.99331	0.98422	0.99239
2016/10/19 17:00:00	0.98997	0.99060	0.98755	0.98906	0.98982	0.99051	0.98747	0.98889
2016/10/18 17:00:00	0.98917	0.99150	0.98673	0.98997	0.98893	0.99143	0.98663	0.98982
2016/10/17 17:00:00	0.99046	0.99083	0.98719	0.98917	0.99009	0.99076	0.98715	0.98893
2016/10/14 17:00:00	0.98637	0.99053	0.98562	0.99041	0.98597	0.99048	0.98556	0.99018
2016/10/13 17:00:00	0.99073	0.99106	0.98595	0.98637	0.99050	0.99097	0.98592	0.98597
2016/10/12 17:00:00	0.98894	0.99100	0.98748	0.99073	0.98881	0.99097	0.98741	0.99050
2016/10/11 17:00:00	0.98260	0.98938	0.98216	0.98894	0.98247	0.98934	0.98196	0.98881
2016/10/10 17:00:00	0.97931	0.98396	0.97726	0.98260	0.97874	0.98391	0.97692	0.98247
