日時	"USD/CNH(始値, 買い)"	"USD/CNH(高値, 買い)"	"USD/CNH(安値, 買い)"	"USD/CNH(終値, 買い)"	"USD/CNH(始値, 売り)*"	"USD/CNH(高値, 売り)*"	"USD/CNH(安値, 売り)*"	"USD/CNH(終値, 売り)*"
2016/12/29 17:00:00	6.97279	6.98799	6.96384	6.96557	6.96900	6.98700	6.96341	6.96492
2016/12/28 17:00:00	6.96069	6.97989	6.94949	6.97279	6.95741	6.97944	6.94900	6.96900
2016/12/27 17:00:00	6.95479	6.96345	6.95146	6.96069	6.94943	6.96321	6.94940	6.95741
2016/12/26 17:00:00	6.96187	6.96187	6.95430	6.95479	6.95182	6.95182	6.94943	6.94943
2016/12/23 17:00:00	6.95107	6.96187	6.94389	6.96187	6.94811	6.95821	6.94359	6.95182
2016/12/22 17:00:00	6.93423	6.95107	6.93084	6.95107	6.92851	6.94929	6.92837	6.94811
2016/12/21 17:00:00	6.93999	6.94809	6.92208	6.93423	6.93821	6.94771	6.92091	6.92851
2016/12/20 17:00:00	6.93399	6.95439	6.93156	6.93999	6.93111	6.95391	6.93021	6.93821
2016/12/19 17:00:00	6.96900	6.97040	6.92441	6.93399	6.96332	6.96551	6.92370	6.93111
2016/12/16 17:00:00	6.93499	6.97131	6.93067	6.97131	6.93011	6.96930	6.92850	6.96126
2016/12/15 17:00:00	6.92809	6.95123	6.91939	6.93499	6.92421	6.95021	6.91913	6.93011
2016/12/14 17:00:00	6.92179	6.93192	6.89499	6.92809	6.92021	6.93144	6.89281	6.92421
2016/12/13 17:00:00	6.92609	6.93469	6.91839	6.92179	6.92401	6.93365	6.91763	6.92021
2016/12/12 17:00:00	6.93133	6.94333	6.92399	6.92609	6.92128	6.94309	6.92128	6.92401
2016/12/09 17:00:00	6.91439	6.94002	6.90968	6.93133	6.90779	6.93982	6.90779	6.92128
2016/12/08 17:00:00	6.89699	6.91681	6.88749	6.91439	6.89435	6.91633	6.88649	6.90779
2016/12/07 17:00:00	6.88859	6.90979	6.88634	6.89699	6.88741	6.90747	6.88570	6.89435
2016/12/06 17:00:00	6.86750	6.88879	6.86049	6.88859	6.85601	6.88741	6.85600	6.88741
2016/12/05 17:00:00	6.88050	6.89043	6.85588	6.86750	6.86430	6.88920	6.85512	6.85601
2016/12/02 17:00:00	6.88129	6.89150	6.86865	6.87718	6.87869	6.89116	6.86713	6.86713
2016/12/01 17:00:00	6.91849	6.92050	6.87629	6.88129	6.91721	6.91981	6.87594	6.87869
2016/11/30 17:00:00	6.91449	6.92250	6.89360	6.91849	6.91161	6.91963	6.89331	6.91721
2016/11/29 17:00:00	6.92666	6.92979	6.91128	6.91449	6.92554	6.92924	6.91111	6.91161
2016/11/28 17:00:00	6.95220	6.95330	6.91981	6.92666	6.94300	6.94586	6.91960	6.92554
2016/11/25 17:00:00	6.94850	6.95900	6.93526	6.95084	6.94515	6.95851	6.93492	6.94079
2016/11/24 17:00:00	6.95419	6.96616	6.94016	6.94850	6.95301	6.96521	6.93992	6.94515
2016/11/23 17:00:00	6.91389	6.95738	6.91083	6.95419	6.91231	6.95654	6.90898	6.95301
2016/11/22 17:00:00	6.90599	6.91560	6.89679	6.91389	6.90295	6.91541	6.89620	6.91231
2016/11/21 17:00:00	6.91160	6.91839	6.89899	6.90599	6.90240	6.91783	6.89694	6.90295
2016/11/18 17:00:00	6.90654	6.91336	6.88479	6.91218	6.90361	6.91252	6.88430	6.90213
2016/11/17 17:00:00	6.89047	6.90725	6.87925	6.90654	6.88691	6.90467	6.87901	6.90361
2016/11/16 17:00:00	6.87547	6.89652	6.87041	6.89047	6.87201	6.89579	6.86994	6.88691
2016/11/15 17:00:00	6.85469	6.88004	6.84721	6.87547	6.85371	6.87965	6.84678	6.87201
2016/11/14 17:00:00	6.82450	6.86449	6.82298	6.85469	6.81990	6.86391	6.81830	6.85371
2016/11/11 17:00:00	6.83373	6.85026	6.80189	6.82781	6.83081	6.84945	6.80071	6.81776
2016/11/10 17:00:00	6.83489	6.83580	6.80889	6.83373	6.83321	6.83468	6.80863	6.83081
2016/11/09 17:00:00	6.79869	6.83930	6.77419	6.83489	6.79741	6.83791	6.77304	6.83321
2016/11/08 17:00:00	6.79449	6.80049	6.78729	6.79869	6.79301	6.80001	6.78711	6.79741
2016/11/07 17:00:00	6.78244	6.79469	6.77708	6.79449	6.77610	6.79433	6.77250	6.79301
2016/11/04 17:00:00	6.77019	6.77695	6.76440	6.77695	6.76951	6.77241	6.76416	6.76690
2016/11/03 17:00:00	6.76869	6.77424	6.76659	6.77019	6.76801	6.77401	6.76321	6.76951
2016/11/02 17:00:00	6.77359	6.77700	6.76330	6.76869	6.77311	6.77593	6.76284	6.76801
2016/11/01 17:00:00	6.77804	6.78632	6.77209	6.77359	6.77731	6.78611	6.77191	6.77311
2016/10/31 17:00:00	6.78970	6.79030	6.77726	6.77804	6.78370	6.78781	6.77690	6.77731
2016/10/28 17:00:00	6.79709	6.79900	6.78320	6.78844	6.79391	6.79843	6.77839	6.77839
2016/10/27 17:00:00	6.78509	6.79773	6.78389	6.79709	6.78421	6.79712	6.78330	6.79391
2016/10/26 17:00:00	6.77738	6.78637	6.77438	6.78509	6.77371	6.78611	6.77220	6.78421
2016/10/25 17:00:00	6.78289	6.78868	6.77324	6.77738	6.78161	6.78841	6.77292	6.77371
2016/10/24 17:00:00	6.77420	6.78809	6.77089	6.78289	6.76960	6.78800	6.76930	6.78161
2016/10/21 17:00:00	6.74979	6.77638	6.74929	6.77529	6.74921	6.77611	6.74670	6.76524
2016/10/20 17:00:00	6.74009	6.75010	6.73942	6.74979	6.73851	6.74931	6.73830	6.74921
2016/10/19 17:00:00	6.74564	6.74930	6.73813	6.74009	6.74221	6.74711	6.73750	6.73851
2016/10/18 17:00:00	6.74899	6.75040	6.73929	6.74564	6.74508	6.74941	6.73893	6.74221
2016/10/17 17:00:00	6.73915	6.75031	6.73679	6.74899	6.73510	6.75010	6.73200	6.74508
2016/10/14 17:00:00	6.73469	6.74320	6.72999	6.74320	6.73229	6.73778	6.72875	6.73315
2016/10/13 17:00:00	6.72579	6.74329	6.72579	6.73469	6.72511	6.74271	6.72470	6.73229
2016/10/12 17:00:00	6.72959	6.73220	6.71772	6.72579	6.72831	6.73119	6.71709	6.72511
2016/10/11 17:00:00	6.71749	6.73198	6.71749	6.72959	6.71671	6.73161	6.71420	6.72831
2016/10/10 17:00:00	6.71543	6.71884	6.70149	6.71749	6.70459	6.71844	6.70111	6.71671
2016/10/07 17:00:00	6.70739	6.71867	6.70179	6.71342	6.70641	6.71816	6.70141	6.70307
2016/10/06 17:00:00	6.70009	6.71458	6.69240	6.70739	6.69801	6.71424	6.69210	6.70641
2016/10/05 17:00:00	6.69449	6.70020	6.68919	6.70009	6.69243	6.69981	6.68896	6.69801
2016/10/04 17:00:00	6.67939	6.69549	6.67789	6.69449	6.67731	6.69506	6.67640	6.69243
2016/10/03 17:00:00	6.67793	6.68150	6.67439	6.67939	6.67189	6.67985	6.66960	6.67731
2016/09/30 17:00:00	6.67039	6.68200	6.67039	6.67946	6.66820	6.68165	6.66820	6.66911
2016/09/29 17:00:00	6.68290	6.68759	6.66943	6.67039	6.68160	6.68713	6.66779	6.66820
2016/09/28 17:00:00	6.68416	6.69056	6.68090	6.68290	6.68337	6.69026	6.68061	6.68160
2016/09/27 17:00:00	6.68476	6.68610	6.67739	6.68416	6.68252	6.68566	6.67711	6.68337
2016/09/26 17:00:00	6.68280	6.68564	6.67828	6.68476	6.67650	6.68530	6.67650	6.68252
2016/09/23 17:00:00	6.68300	6.68516	6.67349	6.68516	6.68120	6.68361	6.67322	6.67481
2016/09/22 17:00:00	6.66916	6.68369	6.66779	6.68300	6.66782	6.68321	6.66670	6.68120
2016/09/21 17:00:00	6.68298	6.68504	6.66857	6.66916	6.68152	6.68453	6.66750	6.66782
2016/09/20 17:00:00	6.66689	6.68510	6.66652	6.68298	6.66543	6.68475	6.66370	6.68152
2016/09/19 17:00:00	6.66140	6.67150	6.65759	6.66689	6.65370	6.67127	6.65370	6.66543
2016/09/16 17:00:00	6.65102	6.65955	6.64264	6.65955	6.64908	6.65633	6.64191	6.64920
2016/09/15 17:00:00	6.66797	6.67430	6.64819	6.65102	6.66651	6.67400	6.64790	6.64908
