日時	"USD/CZK(始値, 買い)"	"USD/CZK(高値, 買い)"	"USD/CZK(安値, 買い)"	"USD/CZK(終値, 買い)"	"USD/CZK(始値, 売り)*"	"USD/CZK(高値, 売り)*"	"USD/CZK(安値, 売り)*"	"USD/CZK(終値, 売り)*"
2017/01/09 17:00:00	25.6670	25.7094	25.5995	25.6945	25.6530	25.7050	25.5944	25.6893
2017/01/06 17:00:00	25.4800	25.6750	25.4460	25.6610	25.4680	25.6710	25.4300	25.6390
2017/01/05 17:00:00	25.7700	25.7830	25.4566	25.4800	25.7520	25.7770	25.4530	25.4680
2017/01/04 17:00:00	25.9710	26.0091	25.7362	25.7700	25.9640	26.0040	25.7310	25.7520
2017/01/03 17:00:00	25.6900	26.1330	25.6900	25.9710	25.6530	26.1286	25.6530	25.9640
2016/12/30 17:00:00	25.7650	25.7770	25.3764	25.6900	25.7500	25.7650	25.3335	25.6530
2016/12/29 17:00:00	25.9640	25.9730	25.7510	25.7650	25.9410	25.9560	25.7460	25.7500
2016/12/28 17:00:00	25.8450	26.0800	25.7880	25.9640	25.8310	26.0738	25.7790	25.9410
2016/12/27 17:00:00	25.8770	25.9110	25.8290	25.8450	25.8170	25.8980	25.8170	25.8310
2016/12/23 17:00:00	25.8990	25.9210	25.8180	25.8770	25.8880	25.9150	25.8100	25.8170
2016/12/22 17:00:00	25.9260	25.9260	25.7396	25.8990	25.9160	25.9170	25.7350	25.8880
2016/12/21 17:00:00	26.0170	26.0270	25.8556	25.9260	26.0020	26.0220	25.8510	25.9160
2016/12/20 17:00:00	25.9790	26.1020	25.9400	26.0170	25.9710	26.0991	25.9350	26.0020
2016/12/19 17:00:00	25.8880	26.0020	25.7880	25.9790	25.8730	25.9980	25.7820	25.9710
2016/12/16 17:00:00	25.9520	25.9810	25.7996	25.8780	25.9420	25.9771	25.7950	25.8320
2016/12/15 17:00:00	25.6540	26.0670	25.6420	25.9520	25.6420	26.0631	25.6350	25.9420
2016/12/14 17:00:00	25.4410	25.7495	25.3277	25.6540	25.4260	25.7396	25.3205	25.6420
2016/12/13 17:00:00	25.4210	25.4860	25.3349	25.4410	25.4120	25.4810	25.3320	25.4260
2016/12/12 17:00:00	25.6840	25.6840	25.3828	25.4210	25.6430	25.6720	25.3760	25.4120
2016/12/09 17:00:00	25.5000	25.6679	25.4300	25.6130	25.4750	25.6590	25.4260	25.5800
2016/12/08 17:00:00	25.1450	25.5290	24.8734	25.5000	25.1330	25.5220	24.8570	25.4750
2016/12/07 17:00:00	25.2400	25.2500	25.1018	25.1450	25.2220	25.2450	25.0990	25.1330
2016/12/06 17:00:00	25.1380	25.2782	25.0893	25.2400	25.1190	25.2732	25.0827	25.2220
2016/12/05 17:00:00	25.3820	25.7659	25.0549	25.1380	25.3440	25.7200	25.0478	25.1190
2016/12/02 17:00:00	25.3900	25.4737	25.3190	25.4210	25.3630	25.4686	25.3122	25.3190
2016/12/01 17:00:00	25.5550	25.5684	25.3626	25.3900	25.5370	25.5635	25.3534	25.3630
2016/11/30 17:00:00	25.4120	25.6381	25.3748	25.5550	25.4040	25.6331	25.3700	25.5370
2016/11/29 17:00:00	25.5020	25.6040	25.4010	25.4120	25.4840	25.5993	25.3941	25.4040
2016/11/28 17:00:00	25.4850	25.6023	25.3105	25.5020	25.4570	25.5972	25.2970	25.4840
