日時	"USD/HKD(始値, 買い)"	"USD/HKD(高値, 買い)"	"USD/HKD(安値, 買い)"	"USD/HKD(終値, 買い)"	"USD/HKD(始値, 売り)*"	"USD/HKD(高値, 売り)*"	"USD/HKD(安値, 売り)*"	"USD/HKD(終値, 売り)*"
2017/01/09 17:00:00	7.75570	7.75610	7.75466	7.75580	7.75480	7.75585	7.75452	7.75565
2017/01/06 17:00:00	7.75440	7.75622	7.75412	7.75622	7.75420	7.75584	7.75392	7.75470
2017/01/05 17:00:00	7.75544	7.75601	7.75350	7.75440	7.75479	7.75585	7.75343	7.75420
2017/01/04 17:00:00	7.75666	7.75689	7.75496	7.75544	7.75615	7.75669	7.75477	7.75479
2017/01/03 17:00:00	7.75672	7.75892	7.75577	7.75666	7.75333	7.75826	7.75333	7.75615
2016/12/30 17:00:00	7.75514	7.75673	7.75311	7.75672	7.75499	7.75659	7.75299	7.75333
2016/12/29 17:00:00	7.75908	7.75908	7.75500	7.75514	7.75740	7.75825	7.75480	7.75499
2016/12/28 17:00:00	7.75984	7.76042	7.75633	7.75908	7.75882	7.76027	7.75623	7.75740
2016/12/27 17:00:00	7.76043	7.76080	7.75864	7.75984	7.75846	7.76067	7.75846	7.75882
2016/12/23 17:00:00	7.76217	7.76395	7.75865	7.76043	7.76183	7.76377	7.75835	7.75846
2016/12/22 17:00:00	7.76353	7.76413	7.76016	7.76217	7.76207	7.76397	7.76003	7.76183
2016/12/21 17:00:00	7.76694	7.76731	7.75990	7.76353	7.76552	7.76633	7.75974	7.76207
2016/12/20 17:00:00	7.76676	7.76786	7.76423	7.76694	7.76634	7.76773	7.76410	7.76552
2016/12/19 17:00:00	7.76654	7.76799	7.76364	7.76676	7.76436	7.76789	7.76348	7.76634
2016/12/16 17:00:00	7.76059	7.76802	7.75962	7.76609	7.76031	7.76795	7.75953	7.76301
2016/12/15 17:00:00	7.75932	7.76081	7.75749	7.76059	7.75749	7.76075	7.75653	7.76031
2016/12/14 17:00:00	7.75631	7.75932	7.75526	7.75932	7.75548	7.75913	7.75456	7.75749
2016/12/13 17:00:00	7.75805	7.75946	7.75573	7.75631	7.75749	7.75933	7.75547	7.75548
2016/12/12 17:00:00	7.76032	7.76101	7.75764	7.75805	7.75769	7.76015	7.75700	7.75749
2016/12/09 17:00:00	7.75561	7.75991	7.75552	7.75970	7.75519	7.75985	7.75519	7.75890
2016/12/08 17:00:00	7.75651	7.75739	7.75531	7.75561	7.75578	7.75724	7.75505	7.75519
2016/12/07 17:00:00	7.75618	7.75720	7.75543	7.75651	7.75538	7.75710	7.75527	7.75578
2016/12/06 17:00:00	7.75531	7.75618	7.75464	7.75618	7.75460	7.75615	7.75451	7.75538
2016/12/05 17:00:00	7.75728	7.75728	7.75451	7.75531	7.75392	7.75598	7.75392	7.75460
2016/12/02 17:00:00	7.75649	7.75663	7.75498	7.75621	7.75603	7.75618	7.75489	7.75535
2016/12/01 17:00:00	7.75703	7.75703	7.75511	7.75649	7.75592	7.75656	7.75503	7.75603
2016/11/30 17:00:00	7.75681	7.75703	7.75555	7.75703	7.75617	7.75685	7.75550	7.75592
2016/11/29 17:00:00	7.75681	7.75711	7.75570	7.75681	7.75656	7.75677	7.75560	7.75617
2016/11/28 17:00:00	7.75778	7.75778	7.75511	7.75681	7.75442	7.75679	7.75442	7.75656
2016/11/25 17:00:00	7.75701	7.75701	7.75564	7.75694	7.75579	7.75663	7.75497	7.75497
2016/11/24 17:00:00	7.75704	7.75719	7.75540	7.75701	7.75646	7.75687	7.75527	7.75579
2016/11/23 17:00:00	7.75662	7.75718	7.75490	7.75704	7.75479	7.75705	7.75479	7.75646
2016/11/22 17:00:00	7.75610	7.75662	7.75491	7.75662	7.75579	7.75639	7.75478	7.75479
2016/11/21 17:00:00	7.75848	7.75848	7.75587	7.75610	7.75553	7.75713	7.75553	7.75579
2016/11/18 17:00:00	7.75751	7.75788	7.75661	7.75701	7.75719	7.75774	7.75628	7.75649
2016/11/17 17:00:00	7.75795	7.75818	7.75611	7.75751	7.75751	7.75788	7.75601	7.75719
2016/11/16 17:00:00	7.75808	7.75839	7.75662	7.75795	7.75765	7.75821	7.75649	7.75751
2016/11/15 17:00:00	7.75881	7.75881	7.75621	7.75808	7.75804	7.75853	7.75605	7.75765
2016/11/14 17:00:00	7.75988	7.75988	7.75661	7.75881	7.75682	7.75889	7.75651	7.75804
2016/11/11 17:00:00	7.75697	7.75916	7.75592	7.75916	7.75549	7.75877	7.75479	7.75752
2016/11/10 17:00:00	7.75621	7.75816	7.75460	7.75697	7.75578	7.75716	7.75448	7.75549
2016/11/09 17:00:00	7.75539	7.75635	7.75353	7.75621	7.75409	7.75619	7.75333	7.75578
2016/11/08 17:00:00	7.75552	7.75598	7.75362	7.75539	7.75509	7.75590	7.75353	7.75409
2016/11/07 17:00:00	7.75658	7.75726	7.75521	7.75552	7.75533	7.75710	7.75485	7.75509
2016/11/04 17:00:00	7.75530	7.75668	7.75508	7.75624	7.75483	7.75639	7.75476	7.75539
2016/11/03 17:00:00	7.75583	7.75590	7.75467	7.75530	7.75479	7.75579	7.75444	7.75483
2016/11/02 17:00:00	7.75540	7.75591	7.75466	7.75583	7.75460	7.75569	7.75450	7.75479
2016/11/01 17:00:00	7.75572	7.75582	7.75462	7.75540	7.75469	7.75569	7.75454	7.75460
2016/10/31 17:00:00	7.75545	7.75572	7.75437	7.75572	7.75445	7.75553	7.75395	7.75469
2016/10/28 17:00:00	7.75540	7.75617	7.75360	7.75617	7.75496	7.75549	7.75349	7.75449
