日時	"USD/MXN(始値, 買い)"	"USD/MXN(高値, 買い)"	"USD/MXN(安値, 買い)"	"USD/MXN(終値, 買い)"	"USD/MXN(始値, 売り)*"	"USD/MXN(高値, 売り)*"	"USD/MXN(安値, 売り)*"	"USD/MXN(終値, 売り)*"
2016/12/29 17:00:00	20.75700	20.76992	20.64260	20.66690	20.74920	20.75700	20.63950	20.66480
2016/12/28 17:00:00	20.76400	20.79551	20.69951	20.75700	20.75640	20.79420	20.69714	20.74920
2016/12/27 17:00:00	20.63770	20.77640	20.58909	20.76400	20.62730	20.77520	20.58550	20.75640
2016/12/26 17:00:00	20.64080	20.67070	20.59710	20.63770	20.59330	20.63850	20.56720	20.62730
2016/12/23 17:00:00	20.76560	20.80386	20.59380	20.62040	20.74570	20.80120	20.58040	20.58040
2016/12/22 17:00:00	20.56410	20.83870	20.55390	20.76560	20.55730	20.83660	20.52700	20.74570
2016/12/21 17:00:00	20.45770	20.59594	20.41920	20.56410	20.45400	20.59481	20.41660	20.55730
2016/12/20 17:00:00	20.39170	20.48080	20.36290	20.45770	20.36750	20.47890	20.34584	20.45400
2016/12/19 17:00:00	20.48670	20.51649	20.36880	20.39170	20.43020	20.51401	20.36736	20.36750
2016/12/16 17:00:00	20.33680	20.48809	20.30730	20.45350	20.33410	20.48471	20.30548	20.41350
2016/12/15 17:00:00	20.47310	20.69510	20.31130	20.33680	20.46590	20.69330	20.30620	20.33410
2016/12/14 17:00:00	20.28730	20.49430	20.18000	20.47310	20.27940	20.49240	20.17842	20.46590
2016/12/13 17:00:00	20.21460	20.30130	20.18646	20.28730	20.20810	20.29941	20.18400	20.27940
2016/12/12 17:00:00	20.39220	20.39672	20.14310	20.21460	20.34770	20.39048	20.14164	20.20810
2016/12/09 17:00:00	20.32380	20.49705	20.28550	20.41190	20.30910	20.49510	20.28304	20.37190
2016/12/08 17:00:00	20.34480	20.49350	20.28246	20.32380	20.32500	20.49090	20.28220	20.30910
2016/12/07 17:00:00	20.41410	20.43870	20.22460	20.34480	20.38530	20.41750	20.22200	20.32500
2016/12/06 17:00:00	20.60330	20.60960	20.31513	20.41410	20.58530	20.59730	20.31375	20.38530
2016/12/05 17:00:00	20.66680	20.74550	20.54583	20.60330	20.56600	20.73780	20.54440	20.58530
2016/12/02 17:00:00	20.78360	20.85715	20.55329	20.65650	20.77740	20.85600	20.55120	20.61650
