日時	"USD/NOK(始値, 買い)"	"USD/NOK(高値, 買い)"	"USD/NOK(安値, 買い)"	"USD/NOK(終値, 買い)"	"USD/NOK(始値, 売り)*"	"USD/NOK(高値, 売り)*"	"USD/NOK(安値, 売り)*"	"USD/NOK(終値, 売り)*"
2017/01/09 17:00:00	8.55306	8.57378	8.52560	8.56370	8.53350	8.57239	8.52339	8.56234
2017/01/06 17:00:00	8.48190	8.55141	8.46521	8.55141	8.47518	8.54610	8.45310	8.52751
2017/01/05 17:00:00	8.60460	8.60480	8.47509	8.48190	8.58470	8.60077	8.47211	8.47518
2017/01/04 17:00:00	8.66180	8.67690	8.58731	8.60460	8.65320	8.66700	8.58430	8.58470
2017/01/03 17:00:00	8.65354	8.68942	8.62850	8.66180	8.62290	8.68820	8.62290	8.65320
2016/12/30 17:00:00	8.65056	8.66535	8.53666	8.65354	8.63310	8.64828	8.50399	8.62290
2016/12/29 17:00:00	8.73200	8.73230	8.64506	8.65056	8.71740	8.72080	8.63283	8.63310
2016/12/28 17:00:00	8.71290	8.75930	8.69054	8.73200	8.69740	8.75770	8.68480	8.71740
2016/12/27 17:00:00	8.71498	8.72490	8.69883	8.71290	8.68413	8.72340	8.68323	8.69740
2016/12/23 17:00:00	8.71580	8.73624	8.68630	8.71498	8.70980	8.72281	8.67803	8.68413
2016/12/22 17:00:00	8.68300	8.72510	8.66303	8.71580	8.67821	8.72410	8.65950	8.70980
2016/12/21 17:00:00	8.70830	8.71213	8.63109	8.68300	8.70050	8.70876	8.62950	8.67821
2016/12/20 17:00:00	8.68880	8.72680	8.67467	8.70830	8.68550	8.72580	8.67320	8.70050
2016/12/19 17:00:00	8.70250	8.70250	8.63188	8.68880	8.67617	8.69836	8.63080	8.68550
2016/12/16 17:00:00	8.67580	8.71610	8.64402	8.69034	8.66129	8.71423	8.64250	8.65948
2016/12/15 17:00:00	8.58780	8.70250	8.54820	8.67580	8.56270	8.70098	8.54720	8.66129
2016/12/14 17:00:00	8.44320	8.60900	8.41080	8.58780	8.41070	8.60520	8.40920	8.56270
2016/12/13 17:00:00	8.44320	8.45540	8.39725	8.44320	8.43140	8.45406	8.39650	8.41070
2016/12/12 17:00:00	8.51070	8.51290	8.42272	8.44320	8.49980	8.50000	8.42330	8.43140
2016/12/09 17:00:00	8.43790	8.53133	8.42640	8.52350	8.42640	8.53010	8.41647	8.49060
2016/12/08 17:00:00	8.36440	8.46460	8.32035	8.43790	8.36100	8.46370	8.31123	8.42640
2016/12/07 17:00:00	8.41410	8.42420	8.34772	8.36440	8.39770	8.42280	8.34640	8.36100
2016/12/06 17:00:00	8.37420	8.41410	8.34030	8.41410	8.36920	8.40650	8.33880	8.39770
2016/12/05 17:00:00	8.41650	8.53940	8.34810	8.37420	8.39610	8.52851	8.34620	8.36920
2016/12/02 17:00:00	8.43000	8.47180	8.39870	8.43310	8.40890	8.46290	8.39165	8.39734
2016/12/01 17:00:00	8.52820	8.52820	8.41410	8.43000	8.52140	8.52460	8.40840	8.40890
2016/11/30 17:00:00	8.54350	8.55152	8.45430	8.52820	8.52100	8.54988	8.45300	8.52140
2016/11/29 17:00:00	8.54580	8.59250	8.52161	8.54350	8.53390	8.59180	8.51720	8.52100
2016/11/28 17:00:00	8.58020	8.59360	8.51117	8.54580	8.54380	8.59207	8.50584	8.53390
2016/11/25 17:00:00	8.61170	8.61170	8.54090	8.60129	8.58840	8.60833	8.54020	8.55997
2016/11/24 17:00:00	8.61720	8.64241	8.57096	8.61170	8.60950	8.64124	8.56910	8.58840
2016/11/23 17:00:00	8.52340	8.62679	8.50510	8.61720	8.51550	8.62530	8.49690	8.60950
2016/11/22 17:00:00	8.55650	8.55860	8.49422	8.52340	8.53060	8.55602	8.49250	8.51550
2016/11/21 17:00:00	8.62030	8.62040	8.52482	8.55650	8.57900	8.60412	8.52340	8.53060
2016/11/18 17:00:00	8.54710	8.62060	8.53900	8.62060	8.53920	8.61050	8.53750	8.58050
2016/11/17 17:00:00	8.48260	8.54960	8.45050	8.54710	8.47350	8.54800	8.44896	8.53920
