日時	"USD/SEK(始値, 買い)"	"USD/SEK(高値, 買い)"	"USD/SEK(安値, 買い)"	"USD/SEK(終値, 買い)"	"USD/SEK(始値, 売り)*"	"USD/SEK(高値, 売り)*"	"USD/SEK(安値, 売り)*"	"USD/SEK(終値, 売り)*"
2017/01/09 17:00:00	9.07156	9.09370	9.05379	9.08442	9.06006	9.09248	9.05130	9.08330
2017/01/06 17:00:00	9.00443	9.07704	8.99277	9.07414	8.98250	9.07614	8.97980	9.04998
2017/01/05 17:00:00	9.11120	9.11500	8.99119	9.00443	9.09600	9.11170	8.97970	8.98250
2017/01/04 17:00:00	9.16790	9.17792	9.09588	9.11120	9.15710	9.17538	9.09360	9.09600
2017/01/03 17:00:00	9.12029	9.20598	9.10310	9.16790	9.08800	9.20500	9.08800	9.15710
2016/12/30 17:00:00	9.13600	9.13600	9.01133	9.12029	9.10640	9.12760	8.98240	9.08800
2016/12/29 17:00:00	9.21500	9.21542	9.10950	9.13600	9.19530	9.20002	9.10430	9.10640
2016/12/28 17:00:00	9.23340	9.23480	9.18140	9.21500	9.21160	9.22500	9.17960	9.19530
2016/12/27 17:00:00	9.22324	9.25160	9.20480	9.23340	9.19215	9.25030	9.19215	9.21160
2016/12/23 17:00:00	9.23040	9.24390	9.18703	9.22324	9.21617	9.24240	9.18600	9.19215
2016/12/22 17:00:00	9.24150	9.24150	9.14557	9.23040	9.22370	9.22895	9.14393	9.21617
2016/12/21 17:00:00	9.35240	9.36130	9.21440	9.24150	9.34580	9.35760	9.21360	9.22370
2016/12/20 17:00:00	9.40049	9.41100	9.34200	9.35240	9.36915	9.40945	9.34140	9.34580
2016/12/19 17:00:00	9.36873	9.40170	9.32791	9.40049	9.35365	9.39460	9.32690	9.36915
2016/12/16 17:00:00	9.41280	9.44930	9.33910	9.35476	9.40490	9.44705	9.32343	9.32359
2016/12/15 17:00:00	9.27800	9.43064	9.26630	9.41280	9.24310	9.42973	9.24310	9.40490
2016/12/14 17:00:00	9.17100	9.29610	9.13683	9.27800	9.15560	9.29400	9.13560	9.24310
2016/12/13 17:00:00	9.16920	9.18290	9.12810	9.17100	9.16420	9.17970	9.12663	9.15560
2016/12/12 17:00:00	9.23160	9.23160	9.15460	9.16920	9.20210	9.21225	9.15390	9.16420
2016/12/09 17:00:00	9.13210	9.21040	9.12340	9.19059	9.12230	9.20950	9.12110	9.17194
2016/12/08 17:00:00	9.07900	9.16700	8.99578	9.13210	9.06510	9.16610	8.98840	9.12230
2016/12/07 17:00:00	9.13810	9.14170	9.05926	9.07900	9.11900	9.13982	9.05820	9.06510
2016/12/06 17:00:00	9.12150	9.14594	9.10950	9.13810	9.11000	9.14420	9.10860	9.11900
2016/12/05 17:00:00	9.24240	9.34161	9.09870	9.12150	9.21070	9.30700	9.09810	9.11000
2016/12/02 17:00:00	9.23460	9.23870	9.18110	9.19916	9.20560	9.22639	9.16430	9.17754
2016/12/01 17:00:00	9.23420	9.26860	9.19780	9.23460	9.22860	9.26190	9.19710	9.20560
2016/11/30 17:00:00	9.18250	9.26630	9.13820	9.23420	9.17170	9.26510	9.13747	9.22860
2016/11/29 17:00:00	9.20780	9.24599	9.16634	9.18250	9.19010	9.24520	9.16460	9.17170
2016/11/28 17:00:00	9.24000	9.25137	9.17015	9.20780	9.20950	9.25080	9.16870	9.19010
2016/11/25 17:00:00	9.26600	9.26710	9.20550	9.25682	9.23640	9.26327	9.20450	9.24192
2016/11/24 17:00:00	9.29020	9.31070	9.21890	9.26600	9.27030	9.30905	9.21780	9.23640
2016/11/23 17:00:00	9.22460	9.29720	9.20420	9.29020	9.21300	9.29621	9.20249	9.27030
2016/11/22 17:00:00	9.22470	9.26284	9.19350	9.22460	9.21570	9.26180	9.19224	9.21300
2016/11/21 17:00:00	9.27120	9.27960	9.20560	9.22470	9.24340	9.26993	9.20435	9.21570
2016/11/18 17:00:00	9.24820	9.29711	9.22564	9.27991	9.21830	9.28320	9.21830	9.25671
2016/11/17 17:00:00	9.21210	9.24890	9.15251	9.24820	9.18440	9.24780	9.15140	9.21830
2016/11/16 17:00:00	9.19630	9.22338	9.15410	9.21210	9.18090	9.22260	9.15246	9.18440
2016/11/15 17:00:00	9.16580	9.19750	9.06615	9.19630	9.14830	9.19640	9.06365	9.18090
2016/11/14 17:00:00	9.11700	9.17982	9.09015	9.16580	9.08280	9.17870	9.08280	9.14830
2016/11/11 17:00:00	9.04520	9.11570	9.02297	9.10710	9.03760	9.11405	9.02119	9.07100
2016/11/10 17:00:00	9.06670	9.11530	9.02643	9.04520	9.03150	9.11390	9.02524	9.03760
2016/11/09 17:00:00	8.99610	9.12237	8.90914	9.06670	8.98370	9.11930	8.88674	9.03150
2016/11/08 17:00:00	9.02710	9.03030	8.97560	8.99610	9.02220	9.02810	8.97426	8.98370
2016/11/07 17:00:00	8.98590	9.05362	8.95170	9.02710	8.97040	9.05273	8.93757	9.02220
2016/11/04 17:00:00	8.97250	8.99750	8.93665	8.96002	8.96650	8.99653	8.93087	8.93308
2016/11/03 17:00:00	8.92640	8.97750	8.88765	8.97250	8.91690	8.97600	8.88670	8.96650
2016/11/02 17:00:00	8.96620	8.97089	8.89154	8.92640	8.95820	8.96920	8.89039	8.91690
2016/11/01 17:00:00	9.03430	9.06550	8.93940	8.96620	9.02930	9.04866	8.93860	8.95820
2016/10/31 17:00:00	9.00937	9.04220	8.99312	9.03430	8.99785	9.04120	8.99130	9.02930
2016/10/28 17:00:00	9.08490	9.08490	8.99460	9.02350	9.07520	9.08285	8.99340	9.00070
2016/10/27 17:00:00	8.91020	9.09110	8.87310	9.08490	8.90650	9.09010	8.86970	9.07520
2016/10/26 17:00:00	8.92760	8.93830	8.89698	8.91020	8.92250	8.93620	8.89620	8.90650
