日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/29 17:00:00	3.54540	3.55083	3.51662	3.52151	3.53395	3.54295	3.51599	3.52000
2016/12/28 17:00:00	3.52410	3.55028	3.52051	3.54540	3.52020	3.54980	3.51851	3.53395
2016/12/27 17:00:00	3.51337	3.52792	3.50572	3.52410	3.51133	3.52646	3.50290	3.52020
2016/12/26 17:00:00	3.52010	3.52506	3.51035	3.51337	3.50900	3.51250	3.50529	3.51133
2016/12/23 17:00:00	3.51630	3.52251	3.50594	3.52251	3.50550	3.51789	3.50160	3.50788
2016/12/22 17:00:00	3.51345	3.51953	3.50116	3.51630	3.50506	3.51849	3.50050	3.50550
2016/12/21 17:00:00	3.52941	3.53508	3.50539	3.51345	3.52518	3.53439	3.50422	3.50506
2016/12/20 17:00:00	3.53674	3.54837	3.50343	3.52941	3.52976	3.54345	3.50255	3.52518
2016/12/19 17:00:00	3.51359	3.53710	3.48973	3.53674	3.49799	3.53621	3.48768	3.52976
2016/12/16 17:00:00	3.51420	3.52804	3.48606	3.51359	3.51017	3.51894	3.48545	3.49799
2016/12/15 17:00:00	3.53754	3.54460	3.50407	3.51420	3.52699	3.54360	3.50228	3.51017
2016/12/14 17:00:00	3.49853	3.54068	3.45665	3.53754	3.48785	3.53943	3.45605	3.52699
2016/12/13 17:00:00	3.47177	3.50694	3.45331	3.49853	3.46670	3.50383	3.45244	3.48785
2016/12/12 17:00:00	3.49760	3.54960	3.46614	3.47177	3.48640	3.54914	3.46515	3.46670
2016/12/09 17:00:00	3.44425	3.50952	3.42201	3.48598	3.44145	3.50703	3.42112	3.47038
2016/12/08 17:00:00	3.39560	3.49811	3.34095	3.44425	3.38230	3.49653	3.34053	3.44145
2016/12/07 17:00:00	3.45114	3.45835	3.38058	3.39560	3.44036	3.45777	3.38010	3.38230
2016/12/06 17:00:00	3.53010	3.54617	3.43210	3.45114	3.51713	3.54204	3.43146	3.44036
