日時	"USD/ZAR(始値, 買い)"	"USD/ZAR(高値, 買い)"	"USD/ZAR(安値, 買い)"	"USD/ZAR(終値, 買い)"	"USD/ZAR(始値, 売り)*"	"USD/ZAR(高値, 売り)*"	"USD/ZAR(安値, 売り)*"	"USD/ZAR(終値, 売り)*"
2016/12/29 17:00:00	13.89700	13.90870	13.60100	13.63050	13.82170	13.87210	13.59936	13.62080
2016/12/28 17:00:00	13.94200	14.00000	13.83289	13.89700	13.90460	13.94590	13.82140	13.82170
2016/12/27 17:00:00	14.04230	14.05760	13.89110	13.94200	13.97760	14.01700	13.88520	13.90460
2016/12/26 17:00:00	14.04170	14.08860	14.00770	14.04230	13.94690	13.98970	13.93680	13.97760
2016/12/23 17:00:00	14.06310	14.07720	13.94388	14.04170	14.01190	14.06710	13.91204	13.94690
2016/12/22 17:00:00	14.01120	14.09350	13.92306	14.06310	13.99790	14.09008	13.92010	14.01190
2016/12/21 17:00:00	14.00310	14.03990	13.92180	14.01120	13.98590	14.01502	13.91160	13.99790
2016/12/20 17:00:00	14.14670	14.17410	13.91720	14.00310	14.13390	14.16750	13.90910	13.98590
2016/12/19 17:00:00	13.98776	14.15032	13.95916	14.14670	13.96380	14.14560	13.93810	14.13390
2016/12/16 17:00:00	13.97990	14.13420	13.89025	13.98776	13.96420	14.12962	13.88575	13.96380
2016/12/15 17:00:00	13.94440	14.18070	13.93670	13.97990	13.92760	14.17491	13.91230	13.96420
2016/12/14 17:00:00	13.61670	13.97810	13.58940	13.94440	13.60290	13.97240	13.56454	13.92760
2016/12/13 17:00:00	13.62970	13.76881	13.53960	13.61670	13.60160	13.76704	13.53265	13.60290
2016/12/12 17:00:00	13.84400	13.89997	13.59689	13.62970	13.79600	13.89382	13.58610	13.60160
2016/12/09 17:00:00	13.65520	13.84530	13.65220	13.83540	13.63780	13.84100	13.62060	13.75740
2016/12/08 17:00:00	13.48340	13.83340	13.46220	13.65520	13.46670	13.82620	13.45580	13.63780
2016/12/07 17:00:00	13.65660	13.69091	13.46810	13.48340	13.64440	13.68607	13.46132	13.46670
2016/12/06 17:00:00	13.72930	13.81142	13.58546	13.65660	13.71580	13.77660	13.58070	13.64440
2016/12/05 17:00:00	13.95080	14.01851	13.71479	13.72930	13.76670	13.97330	13.70970	13.71580
2016/12/02 17:00:00	14.13630	14.17209	13.78480	13.84370	14.07450	14.16811	13.76570	13.76570
2016/12/01 17:00:00	14.11470	14.16400	13.94089	14.13630	14.06960	14.15800	13.93610	14.07450
2016/11/30 17:00:00	13.88780	14.16440	13.86116	14.11470	13.87160	14.15740	13.84019	14.06960
2016/11/29 17:00:00	13.73690	14.08660	13.71230	13.88780	13.72070	14.08055	13.70440	13.87160
2016/11/28 17:00:00	14.04250	14.05780	13.70190	13.73690	14.02140	14.04120	13.69359	13.72070
2016/11/25 17:00:00	14.17460	14.21850	14.04000	14.13820	14.12460	14.21053	14.03534	14.05900
2016/11/24 17:00:00	14.16390	14.25530	14.09000	14.17460	14.14770	14.25106	14.08571	14.12460
2016/11/23 17:00:00	14.12510	14.29890	14.01568	14.16390	14.04580	14.29632	14.01282	14.14770
2016/11/22 17:00:00	14.29200	14.29430	14.01297	14.12510	14.20810	14.25120	14.01000	14.04580
2016/11/21 17:00:00	14.48130	14.49470	14.16440	14.29200	14.39130	14.48320	14.16010	14.20810
2016/11/18 17:00:00	14.44080	14.65250	14.32890	14.48760	14.42680	14.64720	14.32310	14.40960
2016/11/17 17:00:00	14.31450	14.44120	14.23820	14.44080	14.30060	14.43216	14.23458	14.42680
2016/11/16 17:00:00	14.18340	14.38862	14.11720	14.31450	14.17120	14.38416	14.11380	14.30060
2016/11/15 17:00:00	14.43750	14.46820	14.11000	14.18340	14.42770	14.43400	14.10470	14.17120
2016/11/14 17:00:00	14.28830	14.51750	14.26750	14.43750	14.21180	14.51161	14.20890	14.42770
2016/11/11 17:00:00	14.15050	14.47230	13.97150	14.38820	14.07050	14.46750	13.96560	14.30820
2016/11/10 17:00:00	13.46980	14.19259	13.33002	14.15050	13.40810	14.18540	13.32570	14.07050
2016/11/09 17:00:00	13.19360	13.83440	13.18450	13.46980	13.18070	13.82570	13.16585	13.40810
2016/11/08 17:00:00	13.37580	13.46120	13.17590	13.19360	13.34990	13.44070	13.16850	13.18070
2016/11/07 17:00:00	13.56310	13.61750	13.32500	13.37580	13.50660	13.59100	13.32095	13.34990
2016/11/04 17:00:00	13.47290	13.64450	13.44160	13.61100	13.46170	13.64004	13.41177	13.52110
2016/11/03 17:00:00	13.46680	13.53910	13.37074	13.47290	13.45540	13.53677	13.36820	13.46170
2016/11/02 17:00:00	13.61690	13.68290	13.31735	13.46680	13.61020	13.67350	13.31350	13.45540
2016/11/01 17:00:00	13.47820	13.68100	13.47190	13.61690	13.46930	13.67689	13.46225	13.61020
2016/10/31 17:00:00	13.88230	13.88230	13.46686	13.47820	13.81100	13.81510	13.46280	13.46930
2016/10/28 17:00:00	13.87760	13.95380	13.78260	13.82880	13.86870	13.95165	13.75890	13.81330
2016/10/27 17:00:00	13.89340	13.98915	13.81570	13.87760	13.87730	13.98527	13.81398	13.86870
2016/10/26 17:00:00	13.76240	13.94250	13.68901	13.89340	13.75390	13.94030	13.68500	13.87730
2016/10/25 17:00:00	13.91730	13.94260	13.76000	13.76240	13.90640	13.93780	13.75271	13.75390
2016/10/24 17:00:00	14.04440	14.04440	13.84089	13.91730	13.95660	14.01730	13.83836	13.90640
2016/10/21 17:00:00	13.98320	14.08320	13.90340	14.00367	13.92230	14.08100	13.89500	13.96484
2016/10/20 17:00:00	13.83570	13.98340	13.82890	13.98320	13.82670	13.97480	13.81674	13.92230
2016/10/19 17:00:00	13.89950	13.95760	13.81880	13.83570	13.89060	13.95407	13.81330	13.82670
2016/10/18 17:00:00	14.15320	14.17705	13.86100	13.89950	14.14460	14.15560	13.85850	13.89060
2016/10/17 17:00:00	14.29800	14.37190	14.12045	14.15320	14.21200	14.36886	14.11540	14.14460
2016/10/14 17:00:00	14.25720	14.32940	14.08269	14.32810	14.24480	14.31660	14.07970	14.31560
2016/10/13 17:00:00	14.23690	14.39690	14.11860	14.25720	14.22510	14.39420	14.11370	14.24480
2016/10/12 17:00:00	14.40240	14.49880	14.01280	14.23690	14.35090	14.49476	13.99910	14.22510
2016/10/11 17:00:00	13.81310	14.43929	13.79060	14.40240	13.80620	14.43330	13.77540	14.35090
