日時	"ZAR/JPY(始値, 買い)"	"ZAR/JPY(高値, 買い)"	"ZAR/JPY(安値, 買い)"	"ZAR/JPY(終値, 買い)"	"ZAR/JPY(始値, 売り)*"	"ZAR/JPY(高値, 売り)*"	"ZAR/JPY(安値, 売り)*"	"ZAR/JPY(終値, 売り)*"
2016/12/29 17:00:00	8.481	8.555	8.430	8.542	8.438	8.552	8.403	8.538
2016/12/28 17:00:00	8.446	8.505	8.404	8.481	8.421	8.503	8.392	8.438
2016/12/27 17:00:00	8.377	8.451	8.365	8.446	8.335	8.448	8.311	8.421
2016/12/26 17:00:00	8.425	8.445	8.366	8.377	8.323	8.365	8.252	8.335
2016/12/23 17:00:00	8.389	8.453	8.342	8.438	8.358	8.414	8.305	8.312
2016/12/22 17:00:00	8.393	8.447	8.345	8.389	8.382	8.445	8.343	8.358
2016/12/21 17:00:00	8.428	8.473	8.380	8.393	8.415	8.441	8.372	8.382
2016/12/20 17:00:00	8.285	8.464	8.277	8.428	8.277	8.460	8.274	8.415
2016/12/19 17:00:00	8.452	8.452	8.259	8.285	8.348	8.420	8.257	8.277
2016/12/16 17:00:00	8.466	8.510	8.352	8.462	8.450	8.508	8.323	8.351
2016/12/15 17:00:00	8.404	8.492	8.347	8.466	8.392	8.490	8.341	8.450
2016/12/14 17:00:00	8.473	8.495	8.358	8.404	8.459	8.479	8.337	8.392
2016/12/13 17:00:00	8.457	8.518	8.382	8.473	8.439	8.515	8.381	8.459
2016/12/12 17:00:00	8.365	8.480	8.334	8.457	8.337	8.478	8.331	8.439
2016/12/09 17:00:00	8.362	8.397	8.316	8.381	8.351	8.394	8.313	8.335
2016/12/08 17:00:00	8.451	8.452	8.269	8.362	8.436	8.449	8.265	8.351
2016/12/07 17:00:00	8.358	8.453	8.338	8.451	8.347	8.447	8.328	8.436
2016/12/06 17:00:00	8.302	8.396	8.257	8.358	8.290	8.396	8.229	8.347
2016/12/05 17:00:00	8.245	8.305	8.097	8.302	8.120	8.304	8.065	8.290
2016/12/02 17:00:00	8.107	8.255	8.033	8.245	8.069	8.252	8.031	8.200
2016/12/01 17:00:00	8.134	8.182	8.072	8.107	8.107	8.180	8.067	8.069
2016/11/30 17:00:00	8.102	8.140	8.027	8.134	8.092	8.135	8.025	8.107
2016/11/29 17:00:00	8.159	8.180	8.019	8.102	8.148	8.163	8.017	8.092
2016/11/28 17:00:00	8.049	8.194	7.962	8.159	8.030	8.190	7.958	8.148
2016/11/25 17:00:00	8.026	8.079	7.943	8.079	7.994	8.054	7.940	8.008
2016/11/24 17:00:00	7.955	8.041	7.924	8.026	7.941	8.021	7.919	7.994
2016/11/23 17:00:00	7.910	7.975	7.846	7.955	7.871	7.963	7.837	7.941
2016/11/22 17:00:00	7.798	7.912	7.759	7.910	7.749	7.907	7.749	7.871
2016/11/21 17:00:00	7.717	7.816	7.648	7.798	7.648	7.814	7.622	7.749
2016/11/18 17:00:00	7.636	7.741	7.553	7.732	7.626	7.700	7.552	7.647
2016/11/17 17:00:00	7.628	7.685	7.584	7.636	7.619	7.683	7.573	7.626
2016/11/16 17:00:00	7.708	7.731	7.592	7.628	7.698	7.729	7.589	7.619
2016/11/15 17:00:00	7.517	7.721	7.501	7.708	7.508	7.720	7.478	7.698
