日時	"AUD/CAD(始値, 買い)"	"AUD/CAD(高値, 買い)"	"AUD/CAD(安値, 買い)"	"AUD/CAD(終値, 買い)"	"AUD/CAD(始値, 売り)*"	"AUD/CAD(高値, 売り)*"	"AUD/CAD(安値, 売り)*"	"AUD/CAD(終値, 売り)*"
2017/01/09 04:45:00	0.96861	0.96888	0.96837	0.96880	0.96853	0.96881	0.96828	0.96871
2017/01/09 04:30:00	0.96984	0.96998	0.96859	0.96861	0.96977	0.96991	0.96852	0.96853
2017/01/09 04:15:00	0.96903	0.96989	0.96885	0.96984	0.96896	0.96981	0.96879	0.96977
2017/01/09 04:00:00	0.96909	0.96939	0.96884	0.96903	0.96898	0.96932	0.96876	0.96896
2017/01/09 03:45:00	0.96911	0.96970	0.96867	0.96909	0.96902	0.96963	0.96859	0.96898
2017/01/09 03:30:00	0.96929	0.96941	0.96863	0.96911	0.96921	0.96934	0.96855	0.96902
2017/01/09 03:15:00	0.96939	0.96954	0.96895	0.96929	0.96930	0.96945	0.96886	0.96921
2017/01/09 03:00:00	0.96956	0.97049	0.96935	0.96939	0.96941	0.97040	0.96926	0.96930
2017/01/09 02:45:00	0.96972	0.97013	0.96941	0.96956	0.96963	0.97007	0.96934	0.96941
2017/01/09 02:30:00	0.97027	0.97040	0.96968	0.96972	0.97019	0.97034	0.96959	0.96963
2017/01/09 02:15:00	0.97012	0.97036	0.96942	0.97027	0.97003	0.97027	0.96933	0.97019
2017/01/09 02:00:00	0.96962	0.97026	0.96924	0.97012	0.96948	0.97019	0.96915	0.97003
2017/01/09 01:45:00	0.96830	0.96976	0.96828	0.96962	0.96821	0.96967	0.96818	0.96948
2017/01/09 01:30:00	0.96863	0.96868	0.96818	0.96830	0.96853	0.96858	0.96810	0.96821
2017/01/09 01:15:00	0.96900	0.96912	0.96861	0.96863	0.96890	0.96903	0.96851	0.96853
2017/01/09 01:00:00	0.96891	0.96909	0.96862	0.96900	0.96881	0.96900	0.96852	0.96890
2017/01/09 00:45:00	0.96896	0.96909	0.96840	0.96891	0.96888	0.96903	0.96829	0.96881
