日時	"AUD/CHF(始値, 買い)"	"AUD/CHF(高値, 買い)"	"AUD/CHF(安値, 買い)"	"AUD/CHF(終値, 買い)"	"AUD/CHF(始値, 売り)*"	"AUD/CHF(高値, 売り)*"	"AUD/CHF(安値, 売り)*"	"AUD/CHF(終値, 売り)*"
2016/12/29 09:45:00	0.73754	0.73791	0.73747	0.73788	0.73742	0.73785	0.73740	0.73782
2016/12/29 09:30:00	0.73702	0.73771	0.73679	0.73754	0.73695	0.73765	0.73673	0.73742
2016/12/29 09:15:00	0.73743	0.73751	0.73654	0.73702	0.73736	0.73744	0.73647	0.73695
2016/12/29 09:00:00	0.73778	0.73817	0.73716	0.73743	0.73771	0.73810	0.73711	0.73736
2016/12/29 08:45:00	0.73834	0.73838	0.73752	0.73778	0.73828	0.73831	0.73745	0.73771
2016/12/29 08:30:00	0.73835	0.73853	0.73802	0.73834	0.73803	0.73846	0.73795	0.73828
2016/12/29 08:15:00	0.73867	0.73881	0.73798	0.73835	0.73861	0.73874	0.73796	0.73803
2016/12/29 08:00:00	0.73914	0.73935	0.73857	0.73867	0.73907	0.73929	0.73850	0.73861
2016/12/29 07:45:00	0.73904	0.73916	0.73877	0.73914	0.73897	0.73910	0.73871	0.73907
2016/12/29 07:30:00	0.73918	0.73922	0.73883	0.73904	0.73909	0.73912	0.73878	0.73897
2016/12/29 07:15:00	0.73909	0.73927	0.73894	0.73918	0.73902	0.73920	0.73887	0.73909
2016/12/29 07:00:00	0.73891	0.73910	0.73879	0.73909	0.73884	0.73903	0.73873	0.73902
2016/12/29 06:45:00	0.73880	0.73918	0.73873	0.73891	0.73876	0.73911	0.73866	0.73884
2016/12/29 06:30:00	0.73853	0.73883	0.73842	0.73880	0.73847	0.73877	0.73835	0.73876
2016/12/29 06:15:00	0.73794	0.73854	0.73783	0.73853	0.73785	0.73849	0.73776	0.73847
2016/12/29 06:00:00	0.73813	0.73818	0.73755	0.73794	0.73805	0.73811	0.73748	0.73785
2016/12/29 05:45:00	0.73763	0.73816	0.73747	0.73813	0.73757	0.73809	0.73740	0.73805
