日時	"AUD/JPY(始値, 買い)"	"AUD/JPY(高値, 買い)"	"AUD/JPY(安値, 買い)"	"AUD/JPY(終値, 買い)"	"AUD/JPY(始値, 売り)*"	"AUD/JPY(高値, 売り)*"	"AUD/JPY(安値, 売り)*"	"AUD/JPY(終値, 売り)*"
2016/12/29 11:30:00	83.998	84.009	83.943	83.947	83.989	84.004	83.935	83.939
2016/12/29 11:15:00	84.002	84.030	83.962	83.998	83.995	84.024	83.953	83.989
2016/12/29 11:00:00	83.959	84.005	83.933	84.002	83.949	83.998	83.929	83.995
2016/12/29 10:45:00	84.044	84.076	83.959	83.959	84.036	84.067	83.949	83.949
2016/12/29 10:30:00	83.983	84.050	83.973	84.044	83.976	84.043	83.966	84.036
2016/12/29 10:15:00	83.978	83.997	83.955	83.983	83.970	83.990	83.951	83.976
2016/12/29 10:00:00	84.010	84.040	83.956	83.978	84.003	84.037	83.949	83.970
2016/12/29 09:45:00	84.070	84.079	83.995	84.010	84.062	84.073	83.987	84.003
2016/12/29 09:30:00	84.025	84.096	84.025	84.070	84.020	84.089	84.020	84.062
2016/12/29 09:15:00	84.106	84.108	83.998	84.025	84.098	84.101	83.993	84.020
2016/12/29 09:00:00	84.156	84.171	84.095	84.106	84.151	84.163	84.088	84.098
2016/12/29 08:45:00	84.135	84.168	84.117	84.156	84.128	84.164	84.110	84.151
2016/12/29 08:30:00	84.161	84.164	84.073	84.135	84.150	84.150	84.066	84.128
2016/12/29 08:15:00	84.129	84.186	84.112	84.161	84.121	84.179	84.105	84.150
2016/12/29 08:00:00	84.163	84.176	84.122	84.129	84.155	84.171	84.117	84.121
2016/12/29 07:45:00	84.158	84.190	84.143	84.163	84.150	84.184	84.136	84.155
2016/12/29 07:30:00	84.108	84.163	84.085	84.158	84.100	84.155	84.078	84.150
2016/12/29 07:15:00	84.106	84.114	84.071	84.108	84.097	84.107	84.064	84.100
2016/12/29 07:00:00	84.111	84.126	84.072	84.106	84.106	84.119	84.069	84.097
2016/12/29 06:45:00	84.124	84.147	84.105	84.111	84.122	84.141	84.098	84.106
2016/12/29 06:30:00	84.043	84.134	84.035	84.124	84.037	84.129	84.029	84.122
2016/12/29 06:15:00	84.003	84.046	83.989	84.043	83.995	84.040	83.981	84.037
2016/12/29 06:00:00	83.956	84.011	83.912	84.003	83.950	84.004	83.904	83.995
