日時	"AUD/NZD(始値, 買い)"	"AUD/NZD(高値, 買い)"	"AUD/NZD(安値, 買い)"	"AUD/NZD(終値, 買い)"	"AUD/NZD(始値, 売り)*"	"AUD/NZD(高値, 売り)*"	"AUD/NZD(安値, 売り)*"	"AUD/NZD(終値, 売り)*"
2017/01/09 05:45:00	1.05077	1.05081	1.05044	1.05049	1.05065	1.05072	1.05036	1.05041
2017/01/09 05:30:00	1.05097	1.05128	1.05075	1.05077	1.05090	1.05119	1.05062	1.05065
2017/01/09 05:15:00	1.05061	1.05104	1.05035	1.05097	1.05053	1.05096	1.05024	1.05090
2017/01/09 05:00:00	1.04988	1.05071	1.04988	1.05061	1.04979	1.05057	1.04977	1.05053
2017/01/09 04:45:00	1.04959	1.05006	1.04943	1.04988	1.04945	1.04993	1.04931	1.04979
2017/01/09 04:30:00	1.05046	1.05052	1.04937	1.04959	1.05037	1.05044	1.04928	1.04945
2017/01/09 04:15:00	1.05064	1.05077	1.05023	1.05046	1.05052	1.05068	1.05010	1.05037
2017/01/09 04:00:00	1.05037	1.05083	1.04998	1.05064	1.05024	1.05070	1.04987	1.05052
2017/01/09 03:45:00	1.05044	1.05077	1.04991	1.05037	1.05031	1.05065	1.04980	1.05024
2017/01/09 03:30:00	1.05013	1.05054	1.04988	1.05044	1.05002	1.05043	1.04977	1.05031
2017/01/09 03:15:00	1.05003	1.05082	1.04985	1.05013	1.04992	1.05069	1.04972	1.05002
2017/01/09 03:00:00	1.05037	1.05091	1.04975	1.05003	1.05023	1.05079	1.04962	1.04992
2017/01/09 02:45:00	1.05119	1.05122	1.05032	1.05037	1.05110	1.05111	1.05018	1.05023
2017/01/09 02:30:00	1.05171	1.05173	1.05113	1.05119	1.05157	1.05166	1.05103	1.05110
2017/01/09 02:15:00	1.05098	1.05183	1.05077	1.05171	1.05084	1.05173	1.05066	1.05157
2017/01/09 02:00:00	1.05073	1.05104	1.05047	1.05098	1.05063	1.05092	1.05037	1.05084
2017/01/09 01:45:00	1.05041	1.05083	1.05033	1.05073	1.05028	1.05073	1.05024	1.05063
2017/01/09 01:30:00	1.05021	1.05046	1.04990	1.05041	1.05009	1.05033	1.04981	1.05028
2017/01/09 01:15:00	1.05081	1.05101	1.05015	1.05021	1.05067	1.05091	1.05002	1.05009
2017/01/09 01:00:00	1.05089	1.05128	1.05039	1.05081	1.05077	1.05115	1.05028	1.05067
