日時	"CAD/JPY(始値, 買い)"	"CAD/JPY(高値, 買い)"	"CAD/JPY(安値, 買い)"	"CAD/JPY(終値, 買い)"	"CAD/JPY(始値, 売り)*"	"CAD/JPY(高値, 売り)*"	"CAD/JPY(安値, 売り)*"	"CAD/JPY(終値, 売り)*"
2017/01/09 05:30:00	88.298	88.357	88.293	88.323	88.292	88.351	88.287	88.318
2017/01/09 05:15:00	88.291	88.299	88.237	88.298	88.285	88.293	88.231	88.292
2017/01/09 05:00:00	88.365	88.392	88.289	88.291	88.357	88.387	88.283	88.285
2017/01/09 04:45:00	88.343	88.369	88.326	88.365	88.337	88.360	88.320	88.357
2017/01/09 04:30:00	88.384	88.391	88.274	88.343	88.376	88.382	88.264	88.337
2017/01/09 04:15:00	88.492	88.526	88.366	88.384	88.485	88.521	88.360	88.376
2017/01/09 04:00:00	88.514	88.523	88.454	88.492	88.505	88.519	88.448	88.485
2017/01/09 03:45:00	88.577	88.598	88.489	88.514	88.571	88.591	88.483	88.505
2017/01/09 03:30:00	88.566	88.589	88.521	88.577	88.561	88.583	88.516	88.571
2017/01/09 03:15:00	88.521	88.612	88.498	88.566	88.514	88.606	88.492	88.561
2017/01/09 03:00:00	88.543	88.548	88.469	88.521	88.536	88.539	88.462	88.514
2017/01/09 02:45:00	88.527	88.556	88.485	88.543	88.522	88.551	88.479	88.536
2017/01/09 02:30:00	88.551	88.552	88.513	88.527	88.544	88.545	88.506	88.522
2017/01/09 02:15:00	88.501	88.555	88.496	88.551	88.495	88.549	88.490	88.544
2017/01/09 02:00:00	88.568	88.603	88.487	88.501	88.560	88.597	88.481	88.495
2017/01/09 01:45:00	88.589	88.599	88.526	88.568	88.581	88.592	88.520	88.560
2017/01/09 01:30:00	88.606	88.621	88.585	88.589	88.598	88.614	88.577	88.581
2017/01/09 01:15:00	88.589	88.606	88.560	88.606	88.581	88.598	88.552	88.598
2017/01/09 01:00:00	88.607	88.623	88.580	88.589	88.599	88.615	88.574	88.581
2017/01/09 00:45:00	88.613	88.647	88.606	88.607	88.605	88.638	88.595	88.599
2017/01/09 00:30:00	88.608	88.628	88.597	88.613	88.598	88.620	88.590	88.605
2017/01/09 00:15:00	88.599	88.637	88.594	88.608	88.591	88.628	88.585	88.598
2017/01/09 00:00:00	88.655	88.664	88.585	88.599	88.647	88.660	88.577	88.591
2017/01/08 23:45:00	88.635	88.661	88.621	88.655	88.628	88.653	88.614	88.647
2017/01/08 23:30:00	88.614	88.645	88.612	88.635	88.606	88.638	88.604	88.628
2017/01/08 23:15:00	88.622	88.648	88.609	88.614	88.612	88.641	88.602	88.606
2017/01/08 23:00:00	88.592	88.623	88.568	88.622	88.584	88.612	88.561	88.612
2017/01/08 22:45:00	88.611	88.614	88.568	88.592	88.602	88.606	88.563	88.584
2017/01/08 22:30:00	88.551	88.642	88.551	88.611	88.545	88.631	88.545	88.602
2017/01/08 22:15:00	88.579	88.606	88.537	88.551	88.570	88.602	88.532	88.545
2017/01/08 22:00:00	88.593	88.597	88.575	88.579	88.586	88.590	88.568	88.570
2017/01/08 21:45:00	88.602	88.606	88.560	88.593	88.594	88.599	88.552	88.586
2017/01/08 21:30:00	88.611	88.619	88.580	88.602	88.603	88.612	88.574	88.594
2017/01/08 21:15:00	88.620	88.620	88.585	88.611	88.612	88.612	88.577	88.603
2017/01/08 21:00:00	88.614	88.630	88.592	88.620	88.605	88.622	88.585	88.612
2017/01/08 20:45:00	88.617	88.630	88.598	88.614	88.609	88.621	88.590	88.605
2017/01/08 20:30:00	88.631	88.634	88.573	88.617	88.622	88.624	88.564	88.609
2017/01/08 20:15:00	88.590	88.654	88.573	88.631	88.577	88.646	88.564	88.622
2017/01/08 20:00:00	88.542	88.592	88.534	88.590	88.537	88.582	88.526	88.577
2017/01/08 19:45:00	88.602	88.612	88.527	88.542	88.593	88.604	88.523	88.537
2017/01/08 19:30:00	88.616	88.639	88.574	88.602	88.604	88.628	88.569	88.593
2017/01/08 19:15:00	88.482	88.618	88.479	88.616	88.473	88.609	88.470	88.604
2017/01/08 19:00:00	88.487	88.498	88.463	88.482	88.474	88.491	88.456	88.473
2017/01/08 18:45:00	88.455	88.500	88.420	88.487	88.448	88.490	88.408	88.474
2017/01/08 18:30:00	88.453	88.469	88.421	88.455	88.442	88.457	88.412	88.448
2017/01/08 18:15:00	88.452	88.507	88.423	88.453	88.442	88.490	88.411	88.442
2017/01/08 18:00:00	88.434	88.474	88.409	88.452	88.409	88.460	88.392	88.442
2017/01/08 17:45:00	88.379	88.434	88.356	88.434	88.357	88.409	88.340	88.409
2017/01/08 17:30:00	88.383	88.414	88.367	88.379	88.353	88.385	88.340	88.357
2017/01/08 17:15:00	88.365	88.423	88.358	88.383	88.338	88.410	88.330	88.353
2017/01/08 17:00:00	88.388	88.392	88.342	88.365	88.267	88.345	88.267	88.338
2017/01/06 16:45:00	88.420	88.443	88.327	88.404	88.396	88.416	88.290	88.290
2017/01/06 16:30:00	88.416	88.445	88.404	88.420	88.403	88.428	88.391	88.396
2017/01/06 16:15:00	88.392	88.447	88.382	88.416	88.381	88.438	88.374	88.403
2017/01/06 16:00:00	88.438	88.443	88.384	88.392	88.431	88.431	88.375	88.381
2017/01/06 15:45:00	88.431	88.449	88.389	88.438	88.424	88.443	88.384	88.431
2017/01/06 15:30:00	88.366	88.440	88.366	88.431	88.359	88.433	88.359	88.424
2017/01/06 15:15:00	88.421	88.451	88.363	88.366	88.419	88.450	88.355	88.359
2017/01/06 15:00:00	88.397	88.446	88.365	88.421	88.390	88.439	88.360	88.419
2017/01/06 14:45:00	88.354	88.399	88.336	88.397	88.353	88.394	88.334	88.390
2017/01/06 14:30:00	88.434	88.434	88.352	88.354	88.427	88.427	88.351	88.353
2017/01/06 14:15:00	88.387	88.444	88.368	88.434	88.380	88.438	88.361	88.427
2017/01/06 14:00:00	88.417	88.453	88.380	88.387	88.412	88.446	88.376	88.380
2017/01/06 13:45:00	88.347	88.426	88.324	88.417	88.341	88.420	88.319	88.412
2017/01/06 13:30:00	88.291	88.356	88.291	88.347	88.285	88.351	88.285	88.341
