日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/29 11:30:00	1.45233	1.45318	1.45212	1.45254	1.45224	1.45313	1.45202	1.45244
2016/12/29 11:15:00	1.45278	1.45282	1.45151	1.45233	1.45270	1.45273	1.45141	1.45224
2016/12/29 11:00:00	1.45428	1.45496	1.45278	1.45278	1.45411	1.45492	1.45270	1.45270
2016/12/29 10:45:00	1.45310	1.45475	1.45167	1.45428	1.45300	1.45463	1.45156	1.45411
2016/12/29 10:30:00	1.45376	1.45396	1.45298	1.45310	1.45366	1.45381	1.45292	1.45300
2016/12/29 10:15:00	1.45398	1.45446	1.45363	1.45376	1.45388	1.45438	1.45354	1.45366
2016/12/29 10:00:00	1.45285	1.45430	1.45261	1.45398	1.45276	1.45423	1.45253	1.45388
2016/12/29 09:45:00	1.45243	1.45290	1.45211	1.45285	1.45227	1.45280	1.45203	1.45276
2016/12/29 09:30:00	1.45210	1.45256	1.45180	1.45243	1.45205	1.45250	1.45172	1.45227
2016/12/29 09:15:00	1.45188	1.45326	1.45181	1.45210	1.45178	1.45316	1.45173	1.45205
2016/12/29 09:00:00	1.45242	1.45255	1.45130	1.45188	1.45237	1.45249	1.45122	1.45178
2016/12/29 08:45:00	1.45057	1.45290	1.45053	1.45242	1.45047	1.45280	1.45045	1.45237
2016/12/29 08:30:00	1.45123	1.45148	1.45023	1.45057	1.45107	1.45129	1.45013	1.45047
2016/12/29 08:15:00	1.45052	1.45143	1.45032	1.45123	1.45044	1.45128	1.45024	1.45107
2016/12/29 08:00:00	1.44971	1.45104	1.44943	1.45052	1.44963	1.45098	1.44933	1.45044
2016/12/29 07:45:00	1.44987	1.45004	1.44938	1.44971	1.44976	1.44995	1.44933	1.44963
2016/12/29 07:30:00	1.44991	1.45036	1.44979	1.44987	1.44982	1.45027	1.44970	1.44976
2016/12/29 07:15:00	1.44971	1.45036	1.44960	1.44991	1.44961	1.45029	1.44952	1.44982
2016/12/29 07:00:00	1.44896	1.45008	1.44878	1.44971	1.44886	1.45008	1.44871	1.44961
2016/12/29 06:45:00	1.44916	1.44935	1.44835	1.44896	1.44913	1.44927	1.44828	1.44886
