日時	"EUR/CAD(始値, 買い)"	"EUR/CAD(高値, 買い)"	"EUR/CAD(安値, 買い)"	"EUR/CAD(終値, 買い)"	"EUR/CAD(始値, 売り)*"	"EUR/CAD(高値, 売り)*"	"EUR/CAD(安値, 売り)*"	"EUR/CAD(終値, 売り)*"
2017/01/09 04:45:00	1.39493	1.39509	1.39446	1.39464	1.39488	1.39499	1.39437	1.39458
2017/01/09 04:30:00	1.39511	1.39599	1.39463	1.39493	1.39503	1.39592	1.39456	1.39488
2017/01/09 04:15:00	1.39514	1.39523	1.39389	1.39511	1.39508	1.39518	1.39382	1.39503
2017/01/09 04:00:00	1.39605	1.39654	1.39475	1.39514	1.39597	1.39650	1.39468	1.39508
2017/01/09 03:45:00	1.39592	1.39679	1.39562	1.39605	1.39587	1.39671	1.39555	1.39597
2017/01/09 03:30:00	1.39645	1.39712	1.39590	1.39592	1.39638	1.39705	1.39583	1.39587
2017/01/09 03:15:00	1.39634	1.39686	1.39584	1.39645	1.39629	1.39679	1.39578	1.39638
2017/01/09 03:00:00	1.39720	1.39736	1.39626	1.39634	1.39708	1.39726	1.39619	1.39629
2017/01/09 02:45:00	1.39700	1.39765	1.39687	1.39720	1.39696	1.39758	1.39679	1.39708
2017/01/09 02:30:00	1.39701	1.39748	1.39672	1.39700	1.39692	1.39743	1.39665	1.39696
2017/01/09 02:15:00	1.39633	1.39708	1.39619	1.39701	1.39625	1.39700	1.39612	1.39692
2017/01/09 02:00:00	1.39614	1.39687	1.39538	1.39633	1.39596	1.39679	1.39531	1.39625
2017/01/09 01:45:00	1.39589	1.39658	1.39568	1.39614	1.39580	1.39649	1.39561	1.39596
2017/01/09 01:30:00	1.39547	1.39589	1.39518	1.39589	1.39538	1.39580	1.39510	1.39580
2017/01/09 01:15:00	1.39526	1.39563	1.39512	1.39547	1.39519	1.39555	1.39504	1.39538
2017/01/09 01:00:00	1.39524	1.39565	1.39510	1.39526	1.39515	1.39556	1.39501	1.39519
2017/01/09 00:45:00	1.39529	1.39538	1.39446	1.39524	1.39521	1.39529	1.39437	1.39515
2017/01/09 00:30:00	1.39564	1.39574	1.39523	1.39529	1.39555	1.39565	1.39514	1.39521
2017/01/09 00:15:00	1.39588	1.39595	1.39555	1.39564	1.39579	1.39587	1.39546	1.39555
2017/01/09 00:00:00	1.39521	1.39595	1.39511	1.39588	1.39512	1.39586	1.39504	1.39579
2017/01/08 23:45:00	1.39526	1.39529	1.39502	1.39521	1.39517	1.39521	1.39496	1.39512
2017/01/08 23:30:00	1.39506	1.39529	1.39474	1.39526	1.39497	1.39519	1.39467	1.39517
2017/01/08 23:15:00	1.39503	1.39527	1.39467	1.39506	1.39494	1.39518	1.39459	1.39497
2017/01/08 23:00:00	1.39534	1.39539	1.39490	1.39503	1.39525	1.39530	1.39484	1.39494
2017/01/08 22:45:00	1.39509	1.39543	1.39497	1.39534	1.39500	1.39534	1.39490	1.39525
2017/01/08 22:30:00	1.39531	1.39531	1.39466	1.39509	1.39522	1.39522	1.39458	1.39500
2017/01/08 22:15:00	1.39503	1.39550	1.39486	1.39531	1.39495	1.39542	1.39477	1.39522
2017/01/08 22:00:00	1.39481	1.39514	1.39477	1.39503	1.39472	1.39504	1.39469	1.39495
2017/01/08 21:45:00	1.39448	1.39523	1.39445	1.39481	1.39440	1.39516	1.39435	1.39472
2017/01/08 21:30:00	1.39461	1.39490	1.39428	1.39448	1.39452	1.39482	1.39419	1.39440
2017/01/08 21:15:00	1.39420	1.39465	1.39420	1.39461	1.39413	1.39459	1.39413	1.39452
2017/01/08 21:00:00	1.39468	1.39470	1.39401	1.39420	1.39459	1.39461	1.39393	1.39413
2017/01/08 20:45:00	1.39451	1.39491	1.39451	1.39468	1.39442	1.39483	1.39442	1.39459
2017/01/08 20:30:00	1.39438	1.39473	1.39436	1.39451	1.39428	1.39472	1.39426	1.39442
2017/01/08 20:15:00	1.39458	1.39483	1.39424	1.39438	1.39440	1.39474	1.39415	1.39428
2017/01/08 20:00:00	1.39435	1.39496	1.39423	1.39458	1.39432	1.39487	1.39413	1.39440
2017/01/08 19:45:00	1.39375	1.39444	1.39373	1.39435	1.39364	1.39437	1.39364	1.39432
