日時	"EUR/CHF(始値, 買い)"	"EUR/CHF(高値, 買い)"	"EUR/CHF(安値, 買い)"	"EUR/CHF(終値, 買い)"	"EUR/CHF(始値, 売り)*"	"EUR/CHF(高値, 売り)*"	"EUR/CHF(安値, 売り)*"	"EUR/CHF(終値, 売り)*"
2017/01/09 04:45:00	1.07199	1.07199	1.07176	1.07178	1.07198	1.07198	1.07169	1.07171
2017/01/09 04:30:00	1.07262	1.07289	1.07194	1.07199	1.07256	1.07284	1.07191	1.07198
2017/01/09 04:15:00	1.07244	1.07274	1.07200	1.07262	1.07238	1.07267	1.07193	1.07256
2017/01/09 04:00:00	1.07288	1.07302	1.07210	1.07244	1.07286	1.07298	1.07204	1.07238
2017/01/09 03:45:00	1.07284	1.07334	1.07272	1.07288	1.07277	1.07329	1.07266	1.07286
2017/01/09 03:30:00	1.07311	1.07368	1.07268	1.07284	1.07305	1.07362	1.07263	1.07277
2017/01/09 03:15:00	1.07246	1.07320	1.07242	1.07311	1.07239	1.07313	1.07236	1.07305
2017/01/09 03:00:00	1.07295	1.07301	1.07236	1.07246	1.07287	1.07297	1.07230	1.07239
2017/01/09 02:45:00	1.07302	1.07315	1.07277	1.07295	1.07295	1.07309	1.07270	1.07287
2017/01/09 02:30:00	1.07284	1.07315	1.07268	1.07302	1.07277	1.07309	1.07261	1.07295
2017/01/09 02:15:00	1.07252	1.07284	1.07239	1.07284	1.07245	1.07277	1.07232	1.07277
2017/01/09 02:00:00	1.07240	1.07270	1.07223	1.07252	1.07226	1.07265	1.07217	1.07245
2017/01/09 01:45:00	1.07261	1.07269	1.07229	1.07240	1.07254	1.07264	1.07225	1.07226
2017/01/09 01:30:00	1.07231	1.07263	1.07226	1.07261	1.07227	1.07256	1.07221	1.07254
2017/01/09 01:15:00	1.07212	1.07233	1.07209	1.07231	1.07203	1.07229	1.07202	1.07227
2017/01/09 01:00:00	1.07208	1.07221	1.07202	1.07212	1.07201	1.07213	1.07198	1.07203
2017/01/09 00:45:00	1.07195	1.07223	1.07182	1.07208	1.07185	1.07215	1.07171	1.07201
2017/01/09 00:30:00	1.07200	1.07204	1.07185	1.07195	1.07190	1.07194	1.07175	1.07185
2017/01/09 00:15:00	1.07200	1.07208	1.07187	1.07200	1.07192	1.07198	1.07179	1.07190
2017/01/09 00:00:00	1.07179	1.07204	1.07175	1.07200	1.07174	1.07197	1.07168	1.07192
2017/01/08 23:45:00	1.07183	1.07187	1.07177	1.07179	1.07182	1.07182	1.07168	1.07174
2017/01/08 23:30:00	1.07191	1.07191	1.07176	1.07183	1.07184	1.07187	1.07169	1.07182
2017/01/08 23:15:00	1.07189	1.07201	1.07183	1.07191	1.07185	1.07193	1.07178	1.07184
2017/01/08 23:00:00	1.07183	1.07203	1.07181	1.07189	1.07182	1.07195	1.07172	1.07185
2017/01/08 22:45:00	1.07178	1.07195	1.07171	1.07183	1.07169	1.07190	1.07165	1.07182
2017/01/08 22:30:00	1.07171	1.07179	1.07162	1.07178	1.07166	1.07170	1.07157	1.07169
2017/01/08 22:15:00	1.07170	1.07176	1.07165	1.07171	1.07162	1.07168	1.07158	1.07166
2017/01/08 22:00:00	1.07168	1.07173	1.07163	1.07170	1.07161	1.07164	1.07155	1.07162
2017/01/08 21:45:00	1.07174	1.07179	1.07165	1.07168	1.07164	1.07173	1.07161	1.07161
2017/01/08 21:30:00	1.07168	1.07179	1.07164	1.07174	1.07161	1.07170	1.07156	1.07164
2017/01/08 21:15:00	1.07170	1.07172	1.07162	1.07168	1.07161	1.07163	1.07155	1.07161
2017/01/08 21:00:00	1.07173	1.07186	1.07166	1.07170	1.07164	1.07176	1.07157	1.07161
2017/01/08 20:45:00	1.07176	1.07182	1.07161	1.07173	1.07167	1.07176	1.07160	1.07164
2017/01/08 20:30:00	1.07166	1.07179	1.07159	1.07176	1.07157	1.07170	1.07150	1.07167
2017/01/08 20:15:00	1.07174	1.07179	1.07155	1.07166	1.07164	1.07171	1.07147	1.07157
2017/01/08 20:00:00	1.07168	1.07182	1.07152	1.07174	1.07158	1.07173	1.07142	1.07164
2017/01/08 19:45:00	1.07155	1.07169	1.07151	1.07168	1.07144	1.07160	1.07140	1.07158
2017/01/08 19:30:00	1.07155	1.07160	1.07137	1.07155	1.07143	1.07149	1.07127	1.07144
2017/01/08 19:15:00	1.07159	1.07164	1.07125	1.07155	1.07148	1.07153	1.07120	1.07143
