日時	"EUR/CZK(始値, 買い)"	"EUR/CZK(高値, 買い)"	"EUR/CZK(安値, 買い)"	"EUR/CZK(終値, 買い)"	"EUR/CZK(始値, 売り)*"	"EUR/CZK(高値, 売り)*"	"EUR/CZK(安値, 売り)*"	"EUR/CZK(終値, 売り)*"
2017/01/09 06:00:00	27.0226	27.0230	27.0214	27.0214	27.0176	27.0184	27.0176	27.0184
2017/01/09 05:45:00	27.0214	27.0232	27.0214	27.0226	27.0181	27.0185	27.0174	27.0176
2017/01/09 05:30:00	27.0232	27.0234	27.0214	27.0214	27.0182	27.0184	27.0176	27.0181
2017/01/09 05:15:00	27.0227	27.0234	27.0214	27.0232	27.0177	27.0185	27.0173	27.0182
2017/01/09 05:00:00	27.0226	27.0238	27.0220	27.0227	27.0200	27.0200	27.0170	27.0177
2017/01/09 04:45:00	27.0230	27.0240	27.0222	27.0226	27.0180	27.0200	27.0172	27.0200
2017/01/09 04:30:00	27.0231	27.0236	27.0221	27.0230	27.0181	27.0186	27.0171	27.0180
2017/01/09 04:15:00	27.0229	27.0236	27.0222	27.0231	27.0179	27.0186	27.0172	27.0181
2017/01/09 04:00:00	27.0226	27.0237	27.0224	27.0229	27.0176	27.0187	27.0174	27.0179
2017/01/09 03:45:00	27.0231	27.0235	27.0225	27.0226	27.0181	27.0185	27.0175	27.0176
2017/01/09 03:30:00	27.0235	27.0239	27.0226	27.0231	27.0185	27.0189	27.0176	27.0181
2017/01/09 03:15:00	27.0233	27.0235	27.0222	27.0235	27.0183	27.0185	27.0172	27.0185
2017/01/09 03:00:00	27.0270	27.0270	27.0223	27.0233	27.0130	27.0186	27.0130	27.0183
2017/01/09 02:45:00	27.0232	27.0270	27.0226	27.0270	27.0182	27.0187	27.0130	27.0130
2017/01/09 02:30:00	27.0229	27.0238	27.0210	27.0232	27.0190	27.0190	27.0174	27.0182
2017/01/09 02:15:00	27.0230	27.0235	27.0224	27.0229	27.0180	27.0190	27.0174	27.0190
2017/01/09 02:00:00	27.0236	27.0237	27.0224	27.0230	27.0176	27.0187	27.0174	27.0180
2017/01/09 01:45:00	27.0235	27.0237	27.0235	27.0236	27.0175	27.0177	27.0175	27.0176
2017/01/09 01:30:00	27.0240	27.0240	27.0234	27.0235	27.0171	27.0177	27.0171	27.0175
