日時	"EUR/GBP(始値, 買い)"	"EUR/GBP(高値, 買い)"	"EUR/GBP(安値, 買い)"	"EUR/GBP(終値, 買い)"	"EUR/GBP(始値, 売り)*"	"EUR/GBP(高値, 売り)*"	"EUR/GBP(安値, 売り)*"	"EUR/GBP(終値, 売り)*"
2017/01/09 04:45:00	0.86706	0.86759	0.86657	0.86714	0.86701	0.86751	0.86651	0.86706
2017/01/09 04:30:00	0.86711	0.86801	0.86684	0.86706	0.86703	0.86799	0.86676	0.86701
2017/01/09 04:15:00	0.86578	0.86732	0.86506	0.86711	0.86571	0.86725	0.86499	0.86703
2017/01/09 04:00:00	0.86610	0.86619	0.86513	0.86578	0.86604	0.86613	0.86505	0.86571
2017/01/09 03:45:00	0.86599	0.86661	0.86594	0.86610	0.86591	0.86655	0.86589	0.86604
2017/01/09 03:30:00	0.86587	0.86641	0.86572	0.86599	0.86580	0.86635	0.86566	0.86591
2017/01/09 03:15:00	0.86495	0.86589	0.86474	0.86587	0.86488	0.86583	0.86468	0.86580
2017/01/09 03:00:00	0.86496	0.86543	0.86448	0.86495	0.86490	0.86536	0.86439	0.86488
2017/01/09 02:45:00	0.86548	0.86578	0.86472	0.86496	0.86542	0.86572	0.86466	0.86490
2017/01/09 02:30:00	0.86581	0.86593	0.86493	0.86548	0.86570	0.86587	0.86486	0.86542
2017/01/09 02:15:00	0.86457	0.86595	0.86445	0.86581	0.86449	0.86585	0.86437	0.86570
2017/01/09 02:00:00	0.86480	0.86486	0.86421	0.86457	0.86472	0.86480	0.86412	0.86449
2017/01/09 01:45:00	0.86349	0.86482	0.86345	0.86480	0.86338	0.86472	0.86333	0.86472
2017/01/09 01:30:00	0.86321	0.86398	0.86309	0.86349	0.86312	0.86388	0.86300	0.86338
2017/01/09 01:15:00	0.86315	0.86347	0.86307	0.86321	0.86305	0.86337	0.86300	0.86312
2017/01/09 01:00:00	0.86360	0.86362	0.86293	0.86315	0.86358	0.86358	0.86282	0.86305
2017/01/09 00:45:00	0.86341	0.86366	0.86283	0.86360	0.86331	0.86360	0.86271	0.86358
2017/01/09 00:30:00	0.86194	0.86349	0.86191	0.86341	0.86186	0.86340	0.86184	0.86331
2017/01/09 00:15:00	0.86151	0.86214	0.86137	0.86194	0.86144	0.86204	0.86132	0.86186
2017/01/09 00:00:00	0.86069	0.86154	0.86062	0.86151	0.86063	0.86146	0.86055	0.86144
2017/01/08 23:45:00	0.86052	0.86074	0.86046	0.86069	0.86046	0.86067	0.86042	0.86063
2017/01/08 23:30:00	0.85999	0.86052	0.85989	0.86052	0.85992	0.86046	0.85980	0.86046
2017/01/08 23:15:00	0.85982	0.86001	0.85971	0.85999	0.85973	0.85992	0.85962	0.85992
2017/01/08 23:00:00	0.85993	0.86004	0.85978	0.85982	0.85986	0.85996	0.85968	0.85973
2017/01/08 22:45:00	0.85993	0.86012	0.85981	0.85993	0.85985	0.86005	0.85972	0.85986
2017/01/08 22:30:00	0.85996	0.85997	0.85969	0.85993	0.85987	0.85988	0.85960	0.85985
2017/01/08 22:15:00	0.85976	0.85998	0.85971	0.85996	0.85970	0.85989	0.85964	0.85987
2017/01/08 22:00:00	0.85964	0.85978	0.85954	0.85976	0.85953	0.85972	0.85944	0.85970
2017/01/08 21:45:00	0.85957	0.85972	0.85947	0.85964	0.85948	0.85962	0.85938	0.85953
2017/01/08 21:30:00	0.85938	0.85965	0.85930	0.85957	0.85931	0.85955	0.85920	0.85948
2017/01/08 21:15:00	0.85919	0.85940	0.85915	0.85938	0.85908	0.85933	0.85905	0.85931
2017/01/08 21:00:00	0.85928	0.85930	0.85901	0.85919	0.85920	0.85921	0.85892	0.85908
2017/01/08 20:45:00	0.85919	0.85942	0.85915	0.85928	0.85907	0.85931	0.85904	0.85920
2017/01/08 20:30:00	0.85927	0.85935	0.85908	0.85919	0.85916	0.85925	0.85896	0.85907
2017/01/08 20:15:00	0.85917	0.85949	0.85911	0.85927	0.85907	0.85940	0.85899	0.85916
2017/01/08 20:00:00	0.85925	0.85953	0.85905	0.85917	0.85913	0.85941	0.85894	0.85907
2017/01/08 19:45:00	0.85890	0.85929	0.85884	0.85925	0.85881	0.85917	0.85872	0.85913
2017/01/08 19:30:00	0.85878	0.85896	0.85867	0.85890	0.85864	0.85885	0.85854	0.85881
2017/01/08 19:15:00	0.85926	0.85930	0.85864	0.85878	0.85913	0.85916	0.85854	0.85864
2017/01/08 19:00:00	0.85910	0.85943	0.85907	0.85926	0.85893	0.85928	0.85889	0.85913
2017/01/08 18:45:00	0.85845	0.85927	0.85843	0.85910	0.85832	0.85914	0.85829	0.85893
