日時	"EUR/NOK(始値, 買い)"	"EUR/NOK(高値, 買い)"	"EUR/NOK(安値, 買い)"	"EUR/NOK(終値, 買い)"	"EUR/NOK(始値, 売り)*"	"EUR/NOK(高値, 売り)*"	"EUR/NOK(安値, 売り)*"	"EUR/NOK(終値, 売り)*"
2017/01/09 05:45:00	9.01030	9.01080	9.00646	9.00819	9.00919	9.00960	9.00580	9.00667
2017/01/09 05:30:00	9.00799	9.01410	9.00799	9.01030	9.00639	9.01269	9.00639	9.00919
2017/01/09 05:15:00	9.01182	9.01283	9.00761	9.00799	9.01022	9.01134	9.00610	9.00639
2017/01/09 05:00:00	9.00926	9.01775	9.00647	9.01182	9.00800	9.01615	9.00560	9.01022
2017/01/09 04:45:00	9.00815	9.01338	9.00751	9.00926	9.00700	9.01200	9.00700	9.00800
2017/01/09 04:30:00	9.01038	9.01460	9.00709	9.00815	9.00950	9.01350	9.00620	9.00700
2017/01/09 04:15:00	9.01425	9.01496	9.00510	9.01038	9.01320	9.01420	9.00409	9.00950
2017/01/09 04:00:00	9.01510	9.01700	9.01082	9.01425	9.01380	9.01581	9.00922	9.01320
2017/01/09 03:45:00	9.01257	9.01545	9.01040	9.01510	9.01097	9.01400	9.00912	9.01380
2017/01/09 03:30:00	9.01400	9.01540	9.01082	9.01257	9.01339	9.01441	9.00922	9.01097
2017/01/09 03:15:00	9.00470	9.01520	9.00440	9.01400	9.00352	9.01391	9.00352	9.01339
2017/01/09 03:00:00	9.00840	9.00933	8.99853	9.00470	9.00530	9.00679	8.99660	9.00352
2017/01/09 02:45:00	9.00900	9.01021	9.00748	9.00840	9.00756	9.00950	9.00492	9.00530
2017/01/09 02:30:00	8.99486	9.00916	8.99486	9.00900	8.99326	9.00756	8.99326	9.00756
2017/01/09 02:15:00	8.99584	9.00210	8.99368	8.99486	8.99460	9.00050	8.99230	8.99326
2017/01/09 02:00:00	8.99720	8.99919	8.99552	8.99584	8.99310	8.99759	8.99270	8.99460
2017/01/09 01:45:00	8.99778	8.99952	8.99700	8.99720	8.99618	8.99650	8.99270	8.99310
2017/01/09 01:30:00	8.99695	8.99790	8.99467	8.99778	8.99455	8.99630	8.99307	8.99618
2017/01/09 01:15:00	8.99688	8.99723	8.99679	8.99695	8.99448	8.99483	8.99439	8.99455
2017/01/09 01:00:00	8.99562	8.99705	8.99561	8.99688	8.99322	8.99465	8.99321	8.99448
2017/01/09 00:45:00	8.99379	8.99562	8.99204	8.99562	8.99139	8.99322	8.98929	8.99322
2017/01/09 00:30:00	8.99442	8.99493	8.99267	8.99379	8.99142	8.99253	8.99067	8.99139
2017/01/09 00:15:00	8.99205	8.99530	8.99199	8.99442	8.98965	8.99423	8.98959	8.99142
2017/01/09 00:00:00	8.99197	8.99209	8.99161	8.99205	8.98957	8.98969	8.98921	8.98965
2017/01/08 23:45:00	8.99070	8.99198	8.99070	8.99197	8.98830	8.98958	8.98830	8.98957
2017/01/08 23:30:00	8.98813	8.99070	8.98813	8.99070	8.98573	8.98830	8.98573	8.98830
2017/01/08 23:15:00	8.98791	8.98826	8.98785	8.98813	8.98551	8.98586	8.98545	8.98573
2017/01/08 23:00:00	8.98924	8.98928	8.98757	8.98791	8.98684	8.98688	8.98517	8.98551
2017/01/08 22:45:00	8.98856	8.98954	8.98854	8.98924	8.98616	8.98714	8.98614	8.98684
2017/01/08 22:30:00	8.98688	8.98900	8.98674	8.98856	8.98448	8.98660	8.98422	8.98616
2017/01/08 22:15:00	8.98736	8.98801	8.98628	8.98688	8.98496	8.98566	8.98409	8.98448
2017/01/08 22:00:00	8.98634	8.98812	8.98633	8.98736	8.98407	8.98572	8.98395	8.98496
2017/01/08 21:45:00	8.98879	8.98884	8.98634	8.98634	8.98640	8.98650	8.98407	8.98407
2017/01/08 21:30:00	8.98962	8.98994	8.98754	8.98879	8.98722	8.98754	8.98579	8.98640
2017/01/08 21:15:00	8.98981	8.99005	8.98925	8.98962	8.98741	8.98772	8.98685	8.98722
2017/01/08 21:00:00	8.98984	8.98997	8.98907	8.98981	8.98744	8.98759	8.98667	8.98741
2017/01/08 20:45:00	8.98992	8.98993	8.98945	8.98984	8.98752	8.98753	8.98717	8.98744
2017/01/08 20:30:00	8.98983	8.99023	8.98945	8.98992	8.98743	8.98783	8.98705	8.98752
2017/01/08 20:15:00	8.99009	8.99024	8.98949	8.98983	8.98688	8.98769	8.98685	8.98743
2017/01/08 20:00:00	8.99077	8.99077	8.98811	8.99009	8.98837	8.98837	8.98571	8.98688
2017/01/08 19:45:00	8.99056	8.99077	8.99056	8.99077	8.98816	8.98837	8.98816	8.98837
2017/01/08 19:30:00	8.99252	8.99341	8.99055	8.99056	8.98685	8.98825	8.98603	8.98816
2017/01/08 19:15:00	8.99102	8.99350	8.99102	8.99252	8.98772	8.98830	8.98597	8.98685
