日時	"EUR/NZD(始値, 買い)"	"EUR/NZD(高値, 買い)"	"EUR/NZD(安値, 買い)"	"EUR/NZD(終値, 買い)"	"EUR/NZD(始値, 売り)*"	"EUR/NZD(高値, 売り)*"	"EUR/NZD(安値, 売り)*"	"EUR/NZD(終値, 売り)*"
2016/12/29 11:45:00	1.50734	1.50796	1.50732	1.50781	1.50719	1.50781	1.50718	1.50765
2016/12/29 11:30:00	1.50822	1.50845	1.50730	1.50734	1.50803	1.50828	1.50715	1.50719
2016/12/29 11:15:00	1.50821	1.50839	1.50742	1.50822	1.50806	1.50822	1.50727	1.50803
2016/12/29 11:00:00	1.50960	1.51019	1.50818	1.50821	1.50933	1.51003	1.50803	1.50806
2016/12/29 10:45:00	1.50793	1.51000	1.50753	1.50960	1.50779	1.50985	1.50742	1.50933
2016/12/29 10:30:00	1.50762	1.50810	1.50739	1.50793	1.50728	1.50797	1.50725	1.50779
2016/12/29 10:15:00	1.50806	1.50876	1.50744	1.50762	1.50791	1.50862	1.50728	1.50728
2016/12/29 10:00:00	1.50677	1.50828	1.50665	1.50806	1.50664	1.50818	1.50651	1.50791
2016/12/29 09:45:00	1.50620	1.50688	1.50579	1.50677	1.50588	1.50675	1.50567	1.50664
2016/12/29 09:30:00	1.50519	1.50626	1.50517	1.50620	1.50505	1.50601	1.50503	1.50588
2016/12/29 09:15:00	1.50551	1.50619	1.50519	1.50519	1.50536	1.50604	1.50505	1.50505
2016/12/29 09:00:00	1.50609	1.50609	1.50489	1.50551	1.50595	1.50595	1.50475	1.50536
2016/12/29 08:45:00	1.50446	1.50649	1.50438	1.50609	1.50432	1.50634	1.50424	1.50595
2016/12/29 08:30:00	1.50571	1.50573	1.50424	1.50446	1.50524	1.50541	1.50409	1.50432
2016/12/29 08:15:00	1.50433	1.50580	1.50413	1.50571	1.50419	1.50543	1.50399	1.50524
2016/12/29 08:00:00	1.50381	1.50520	1.50379	1.50433	1.50369	1.50505	1.50364	1.50419
2016/12/29 07:45:00	1.50466	1.50466	1.50373	1.50381	1.50447	1.50447	1.50359	1.50369
2016/12/29 07:30:00	1.50479	1.50527	1.50461	1.50466	1.50466	1.50513	1.50444	1.50447
2016/12/29 07:15:00	1.50421	1.50516	1.50409	1.50479	1.50406	1.50504	1.50394	1.50466
2016/12/29 07:00:00	1.50378	1.50450	1.50355	1.50421	1.50363	1.50435	1.50342	1.50406
2016/12/29 06:45:00	1.50398	1.50406	1.50287	1.50378	1.50384	1.50391	1.50272	1.50363
2016/12/29 06:30:00	1.50406	1.50437	1.50348	1.50398	1.50392	1.50423	1.50334	1.50384
2016/12/29 06:15:00	1.50496	1.50530	1.50365	1.50406	1.50482	1.50516	1.50354	1.50392
2016/12/29 06:00:00	1.50472	1.50526	1.50458	1.50496	1.50454	1.50509	1.50444	1.50482
2016/12/29 05:45:00	1.50629	1.50651	1.50469	1.50472	1.50613	1.50637	1.50450	1.50454
2016/12/29 05:30:00	1.50554	1.50632	1.50513	1.50629	1.50535	1.50617	1.50496	1.50613
2016/12/29 05:15:00	1.50514	1.50575	1.50462	1.50554	1.50495	1.50556	1.50443	1.50535
2016/12/29 05:00:00	1.50340	1.50561	1.50321	1.50514	1.50325	1.50540	1.50308	1.50495
2016/12/29 04:45:00	1.50262	1.50434	1.50238	1.50340	1.50247	1.50418	1.50224	1.50325
2016/12/29 04:30:00	1.50344	1.50451	1.50235	1.50262	1.50330	1.50432	1.50221	1.50247
2016/12/29 04:15:00	1.50372	1.50430	1.50327	1.50344	1.50358	1.50416	1.50312	1.50330
2016/12/29 04:00:00	1.50263	1.50424	1.50219	1.50372	1.50234	1.50409	1.50204	1.50358
2016/12/29 03:45:00	1.50313	1.50318	1.50132	1.50263	1.50299	1.50303	1.50105	1.50234
2016/12/29 03:30:00	1.50464	1.50465	1.50266	1.50313	1.50450	1.50454	1.50251	1.50299
2016/12/29 03:15:00	1.50438	1.50501	1.50403	1.50464	1.50424	1.50487	1.50394	1.50450
2016/12/29 03:00:00	1.50584	1.50626	1.50432	1.50438	1.50570	1.50618	1.50420	1.50424
2016/12/29 02:45:00	1.50656	1.50683	1.50575	1.50584	1.50642	1.50669	1.50561	1.50570
2016/12/29 02:30:00	1.50721	1.50743	1.50599	1.50656	1.50701	1.50728	1.50582	1.50642
2016/12/29 02:15:00	1.50695	1.50748	1.50667	1.50721	1.50676	1.50729	1.50648	1.50701
2016/12/29 02:00:00	1.50632	1.50752	1.50564	1.50695	1.50606	1.50729	1.50545	1.50676
2016/12/29 01:45:00	1.50666	1.50676	1.50591	1.50632	1.50633	1.50650	1.50565	1.50606
2016/12/29 01:30:00	1.50709	1.50715	1.50635	1.50666	1.50682	1.50691	1.50612	1.50633
2016/12/29 01:15:00	1.50723	1.50769	1.50673	1.50709	1.50704	1.50750	1.50654	1.50682
2016/12/29 01:00:00	1.50735	1.50744	1.50681	1.50723	1.50711	1.50725	1.50662	1.50704
2016/12/29 00:45:00	1.50787	1.50787	1.50731	1.50735	1.50761	1.50762	1.50705	1.50711
2016/12/29 00:30:00	1.50813	1.50819	1.50755	1.50787	1.50788	1.50795	1.50731	1.50761
2016/12/29 00:15:00	1.50816	1.50855	1.50762	1.50813	1.50797	1.50833	1.50738	1.50788
2016/12/29 00:00:00	1.50778	1.50830	1.50762	1.50816	1.50754	1.50806	1.50744	1.50797
2016/12/28 23:45:00	1.50789	1.50796	1.50716	1.50778	1.50767	1.50773	1.50694	1.50754
2016/12/28 23:30:00	1.50737	1.50789	1.50684	1.50789	1.50716	1.50767	1.50663	1.50767
2016/12/28 23:15:00	1.50750	1.50780	1.50665	1.50737	1.50714	1.50757	1.50644	1.50716
2016/12/28 23:00:00	1.50714	1.50769	1.50662	1.50750	1.50683	1.50736	1.50630	1.50714
2016/12/28 22:45:00	1.50699	1.50786	1.50679	1.50714	1.50675	1.50757	1.50655	1.50683
2016/12/28 22:30:00	1.50757	1.50808	1.50695	1.50699	1.50734	1.50784	1.50671	1.50675
2016/12/28 22:15:00	1.50810	1.50839	1.50738	1.50757	1.50780	1.50815	1.50714	1.50734
2016/12/28 22:00:00	1.50851	1.50855	1.50743	1.50810	1.50827	1.50832	1.50719	1.50780
2016/12/28 21:45:00	1.50763	1.50875	1.50763	1.50851	1.50728	1.50840	1.50728	1.50827
2016/12/28 21:30:00	1.50793	1.50900	1.50744	1.50763	1.50769	1.50875	1.50713	1.50728
2016/12/28 21:15:00	1.50736	1.50796	1.50711	1.50793	1.50718	1.50772	1.50690	1.50769
2016/12/28 21:00:00	1.50719	1.50800	1.50708	1.50736	1.50698	1.50782	1.50679	1.50718
2016/12/28 20:45:00	1.50698	1.50760	1.50672	1.50719	1.50674	1.50736	1.50650	1.50698
2016/12/28 20:30:00	1.50760	1.50787	1.50592	1.50698	1.50739	1.50764	1.50570	1.50674
2016/12/28 20:15:00	1.50665	1.50761	1.50634	1.50760	1.50624	1.50740	1.50612	1.50739
2016/12/28 20:00:00	1.50721	1.50727	1.50623	1.50665	1.50695	1.50702	1.50586	1.50624
2016/12/28 19:45:00	1.50668	1.50746	1.50653	1.50721	1.50646	1.50725	1.50632	1.50695
2016/12/28 19:30:00	1.50579	1.50669	1.50557	1.50668	1.50555	1.50646	1.50536	1.50646
2016/12/28 19:15:00	1.50495	1.50599	1.50493	1.50579	1.50462	1.50575	1.50460	1.50555
2016/12/28 19:00:00	1.50420	1.50521	1.50402	1.50495	1.50383	1.50490	1.50365	1.50462
2016/12/28 18:45:00	1.50474	1.50504	1.50404	1.50420	1.50448	1.50463	1.50362	1.50383
2016/12/28 18:30:00	1.50414	1.50535	1.50394	1.50474	1.50389	1.50498	1.50369	1.50448
2016/12/28 18:15:00	1.50550	1.50550	1.50380	1.50414	1.50509	1.50528	1.50353	1.50389
2016/12/28 18:00:00	1.50454	1.50559	1.50414	1.50550	1.50409	1.50514	1.50360	1.50509
2016/12/28 17:45:00	1.50420	1.50461	1.50379	1.50454	1.50354	1.50420	1.50311	1.50409
2016/12/28 17:30:00	1.50471	1.50530	1.50372	1.50420	1.50421	1.50457	1.50322	1.50354
2016/12/28 17:15:00	1.50500	1.50543	1.50450	1.50471	1.50433	1.50483	1.50394	1.50421
2016/12/28 17:00:00	1.50750	1.50902	1.50382	1.50500	1.50510	1.50580	1.50333	1.50433
2016/12/28 16:45:00	1.50675	1.50816	1.50659	1.50750	1.50650	1.50690	1.50510	1.50510
2016/12/28 16:30:00	1.50626	1.50691	1.50605	1.50675	1.50610	1.50662	1.50575	1.50650
2016/12/28 16:15:00	1.50566	1.50665	1.50539	1.50626	1.50544	1.50636	1.50513	1.50610
2016/12/28 16:00:00	1.50589	1.50589	1.50523	1.50566	1.50565	1.50565	1.50510	1.50544
2016/12/28 15:45:00	1.50577	1.50618	1.50547	1.50589	1.50550	1.50593	1.50520	1.50565
2016/12/28 15:30:00	1.50535	1.50585	1.50518	1.50577	1.50514	1.50560	1.50490	1.50550
2016/12/28 15:15:00	1.50518	1.50577	1.50507	1.50535	1.50540	1.50580	1.50482	1.50514
2016/12/28 15:00:00	1.50541	1.50602	1.50503	1.50518	1.50521	1.50573	1.50483	1.50540
2016/12/28 14:45:00	1.50656	1.50675	1.50536	1.50541	1.50635	1.50650	1.50512	1.50521
2016/12/28 14:30:00	1.50574	1.50668	1.50573	1.50656	1.50594	1.50657	1.50593	1.50635
2016/12/28 14:15:00	1.50552	1.50603	1.50513	1.50574	1.50524	1.50603	1.50501	1.50594
2016/12/28 14:00:00	1.50464	1.50557	1.50442	1.50552	1.50437	1.50534	1.50432	1.50524
2016/12/28 13:45:00	1.50553	1.50563	1.50427	1.50464	1.50537	1.50541	1.50416	1.50437
2016/12/28 13:30:00	1.50542	1.50571	1.50480	1.50553	1.50528	1.50553	1.50452	1.50537
2016/12/28 13:15:00	1.50582	1.50644	1.50442	1.50542	1.50547	1.50621	1.50448	1.50528
2016/12/28 13:00:00	1.50364	1.50690	1.50364	1.50582	1.50354	1.50642	1.50354	1.50547
2016/12/28 12:45:00	1.50390	1.50445	1.50364	1.50364	1.50366	1.50427	1.50354	1.50354
2016/12/28 12:30:00	1.50367	1.50404	1.50325	1.50390	1.50345	1.50384	1.50303	1.50366
2016/12/28 12:15:00	1.50370	1.50428	1.50322	1.50367	1.50347	1.50406	1.50302	1.50345
2016/12/28 12:00:00	1.50379	1.50393	1.50330	1.50370	1.50360	1.50371	1.50308	1.50347
2016/12/28 11:45:00	1.50411	1.50425	1.50366	1.50379	1.50392	1.50407	1.50353	1.50360
2016/12/28 11:30:00	1.50329	1.50430	1.50304	1.50411	1.50315	1.50412	1.50289	1.50392
2016/12/28 11:15:00	1.50348	1.50350	1.50271	1.50329	1.50334	1.50336	1.50258	1.50315
2016/12/28 11:00:00	1.50343	1.50390	1.50297	1.50348	1.50329	1.50376	1.50283	1.50334
2016/12/28 10:45:00	1.50517	1.50550	1.50340	1.50343	1.50503	1.50535	1.50328	1.50329
2016/12/28 10:30:00	1.50530	1.50587	1.50466	1.50517	1.50514	1.50573	1.50452	1.50503
2016/12/28 10:15:00	1.50633	1.50673	1.50524	1.50530	1.50620	1.50659	1.50510	1.50514
2016/12/28 10:00:00	1.50531	1.50682	1.50473	1.50633	1.50494	1.50668	1.50454	1.50620
2016/12/28 09:45:00	1.50650	1.50685	1.50520	1.50531	1.50633	1.50672	1.50490	1.50494
2016/12/28 09:30:00	1.50633	1.50722	1.50586	1.50650	1.50619	1.50708	1.50575	1.50633
2016/12/28 09:15:00	1.50537	1.50640	1.50512	1.50633	1.50523	1.50626	1.50502	1.50619
2016/12/28 09:00:00	1.50675	1.50688	1.50495	1.50537	1.50664	1.50678	1.50482	1.50523
2016/12/28 08:45:00	1.50663	1.50714	1.50637	1.50675	1.50648	1.50699	1.50622	1.50664
2016/12/28 08:30:00	1.50571	1.50669	1.50507	1.50663	1.50556	1.50658	1.50490	1.50648
2016/12/28 08:15:00	1.50512	1.50576	1.50452	1.50571	1.50497	1.50561	1.50438	1.50556
2016/12/28 08:00:00	1.50489	1.50529	1.50447	1.50512	1.50479	1.50514	1.50436	1.50497
2016/12/28 07:45:00	1.50465	1.50490	1.50404	1.50489	1.50450	1.50479	1.50389	1.50479
2016/12/28 07:30:00	1.50506	1.50535	1.50443	1.50465	1.50491	1.50520	1.50428	1.50450
2016/12/28 07:15:00	1.50547	1.50557	1.50475	1.50506	1.50531	1.50541	1.50461	1.50491
2016/12/28 07:00:00	1.50669	1.50707	1.50531	1.50547	1.50655	1.50693	1.50515	1.50531
2016/12/28 06:45:00	1.50589	1.50690	1.50570	1.50669	1.50576	1.50676	1.50556	1.50655
2016/12/28 06:30:00	1.50693	1.50720	1.50578	1.50589	1.50680	1.50706	1.50564	1.50576
2016/12/28 06:15:00	1.50888	1.50897	1.50645	1.50693	1.50875	1.50884	1.50632	1.50680
2016/12/28 06:00:00	1.50803	1.50926	1.50777	1.50888	1.50789	1.50914	1.50763	1.50875
2016/12/28 05:45:00	1.50855	1.50892	1.50795	1.50803	1.50842	1.50879	1.50782	1.50789
2016/12/28 05:30:00	1.50792	1.50869	1.50786	1.50855	1.50778	1.50855	1.50772	1.50842
2016/12/28 05:15:00	1.50855	1.50864	1.50778	1.50792	1.50841	1.50850	1.50764	1.50778
2016/12/28 05:00:00	1.50776	1.50867	1.50755	1.50855	1.50762	1.50854	1.50741	1.50841
2016/12/28 04:45:00	1.50721	1.50782	1.50686	1.50776	1.50707	1.50768	1.50675	1.50762
2016/12/28 04:30:00	1.50721	1.50761	1.50698	1.50721	1.50706	1.50746	1.50685	1.50707
2016/12/28 04:15:00	1.50831	1.50832	1.50694	1.50721	1.50817	1.50818	1.50680	1.50706
2016/12/28 04:00:00	1.50749	1.50869	1.50740	1.50831	1.50735	1.50855	1.50727	1.50817
2016/12/28 03:45:00	1.50818	1.50821	1.50718	1.50749	1.50804	1.50805	1.50704	1.50735
2016/12/28 03:30:00	1.50908	1.50908	1.50814	1.50818	1.50900	1.50900	1.50800	1.50804
2016/12/28 03:15:00	1.50941	1.50947	1.50897	1.50908	1.50932	1.50935	1.50883	1.50900
2016/12/28 03:00:00	1.51124	1.51127	1.50933	1.50941	1.51091	1.51096	1.50920	1.50932
2016/12/28 02:45:00	1.51107	1.51210	1.51070	1.51124	1.51093	1.51196	1.51055	1.51091
2016/12/28 02:30:00	1.51154	1.51168	1.51075	1.51107	1.51137	1.51151	1.51057	1.51093
2016/12/28 02:15:00	1.51199	1.51263	1.51140	1.51154	1.51176	1.51247	1.51124	1.51137
2016/12/28 02:00:00	1.51270	1.51270	1.51193	1.51199	1.51244	1.51244	1.51173	1.51176
2016/12/28 01:45:00	1.51295	1.51313	1.51203	1.51270	1.51271	1.51294	1.51181	1.51244
2016/12/28 01:30:00	1.51361	1.51396	1.51272	1.51295	1.51333	1.51373	1.51247	1.51271
