日時	"EUR/SEK(始値, 買い)"	"EUR/SEK(高値, 買い)"	"EUR/SEK(安値, 買い)"	"EUR/SEK(終値, 買い)"	"EUR/SEK(始値, 売り)*"	"EUR/SEK(高値, 売り)*"	"EUR/SEK(安値, 売り)*"	"EUR/SEK(終値, 売り)*"
2017/01/09 05:45:00	9.55520	9.55537	9.54698	9.54931	9.55408	9.55425	9.54586	9.54830
2017/01/09 05:30:00	9.55233	9.55534	9.55018	9.55520	9.55140	9.55430	9.54906	9.55408
2017/01/09 05:15:00	9.55799	9.55810	9.55096	9.55233	9.55687	9.55698	9.54984	9.55140
2017/01/09 05:00:00	9.56360	9.56370	9.55619	9.55799	9.56125	9.56202	9.55511	9.55687
2017/01/09 04:45:00	9.56078	9.56421	9.55870	9.56360	9.55966	9.56309	9.55758	9.56125
2017/01/09 04:30:00	9.56637	9.56640	9.55795	9.56078	9.56525	9.56532	9.55683	9.55966
2017/01/09 04:15:00	9.56742	9.56792	9.56450	9.56637	9.56630	9.56696	9.56343	9.56525
2017/01/09 04:00:00	9.56550	9.56769	9.56420	9.56742	9.56441	9.56657	9.56337	9.56630
2017/01/09 03:45:00	9.56539	9.56722	9.56437	9.56550	9.56427	9.56612	9.56325	9.56441
2017/01/09 03:30:00	9.56741	9.56866	9.56509	9.56539	9.56629	9.56755	9.56397	9.56427
2017/01/09 03:15:00	9.55992	9.56924	9.55951	9.56741	9.55880	9.56855	9.55839	9.56629
2017/01/09 03:00:00	9.55422	9.55997	9.54866	9.55992	9.55110	9.55885	9.54638	9.55880
2017/01/09 02:45:00	9.55329	9.55995	9.55265	9.55422	9.55217	9.55883	9.55039	9.55110
2017/01/09 02:30:00	9.55720	9.56035	9.55225	9.55329	9.55608	9.55923	9.55113	9.55217
2017/01/09 02:15:00	9.55936	9.56128	9.55292	9.55720	9.55824	9.56016	9.55150	9.55608
2017/01/09 02:00:00	9.55550	9.56067	9.55349	9.55936	9.55210	9.55955	9.55120	9.55824
2017/01/09 01:45:00	9.55199	9.55570	9.55109	9.55550	9.55087	9.55408	9.54997	9.55210
2017/01/09 01:30:00	9.54829	9.55199	9.54158	9.55199	9.54589	9.55087	9.54046	9.55087
2017/01/09 01:15:00	9.54761	9.54845	9.54747	9.54829	9.54521	9.54605	9.54507	9.54589
2017/01/09 01:00:00	9.54662	9.54881	9.54648	9.54761	9.54422	9.54641	9.54408	9.54521
2017/01/09 00:45:00	9.54628	9.54670	9.54553	9.54662	9.54388	9.54428	9.54293	9.54422
2017/01/09 00:30:00	9.54413	9.54628	9.54348	9.54628	9.54077	9.54388	9.54010	9.54388
2017/01/09 00:15:00	9.54424	9.54484	9.54377	9.54413	9.54184	9.54244	9.54007	9.54077
2017/01/09 00:00:00	9.54477	9.54484	9.54400	9.54424	9.54237	9.54244	9.54160	9.54184
2017/01/08 23:45:00	9.54764	9.54792	9.54477	9.54477	9.54524	9.54552	9.54237	9.54237
2017/01/08 23:30:00	9.54708	9.54820	9.54708	9.54764	9.54468	9.54580	9.54468	9.54524
2017/01/08 23:15:00	9.54700	9.54732	9.54678	9.54708	9.54460	9.54492	9.54438	9.54468
2017/01/08 23:00:00	9.54673	9.54715	9.54648	9.54700	9.54433	9.54475	9.54408	9.54460
2017/01/08 22:45:00	9.54626	9.54737	9.54623	9.54673	9.54386	9.54497	9.54383	9.54433
2017/01/08 22:30:00	9.54577	9.54682	9.54557	9.54626	9.54337	9.54398	9.54303	9.54386
2017/01/08 22:15:00	9.54688	9.54819	9.54559	9.54577	9.54450	9.54580	9.54319	9.54337
2017/01/08 22:00:00	9.54715	9.54718	9.54521	9.54688	9.54475	9.54478	9.54300	9.54450
2017/01/08 21:45:00	9.54595	9.54733	9.54554	9.54715	9.54355	9.54493	9.54314	9.54475
2017/01/08 21:30:00	9.54529	9.54694	9.54507	9.54595	9.54289	9.54454	9.54269	9.54355
2017/01/08 21:15:00	9.54564	9.54612	9.54522	9.54529	9.54324	9.54372	9.54282	9.54289
2017/01/08 21:00:00	9.54688	9.54692	9.54547	9.54564	9.54448	9.54452	9.54307	9.54324
2017/01/08 20:45:00	9.54675	9.54704	9.54640	9.54688	9.54435	9.54464	9.54400	9.54448
2017/01/08 20:30:00	9.54514	9.54678	9.54503	9.54675	9.54274	9.54438	9.54263	9.54435
