日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/12/29 11:45:00	3.69530	3.69857	3.69530	3.69805	3.69220	3.69470	3.69202	3.69364
2016/12/29 11:30:00	3.69537	3.69754	3.69407	3.69530	3.69350	3.69570	3.69170	3.69220
2016/12/29 11:15:00	3.69060	3.69590	3.68893	3.69537	3.68830	3.69400	3.68640	3.69350
2016/12/29 11:00:00	3.69420	3.69690	3.68870	3.69060	3.69240	3.69521	3.68630	3.68830
2016/12/29 10:45:00	3.69520	3.70138	3.69223	3.69420	3.69353	3.69784	3.69050	3.69240
2016/12/29 10:30:00	3.69640	3.69710	3.69158	3.69520	3.69460	3.69550	3.69000	3.69353
2016/12/29 10:15:00	3.69847	3.69880	3.69600	3.69640	3.69690	3.69720	3.69420	3.69460
2016/12/29 10:00:00	3.69790	3.70009	3.69753	3.69847	3.69620	3.69850	3.69590	3.69690
2016/12/29 09:45:00	3.69655	3.69880	3.69526	3.69790	3.69480	3.69740	3.69380	3.69620
2016/12/29 09:30:00	3.69580	3.69790	3.69485	3.69655	3.69410	3.69650	3.69320	3.69480
2016/12/29 09:15:00	3.69610	3.69730	3.69500	3.69580	3.69460	3.69600	3.69340	3.69410
2016/12/29 09:00:00	3.69770	3.69780	3.69396	3.69610	3.69610	3.69660	3.69230	3.69460
2016/12/29 08:45:00	3.69276	3.69980	3.69276	3.69770	3.69100	3.69820	3.69100	3.69610
2016/12/29 08:30:00	3.69440	3.69576	3.69196	3.69276	3.69210	3.69410	3.69020	3.69100
2016/12/29 08:15:00	3.69670	3.69700	3.69250	3.69440	3.69490	3.69550	3.69080	3.69210
2016/12/29 08:00:00	3.69557	3.69790	3.69550	3.69670	3.69380	3.69630	3.69380	3.69490
2016/12/29 07:45:00	3.69660	3.69788	3.69450	3.69557	3.69490	3.69610	3.69290	3.69380
2016/12/29 07:30:00	3.69970	3.70056	3.69620	3.69660	3.69820	3.69890	3.69470	3.69490
2016/12/29 07:15:00	3.69810	3.70050	3.69790	3.69970	3.69650	3.69890	3.69620	3.69820
2016/12/29 07:00:00	3.69850	3.69933	3.69690	3.69810	3.69680	3.69760	3.69520	3.69650
2016/12/29 06:45:00	3.69580	3.69908	3.69550	3.69850	3.69410	3.69780	3.69380	3.69680
2016/12/29 06:30:00	3.69950	3.70020	3.69559	3.69580	3.69780	3.69860	3.69380	3.69410
2016/12/29 06:15:00	3.70450	3.70460	3.69930	3.69950	3.70280	3.70300	3.69750	3.69780
2016/12/29 06:00:00	3.70470	3.70680	3.70420	3.70450	3.70310	3.70540	3.70233	3.70280
2016/12/29 05:45:00	3.70560	3.70640	3.70370	3.70470	3.70400	3.70520	3.70200	3.70310
2016/12/29 05:30:00	3.70162	3.70560	3.69992	3.70560	3.69980	3.70400	3.69820	3.70400
2016/12/29 05:15:00	3.70150	3.70360	3.70070	3.70162	3.69950	3.70180	3.69893	3.69980
2016/12/29 05:00:00	3.70150	3.70480	3.69960	3.70150	3.69930	3.70300	3.69770	3.69950
2016/12/29 04:45:00	3.70120	3.70598	3.69910	3.70150	3.69940	3.70380	3.69730	3.69930
2016/12/29 04:30:00	3.69808	3.70200	3.69728	3.70120	3.69620	3.70080	3.69570	3.69940
2016/12/29 04:15:00	3.70070	3.70160	3.69695	3.69808	3.69890	3.69943	3.69520	3.69620
2016/12/29 04:00:00	3.69690	3.70200	3.69660	3.70070	3.69520	3.70040	3.69500	3.69890
2016/12/29 03:45:00	3.69690	3.69770	3.69600	3.69690	3.69560	3.69620	3.69440	3.69520
2016/12/29 03:30:00	3.69961	3.70102	3.69610	3.69690	3.69820	3.69960	3.69430	3.69560
2016/12/29 03:15:00	3.70280	3.70410	3.69810	3.69961	3.70160	3.70300	3.69620	3.69820
2016/12/29 03:00:00	3.70181	3.70480	3.69906	3.70280	3.69964	3.70316	3.69740	3.70160
2016/12/29 02:45:00	3.70638	3.70654	3.70080	3.70181	3.70295	3.70352	3.69869	3.69964
2016/12/29 02:30:00	3.70466	3.70870	3.70093	3.70638	3.70230	3.70618	3.69874	3.70295
2016/12/29 02:15:00	3.69987	3.70730	3.69987	3.70466	3.69766	3.70423	3.69766	3.70230
2016/12/29 02:00:00	3.71000	3.71000	3.69907	3.69987	3.70740	3.70740	3.69570	3.69766
2016/12/29 01:45:00	3.70848	3.71180	3.70652	3.71000	3.70630	3.70980	3.70338	3.70740
2016/12/29 01:30:00	3.70060	3.70970	3.69890	3.70848	3.69870	3.70684	3.69650	3.70630
2016/12/29 01:15:00	3.70440	3.70492	3.69930	3.70060	3.69906	3.70080	3.69760	3.69870
2016/12/29 01:00:00	3.70605	3.70605	3.69964	3.70440	3.70200	3.70290	3.69599	3.69906
2016/12/29 00:45:00	3.70509	3.70630	3.70256	3.70605	3.70050	3.70250	3.69910	3.70200
2016/12/29 00:30:00	3.70611	3.70621	3.70302	3.70509	3.70260	3.70260	3.69960	3.70050
2016/12/29 00:15:00	3.70637	3.70728	3.70511	3.70611	3.70270	3.70340	3.70160	3.70260
2016/12/29 00:00:00	3.70455	3.70657	3.70386	3.70637	3.69980	3.70280	3.69881	3.70270
2016/12/28 23:45:00	3.70501	3.70585	3.70344	3.70455	3.70120	3.70130	3.69930	3.69980
2016/12/28 23:30:00	3.70461	3.70600	3.70309	3.70501	3.70110	3.70330	3.69948	3.70120
2016/12/28 23:15:00	3.70061	3.70461	3.70049	3.70461	3.69720	3.70170	3.69710	3.70110
2016/12/28 23:00:00	3.69910	3.70264	3.69887	3.70061	3.69510	3.69770	3.69460	3.69720
2016/12/28 22:45:00	3.69934	3.70095	3.69838	3.69910	3.69450	3.69530	3.69280	3.69510
2016/12/28 22:30:00	3.69813	3.70030	3.69762	3.69934	3.69330	3.69470	3.69260	3.69450
2016/12/28 22:15:00	3.69800	3.69937	3.69728	3.69813	3.69320	3.69350	3.69070	3.69330
2016/12/28 22:00:00	3.69809	3.69916	3.69640	3.69800	3.69230	3.69340	3.68984	3.69320
2016/12/28 21:45:00	3.69656	3.69890	3.69598	3.69809	3.69160	3.69280	3.68926	3.69230
2016/12/28 21:30:00	3.69847	3.69988	3.69647	3.69656	3.69360	3.69400	3.68924	3.69160
2016/12/28 21:15:00	3.70068	3.70155	3.69791	3.69847	3.69350	3.69460	3.69105	3.69360
2016/12/28 21:00:00	3.69928	3.70136	3.69903	3.70068	3.69396	3.69505	3.69307	3.69350
2016/12/28 20:45:00	3.69888	3.70128	3.69888	3.69928	3.69356	3.69670	3.69356	3.69396
