日時	"EUR/USD(始値, 買い)"	"EUR/USD(高値, 買い)"	"EUR/USD(安値, 買い)"	"EUR/USD(終値, 買い)"	"EUR/USD(始値, 売り)*"	"EUR/USD(高値, 売り)*"	"EUR/USD(安値, 売り)*"	"EUR/USD(終値, 売り)*"
2017/01/09 04:00:00	1.05483	1.05524	1.05392	1.05399	1.05478	1.05521	1.05390	1.05395
2017/01/09 03:45:00	1.05457	1.05534	1.05445	1.05483	1.05454	1.05531	1.05443	1.05478
2017/01/09 03:30:00	1.05535	1.05564	1.05456	1.05457	1.05529	1.05560	1.05453	1.05454
2017/01/09 03:15:00	1.05410	1.05550	1.05402	1.05535	1.05405	1.05546	1.05397	1.05529
2017/01/09 03:00:00	1.05375	1.05445	1.05347	1.05410	1.05370	1.05440	1.05342	1.05405
2017/01/09 02:45:00	1.05304	1.05380	1.05304	1.05375	1.05301	1.05377	1.05300	1.05370
2017/01/09 02:30:00	1.05396	1.05415	1.05296	1.05304	1.05392	1.05410	1.05291	1.05301
2017/01/09 02:15:00	1.05343	1.05400	1.05330	1.05396	1.05339	1.05396	1.05325	1.05392
2017/01/09 02:00:00	1.05332	1.05411	1.05303	1.05343	1.05326	1.05410	1.05299	1.05339
2017/01/09 01:45:00	1.05275	1.05369	1.05270	1.05332	1.05271	1.05365	1.05266	1.05326
2017/01/09 01:30:00	1.05259	1.05277	1.05229	1.05275	1.05255	1.05273	1.05224	1.05271
2017/01/09 01:15:00	1.05202	1.05266	1.05194	1.05259	1.05197	1.05262	1.05190	1.05255
2017/01/09 01:00:00	1.05241	1.05257	1.05198	1.05202	1.05237	1.05252	1.05195	1.05197
2017/01/09 00:45:00	1.05250	1.05260	1.05170	1.05241	1.05245	1.05256	1.05164	1.05237
2017/01/09 00:30:00	1.05281	1.05294	1.05241	1.05250	1.05276	1.05291	1.05237	1.05245
2017/01/09 00:15:00	1.05319	1.05319	1.05262	1.05281	1.05315	1.05315	1.05259	1.05276
2017/01/09 00:00:00	1.05267	1.05324	1.05247	1.05319	1.05262	1.05320	1.05242	1.05315
2017/01/08 23:45:00	1.05274	1.05284	1.05262	1.05267	1.05270	1.05279	1.05258	1.05262
2017/01/08 23:30:00	1.05257	1.05283	1.05245	1.05274	1.05253	1.05278	1.05240	1.05270
2017/01/08 23:15:00	1.05264	1.05276	1.05239	1.05257	1.05261	1.05271	1.05236	1.05253
2017/01/08 23:00:00	1.05300	1.05303	1.05263	1.05264	1.05296	1.05299	1.05259	1.05261
2017/01/08 22:45:00	1.05288	1.05316	1.05280	1.05300	1.05284	1.05311	1.05276	1.05296
2017/01/08 22:30:00	1.05317	1.05317	1.05266	1.05288	1.05312	1.05312	1.05260	1.05284
2017/01/08 22:15:00	1.05343	1.05349	1.05310	1.05317	1.05339	1.05345	1.05306	1.05312
2017/01/08 22:00:00	1.05329	1.05351	1.05326	1.05343	1.05324	1.05347	1.05322	1.05339
2017/01/08 21:45:00	1.05353	1.05368	1.05329	1.05329	1.05351	1.05364	1.05324	1.05324
2017/01/08 21:30:00	1.05393	1.05395	1.05345	1.05353	1.05392	1.05393	1.05340	1.05351
2017/01/08 21:15:00	1.05386	1.05395	1.05368	1.05393	1.05382	1.05393	1.05363	1.05392
2017/01/08 21:00:00	1.05424	1.05427	1.05376	1.05386	1.05419	1.05425	1.05373	1.05382
2017/01/08 20:45:00	1.05367	1.05448	1.05367	1.05424	1.05362	1.05444	1.05362	1.05419
2017/01/08 20:30:00	1.05358	1.05404	1.05357	1.05367	1.05353	1.05400	1.05352	1.05362
2017/01/08 20:15:00	1.05407	1.05407	1.05355	1.05358	1.05400	1.05402	1.05351	1.05353
2017/01/08 20:00:00	1.05352	1.05439	1.05347	1.05407	1.05349	1.05432	1.05342	1.05400
2017/01/08 19:45:00	1.05282	1.05361	1.05272	1.05352	1.05278	1.05357	1.05267	1.05349
2017/01/08 19:30:00	1.05262	1.05284	1.05227	1.05282	1.05256	1.05279	1.05222	1.05278
2017/01/08 19:15:00	1.05316	1.05320	1.05223	1.05262	1.05312	1.05315	1.05219	1.05256
2017/01/08 19:00:00	1.05300	1.05334	1.05298	1.05316	1.05294	1.05328	1.05294	1.05312
2017/01/08 18:45:00	1.05311	1.05328	1.05275	1.05300	1.05304	1.05323	1.05267	1.05294
2017/01/08 18:30:00	1.05288	1.05315	1.05265	1.05311	1.05283	1.05310	1.05261	1.05304
2017/01/08 18:15:00	1.05359	1.05366	1.05264	1.05288	1.05351	1.05359	1.05258	1.05283
2017/01/08 18:00:00	1.05331	1.05364	1.05293	1.05359	1.05321	1.05357	1.05290	1.05351
2017/01/08 17:45:00	1.05319	1.05354	1.05318	1.05331	1.05305	1.05337	1.05303	1.05321
