日時	"GBP/AUD(始値, 買い)"	"GBP/AUD(高値, 買い)"	"GBP/AUD(安値, 買い)"	"GBP/AUD(終値, 買い)"	"GBP/AUD(始値, 売り)*"	"GBP/AUD(高値, 売り)*"	"GBP/AUD(安値, 売り)*"	"GBP/AUD(終値, 売り)*"
2016/12/29 12:00:00	1.69498	1.69554	1.69460	1.69469	1.69481	1.69534	1.69444	1.69456
2016/12/29 11:45:00	1.69531	1.69593	1.69464	1.69498	1.69519	1.69575	1.69453	1.69481
2016/12/29 11:30:00	1.69448	1.69545	1.69365	1.69531	1.69429	1.69531	1.69352	1.69519
2016/12/29 11:15:00	1.69590	1.69618	1.69409	1.69448	1.69576	1.69602	1.69396	1.69429
2016/12/29 11:00:00	1.69523	1.69756	1.69503	1.69590	1.69505	1.69745	1.69491	1.69576
2016/12/29 10:45:00	1.69783	1.69788	1.69355	1.69523	1.69769	1.69775	1.69341	1.69505
2016/12/29 10:30:00	1.70018	1.70036	1.69779	1.69783	1.70006	1.70020	1.69768	1.69769
2016/12/29 10:15:00	1.69947	1.70068	1.69903	1.70018	1.69932	1.70064	1.69887	1.70006
2016/12/29 10:00:00	1.69963	1.69964	1.69853	1.69947	1.69946	1.69950	1.69837	1.69932
2016/12/29 09:45:00	1.69964	1.69997	1.69898	1.69963	1.69946	1.69982	1.69886	1.69946
2016/12/29 09:30:00	1.70067	1.70090	1.69914	1.69964	1.70063	1.70078	1.69898	1.69946
2016/12/29 09:15:00	1.69931	1.70123	1.69931	1.70067	1.69917	1.70109	1.69914	1.70063
2016/12/29 09:00:00	1.69942	1.70117	1.69916	1.69931	1.69925	1.70102	1.69900	1.69917
2016/12/29 08:45:00	1.69902	1.69955	1.69846	1.69942	1.69886	1.69945	1.69833	1.69925
2016/12/29 08:30:00	1.70043	1.70084	1.69851	1.69902	1.70013	1.70013	1.69834	1.69886
2016/12/29 08:15:00	1.70050	1.70120	1.69944	1.70043	1.70036	1.70105	1.69928	1.70013
2016/12/29 08:00:00	1.69869	1.70050	1.69810	1.70050	1.69853	1.70036	1.69793	1.70036
2016/12/29 07:45:00	1.69805	1.69895	1.69779	1.69869	1.69788	1.69881	1.69763	1.69853
2016/12/29 07:30:00	1.69830	1.69862	1.69760	1.69805	1.69811	1.69851	1.69747	1.69788
2016/12/29 07:15:00	1.69886	1.69972	1.69820	1.69830	1.69869	1.69955	1.69802	1.69811
2016/12/29 07:00:00	1.69858	1.69981	1.69804	1.69886	1.69841	1.69972	1.69801	1.69869
2016/12/29 06:45:00	1.69840	1.69901	1.69788	1.69858	1.69830	1.69885	1.69779	1.69841
2016/12/29 06:30:00	1.70028	1.70036	1.69823	1.69840	1.70011	1.70021	1.69807	1.69830
2016/12/29 06:15:00	1.70125	1.70163	1.70018	1.70028	1.70113	1.70151	1.70003	1.70011
2016/12/29 06:00:00	1.70063	1.70212	1.70038	1.70125	1.70047	1.70204	1.70024	1.70113
2016/12/29 05:45:00	1.70100	1.70157	1.70054	1.70063	1.70083	1.70142	1.70040	1.70047
2016/12/29 05:30:00	1.69943	1.70143	1.69943	1.70100	1.69928	1.70134	1.69928	1.70083
2016/12/29 05:15:00	1.69944	1.69996	1.69817	1.69943	1.69928	1.69977	1.69802	1.69928
2016/12/29 05:00:00	1.69915	1.69990	1.69858	1.69944	1.69904	1.69975	1.69842	1.69928
2016/12/29 04:45:00	1.69880	1.69948	1.69771	1.69915	1.69864	1.69931	1.69759	1.69904
2016/12/29 04:30:00	1.69996	1.70030	1.69827	1.69880	1.69976	1.70014	1.69811	1.69864
2016/12/29 04:15:00	1.70011	1.70097	1.69931	1.69996	1.69996	1.70084	1.69914	1.69976
2016/12/29 04:00:00	1.69917	1.70031	1.69883	1.70011	1.69901	1.70014	1.69867	1.69996
2016/12/29 03:45:00	1.69971	1.69979	1.69889	1.69917	1.69956	1.69962	1.69874	1.69901
2016/12/29 03:30:00	1.70059	1.70087	1.69903	1.69971	1.70044	1.70072	1.69887	1.69956
2016/12/29 03:15:00	1.70054	1.70140	1.69956	1.70059	1.70040	1.70125	1.69936	1.70044
2016/12/29 03:00:00	1.70189	1.70311	1.69962	1.70054	1.70175	1.70292	1.69943	1.70040
2016/12/29 02:45:00	1.70093	1.70245	1.70078	1.70189	1.70076	1.70226	1.70061	1.70175
2016/12/29 02:30:00	1.70163	1.70183	1.70050	1.70093	1.70147	1.70167	1.70033	1.70076
2016/12/29 02:15:00	1.70045	1.70202	1.70004	1.70163	1.70025	1.70184	1.69986	1.70147
2016/12/29 02:00:00	1.69944	1.70116	1.69922	1.70045	1.69924	1.70101	1.69899	1.70025
2016/12/29 01:45:00	1.69935	1.69958	1.69871	1.69944	1.69912	1.69937	1.69846	1.69924
2016/12/29 01:30:00	1.70004	1.70038	1.69890	1.69935	1.69985	1.70021	1.69875	1.69912
2016/12/29 01:15:00	1.69994	1.70049	1.69945	1.70004	1.69974	1.70030	1.69925	1.69985
2016/12/29 01:00:00	1.69948	1.70005	1.69902	1.69994	1.69924	1.69984	1.69880	1.69974
2016/12/29 00:45:00	1.70030	1.70032	1.69941	1.69948	1.70007	1.70010	1.69917	1.69924
2016/12/29 00:30:00	1.69985	1.70035	1.69973	1.70030	1.69958	1.70010	1.69951	1.70007
2016/12/29 00:15:00	1.69976	1.69995	1.69904	1.69985	1.69957	1.69974	1.69885	1.69958
2016/12/29 00:00:00	1.70024	1.70100	1.69963	1.69976	1.69998	1.70080	1.69944	1.69957
2016/12/28 23:45:00	1.70036	1.70050	1.69974	1.70024	1.70006	1.70026	1.69949	1.69998
2016/12/28 23:30:00	1.70008	1.70086	1.69943	1.70036	1.69987	1.70066	1.69922	1.70006
2016/12/28 23:15:00	1.70010	1.70014	1.69915	1.70008	1.69985	1.69992	1.69894	1.69987
2016/12/28 23:00:00	1.70081	1.70099	1.69975	1.70010	1.70060	1.70079	1.69951	1.69985
2016/12/28 22:45:00	1.70091	1.70183	1.70075	1.70081	1.70059	1.70150	1.70051	1.70060
2016/12/28 22:30:00	1.70121	1.70214	1.70075	1.70091	1.70092	1.70199	1.70044	1.70059
2016/12/28 22:15:00	1.70138	1.70165	1.70097	1.70121	1.70107	1.70145	1.70072	1.70092
2016/12/28 22:00:00	1.70125	1.70154	1.70052	1.70138	1.70102	1.70132	1.70026	1.70107
2016/12/28 21:45:00	1.70117	1.70152	1.70075	1.70125	1.70089	1.70124	1.70050	1.70102
2016/12/28 21:30:00	1.70179	1.70182	1.70095	1.70117	1.70152	1.70158	1.70066	1.70089
2016/12/28 21:15:00	1.70085	1.70184	1.70040	1.70179	1.70050	1.70156	1.70011	1.70152
2016/12/28 21:00:00	1.70107	1.70184	1.70081	1.70085	1.70075	1.70158	1.70047	1.70050
2016/12/28 20:45:00	1.70110	1.70151	1.70043	1.70107	1.70075	1.70122	1.70022	1.70075
2016/12/28 20:30:00	1.70230	1.70269	1.70077	1.70110	1.70198	1.70243	1.70050	1.70075
2016/12/28 20:15:00	1.70159	1.70247	1.70103	1.70230	1.70123	1.70216	1.70075	1.70198
2016/12/28 20:00:00	1.70198	1.70208	1.70068	1.70159	1.70174	1.70182	1.70040	1.70123
2016/12/28 19:45:00	1.70173	1.70271	1.70130	1.70198	1.70145	1.70243	1.70104	1.70174
2016/12/28 19:30:00	1.70167	1.70225	1.70102	1.70173	1.70139	1.70197	1.70081	1.70145
2016/12/28 19:15:00	1.70112	1.70185	1.70109	1.70167	1.70087	1.70160	1.70087	1.70139
2016/12/28 19:00:00	1.70144	1.70199	1.70082	1.70112	1.70116	1.70174	1.70063	1.70087
2016/12/28 18:45:00	1.70041	1.70347	1.69991	1.70144	1.70010	1.70301	1.69960	1.70116
2016/12/28 18:30:00	1.70309	1.70441	1.70022	1.70041	1.70270	1.70398	1.69993	1.70010
2016/12/28 18:15:00	1.70354	1.70369	1.70146	1.70309	1.70310	1.70337	1.70108	1.70270
