日時	"GBP/CHF(始値, 買い)"	"GBP/CHF(高値, 買い)"	"GBP/CHF(安値, 買い)"	"GBP/CHF(終値, 買い)"	"GBP/CHF(始値, 売り)*"	"GBP/CHF(高値, 売り)*"	"GBP/CHF(安値, 売り)*"	"GBP/CHF(終値, 売り)*"
2017/01/09 04:30:00	1.23707	1.23727	1.23590	1.23623	1.23697	1.23715	1.23578	1.23614
2017/01/09 04:15:00	1.23874	1.23977	1.23676	1.23707	1.23863	1.23967	1.23665	1.23697
2017/01/09 04:00:00	1.23880	1.23953	1.23846	1.23874	1.23871	1.23943	1.23835	1.23863
2017/01/09 03:45:00	1.23891	1.23938	1.23821	1.23880	1.23880	1.23929	1.23808	1.23871
2017/01/09 03:30:00	1.23944	1.24020	1.23833	1.23891	1.23931	1.24009	1.23827	1.23880
2017/01/09 03:15:00	1.23997	1.24029	1.23935	1.23944	1.23984	1.24019	1.23922	1.23931
2017/01/09 03:00:00	1.24053	1.24103	1.23920	1.23997	1.24042	1.24096	1.23911	1.23984
2017/01/09 02:45:00	1.23988	1.24097	1.23942	1.24053	1.23976	1.24088	1.23933	1.24042
2017/01/09 02:30:00	1.23929	1.24079	1.23899	1.23988	1.23912	1.24068	1.23888	1.23976
2017/01/09 02:15:00	1.24059	1.24094	1.23877	1.23929	1.24047	1.24081	1.23859	1.23912
2017/01/09 02:00:00	1.24019	1.24114	1.24008	1.24059	1.23993	1.24105	1.23988	1.24047
2017/01/09 01:45:00	1.24232	1.24234	1.24013	1.24019	1.24215	1.24218	1.23988	1.23993
2017/01/09 01:30:00	1.24241	1.24250	1.24148	1.24232	1.24225	1.24238	1.24134	1.24215
2017/01/09 01:15:00	1.24224	1.24252	1.24193	1.24241	1.24209	1.24238	1.24178	1.24225
2017/01/09 01:00:00	1.24159	1.24255	1.24158	1.24224	1.24143	1.24240	1.24142	1.24209
2017/01/09 00:45:00	1.24164	1.24251	1.24146	1.24159	1.24149	1.24233	1.24132	1.24143
2017/01/09 00:30:00	1.24383	1.24387	1.24159	1.24164	1.24368	1.24372	1.24142	1.24149
2017/01/09 00:15:00	1.24449	1.24463	1.24355	1.24383	1.24434	1.24448	1.24339	1.24368
2017/01/09 00:00:00	1.24538	1.24545	1.24447	1.24449	1.24522	1.24529	1.24432	1.24434
2017/01/08 23:45:00	1.24564	1.24574	1.24526	1.24538	1.24548	1.24558	1.24511	1.24522
2017/01/08 23:30:00	1.24646	1.24662	1.24563	1.24564	1.24630	1.24647	1.24547	1.24548
2017/01/08 23:15:00	1.24667	1.24685	1.24641	1.24646	1.24652	1.24670	1.24627	1.24630
2017/01/08 23:00:00	1.24644	1.24684	1.24633	1.24667	1.24629	1.24671	1.24620	1.24652
2017/01/08 22:45:00	1.24643	1.24678	1.24613	1.24644	1.24628	1.24665	1.24601	1.24629
2017/01/08 22:30:00	1.24632	1.24666	1.24631	1.24643	1.24618	1.24651	1.24615	1.24628
2017/01/08 22:15:00	1.24662	1.24666	1.24623	1.24632	1.24647	1.24651	1.24609	1.24618
2017/01/08 22:00:00	1.24674	1.24688	1.24659	1.24662	1.24659	1.24673	1.24643	1.24647
2017/01/08 21:45:00	1.24692	1.24711	1.24664	1.24674	1.24679	1.24695	1.24650	1.24659
2017/01/08 21:30:00	1.24713	1.24727	1.24687	1.24692	1.24701	1.24714	1.24671	1.24679
2017/01/08 21:15:00	1.24748	1.24752	1.24707	1.24713	1.24732	1.24738	1.24691	1.24701
2017/01/08 21:00:00	1.24736	1.24785	1.24730	1.24748	1.24723	1.24769	1.24714	1.24732
2017/01/08 20:45:00	1.24758	1.24765	1.24717	1.24736	1.24743	1.24749	1.24702	1.24723
2017/01/08 20:30:00	1.24726	1.24766	1.24717	1.24758	1.24709	1.24751	1.24700	1.24743
2017/01/08 20:15:00	1.24757	1.24770	1.24694	1.24726	1.24738	1.24751	1.24677	1.24709
2017/01/08 20:00:00	1.24739	1.24772	1.24705	1.24757	1.24721	1.24758	1.24689	1.24738
2017/01/08 19:45:00	1.24757	1.24767	1.24723	1.24739	1.24743	1.24751	1.24706	1.24721
2017/01/08 19:30:00	1.24789	1.24799	1.24752	1.24757	1.24769	1.24780	1.24734	1.24743
2017/01/08 19:15:00	1.24726	1.24796	1.24709	1.24789	1.24706	1.24778	1.24692	1.24769
2017/01/08 19:00:00	1.24737	1.24751	1.24702	1.24726	1.24712	1.24731	1.24682	1.24706
2017/01/08 18:45:00	1.24837	1.24843	1.24722	1.24737	1.24817	1.24824	1.24701	1.24712
2017/01/08 18:30:00	1.24761	1.24837	1.24753	1.24837	1.24733	1.24817	1.24726	1.24817
2017/01/08 18:15:00	1.24807	1.24831	1.24748	1.24761	1.24781	1.24805	1.24720	1.24733
2017/01/08 18:00:00	1.24710	1.24819	1.24677	1.24807	1.24627	1.24795	1.24615	1.24781
2017/01/08 17:45:00	1.24715	1.24784	1.24693	1.24710	1.24649	1.24719	1.24627	1.24627
