日時	"GBP/JPY(始値, 買い)"	"GBP/JPY(高値, 買い)"	"GBP/JPY(安値, 買い)"	"GBP/JPY(終値, 買い)"	"GBP/JPY(始値, 売り)*"	"GBP/JPY(高値, 売り)*"	"GBP/JPY(安値, 売り)*"	"GBP/JPY(終値, 売り)*"
2017/01/09 04:15:00	142.595	142.683	142.543	142.617	142.586	142.670	142.532	142.605
2017/01/09 04:00:00	142.669	142.752	142.571	142.595	142.663	142.738	142.562	142.586
2017/01/09 03:45:00	142.782	142.804	142.603	142.669	142.770	142.792	142.592	142.663
2017/01/09 03:30:00	142.839	142.874	142.737	142.782	142.826	142.861	142.725	142.770
2017/01/09 03:15:00	142.903	142.968	142.833	142.839	142.891	142.955	142.821	142.826
2017/01/09 03:00:00	143.028	143.059	142.820	142.903	143.013	143.038	142.807	142.891
2017/01/09 02:45:00	142.899	143.063	142.870	143.028	142.890	143.051	142.859	143.013
2017/01/09 02:30:00	142.893	143.025	142.838	142.899	142.876	143.013	142.823	142.890
2017/01/09 02:15:00	142.942	143.035	142.791	142.893	142.927	143.020	142.773	142.876
2017/01/09 02:00:00	142.982	143.074	142.929	142.942	142.962	143.063	142.918	142.927
2017/01/09 01:45:00	143.216	143.222	142.971	142.982	143.199	143.209	142.959	142.962
2017/01/09 01:30:00	143.245	143.258	143.096	143.216	143.231	143.247	143.084	143.199
2017/01/09 01:15:00	143.215	143.245	143.164	143.245	143.200	143.231	143.150	143.231
2017/01/09 01:00:00	143.163	143.302	143.163	143.215	143.151	143.293	143.150	143.200
2017/01/09 00:45:00	143.204	143.305	143.148	143.163	143.198	143.294	143.130	143.151
2017/01/09 00:30:00	143.472	143.476	143.199	143.204	143.464	143.468	143.189	143.198
2017/01/09 00:15:00	143.563	143.602	143.440	143.472	143.552	143.591	143.425	143.464
2017/01/09 00:00:00	143.710	143.721	143.549	143.563	143.702	143.716	143.534	143.552
2017/01/08 23:45:00	143.706	143.731	143.679	143.710	143.699	143.719	143.666	143.702
2017/01/08 23:30:00	143.746	143.781	143.706	143.706	143.735	143.771	143.699	143.699
2017/01/08 23:15:00	143.782	143.819	143.739	143.746	143.768	143.807	143.725	143.735
2017/01/08 23:00:00	143.747	143.783	143.700	143.782	143.737	143.770	143.688	143.768
2017/01/08 22:45:00	143.757	143.766	143.697	143.747	143.745	143.754	143.685	143.737
2017/01/08 22:30:00	143.680	143.809	143.680	143.757	143.666	143.794	143.666	143.745
2017/01/08 22:15:00	143.732	143.763	143.667	143.680	143.719	143.749	143.653	143.666
2017/01/08 22:00:00	143.751	143.768	143.726	143.732	143.737	143.752	143.712	143.719
2017/01/08 21:45:00	143.741	143.778	143.718	143.751	143.726	143.765	143.706	143.737
2017/01/08 21:30:00	143.794	143.800	143.733	143.741	143.786	143.791	143.717	143.726
2017/01/08 21:15:00	143.808	143.808	143.765	143.794	143.794	143.794	143.750	143.786
2017/01/08 21:00:00	143.826	143.845	143.754	143.808	143.812	143.833	143.740	143.794
2017/01/08 20:45:00	143.831	143.856	143.800	143.826	143.819	143.846	143.786	143.812
2017/01/08 20:30:00	143.824	143.871	143.758	143.831	143.811	143.855	143.742	143.819
2017/01/08 20:15:00	143.774	143.858	143.751	143.824	143.762	143.842	143.737	143.811
2017/01/08 20:00:00	143.694	143.784	143.690	143.774	143.679	143.774	143.676	143.762
2017/01/08 19:45:00	143.766	143.792	143.663	143.694	143.752	143.783	143.649	143.679
2017/01/08 19:30:00	143.815	143.845	143.754	143.766	143.794	143.824	143.740	143.752
2017/01/08 19:15:00	143.587	143.816	143.577	143.815	143.573	143.797	143.566	143.794
2017/01/08 19:00:00	143.617	143.638	143.550	143.587	143.600	143.620	143.538	143.573
2017/01/08 18:45:00	143.723	143.723	143.555	143.617	143.710	143.710	143.541	143.600
2017/01/08 18:30:00	143.668	143.734	143.624	143.723	143.653	143.717	143.603	143.710
2017/01/08 18:15:00	143.731	143.787	143.645	143.668	143.716	143.764	143.621	143.653
2017/01/08 18:00:00	143.629	143.753	143.572	143.731	143.575	143.730	143.509	143.716
2017/01/08 17:45:00	143.520	143.647	143.507	143.629	143.481	143.598	143.472	143.575
2017/01/08 17:30:00	143.538	143.586	143.496	143.520	143.484	143.533	143.463	143.481
2017/01/08 17:15:00	143.542	143.576	143.533	143.538	143.492	143.520	143.477	143.484
2017/01/08 17:00:00	143.368	143.577	143.365	143.542	143.319	143.526	143.280	143.492
2017/01/06 16:45:00	143.737	143.850	143.635	143.850	143.715	143.779	143.554	143.554
2017/01/06 16:30:00	143.732	143.756	143.705	143.737	143.709	143.734	143.689	143.715
2017/01/06 16:15:00	143.727	143.778	143.723	143.732	143.706	143.758	143.704	143.709
2017/01/06 16:00:00	143.738	143.763	143.688	143.727	143.720	143.745	143.665	143.706
2017/01/06 15:45:00	143.801	143.810	143.674	143.738	143.785	143.794	143.662	143.720
2017/01/06 15:30:00	143.725	143.814	143.725	143.801	143.713	143.799	143.713	143.785
2017/01/06 15:15:00	143.761	143.847	143.711	143.725	143.743	143.830	143.694	143.713
2017/01/06 15:00:00	143.679	143.761	143.578	143.761	143.662	143.744	143.565	143.743
2017/01/06 14:45:00	143.612	143.683	143.590	143.679	143.597	143.667	143.579	143.662
2017/01/06 14:30:00	143.618	143.659	143.564	143.612	143.603	143.644	143.550	143.597
2017/01/06 14:15:00	143.651	143.667	143.526	143.618	143.639	143.652	143.512	143.603
2017/01/06 14:00:00	143.702	143.757	143.640	143.651	143.689	143.745	143.626	143.639
2017/01/06 13:45:00	143.702	143.761	143.596	143.702	143.689	143.746	143.581	143.689
2017/01/06 13:30:00	143.621	143.715	143.608	143.702	143.606	143.702	143.595	143.689
2017/01/06 13:15:00	143.727	143.760	143.602	143.621	143.714	143.745	143.587	143.606
2017/01/06 13:00:00	143.778	143.779	143.642	143.727	143.767	143.769	143.624	143.714
2017/01/06 12:45:00	143.726	143.797	143.661	143.778	143.711	143.781	143.646	143.767
2017/01/06 12:30:00	143.754	143.798	143.663	143.726	143.741	143.783	143.648	143.711
2017/01/06 12:15:00	143.898	143.928	143.712	143.754	143.885	143.914	143.693	143.741
2017/01/06 12:00:00	143.903	143.962	143.840	143.898	143.888	143.949	143.829	143.885
2017/01/06 11:45:00	143.860	143.964	143.826	143.903	143.849	143.947	143.812	143.888
2017/01/06 11:30:00	143.748	143.899	143.648	143.860	143.733	143.882	143.635	143.849
2017/01/06 11:15:00	143.650	143.761	143.595	143.748	143.634	143.747	143.582	143.733
2017/01/06 11:00:00	143.508	143.668	143.480	143.650	143.495	143.652	143.464	143.634
2017/01/06 10:45:00	143.618	143.620	143.425	143.508	143.606	143.607	143.412	143.495
2017/01/06 10:30:00	143.510	143.626	143.444	143.618	143.502	143.611	143.431	143.606
2017/01/06 10:15:00	143.491	143.527	143.330	143.510	143.480	143.511	143.314	143.502
2017/01/06 10:00:00	143.704	143.712	143.459	143.491	143.683	143.696	143.447	143.480
2017/01/06 09:45:00	143.561	143.726	143.413	143.704	143.546	143.708	143.398	143.683
2017/01/06 09:30:00	143.831	143.877	143.543	143.561	143.816	143.863	143.527	143.546
2017/01/06 09:15:00	143.898	143.992	143.799	143.831	143.882	143.978	143.784	143.816
