日時	"GBP/NZD(始値, 買い)"	"GBP/NZD(高値, 買い)"	"GBP/NZD(安値, 買い)"	"GBP/NZD(終値, 買い)"	"GBP/NZD(始値, 売り)*"	"GBP/NZD(高値, 売り)*"	"GBP/NZD(安値, 売り)*"	"GBP/NZD(終値, 売り)*"
2016/12/29 12:00:00	1.75888	1.75925	1.75807	1.75860	1.75868	1.75898	1.75780	1.75833
2016/12/29 11:45:00	1.75921	1.75988	1.75870	1.75888	1.75902	1.75967	1.75851	1.75868
2016/12/29 11:30:00	1.75950	1.75957	1.75767	1.75921	1.75931	1.75937	1.75748	1.75902
2016/12/29 11:15:00	1.76048	1.76078	1.75917	1.75950	1.76029	1.76059	1.75898	1.75931
2016/12/29 11:00:00	1.75972	1.76162	1.75940	1.76048	1.75936	1.76143	1.75921	1.76029
2016/12/29 10:45:00	1.76180	1.76224	1.75862	1.75972	1.76161	1.76205	1.75842	1.75936
2016/12/29 10:30:00	1.76311	1.76335	1.76158	1.76180	1.76267	1.76316	1.76139	1.76161
2016/12/29 10:15:00	1.76260	1.76426	1.76206	1.76311	1.76240	1.76407	1.76187	1.76267
2016/12/29 10:00:00	1.76262	1.76269	1.76175	1.76260	1.76243	1.76250	1.76156	1.76240
2016/12/29 09:45:00	1.76259	1.76315	1.76158	1.76262	1.76209	1.76295	1.76139	1.76243
2016/12/29 09:30:00	1.76272	1.76328	1.76181	1.76259	1.76254	1.76309	1.76162	1.76209
2016/12/29 09:15:00	1.76201	1.76324	1.76183	1.76272	1.76182	1.76305	1.76164	1.76254
2016/12/29 09:00:00	1.76207	1.76374	1.76182	1.76201	1.76188	1.76354	1.76162	1.76182
2016/12/29 08:45:00	1.76205	1.76236	1.76111	1.76207	1.76185	1.76217	1.76092	1.76188
2016/12/29 08:30:00	1.76406	1.76440	1.76175	1.76205	1.76356	1.76356	1.76156	1.76185
2016/12/29 08:15:00	1.76349	1.76429	1.76238	1.76406	1.76329	1.76409	1.76218	1.76356
2016/12/29 08:00:00	1.76198	1.76349	1.76181	1.76349	1.76179	1.76329	1.76162	1.76329
2016/12/29 07:45:00	1.76209	1.76261	1.76179	1.76198	1.76190	1.76241	1.76158	1.76179
2016/12/29 07:30:00	1.76246	1.76273	1.76168	1.76209	1.76227	1.76256	1.76149	1.76190
2016/12/29 07:15:00	1.76263	1.76372	1.76236	1.76246	1.76243	1.76354	1.76216	1.76227
2016/12/29 07:00:00	1.76275	1.76347	1.76233	1.76263	1.76255	1.76328	1.76213	1.76243
2016/12/29 06:45:00	1.76255	1.76311	1.76222	1.76275	1.76236	1.76292	1.76202	1.76255
2016/12/29 06:30:00	1.76325	1.76348	1.76179	1.76255	1.76306	1.76329	1.76159	1.76236
2016/12/29 06:15:00	1.76380	1.76400	1.76264	1.76325	1.76358	1.76381	1.76245	1.76306
2016/12/29 06:00:00	1.76276	1.76402	1.76265	1.76380	1.76253	1.76378	1.76241	1.76358
2016/12/29 05:45:00	1.76314	1.76375	1.76270	1.76276	1.76295	1.76355	1.76246	1.76253
2016/12/29 05:30:00	1.76179	1.76347	1.76179	1.76314	1.76156	1.76325	1.76156	1.76295
2016/12/29 05:15:00	1.76171	1.76208	1.76035	1.76179	1.76146	1.76185	1.76010	1.76156
2016/12/29 05:00:00	1.76074	1.76228	1.76053	1.76171	1.76055	1.76201	1.76034	1.76146
2016/12/29 04:45:00	1.75973	1.76108	1.75874	1.76074	1.75954	1.76088	1.75862	1.76055
2016/12/29 04:30:00	1.76309	1.76335	1.75934	1.75973	1.76285	1.76313	1.75914	1.75954
2016/12/29 04:15:00	1.76359	1.76434	1.76281	1.76309	1.76340	1.76415	1.76262	1.76285
2016/12/29 04:00:00	1.76321	1.76497	1.76267	1.76359	1.76287	1.76461	1.76248	1.76340
2016/12/29 03:45:00	1.76420	1.76432	1.76225	1.76321	1.76401	1.76413	1.76192	1.76287
2016/12/29 03:30:00	1.76435	1.76472	1.76325	1.76420	1.76422	1.76462	1.76305	1.76401
2016/12/29 03:15:00	1.76411	1.76539	1.76366	1.76435	1.76392	1.76519	1.76348	1.76422
2016/12/29 03:00:00	1.76620	1.76740	1.76319	1.76411	1.76601	1.76720	1.76300	1.76392
2016/12/29 02:45:00	1.76534	1.76698	1.76520	1.76620	1.76514	1.76679	1.76500	1.76601
2016/12/29 02:30:00	1.76651	1.76670	1.76513	1.76534	1.76625	1.76644	1.76491	1.76514
2016/12/29 02:15:00	1.76515	1.76666	1.76466	1.76651	1.76488	1.76643	1.76441	1.76625
2016/12/29 02:00:00	1.76425	1.76594	1.76414	1.76515	1.76394	1.76568	1.76378	1.76488
2016/12/29 01:45:00	1.76454	1.76467	1.76397	1.76425	1.76412	1.76426	1.76352	1.76394
2016/12/29 01:30:00	1.76521	1.76544	1.76436	1.76454	1.76490	1.76514	1.76388	1.76412
2016/12/29 01:15:00	1.76505	1.76576	1.76452	1.76521	1.76479	1.76547	1.76426	1.76490
2016/12/29 01:00:00	1.76442	1.76511	1.76400	1.76505	1.76406	1.76482	1.76369	1.76479
2016/12/29 00:45:00	1.76594	1.76597	1.76437	1.76442	1.76560	1.76560	1.76401	1.76406
