日時	"GBP/USD(始値, 買い)"	"GBP/USD(高値, 買い)"	"GBP/USD(安値, 買い)"	"GBP/USD(終値, 買い)"	"GBP/USD(始値, 売り)*"	"GBP/USD(高値, 売り)*"	"GBP/USD(安値, 売り)*"	"GBP/USD(終値, 売り)*"
2017/01/09 04:00:00	1.21795	1.21860	1.21721	1.21732	1.21785	1.21851	1.21712	1.21721
2017/01/09 03:45:00	1.21783	1.21837	1.21719	1.21795	1.21775	1.21832	1.21710	1.21785
2017/01/09 03:30:00	1.21890	1.21903	1.21771	1.21783	1.21878	1.21896	1.21764	1.21775
2017/01/09 03:15:00	1.21872	1.21923	1.21828	1.21890	1.21866	1.21919	1.21819	1.21878
2017/01/09 03:00:00	1.21832	1.21910	1.21785	1.21872	1.21822	1.21904	1.21777	1.21866
2017/01/09 02:45:00	1.21677	1.21857	1.21677	1.21832	1.21670	1.21847	1.21670	1.21822
2017/01/09 02:30:00	1.21743	1.21821	1.21660	1.21677	1.21736	1.21815	1.21655	1.21670
2017/01/09 02:15:00	1.21854	1.21896	1.21651	1.21743	1.21843	1.21889	1.21639	1.21736
2017/01/09 02:00:00	1.21804	1.21928	1.21787	1.21854	1.21792	1.21923	1.21776	1.21843
2017/01/09 01:45:00	1.21930	1.21944	1.21801	1.21804	1.21914	1.21935	1.21792	1.21792
2017/01/09 01:30:00	1.21951	1.21971	1.21824	1.21930	1.21939	1.21961	1.21813	1.21914
2017/01/09 01:15:00	1.21898	1.21961	1.21889	1.21951	1.21885	1.21953	1.21879	1.21939
2017/01/09 01:00:00	1.21878	1.21980	1.21871	1.21898	1.21865	1.21971	1.21859	1.21885
2017/01/09 00:45:00	1.21909	1.21992	1.21805	1.21878	1.21905	1.21980	1.21800	1.21865
2017/01/09 00:30:00	1.22153	1.22159	1.21903	1.21909	1.22145	1.22150	1.21899	1.21905
2017/01/09 00:15:00	1.22265	1.22275	1.22116	1.22153	1.22254	1.22265	1.22105	1.22145
2017/01/09 00:00:00	1.22313	1.22323	1.22250	1.22265	1.22305	1.22312	1.22245	1.22254
2017/01/08 23:45:00	1.22344	1.22353	1.22305	1.22313	1.22334	1.22344	1.22300	1.22305
2017/01/08 23:30:00	1.22400	1.22400	1.22342	1.22344	1.22390	1.22394	1.22334	1.22334
2017/01/08 23:15:00	1.22432	1.22440	1.22381	1.22400	1.22422	1.22428	1.22371	1.22390
2017/01/08 23:00:00	1.22459	1.22472	1.22418	1.22432	1.22449	1.22459	1.22409	1.22422
2017/01/08 22:45:00	1.22446	1.22474	1.22430	1.22459	1.22434	1.22460	1.22422	1.22449
2017/01/08 22:30:00	1.22477	1.22484	1.22440	1.22446	1.22463	1.22469	1.22427	1.22434
2017/01/08 22:15:00	1.22537	1.22543	1.22471	1.22477	1.22524	1.22529	1.22461	1.22463
2017/01/08 22:00:00	1.22538	1.22568	1.22532	1.22537	1.22525	1.22553	1.22521	1.22524
2017/01/08 21:45:00	1.22577	1.22588	1.22530	1.22538	1.22565	1.22579	1.22521	1.22525
2017/01/08 21:30:00	1.22647	1.22647	1.22568	1.22577	1.22635	1.22637	1.22554	1.22565
2017/01/08 21:15:00	1.22667	1.22667	1.22626	1.22647	1.22654	1.22658	1.22613	1.22635
2017/01/08 21:00:00	1.22697	1.22706	1.22650	1.22667	1.22684	1.22692	1.22645	1.22654
2017/01/08 20:45:00	1.22649	1.22718	1.22649	1.22697	1.22636	1.22706	1.22636	1.22684
2017/01/08 20:30:00	1.22622	1.22678	1.22622	1.22649	1.22609	1.22667	1.22609	1.22636
2017/01/08 20:15:00	1.22686	1.22690	1.22597	1.22622	1.22673	1.22678	1.22589	1.22609
2017/01/08 20:00:00	1.22623	1.22695	1.22608	1.22686	1.22609	1.22683	1.22599	1.22673
2017/01/08 19:45:00	1.22583	1.22628	1.22562	1.22623	1.22573	1.22615	1.22552	1.22609
2017/01/08 19:30:00	1.22588	1.22598	1.22543	1.22583	1.22571	1.22586	1.22529	1.22573
2017/01/08 19:15:00	1.22583	1.22596	1.22534	1.22588	1.22569	1.22589	1.22516	1.22571
2017/01/08 19:00:00	1.22590	1.22610	1.22564	1.22583	1.22570	1.22594	1.22550	1.22569
2017/01/08 18:45:00	1.22692	1.22693	1.22540	1.22590	1.22676	1.22684	1.22529	1.22570
2017/01/08 18:30:00	1.22585	1.22692	1.22563	1.22692	1.22565	1.22676	1.22544	1.22676
2017/01/08 18:15:00	1.22709	1.22717	1.22569	1.22585	1.22689	1.22699	1.22549	1.22565
2017/01/08 18:00:00	1.22577	1.22711	1.22548	1.22709	1.22536	1.22691	1.22515	1.22689
2017/01/08 17:45:00	1.22551	1.22608	1.22551	1.22577	1.22509	1.22559	1.22509	1.22536
2017/01/08 17:30:00	1.22572	1.22574	1.22529	1.22551	1.22529	1.22544	1.22499	1.22509
2017/01/08 17:15:00	1.22612	1.22621	1.22572	1.22572	1.22566	1.22574	1.22524	1.22529
2017/01/08 17:00:00	1.22509	1.22637	1.22509	1.22612	1.22481	1.22596	1.22449	1.22566
2017/01/06 16:45:00	1.22836	1.22926	1.22814	1.22911	1.22819	1.22890	1.22798	1.22799
2017/01/06 16:30:00	1.22846	1.22847	1.22806	1.22836	1.22832	1.22837	1.22793	1.22819
2017/01/06 16:15:00	1.22840	1.22853	1.22821	1.22846	1.22829	1.22846	1.22809	1.22832
2017/01/06 16:00:00	1.22830	1.22875	1.22806	1.22840	1.22819	1.22871	1.22798	1.22829
2017/01/06 15:45:00	1.22862	1.22871	1.22823	1.22830	1.22853	1.22863	1.22817	1.22819
2017/01/06 15:30:00	1.22881	1.22903	1.22836	1.22862	1.22873	1.22897	1.22830	1.22853
2017/01/06 15:15:00	1.22834	1.22895	1.22793	1.22881	1.22829	1.22886	1.22783	1.22873
2017/01/06 15:00:00	1.22776	1.22836	1.22697	1.22834	1.22767	1.22830	1.22688	1.22829
2017/01/06 14:45:00	1.22664	1.22781	1.22658	1.22776	1.22656	1.22772	1.22652	1.22767
2017/01/06 14:30:00	1.22675	1.22684	1.22632	1.22664	1.22667	1.22676	1.22624	1.22656
2017/01/06 14:15:00	1.22684	1.22697	1.22619	1.22675	1.22676	1.22690	1.22612	1.22667
2017/01/06 14:00:00	1.22640	1.22715	1.22640	1.22684	1.22631	1.22711	1.22631	1.22676
2017/01/06 13:45:00	1.22824	1.22824	1.22622	1.22640	1.22815	1.22815	1.22612	1.22631
2017/01/06 13:30:00	1.22813	1.22844	1.22790	1.22824	1.22805	1.22835	1.22782	1.22815
2017/01/06 13:15:00	1.22942	1.22966	1.22803	1.22813	1.22933	1.22960	1.22793	1.22805
2017/01/06 13:00:00	1.23014	1.23019	1.22907	1.22942	1.23010	1.23014	1.22898	1.22933
2017/01/06 12:45:00	1.22904	1.23023	1.22903	1.23014	1.22898	1.23019	1.22893	1.23010
2017/01/06 12:30:00	1.22894	1.22920	1.22842	1.22904	1.22884	1.22914	1.22837	1.22898
2017/01/06 12:15:00	1.23143	1.23144	1.22860	1.22894	1.23133	1.23135	1.22849	1.22884
2017/01/06 12:00:00	1.23140	1.23167	1.23079	1.23143	1.23131	1.23157	1.23072	1.23133
2017/01/06 11:45:00	1.23132	1.23148	1.23027	1.23140	1.23127	1.23140	1.23019	1.23131
2017/01/06 11:30:00	1.23156	1.23164	1.23096	1.23132	1.23150	1.23159	1.23090	1.23127
2017/01/06 11:15:00	1.23182	1.23204	1.23148	1.23156	1.23171	1.23199	1.23139	1.23150
2017/01/06 11:00:00	1.23188	1.23283	1.23177	1.23182	1.23180	1.23275	1.23171	1.23171
2017/01/06 10:45:00	1.23213	1.23324	1.23110	1.23188	1.23203	1.23318	1.23100	1.23180
2017/01/06 10:30:00	1.23081	1.23269	1.23053	1.23213	1.23075	1.23262	1.23047	1.23203
2017/01/06 10:15:00	1.23242	1.23242	1.23020	1.23081	1.23235	1.23235	1.23013	1.23075
2017/01/06 10:00:00	1.23252	1.23301	1.23124	1.23242	1.23220	1.23293	1.23118	1.23235
2017/01/06 09:45:00	1.23336	1.23398	1.23229	1.23252	1.23326	1.23391	1.23215	1.23220
2017/01/06 09:30:00	1.23210	1.23351	1.23210	1.23336	1.23201	1.23346	1.23201	1.23326
2017/01/06 09:15:00	1.23395	1.23461	1.23177	1.23210	1.23384	1.23452	1.23169	1.23201
2017/01/06 09:00:00	1.23364	1.23472	1.23308	1.23395	1.23358	1.23464	1.23298	1.23384
2017/01/06 08:45:00	1.23509	1.23567	1.23269	1.23364	1.23502	1.23553	1.23257	1.23358
2017/01/06 08:30:00	1.23639	1.23914	1.23319	1.23509	1.23563	1.23879	1.23304	1.23502
2017/01/06 08:15:00	1.23630	1.23700	1.23521	1.23639	1.23623	1.23661	1.23491	1.23563
2017/01/06 08:00:00	1.23691	1.23710	1.23544	1.23630	1.23683	1.23702	1.23538	1.23623
2017/01/06 07:45:00	1.23491	1.23691	1.23487	1.23691	1.23482	1.23684	1.23480	1.23683
2017/01/06 07:30:00	1.23521	1.23542	1.23428	1.23491	1.23510	1.23536	1.23421	1.23482
2017/01/06 07:15:00	1.23650	1.23671	1.23517	1.23521	1.23641	1.23664	1.23510	1.23510
2017/01/06 07:00:00	1.23670	1.23684	1.23597	1.23650	1.23665	1.23683	1.23590	1.23641
2017/01/06 06:45:00	1.23688	1.23701	1.23612	1.23670	1.23681	1.23696	1.23602	1.23665
2017/01/06 06:30:00	1.23664	1.23695	1.23607	1.23688	1.23657	1.23689	1.23601	1.23681
2017/01/06 06:15:00	1.23759	1.23761	1.23587	1.23664	1.23752	1.23753	1.23577	1.23657
2017/01/06 06:00:00	1.23730	1.23841	1.23730	1.23759	1.23724	1.23834	1.23724	1.23752
2017/01/06 05:45:00	1.23846	1.23860	1.23694	1.23730	1.23838	1.23853	1.23688	1.23724
2017/01/06 05:30:00	1.23822	1.23852	1.23770	1.23846	1.23812	1.23845	1.23765	1.23838
2017/01/06 05:15:00	1.23951	1.23952	1.23803	1.23822	1.23940	1.23944	1.23798	1.23812
2017/01/06 05:00:00	1.23869	1.23953	1.23848	1.23951	1.23863	1.23951	1.23838	1.23940
2017/01/06 04:45:00	1.23888	1.23908	1.23810	1.23869	1.23882	1.23901	1.23800	1.23863
2017/01/06 04:30:00	1.23831	1.23909	1.23816	1.23888	1.23822	1.23903	1.23807	1.23882
2017/01/06 04:15:00	1.23865	1.23895	1.23765	1.23831	1.23857	1.23887	1.23757	1.23822
2017/01/06 04:00:00	1.23882	1.23902	1.23828	1.23865	1.23879	1.23899	1.23820	1.23857
2017/01/06 03:45:00	1.23782	1.23882	1.23782	1.23882	1.23771	1.23882	1.23771	1.23879
2017/01/06 03:30:00	1.23821	1.23840	1.23777	1.23782	1.23813	1.23833	1.23768	1.23771
2017/01/06 03:15:00	1.23832	1.23848	1.23790	1.23821	1.23825	1.23842	1.23783	1.23813
2017/01/06 03:00:00	1.23790	1.23841	1.23769	1.23832	1.23781	1.23835	1.23761	1.23825
2017/01/06 02:45:00	1.23771	1.23798	1.23737	1.23790	1.23765	1.23792	1.23730	1.23781
2017/01/06 02:30:00	1.23789	1.23805	1.23756	1.23771	1.23783	1.23802	1.23749	1.23765
2017/01/06 02:15:00	1.23800	1.23847	1.23783	1.23789	1.23787	1.23839	1.23776	1.23783
2017/01/06 02:00:00	1.23781	1.23830	1.23769	1.23800	1.23767	1.23821	1.23758	1.23787
2017/01/06 01:45:00	1.23812	1.23822	1.23730	1.23781	1.23799	1.23809	1.23724	1.23767
2017/01/06 01:30:00	1.23822	1.23850	1.23810	1.23812	1.23811	1.23838	1.23798	1.23799
2017/01/06 01:15:00	1.23836	1.23852	1.23821	1.23822	1.23828	1.23841	1.23808	1.23811
2017/01/06 01:00:00	1.23806	1.23847	1.23781	1.23836	1.23793	1.23838	1.23769	1.23828
2017/01/06 00:45:00	1.23782	1.23811	1.23751	1.23806	1.23776	1.23799	1.23738	1.23793
2017/01/06 00:30:00	1.23764	1.23812	1.23759	1.23782	1.23754	1.23806	1.23749	1.23776
2017/01/06 00:15:00	1.23807	1.23821	1.23757	1.23764	1.23801	1.23813	1.23748	1.23754
2017/01/06 00:00:00	1.23810	1.23826	1.23788	1.23807	1.23800	1.23813	1.23780	1.23801
2017/01/05 23:45:00	1.23891	1.23901	1.23806	1.23810	1.23883	1.23893	1.23798	1.23800
2017/01/05 23:30:00	1.23836	1.23919	1.23834	1.23891	1.23826	1.23908	1.23825	1.23883
2017/01/05 23:15:00	1.23869	1.23881	1.23828	1.23836	1.23858	1.23868	1.23819	1.23826
2017/01/05 23:00:00	1.23907	1.23933	1.23847	1.23869	1.23896	1.23922	1.23839	1.23858
2017/01/05 22:45:00	1.23860	1.23914	1.23856	1.23907	1.23850	1.23906	1.23845	1.23896
2017/01/05 22:30:00	1.23852	1.23870	1.23825	1.23860	1.23844	1.23860	1.23815	1.23850
2017/01/05 22:15:00	1.23938	1.23945	1.23835	1.23852	1.23928	1.23934	1.23827	1.23844
2017/01/05 22:00:00	1.23940	1.23972	1.23921	1.23938	1.23931	1.23964	1.23914	1.23928
2017/01/05 21:45:00	1.23989	1.24004	1.23926	1.23940	1.23974	1.23998	1.23919	1.23931
2017/01/05 21:30:00	1.23924	1.23995	1.23924	1.23989	1.23910	1.23986	1.23910	1.23974
2017/01/05 21:15:00	1.23921	1.23935	1.23880	1.23924	1.23910	1.23922	1.23873	1.23910
2017/01/05 21:00:00	1.23878	1.23922	1.23852	1.23921	1.23865	1.23910	1.23840	1.23910
2017/01/05 20:45:00	1.23862	1.23919	1.23827	1.23878	1.23848	1.23910	1.23816	1.23865
2017/01/05 20:30:00	1.23885	1.23945	1.23820	1.23862	1.23870	1.23934	1.23808	1.23848
2017/01/05 20:15:00	1.24043	1.24064	1.23858	1.23885	1.24030	1.24053	1.23849	1.23870
2017/01/05 20:00:00	1.24053	1.24083	1.24011	1.24043	1.24047	1.24070	1.23996	1.24030
2017/01/05 19:45:00	1.24073	1.24085	1.24013	1.24053	1.24063	1.24073	1.24005	1.24047
2017/01/05 19:30:00	1.24128	1.24154	1.24027	1.24073	1.24111	1.24139	1.24015	1.24063
2017/01/05 19:15:00	1.24025	1.24140	1.24023	1.24128	1.24010	1.24144	1.24009	1.24111
2017/01/05 19:00:00	1.24225	1.24250	1.24005	1.24025	1.24209	1.24237	1.23996	1.24010
2017/01/05 18:45:00	1.24263	1.24320	1.24210	1.24225	1.24246	1.24304	1.24196	1.24209
2017/01/05 18:30:00	1.24238	1.24285	1.24181	1.24263	1.24220	1.24270	1.24168	1.24246
2017/01/05 18:15:00	1.24199	1.24240	1.24162	1.24238	1.24190	1.24222	1.24147	1.24220
2017/01/05 18:00:00	1.24150	1.24250	1.24148	1.24199	1.24120	1.24239	1.24113	1.24190
2017/01/05 17:45:00	1.24168	1.24202	1.24150	1.24150	1.24179	1.24180	1.24118	1.24120
2017/01/05 17:30:00	1.24219	1.24263	1.24158	1.24168	1.24157	1.24227	1.24141	1.24179
2017/01/05 17:15:00	1.24216	1.24232	1.24169	1.24219	1.24152	1.24188	1.24139	1.24157
2017/01/05 17:00:00	1.24273	1.24273	1.24173	1.24216	1.24122	1.24214	1.24072	1.24152
2017/01/05 16:45:00	1.24222	1.24273	1.24129	1.24273	1.24212	1.24224	1.24122	1.24122
