日時	"NZD/CAD(始値, 買い)"	"NZD/CAD(高値, 買い)"	"NZD/CAD(安値, 買い)"	"NZD/CAD(終値, 買い)"	"NZD/CAD(始値, 売り)*"	"NZD/CAD(高値, 売り)*"	"NZD/CAD(安値, 売り)*"	"NZD/CAD(終値, 売り)*"
2017/01/09 06:00:00	0.92356	0.92405	0.92341	0.92405	0.92348	0.92398	0.92335	0.92398
2017/01/09 05:45:00	0.92353	0.92392	0.92327	0.92356	0.92344	0.92383	0.92320	0.92348
2017/01/09 05:30:00	0.92340	0.92361	0.92315	0.92353	0.92332	0.92352	0.92307	0.92344
2017/01/09 05:15:00	0.92348	0.92396	0.92335	0.92340	0.92339	0.92388	0.92329	0.92332
2017/01/09 05:00:00	0.92279	0.92355	0.92248	0.92348	0.92270	0.92348	0.92239	0.92339
2017/01/09 04:45:00	0.92290	0.92301	0.92263	0.92279	0.92282	0.92294	0.92257	0.92270
2017/01/09 04:30:00	0.92330	0.92377	0.92289	0.92290	0.92321	0.92371	0.92281	0.92282
2017/01/09 04:15:00	0.92234	0.92331	0.92222	0.92330	0.92229	0.92323	0.92213	0.92321
2017/01/09 04:00:00	0.92271	0.92310	0.92224	0.92234	0.92260	0.92303	0.92215	0.92229
2017/01/09 03:45:00	0.92266	0.92310	0.92234	0.92271	0.92258	0.92302	0.92230	0.92260
2017/01/09 03:30:00	0.92309	0.92326	0.92236	0.92266	0.92301	0.92318	0.92228	0.92258
2017/01/09 03:15:00	0.92328	0.92339	0.92235	0.92309	0.92320	0.92331	0.92226	0.92301
2017/01/09 03:00:00	0.92315	0.92411	0.92308	0.92328	0.92304	0.92402	0.92291	0.92320
2017/01/09 02:45:00	0.92253	0.92332	0.92251	0.92315	0.92245	0.92324	0.92243	0.92304
2017/01/09 02:30:00	0.92264	0.92285	0.92246	0.92253	0.92252	0.92277	0.92238	0.92245
2017/01/09 02:15:00	0.92313	0.92320	0.92233	0.92264	0.92302	0.92308	0.92221	0.92252
2017/01/09 02:00:00	0.92291	0.92335	0.92245	0.92313	0.92279	0.92326	0.92234	0.92302
2017/01/09 01:45:00	0.92191	0.92307	0.92187	0.92291	0.92180	0.92295	0.92175	0.92279
2017/01/09 01:30:00	0.92238	0.92251	0.92189	0.92191	0.92227	0.92239	0.92178	0.92180
2017/01/09 01:15:00	0.92222	0.92269	0.92204	0.92238	0.92212	0.92257	0.92193	0.92227
2017/01/09 01:00:00	0.92205	0.92245	0.92164	0.92222	0.92195	0.92236	0.92155	0.92212
2017/01/09 00:45:00	0.92237	0.92240	0.92165	0.92205	0.92227	0.92232	0.92156	0.92195
2017/01/09 00:30:00	0.92237	0.92246	0.92209	0.92237	0.92226	0.92236	0.92198	0.92227
2017/01/09 00:15:00	0.92234	0.92246	0.92213	0.92237	0.92224	0.92235	0.92201	0.92226
2017/01/09 00:00:00	0.92187	0.92243	0.92183	0.92234	0.92177	0.92231	0.92172	0.92224
2017/01/08 23:45:00	0.92189	0.92195	0.92175	0.92187	0.92178	0.92186	0.92163	0.92177
2017/01/08 23:30:00	0.92150	0.92211	0.92133	0.92189	0.92138	0.92200	0.92123	0.92178
2017/01/08 23:15:00	0.92180	0.92182	0.92112	0.92150	0.92168	0.92172	0.92101	0.92138
2017/01/08 23:00:00	0.92212	0.92246	0.92175	0.92180	0.92201	0.92235	0.92163	0.92168
2017/01/08 22:45:00	0.92220	0.92240	0.92207	0.92212	0.92208	0.92231	0.92195	0.92201
2017/01/08 22:30:00	0.92286	0.92287	0.92189	0.92220	0.92275	0.92276	0.92177	0.92208
2017/01/08 22:15:00	0.92289	0.92324	0.92280	0.92286	0.92278	0.92312	0.92270	0.92275
2017/01/08 22:00:00	0.92285	0.92330	0.92284	0.92289	0.92273	0.92319	0.92272	0.92278
2017/01/08 21:45:00	0.92255	0.92328	0.92254	0.92285	0.92245	0.92316	0.92243	0.92273
2017/01/08 21:30:00	0.92267	0.92286	0.92245	0.92255	0.92258	0.92275	0.92234	0.92245
2017/01/08 21:15:00	0.92233	0.92272	0.92233	0.92267	0.92221	0.92261	0.92221	0.92258
2017/01/08 21:00:00	0.92218	0.92243	0.92214	0.92233	0.92207	0.92232	0.92203	0.92221
2017/01/08 20:45:00	0.92202	0.92226	0.92179	0.92218	0.92192	0.92214	0.92168	0.92207
2017/01/08 20:30:00	0.92214	0.92234	0.92189	0.92202	0.92202	0.92223	0.92178	0.92192
2017/01/08 20:15:00	0.92245	0.92255	0.92201	0.92214	0.92215	0.92239	0.92189	0.92202
2017/01/08 20:00:00	0.92209	0.92266	0.92188	0.92245	0.92202	0.92253	0.92177	0.92215
2017/01/08 19:45:00	0.92181	0.92229	0.92166	0.92209	0.92169	0.92221	0.92154	0.92202
2017/01/08 19:30:00	0.92170	0.92203	0.92157	0.92181	0.92157	0.92191	0.92146	0.92169
2017/01/08 19:15:00	0.92219	0.92225	0.92150	0.92170	0.92205	0.92213	0.92137	0.92157
2017/01/08 19:00:00	0.92262	0.92264	0.92164	0.92219	0.92248	0.92251	0.92154	0.92205
2017/01/08 18:45:00	0.92282	0.92285	0.92252	0.92262	0.92269	0.92270	0.92239	0.92248
2017/01/08 18:30:00	0.92255	0.92288	0.92234	0.92282	0.92233	0.92269	0.92212	0.92269
2017/01/08 18:15:00	0.92225	0.92285	0.92204	0.92255	0.92200	0.92266	0.92185	0.92233
2017/01/08 18:00:00	0.92260	0.92275	0.92186	0.92225	0.92210	0.92237	0.92146	0.92200
2017/01/08 17:45:00	0.92256	0.92326	0.92239	0.92260	0.92209	0.92273	0.92196	0.92210
2017/01/08 17:30:00	0.92259	0.92295	0.92213	0.92256	0.92205	0.92235	0.92165	0.92209
2017/01/08 17:15:00	0.92225	0.92264	0.92167	0.92259	0.92196	0.92210	0.92125	0.92205
2017/01/08 17:00:00	0.92380	0.92380	0.92216	0.92225	0.92183	0.92274	0.92179	0.92196
2017/01/06 16:45:00	0.92105	0.92208	0.92090	0.92196	0.92076	0.92120	0.92026	0.92026
2017/01/06 16:30:00	0.92133	0.92140	0.92080	0.92105	0.92115	0.92120	0.92055	0.92076
2017/01/06 16:15:00	0.92160	0.92169	0.92127	0.92133	0.92141	0.92153	0.92110	0.92115
2017/01/06 16:00:00	0.92161	0.92175	0.92155	0.92160	0.92148	0.92160	0.92137	0.92141
2017/01/06 15:45:00	0.92167	0.92187	0.92154	0.92161	0.92154	0.92174	0.92145	0.92148
2017/01/06 15:30:00	0.92210	0.92213	0.92163	0.92167	0.92200	0.92203	0.92152	0.92154
2017/01/06 15:15:00	0.92204	0.92227	0.92179	0.92210	0.92191	0.92214	0.92168	0.92200
2017/01/06 15:00:00	0.92207	0.92227	0.92173	0.92204	0.92197	0.92214	0.92160	0.92191
2017/01/06 14:45:00	0.92211	0.92244	0.92182	0.92207	0.92204	0.92233	0.92171	0.92197
2017/01/06 14:30:00	0.92140	0.92213	0.92140	0.92211	0.92128	0.92204	0.92128	0.92204
2017/01/06 14:15:00	0.92175	0.92175	0.92111	0.92140	0.92162	0.92164	0.92101	0.92128
2017/01/06 14:00:00	0.92181	0.92182	0.92124	0.92175	0.92168	0.92173	0.92115	0.92162
2017/01/06 13:45:00	0.92232	0.92237	0.92166	0.92181	0.92226	0.92229	0.92155	0.92168
2017/01/06 13:30:00	0.92269	0.92269	0.92221	0.92232	0.92256	0.92256	0.92212	0.92226
2017/01/06 13:15:00	0.92236	0.92283	0.92209	0.92269	0.92224	0.92275	0.92200	0.92256
2017/01/06 13:00:00	0.92296	0.92349	0.92230	0.92236	0.92286	0.92338	0.92220	0.92224
2017/01/06 12:45:00	0.92260	0.92297	0.92226	0.92296	0.92251	0.92286	0.92219	0.92286
2017/01/06 12:30:00	0.92252	0.92262	0.92216	0.92260	0.92237	0.92252	0.92205	0.92251
2017/01/06 12:15:00	0.92181	0.92252	0.92153	0.92252	0.92169	0.92238	0.92140	0.92237
2017/01/06 12:00:00	0.92145	0.92190	0.92135	0.92181	0.92136	0.92178	0.92123	0.92169
2017/01/06 11:45:00	0.92128	0.92161	0.92065	0.92145	0.92119	0.92151	0.92056	0.92136
2017/01/06 11:30:00	0.92107	0.92148	0.92083	0.92128	0.92100	0.92138	0.92072	0.92119
2017/01/06 11:15:00	0.92305	0.92318	0.92102	0.92107	0.92296	0.92308	0.92094	0.92100
2017/01/06 11:00:00	0.92290	0.92371	0.92281	0.92305	0.92279	0.92361	0.92272	0.92296
2017/01/06 10:45:00	0.92353	0.92400	0.92265	0.92290	0.92344	0.92393	0.92255	0.92279
2017/01/06 10:30:00	0.92313	0.92394	0.92305	0.92353	0.92304	0.92384	0.92296	0.92344
2017/01/06 10:15:00	0.92274	0.92383	0.92249	0.92313	0.92264	0.92372	0.92239	0.92304
2017/01/06 10:00:00	0.92355	0.92355	0.92227	0.92274	0.92248	0.92342	0.92217	0.92264
2017/01/06 09:45:00	0.92428	0.92440	0.92310	0.92355	0.92423	0.92433	0.92233	0.92248
2017/01/06 09:30:00	0.92396	0.92476	0.92344	0.92428	0.92385	0.92466	0.92341	0.92423
2017/01/06 09:15:00	0.92441	0.92456	0.92367	0.92396	0.92431	0.92447	0.92359	0.92385
2017/01/06 09:00:00	0.92396	0.92513	0.92328	0.92441	0.92388	0.92503	0.92320	0.92431
2017/01/06 08:45:00	0.92407	0.92440	0.92308	0.92396	0.92401	0.92429	0.92295	0.92388
2017/01/06 08:30:00	0.93215	0.93215	0.92407	0.92407	0.93046	0.93074	0.92400	0.92401
2017/01/06 08:15:00	0.93138	0.93216	0.93100	0.93215	0.93127	0.93155	0.93044	0.93046
2017/01/06 08:00:00	0.93089	0.93149	0.93079	0.93138	0.93078	0.93140	0.93070	0.93127
2017/01/06 07:45:00	0.93095	0.93129	0.93085	0.93089	0.93088	0.93118	0.93077	0.93078
2017/01/06 07:30:00	0.93058	0.93115	0.93058	0.93095	0.93052	0.93107	0.93050	0.93088
2017/01/06 07:15:00	0.93083	0.93095	0.93036	0.93058	0.93075	0.93088	0.93028	0.93052
2017/01/06 07:00:00	0.93104	0.93115	0.93057	0.93083	0.93096	0.93107	0.93050	0.93075
2017/01/06 06:45:00	0.93111	0.93114	0.93079	0.93104	0.93103	0.93107	0.93071	0.93096
2017/01/06 06:30:00	0.93100	0.93136	0.93094	0.93111	0.93091	0.93127	0.93085	0.93103
