日時	"NZD/JPY(始値, 買い)"	"NZD/JPY(高値, 買い)"	"NZD/JPY(安値, 買い)"	"NZD/JPY(終値, 買い)"	"NZD/JPY(始値, 売り)*"	"NZD/JPY(高値, 売り)*"	"NZD/JPY(安値, 売り)*"	"NZD/JPY(終値, 売り)*"
2016/12/29 12:00:00	80.936	80.973	80.917	80.965	80.930	80.964	80.911	80.957
2016/12/29 11:45:00	80.933	80.946	80.901	80.936	80.925	80.938	80.896	80.930
2016/12/29 11:30:00	80.899	80.945	80.878	80.933	80.889	80.941	80.871	80.925
2016/12/29 11:15:00	80.928	80.950	80.881	80.899	80.920	80.942	80.873	80.889
2016/12/29 11:00:00	80.895	80.939	80.880	80.928	80.884	80.933	80.874	80.920
2016/12/29 10:45:00	80.999	80.999	80.890	80.895	80.992	80.992	80.881	80.884
2016/12/29 10:30:00	81.005	81.021	80.978	80.999	80.991	81.015	80.971	80.992
2016/12/29 10:15:00	80.978	81.009	80.953	81.005	80.970	81.001	80.948	80.991
2016/12/29 10:00:00	81.015	81.033	80.971	80.978	81.009	81.028	80.963	80.970
2016/12/29 09:45:00	81.086	81.096	81.005	81.015	81.072	81.082	81.000	81.009
2016/12/29 09:30:00	81.074	81.112	81.070	81.086	81.067	81.105	81.064	81.072
2016/12/29 09:15:00	81.121	81.128	81.060	81.074	81.113	81.121	81.055	81.067
2016/12/29 09:00:00	81.171	81.190	81.110	81.121	81.164	81.184	81.103	81.113
2016/12/29 08:45:00	81.133	81.184	81.127	81.171	81.126	81.179	81.119	81.164
2016/12/29 08:30:00	81.126	81.148	81.085	81.133	81.108	81.134	81.078	81.126
2016/12/29 08:15:00	81.131	81.186	81.109	81.126	81.124	81.176	81.099	81.108
2016/12/29 08:00:00	81.146	81.147	81.109	81.131	81.141	81.141	81.102	81.124
2016/12/29 07:45:00	81.106	81.150	81.100	81.146	81.098	81.143	81.094	81.141
2016/12/29 07:30:00	81.052	81.108	81.034	81.106	81.046	81.100	81.029	81.098
2016/12/29 07:15:00	81.068	81.069	81.023	81.052	81.060	81.062	81.019	81.046
2016/12/29 07:00:00	81.056	81.072	81.042	81.068	81.048	81.065	81.036	81.060
2016/12/29 06:45:00	81.073	81.107	81.047	81.056	81.065	81.100	81.039	81.048
2016/12/29 06:30:00	81.046	81.105	81.033	81.073	81.041	81.097	81.026	81.065
2016/12/29 06:15:00	81.034	81.063	81.024	81.046	81.027	81.056	81.018	81.041
2016/12/29 06:00:00	81.006	81.041	80.976	81.034	80.997	81.032	80.970	81.027
2016/12/29 05:45:00	80.966	81.006	80.959	81.006	80.959	80.997	80.950	80.997
2016/12/29 05:30:00	80.972	81.024	80.954	80.966	80.965	81.016	80.947	80.959
2016/12/29 05:15:00	80.950	80.996	80.948	80.972	80.943	80.991	80.942	80.965
2016/12/29 05:00:00	81.031	81.045	80.940	80.950	81.024	81.039	80.934	80.943
2016/12/29 04:45:00	81.081	81.088	81.025	81.031	81.075	81.082	81.020	81.024
2016/12/29 04:30:00	81.014	81.116	81.010	81.081	81.008	81.109	81.002	81.075
2016/12/29 04:15:00	81.065	81.077	81.002	81.014	81.058	81.070	80.996	81.008
2016/12/29 04:00:00	81.015	81.094	81.015	81.065	81.006	81.093	81.002	81.058
2016/12/29 03:45:00	80.918	81.018	80.917	81.015	80.910	81.011	80.909	81.006
2016/12/29 03:30:00	80.930	80.942	80.906	80.918	80.925	80.940	80.898	80.910
2016/12/29 03:15:00	80.862	80.949	80.851	80.930	80.860	80.943	80.845	80.925
2016/12/29 03:00:00	80.779	80.867	80.758	80.862	80.773	80.862	80.751	80.860
2016/12/29 02:45:00	80.795	80.801	80.757	80.779	80.787	80.794	80.751	80.773
2016/12/29 02:30:00	80.721	80.819	80.714	80.795	80.712	80.812	80.708	80.787
2016/12/29 02:15:00	80.767	80.788	80.691	80.721	80.757	80.780	80.686	80.712
2016/12/29 02:00:00	80.826	80.854	80.744	80.767	80.816	80.845	80.736	80.757
2016/12/29 01:45:00	80.832	80.863	80.793	80.826	80.817	80.855	80.787	80.816
2016/12/29 01:30:00	80.960	80.965	80.824	80.832	80.950	80.955	80.814	80.817
2016/12/29 01:15:00	80.943	80.962	80.898	80.960	80.934	80.950	80.889	80.950
2016/12/29 01:00:00	81.000	81.019	80.943	80.943	80.991	81.011	80.934	80.934
2016/12/29 00:45:00	81.021	81.025	80.986	81.000	81.012	81.017	80.976	80.991
2016/12/29 00:30:00	80.956	81.025	80.947	81.021	80.945	81.016	80.940	81.012
2016/12/29 00:15:00	80.948	80.969	80.922	80.956	80.939	80.961	80.913	80.945
