日時	"USD/CAD(始値, 買い)"	"USD/CAD(高値, 買い)"	"USD/CAD(安値, 買い)"	"USD/CAD(終値, 買い)"	"USD/CAD(始値, 売り)*"	"USD/CAD(高値, 売り)*"	"USD/CAD(安値, 売り)*"	"USD/CAD(終値, 売り)*"
2017/01/09 05:30:00	1.32639	1.32651	1.32619	1.32636	1.32632	1.32644	1.32613	1.32630
2017/01/09 05:15:00	1.32569	1.32667	1.32559	1.32639	1.32562	1.32658	1.32551	1.32632
2017/01/09 05:00:00	1.32497	1.32578	1.32496	1.32569	1.32489	1.32572	1.32488	1.32562
2017/01/09 04:45:00	1.32438	1.32503	1.32433	1.32497	1.32433	1.32495	1.32430	1.32489
2017/01/09 04:30:00	1.32400	1.32446	1.32355	1.32438	1.32391	1.32441	1.32348	1.32433
2017/01/09 04:15:00	1.32359	1.32400	1.32320	1.32400	1.32353	1.32393	1.32311	1.32391
2017/01/09 04:00:00	1.32353	1.32393	1.32344	1.32359	1.32345	1.32389	1.32336	1.32353
2017/01/09 03:45:00	1.32373	1.32386	1.32321	1.32353	1.32365	1.32378	1.32315	1.32345
2017/01/09 03:30:00	1.32326	1.32419	1.32325	1.32373	1.32319	1.32412	1.32319	1.32365
2017/01/09 03:15:00	1.32473	1.32482	1.32314	1.32326	1.32465	1.32475	1.32307	1.32319
2017/01/09 03:00:00	1.32597	1.32612	1.32466	1.32473	1.32589	1.32603	1.32458	1.32465
2017/01/09 02:45:00	1.32668	1.32696	1.32586	1.32597	1.32661	1.32690	1.32580	1.32589
2017/01/09 02:30:00	1.32554	1.32669	1.32553	1.32668	1.32542	1.32661	1.32542	1.32661
2017/01/09 02:15:00	1.32555	1.32589	1.32523	1.32554	1.32547	1.32578	1.32513	1.32542
2017/01/09 02:00:00	1.32551	1.32556	1.32473	1.32555	1.32541	1.32548	1.32462	1.32547
2017/01/09 01:45:00	1.32600	1.32600	1.32527	1.32551	1.32590	1.32590	1.32516	1.32541
2017/01/09 01:30:00	1.32581	1.32608	1.32551	1.32600	1.32569	1.32599	1.32540	1.32590
2017/01/09 01:15:00	1.32634	1.32634	1.32572	1.32581	1.32624	1.32625	1.32567	1.32569
2017/01/09 01:00:00	1.32577	1.32636	1.32577	1.32634	1.32569	1.32626	1.32569	1.32624
2017/01/09 00:45:00	1.32572	1.32620	1.32565	1.32577	1.32563	1.32620	1.32554	1.32569
2017/01/09 00:30:00	1.32570	1.32581	1.32531	1.32572	1.32558	1.32573	1.32524	1.32563
2017/01/09 00:15:00	1.32543	1.32587	1.32542	1.32570	1.32533	1.32581	1.32533	1.32558
2017/01/09 00:00:00	1.32545	1.32564	1.32534	1.32543	1.32535	1.32555	1.32523	1.32533
2017/01/08 23:45:00	1.32539	1.32546	1.32519	1.32545	1.32529	1.32536	1.32510	1.32535
2017/01/08 23:30:00	1.32543	1.32546	1.32523	1.32539	1.32532	1.32535	1.32514	1.32529
2017/01/08 23:15:00	1.32530	1.32555	1.32516	1.32543	1.32519	1.32546	1.32507	1.32532
2017/01/08 23:00:00	1.32516	1.32542	1.32506	1.32530	1.32504	1.32534	1.32496	1.32519
2017/01/08 22:45:00	1.32505	1.32522	1.32498	1.32516	1.32498	1.32512	1.32491	1.32504
2017/01/08 22:30:00	1.32489	1.32519	1.32475	1.32505	1.32482	1.32508	1.32467	1.32498
2017/01/08 22:15:00	1.32433	1.32501	1.32429	1.32489	1.32423	1.32496	1.32418	1.32482
2017/01/08 22:00:00	1.32429	1.32454	1.32416	1.32433	1.32418	1.32443	1.32405	1.32423
2017/01/08 21:45:00	1.32367	1.32441	1.32359	1.32429	1.32355	1.32429	1.32346	1.32418
2017/01/08 21:30:00	1.32329	1.32372	1.32327	1.32367	1.32317	1.32363	1.32316	1.32355
2017/01/08 21:15:00	1.32301	1.32348	1.32298	1.32329	1.32290	1.32338	1.32288	1.32317
2017/01/08 21:00:00	1.32298	1.32325	1.32277	1.32301	1.32287	1.32317	1.32265	1.32290
2017/01/08 20:45:00	1.32350	1.32356	1.32270	1.32298	1.32340	1.32345	1.32258	1.32287
2017/01/08 20:30:00	1.32351	1.32359	1.32322	1.32350	1.32340	1.32348	1.32310	1.32340
2017/01/08 20:15:00	1.32307	1.32367	1.32301	1.32351	1.32292	1.32356	1.32289	1.32340
2017/01/08 20:00:00	1.32355	1.32371	1.32288	1.32307	1.32349	1.32361	1.32281	1.32292
2017/01/08 19:45:00	1.32384	1.32410	1.32335	1.32355	1.32372	1.32399	1.32323	1.32349
2017/01/08 19:30:00	1.32406	1.32440	1.32383	1.32384	1.32390	1.32430	1.32372	1.32372
2017/01/08 19:15:00	1.32395	1.32452	1.32375	1.32406	1.32386	1.32441	1.32368	1.32390
2017/01/08 19:00:00	1.32412	1.32422	1.32368	1.32395	1.32397	1.32406	1.32360	1.32386
2017/01/08 18:45:00	1.32446	1.32493	1.32412	1.32412	1.32432	1.32477	1.32397	1.32397
2017/01/08 18:30:00	1.32522	1.32529	1.32445	1.32446	1.32509	1.32516	1.32431	1.32432
2017/01/08 18:15:00	1.32451	1.32523	1.32421	1.32522	1.32435	1.32510	1.32413	1.32509
2017/01/08 18:00:00	1.32527	1.32527	1.32441	1.32451	1.32503	1.32503	1.32425	1.32435
2017/01/08 17:45:00	1.32537	1.32577	1.32520	1.32527	1.32500	1.32545	1.32497	1.32503
