日時	"USD/CNH(始値, 買い)"	"USD/CNH(高値, 買い)"	"USD/CNH(安値, 買い)"	"USD/CNH(終値, 買い)"	"USD/CNH(始値, 売り)*"	"USD/CNH(高値, 売り)*"	"USD/CNH(安値, 売り)*"	"USD/CNH(終値, 売り)*"
2016/12/29 12:15:00	6.96719	6.96734	6.96719	6.96719	6.96668	6.96671	6.96631	6.96671
2016/12/29 12:00:00	6.96469	6.96881	6.96384	6.96719	6.96381	6.96821	6.96341	6.96668
2016/12/29 11:45:00	6.96807	6.96915	6.96391	6.96469	6.96767	6.96838	6.96351	6.96381
2016/12/29 11:30:00	6.96833	6.96881	6.96649	6.96807	6.96801	6.96841	6.96604	6.96767
2016/12/29 11:15:00	6.97033	6.97059	6.96825	6.96833	6.96987	6.96991	6.96791	6.96801
2016/12/29 11:00:00	6.97229	6.97279	6.97009	6.97033	6.97151	6.97171	6.96911	6.96987
2016/12/29 10:45:00	6.97259	6.97300	6.97160	6.97229	6.97228	6.97261	6.97081	6.97151
2016/12/29 10:30:00	6.97249	6.97309	6.97159	6.97259	6.97221	6.97259	6.97107	6.97228
2016/12/29 10:15:00	6.97369	6.97375	6.97187	6.97249	6.97341	6.97341	6.97150	6.97221
2016/12/29 10:00:00	6.97349	6.97429	6.97349	6.97369	6.97308	6.97383	6.97308	6.97341
2016/12/29 09:45:00	6.97459	6.97469	6.97339	6.97349	6.97421	6.97421	6.97303	6.97308
2016/12/29 09:30:00	6.97454	6.97479	6.97413	6.97459	6.97412	6.97435	6.97380	6.97421
2016/12/29 09:15:00	6.97428	6.97478	6.97419	6.97454	6.97391	6.97441	6.97371	6.97412
2016/12/29 09:00:00	6.97389	6.97679	6.97379	6.97428	6.97336	6.97621	6.97331	6.97391
2016/12/29 08:45:00	6.97379	6.97635	6.97359	6.97389	6.97321	6.97492	6.97299	6.97336
2016/12/29 08:30:00	6.97579	6.97760	6.97299	6.97379	6.97360	6.97561	6.97251	6.97321
2016/12/29 08:15:00	6.97429	6.97659	6.97361	6.97579	6.97388	6.97616	6.97300	6.97360
2016/12/29 08:00:00	6.97478	6.97480	6.97409	6.97429	6.97431	6.97441	6.97371	6.97388
2016/12/29 07:45:00	6.97359	6.97478	6.97357	6.97478	6.97321	6.97444	6.97321	6.97431
2016/12/29 07:30:00	6.97439	6.97462	6.97349	6.97359	6.97381	6.97422	6.97303	6.97321
2016/12/29 07:15:00	6.97474	6.97500	6.97389	6.97439	6.97431	6.97456	6.97351	6.97381
2016/12/29 07:00:00	6.97529	6.97669	6.97389	6.97474	6.97501	6.97611	6.97347	6.97431
2016/12/29 06:45:00	6.97549	6.97669	6.97499	6.97529	6.97511	6.97621	6.97451	6.97501
2016/12/29 06:30:00	6.97529	6.97662	6.97408	6.97549	6.97455	6.97631	6.97338	6.97511
2016/12/29 06:15:00	6.97489	6.97632	6.97389	6.97529	6.97451	6.97584	6.97351	6.97455
2016/12/29 06:00:00	6.97375	6.97512	6.97315	6.97489	6.97331	6.97471	6.97281	6.97451
2016/12/29 05:45:00	6.98299	6.98389	6.97284	6.97375	6.98250	6.98291	6.97231	6.97331
2016/12/29 05:30:00	6.98149	6.98429	6.98139	6.98299	6.98106	6.98366	6.98105	6.98250
2016/12/29 05:15:00	6.97942	6.98179	6.97939	6.98149	6.97894	6.98122	6.97892	6.98106
2016/12/29 05:00:00	6.98099	6.98149	6.97879	6.97942	6.98053	6.98081	6.97811	6.97894
2016/12/29 04:45:00	6.97856	6.98179	6.97805	6.98099	6.97811	6.98131	6.97767	6.98053
2016/12/29 04:30:00	6.97700	6.97920	6.97692	6.97856	6.97661	6.97881	6.97658	6.97811
2016/12/29 04:15:00	6.97653	6.97708	6.97627	6.97700	6.97611	6.97671	6.97581	6.97661
2016/12/29 04:00:00	6.97498	6.97700	6.97324	6.97653	6.97471	6.97681	6.97280	6.97611
2016/12/29 03:45:00	6.97490	6.97507	6.97412	6.97498	6.97467	6.97471	6.97361	6.97471
2016/12/29 03:30:00	6.97515	6.97600	6.97480	6.97490	6.97481	6.97571	6.97450	6.97467
2016/12/29 03:15:00	6.97470	6.97730	6.97445	6.97515	6.97419	6.97698	6.97411	6.97481
2016/12/29 03:00:00	6.97420	6.97480	6.97340	6.97470	6.97381	6.97431	6.97300	6.97419
2016/12/29 02:45:00	6.97400	6.97420	6.97199	6.97420	6.97368	6.97391	6.97131	6.97381
2016/12/29 02:30:00	6.97072	6.97500	6.97006	6.97400	6.97021	6.97456	6.96941	6.97368
2016/12/29 02:15:00	6.97310	6.97310	6.96889	6.97072	6.97250	6.97257	6.96831	6.97021
2016/12/29 02:00:00	6.97513	6.97513	6.97208	6.97310	6.97421	6.97431	6.97150	6.97250
2016/12/29 01:45:00	6.97532	6.97583	6.97299	6.97513	6.97505	6.97505	6.97260	6.97421
2016/12/29 01:30:00	6.97543	6.97649	6.97502	6.97532	6.97518	6.97611	6.97467	6.97505
2016/12/29 01:15:00	6.97549	6.97617	6.97498	6.97543	6.97521	6.97564	6.97457	6.97518
2016/12/29 01:00:00	6.97509	6.97615	6.97424	6.97549	6.97461	6.97551	6.97366	6.97521
2016/12/29 00:45:00	6.97629	6.97629	6.97499	6.97509	6.97571	6.97581	6.97421	6.97461
2016/12/29 00:30:00	6.97489	6.97649	6.97429	6.97629	6.97431	6.97581	6.97381	6.97571
2016/12/29 00:15:00	6.97559	6.97632	6.97369	6.97489	6.97521	6.97591	6.97322	6.97431
2016/12/29 00:00:00	6.97402	6.97619	6.97389	6.97559	6.97369	6.97561	6.97344	6.97521
2016/12/28 23:45:00	6.97400	6.97649	6.97389	6.97402	6.97371	6.97601	6.97343	6.97369
2016/12/28 23:30:00	6.97386	6.97400	6.97376	6.97400	6.97361	6.97371	6.97340	6.97371
2016/12/28 23:15:00	6.97379	6.97400	6.97349	6.97386	6.97345	6.97371	6.97310	6.97361
2016/12/28 23:00:00	6.97436	6.97479	6.97339	6.97379	6.97401	6.97421	6.97311	6.97345
2016/12/28 22:45:00	6.97336	6.97480	6.97336	6.97436	6.97310	6.97441	6.97298	6.97401
2016/12/28 22:30:00	6.97443	6.97510	6.96989	6.97336	6.97406	6.97469	6.96911	6.97310
2016/12/28 22:15:00	6.97919	6.97919	6.97409	6.97443	6.97861	6.97866	6.97370	6.97406
2016/12/28 22:00:00	6.98659	6.98679	6.97789	6.97919	6.98633	6.98648	6.97756	6.97861
2016/12/28 21:45:00	6.98509	6.98799	6.98509	6.98659	6.98480	6.98700	6.98480	6.98633
2016/12/28 21:30:00	6.98389	6.98550	6.98309	6.98509	6.98360	6.98511	6.98260	6.98480
2016/12/28 21:15:00	6.97999	6.98419	6.97999	6.98389	6.97961	6.98371	6.97951	6.98360
2016/12/28 21:00:00	6.98029	6.98109	6.97929	6.97999	6.97961	6.98061	6.97871	6.97961
2016/12/28 20:45:00	6.97467	6.98263	6.97439	6.98029	6.97401	6.98191	6.97371	6.97961
2016/12/28 20:30:00	6.97609	6.97739	6.97309	6.97467	6.97561	6.97671	6.97247	6.97401
2016/12/28 20:15:00	6.97819	6.97948	6.97570	6.97609	6.97731	6.97821	6.97460	6.97561
2016/12/28 20:00:00	6.97690	6.97819	6.97559	6.97819	6.97671	6.97751	6.97496	6.97731
2016/12/28 19:45:00	6.97429	6.97817	6.97415	6.97690	6.97361	6.97735	6.97361	6.97671
2016/12/28 19:30:00	6.97522	6.97546	6.97409	6.97429	6.97481	6.97497	6.97355	6.97361
2016/12/28 19:15:00	6.97459	6.97545	6.97450	6.97522	6.97371	6.97497	6.97341	6.97481
2016/12/28 19:00:00	6.97310	6.97603	6.97310	6.97459	6.97221	6.97500	6.97221	6.97371
2016/12/28 18:45:00	6.97159	6.97389	6.97139	6.97310	6.97071	6.97241	6.97061	6.97221
2016/12/28 18:30:00	6.97009	6.97319	6.96889	6.97159	6.96882	6.97091	6.96731	6.97071
2016/12/28 18:15:00	6.97149	6.97239	6.96889	6.97009	6.96823	6.97014	6.96671	6.96882
2016/12/28 18:00:00	6.97749	6.97780	6.96869	6.97149	6.97200	6.97357	6.96771	6.96823
2016/12/28 17:45:00	6.97605	6.97812	6.97469	6.97749	6.97180	6.97202	6.97110	6.97200
