日時	"USD/CZK(始値, 買い)"	"USD/CZK(高値, 買い)"	"USD/CZK(安値, 買い)"	"USD/CZK(終値, 買い)"	"USD/CZK(始値, 売り)*"	"USD/CZK(高値, 売り)*"	"USD/CZK(安値, 売り)*"	"USD/CZK(終値, 売り)*"
2017/01/09 06:15:00	25.6830	25.7020	25.6830	25.6916	25.6781	25.6978	25.6781	25.6870
2017/01/09 06:00:00	25.6910	25.6980	25.6767	25.6830	25.6870	25.6936	25.6720	25.6781
2017/01/09 05:45:00	25.6960	25.7094	25.6876	25.6910	25.6920	25.7050	25.6830	25.6870
2017/01/09 05:30:00	25.7045	25.7050	25.6921	25.6960	25.6994	25.7003	25.6880	25.6920
2017/01/09 05:15:00	25.6894	25.7070	25.6807	25.7045	25.6842	25.7028	25.6760	25.6994
2017/01/09 05:00:00	25.6780	25.7000	25.6740	25.6894	25.6710	25.6960	25.6710	25.6842
2017/01/09 04:45:00	25.6565	25.6790	25.6565	25.6780	25.6520	25.6750	25.6513	25.6710
2017/01/09 04:30:00	25.6450	25.6588	25.6247	25.6565	25.6400	25.6540	25.6195	25.6520
2017/01/09 04:15:00	25.6372	25.6580	25.6321	25.6450	25.6320	25.6535	25.6270	25.6400
2017/01/09 04:00:00	25.6193	25.6440	25.6090	25.6372	25.6130	25.6392	25.6040	25.6320
2017/01/09 03:45:00	25.6250	25.6280	25.6073	25.6193	25.6201	25.6230	25.6021	25.6130
2017/01/09 03:30:00	25.6074	25.6250	25.5995	25.6250	25.6022	25.6204	25.5944	25.6201
2017/01/09 03:15:00	25.6370	25.6389	25.6026	25.6074	25.6324	25.6341	25.5980	25.6022
2017/01/09 03:00:00	25.6450	25.6520	25.6286	25.6370	25.6380	25.6470	25.6235	25.6324
2017/01/09 02:45:00	25.6620	25.6620	25.6438	25.6450	25.6569	25.6570	25.6380	25.6380
2017/01/09 02:30:00	25.6400	25.6646	25.6340	25.6620	25.6349	25.6594	25.6301	25.6569
2017/01/09 02:15:00	25.6530	25.6560	25.6391	25.6400	25.6484	25.6516	25.6340	25.6349
2017/01/09 02:00:00	25.6560	25.6629	25.6362	25.6530	25.6500	25.6577	25.6311	25.6484
2017/01/09 01:45:00	25.6700	25.6700	25.6470	25.6560	25.6648	25.6654	25.6421	25.6500
2017/01/09 01:30:00	25.6730	25.6800	25.6690	25.6700	25.6680	25.6752	25.6648	25.6648
2017/01/09 01:15:00	25.6880	25.6890	25.6710	25.6730	25.6825	25.6835	25.6663	25.6680
2017/01/09 01:00:00	25.6770	25.6880	25.6740	25.6880	25.6722	25.6825	25.6690	25.6825
2017/01/09 00:45:00	25.6758	25.6959	25.6738	25.6770	25.6700	25.6892	25.6680	25.6722
2017/01/09 00:30:00	25.6690	25.6780	25.6650	25.6758	25.6630	25.6723	25.6600	25.6700
2017/01/09 00:15:00	25.6590	25.6720	25.6590	25.6690	25.6540	25.6680	25.6540	25.6630
2017/01/09 00:00:00	25.6720	25.6760	25.6580	25.6590	25.6670	25.6705	25.6530	25.6540
2017/01/08 23:45:00	25.6700	25.6720	25.6680	25.6720	25.6650	25.6670	25.6623	25.6670
2017/01/08 23:30:00	25.6740	25.6770	25.6680	25.6700	25.6690	25.6710	25.6630	25.6650
2017/01/08 23:15:00	25.6720	25.6780	25.6700	25.6740	25.6670	25.6728	25.6640	25.6690
2017/01/08 23:00:00	25.6640	25.6720	25.6630	25.6720	25.6590	25.6670	25.6580	25.6670
2017/01/08 22:45:00	25.6660	25.6680	25.6600	25.6640	25.6620	25.6630	25.6550	25.6590
2017/01/08 22:30:00	25.6600	25.6710	25.6600	25.6660	25.6540	25.6670	25.6540	25.6620
2017/01/08 22:15:00	25.6530	25.6600	25.6520	25.6600	25.6480	25.6560	25.6464	25.6540
2017/01/08 22:00:00	25.6570	25.6570	25.6510	25.6530	25.6510	25.6520	25.6460	25.6480
2017/01/08 21:45:00	25.6500	25.6570	25.6480	25.6570	25.6450	25.6510	25.6420	25.6510
2017/01/08 21:30:00	25.6400	25.6520	25.6400	25.6500	25.6350	25.6470	25.6350	25.6450
2017/01/08 21:15:00	25.6420	25.6460	25.6400	25.6400	25.6370	25.6410	25.6350	25.6350
2017/01/08 21:00:00	25.6330	25.6440	25.6320	25.6420	25.6280	25.6385	25.6276	25.6370
2017/01/08 20:45:00	25.6460	25.6460	25.6280	25.6330	25.6413	25.6413	25.6221	25.6280
2017/01/08 20:30:00	25.6490	25.6490	25.6380	25.6460	25.6443	25.6443	25.6330	25.6413
2017/01/08 20:15:00	25.6370	25.6500	25.6370	25.6490	25.6330	25.6450	25.6330	25.6443
2017/01/08 20:00:00	25.6520	25.6531	25.6300	25.6370	25.6454	25.6464	25.6250	25.6330
2017/01/08 19:45:00	25.6684	25.6716	25.6506	25.6520	25.6620	25.6649	25.6440	25.6454
2017/01/08 19:30:00	25.6750	25.6820	25.6684	25.6684	25.6670	25.6760	25.6620	25.6620
2017/01/08 19:15:00	25.6610	25.6830	25.6600	25.6750	25.6540	25.6754	25.6540	25.6670
2017/01/08 19:00:00	25.6640	25.6640	25.6570	25.6610	25.6590	25.6590	25.6500	25.6540
2017/01/08 18:45:00	25.6620	25.6710	25.6580	25.6640	25.6560	25.6640	25.6520	25.6590
2017/01/08 18:30:00	25.6670	25.6730	25.6620	25.6620	25.6610	25.6670	25.6550	25.6560
2017/01/08 18:15:00	25.6510	25.6730	25.6500	25.6670	25.6440	25.6670	25.6420	25.6610
2017/01/08 18:00:00	25.6580	25.6650	25.6500	25.6510	25.6460	25.6580	25.6420	25.6440
2017/01/08 17:45:00	25.6620	25.6630	25.6560	25.6580	25.6530	25.6530	25.6430	25.6460
2017/01/08 17:30:00	25.6640	25.6680	25.6570	25.6620	25.6550	25.6560	25.6370	25.6530
2017/01/08 17:15:00	25.6630	25.6670	25.6620	25.6640	25.6540	25.6580	25.6470	25.6550
2017/01/08 17:00:00	25.6670	25.6690	25.6610	25.6630	25.6530	25.6540	25.6470	25.6540
2017/01/06 16:45:00	25.6590	25.6695	25.6590	25.6610	25.6550	25.6560	25.6390	25.6390
2017/01/06 16:30:00	25.6547	25.6630	25.6547	25.6590	25.6500	25.6570	25.6500	25.6550
2017/01/06 16:15:00	25.6590	25.6630	25.6540	25.6547	25.6540	25.6580	25.6490	25.6500
2017/01/06 16:00:00	25.6530	25.6590	25.6500	25.6590	25.6470	25.6540	25.6443	25.6540
2017/01/06 15:45:00	25.6590	25.6640	25.6500	25.6530	25.6540	25.6600	25.6440	25.6470
2017/01/06 15:30:00	25.6560	25.6610	25.6550	25.6590	25.6510	25.6570	25.6500	25.6540
2017/01/06 15:15:00	25.6600	25.6640	25.6520	25.6560	25.6548	25.6580	25.6470	25.6510
2017/01/06 15:00:00	25.6610	25.6680	25.6580	25.6600	25.6550	25.6630	25.6530	25.6548
2017/01/06 14:45:00	25.6650	25.6680	25.6520	25.6610	25.6600	25.6632	25.6480	25.6550
2017/01/06 14:30:00	25.6640	25.6750	25.6610	25.6650	25.6600	25.6710	25.6570	25.6600
2017/01/06 14:15:00	25.6640	25.6690	25.6610	25.6640	25.6600	25.6640	25.6570	25.6600
2017/01/06 14:00:00	25.6720	25.6730	25.6620	25.6640	25.6673	25.6683	25.6570	25.6600
2017/01/06 13:45:00	25.6450	25.6740	25.6430	25.6720	25.6400	25.6690	25.6380	25.6673
2017/01/06 13:30:00	25.6350	25.6510	25.6350	25.6450	25.6300	25.6450	25.6300	25.6400
2017/01/06 13:15:00	25.6240	25.6400	25.6160	25.6350	25.6190	25.6340	25.6110	25.6300
2017/01/06 13:00:00	25.6150	25.6270	25.6110	25.6240	25.6090	25.6230	25.6050	25.6190
2017/01/06 12:45:00	25.6300	25.6300	25.6120	25.6150	25.6240	25.6250	25.6070	25.6090
2017/01/06 12:30:00	25.6340	25.6430	25.6290	25.6300	25.6290	25.6380	25.6240	25.6240
2017/01/06 12:15:00	25.6130	25.6490	25.6130	25.6340	25.6090	25.6432	25.6080	25.6290
2017/01/06 12:00:00	25.5939	25.6180	25.5870	25.6130	25.5888	25.6126	25.5810	25.6090
2017/01/06 11:45:00	25.5930	25.6110	25.5906	25.5939	25.5879	25.6072	25.5855	25.5888
2017/01/06 11:30:00	25.5820	25.6010	25.5792	25.5930	25.5780	25.5977	25.5741	25.5879
