日時	"USD/HKD(始値, 買い)"	"USD/HKD(高値, 買い)"	"USD/HKD(安値, 買い)"	"USD/HKD(終値, 買い)"	"USD/HKD(始値, 売り)*"	"USD/HKD(高値, 売り)*"	"USD/HKD(安値, 売り)*"	"USD/HKD(終値, 売り)*"
2017/01/09 06:00:00	7.75580	7.75587	7.75574	7.75579	7.75564	7.75571	7.75559	7.75565
2017/01/09 05:45:00	7.75563	7.75584	7.75560	7.75580	7.75553	7.75569	7.75553	7.75564
2017/01/09 05:30:00	7.75589	7.75596	7.75560	7.75563	7.75579	7.75583	7.75547	7.75553
2017/01/09 05:15:00	7.75582	7.75590	7.75582	7.75589	7.75574	7.75580	7.75574	7.75579
2017/01/09 05:00:00	7.75578	7.75598	7.75569	7.75582	7.75570	7.75585	7.75559	7.75574
2017/01/09 04:45:00	7.75574	7.75580	7.75570	7.75578	7.75564	7.75571	7.75559	7.75570
2017/01/09 04:30:00	7.75557	7.75574	7.75556	7.75574	7.75543	7.75564	7.75543	7.75564
2017/01/09 04:15:00	7.75564	7.75566	7.75539	7.75557	7.75550	7.75550	7.75531	7.75543
2017/01/09 04:00:00	7.75568	7.75568	7.75564	7.75564	7.75558	7.75560	7.75548	7.75550
2017/01/09 03:45:00	7.75551	7.75568	7.75551	7.75568	7.75543	7.75559	7.75543	7.75558
2017/01/09 03:30:00	7.75542	7.75558	7.75532	7.75551	7.75536	7.75545	7.75523	7.75543
2017/01/09 03:15:00	7.75539	7.75551	7.75535	7.75542	7.75534	7.75540	7.75522	7.75536
2017/01/09 03:00:00	7.75538	7.75556	7.75538	7.75539	7.75532	7.75545	7.75532	7.75534
2017/01/09 02:45:00	7.75566	7.75567	7.75538	7.75538	7.75555	7.75558	7.75529	7.75532
2017/01/09 02:30:00	7.75567	7.75568	7.75559	7.75566	7.75553	7.75561	7.75550	7.75555
2017/01/09 02:15:00	7.75566	7.75573	7.75559	7.75567	7.75553	7.75561	7.75551	7.75553
2017/01/09 02:00:00	7.75567	7.75570	7.75560	7.75566	7.75557	7.75558	7.75545	7.75553
2017/01/09 01:45:00	7.75578	7.75578	7.75567	7.75567	7.75570	7.75570	7.75556	7.75557
2017/01/09 01:30:00	7.75566	7.75578	7.75561	7.75578	7.75566	7.75570	7.75556	7.75570
2017/01/09 01:15:00	7.75575	7.75578	7.75564	7.75566	7.75568	7.75570	7.75555	7.75566
2017/01/09 01:00:00	7.75558	7.75578	7.75558	7.75575	7.75550	7.75568	7.75545	7.75568
2017/01/09 00:45:00	7.75548	7.75558	7.75539	7.75558	7.75535	7.75550	7.75528	7.75550
2017/01/09 00:30:00	7.75557	7.75561	7.75543	7.75548	7.75549	7.75558	7.75531	7.75535
2017/01/09 00:15:00	7.75560	7.75561	7.75557	7.75557	7.75552	7.75552	7.75548	7.75549
2017/01/08 23:45:00	7.75560	7.75568	7.75554	7.75560	7.75552	7.75558	7.75549	7.75552
2017/01/08 23:30:00	7.75529	7.75560	7.75529	7.75560	7.75521	7.75553	7.75521	7.75552
2017/01/08 23:15:00	7.75499	7.75529	7.75497	7.75529	7.75490	7.75521	7.75489	7.75521
