日時	"USD/JPY(始値, 買い)"	"USD/JPY(高値, 買い)"	"USD/JPY(安値, 買い)"	"USD/JPY(終値, 買い)"	"USD/JPY(始値, 売り)*"	"USD/JPY(高値, 売り)*"	"USD/JPY(安値, 売り)*"	"USD/JPY(終値, 売り)*"
2017/01/09 04:15:00	117.120	117.167	117.039	117.063	117.116	117.163	117.035	117.059
2017/01/09 04:00:00	117.143	117.179	117.062	117.120	117.142	117.175	117.059	117.116
2017/01/09 03:45:00	117.246	117.270	117.108	117.143	117.240	117.266	117.105	117.142
2017/01/09 03:30:00	117.190	117.278	117.150	117.246	117.186	117.272	117.146	117.240
2017/01/09 03:15:00	117.257	117.334	117.175	117.190	117.254	117.330	117.173	117.186
2017/01/09 03:00:00	117.399	117.399	117.218	117.257	117.393	117.393	117.212	117.254
2017/01/09 02:45:00	117.440	117.452	117.373	117.399	117.437	117.447	117.370	117.393
2017/01/09 02:30:00	117.372	117.444	117.338	117.440	117.367	117.440	117.335	117.437
2017/01/09 02:15:00	117.306	117.381	117.295	117.372	117.303	117.377	117.292	117.367
2017/01/09 02:00:00	117.388	117.402	117.269	117.306	117.382	117.398	117.267	117.303
2017/01/09 01:45:00	117.460	117.469	117.337	117.388	117.456	117.465	117.333	117.382
2017/01/09 01:30:00	117.464	117.493	117.437	117.460	117.459	117.489	117.432	117.456
2017/01/09 01:15:00	117.488	117.492	117.410	117.464	117.485	117.489	117.406	117.459
2017/01/09 01:00:00	117.465	117.515	117.463	117.488	117.461	117.509	117.458	117.485
2017/01/09 00:45:00	117.469	117.532	117.464	117.465	117.467	117.531	117.461	117.461
2017/01/09 00:30:00	117.456	117.484	117.422	117.469	117.452	117.480	117.417	117.467
2017/01/09 00:15:00	117.422	117.508	117.422	117.456	117.418	117.506	117.418	117.452
2017/01/09 00:00:00	117.497	117.527	117.406	117.422	117.494	117.523	117.404	117.418
2017/01/08 23:45:00	117.468	117.501	117.435	117.497	117.464	117.499	117.432	117.494
2017/01/08 23:30:00	117.441	117.484	117.438	117.468	117.437	117.482	117.434	117.464
2017/01/08 23:15:00	117.442	117.488	117.427	117.441	117.438	117.485	117.425	117.437
2017/01/08 23:00:00	117.388	117.442	117.363	117.442	117.384	117.439	117.360	117.438
2017/01/08 22:45:00	117.406	117.408	117.358	117.388	117.401	117.402	117.353	117.384
2017/01/08 22:30:00	117.314	117.441	117.314	117.406	117.311	117.439	117.311	117.401
2017/01/08 22:15:00	117.298	117.351	117.281	117.314	117.294	117.347	117.277	117.311
2017/01/08 22:00:00	117.314	117.327	117.285	117.298	117.309	117.323	117.282	117.294
2017/01/08 21:45:00	117.268	117.323	117.239	117.314	117.265	117.319	117.236	117.309
2017/01/08 21:30:00	117.248	117.291	117.234	117.268	117.244	117.286	117.232	117.265
2017/01/08 21:15:00	117.237	117.267	117.205	117.248	117.232	117.262	117.198	117.244
2017/01/08 21:00:00	117.224	117.242	117.190	117.237	117.220	117.240	117.188	117.232
2017/01/08 20:45:00	117.276	117.276	117.187	117.224	117.272	117.272	117.182	117.220
2017/01/08 20:30:00	117.296	117.298	117.199	117.276	117.292	117.295	117.195	117.272
2017/01/08 20:15:00	117.193	117.319	117.188	117.296	117.188	117.314	117.184	117.292
2017/01/08 20:00:00	117.187	117.247	117.148	117.193	117.181	117.244	117.146	117.188
2017/01/08 19:45:00	117.285	117.301	117.159	117.187	117.281	117.298	117.155	117.181
2017/01/08 19:30:00	117.317	117.348	117.272	117.285	117.314	117.344	117.268	117.281
2017/01/08 19:15:00	117.136	117.324	117.125	117.317	117.130	117.319	117.121	117.314
2017/01/08 19:00:00	117.153	117.169	117.117	117.136	117.149	117.164	117.112	117.130
2017/01/08 18:45:00	117.146	117.188	117.098	117.153	117.141	117.183	117.093	117.149
2017/01/08 18:30:00	117.206	117.226	117.143	117.146	117.199	117.219	117.136	117.141
2017/01/08 18:15:00	117.143	117.238	117.128	117.206	117.135	117.234	117.122	117.199
2017/01/08 18:00:00	117.180	117.188	117.115	117.143	117.172	117.184	117.105	117.135
2017/01/08 17:45:00	117.126	117.196	117.104	117.180	117.100	117.180	117.083	117.172
2017/01/08 17:30:00	117.115	117.153	117.101	117.126	117.089	117.143	117.074	117.100
2017/01/08 17:15:00	117.083	117.126	117.081	117.115	117.069	117.107	117.068	117.089
2017/01/08 17:00:00	117.028	117.084	117.012	117.083	117.012	117.073	117.001	117.069
2017/01/06 16:45:00	117.020	117.046	116.938	116.947	117.011	117.037	116.899	116.899
2017/01/06 16:30:00	117.000	117.035	116.988	117.020	116.994	117.030	116.986	117.011
2017/01/06 16:15:00	116.999	117.048	116.994	117.000	116.995	117.042	116.988	116.994
2017/01/06 16:00:00	117.020	117.020	116.979	116.999	117.017	117.017	116.973	116.995
2017/01/06 15:45:00	117.041	117.052	116.953	117.020	117.036	117.049	116.950	117.017
2017/01/06 15:30:00	116.960	117.045	116.960	117.041	116.957	117.044	116.957	117.036
