日時	"USD/MXN(始値, 買い)"	"USD/MXN(高値, 買い)"	"USD/MXN(安値, 買い)"	"USD/MXN(終値, 買い)"	"USD/MXN(始値, 売り)*"	"USD/MXN(高値, 売り)*"	"USD/MXN(安値, 売り)*"	"USD/MXN(終値, 売り)*"
2016/12/29 12:15:00	20.68913	20.68990	20.66290	20.66618	20.68681	20.68800	20.66080	20.66430
2016/12/29 12:00:00	20.68290	20.69020	20.67726	20.68913	20.68031	20.68817	20.67540	20.68681
2016/12/29 11:45:00	20.66900	20.68630	20.66620	20.68290	20.66650	20.68430	20.66381	20.68031
2016/12/29 11:30:00	20.66840	20.67240	20.66299	20.66900	20.66530	20.67104	20.66146	20.66650
2016/12/29 11:15:00	20.66690	20.67500	20.65980	20.66840	20.66400	20.67250	20.65790	20.66530
2016/12/29 11:00:00	20.65530	20.67440	20.64260	20.66690	20.65330	20.67150	20.63950	20.66400
2016/12/29 10:45:00	20.67510	20.67770	20.64790	20.65530	20.67310	20.67570	20.64540	20.65330
2016/12/29 10:30:00	20.65900	20.67860	20.65000	20.67510	20.65641	20.67570	20.64771	20.67310
2016/12/29 10:15:00	20.66470	20.67489	20.65460	20.65900	20.66340	20.67280	20.65264	20.65641
2016/12/29 10:00:00	20.65937	20.67780	20.65937	20.66470	20.65740	20.67550	20.65740	20.66340
2016/12/29 09:45:00	20.66932	20.68010	20.65523	20.65937	20.66567	20.67798	20.65210	20.65740
2016/12/29 09:30:00	20.67210	20.67750	20.66737	20.66932	20.67080	20.67560	20.66523	20.66567
2016/12/29 09:15:00	20.65530	20.67860	20.65500	20.67210	20.65335	20.67640	20.65230	20.67080
2016/12/29 09:00:00	20.64770	20.66250	20.64710	20.65530	20.64650	20.66093	20.64641	20.65335
2016/12/29 08:45:00	20.68330	20.68730	20.64560	20.64770	20.68160	20.68595	20.64423	20.64650
2016/12/29 08:30:00	20.69127	20.69140	20.68260	20.68330	20.68840	20.68840	20.68020	20.68160
2016/12/29 08:15:00	20.69392	20.71060	20.67970	20.69127	20.69080	20.70751	20.67760	20.68840
2016/12/29 08:00:00	20.68427	20.69570	20.67840	20.69392	20.68102	20.69302	20.67640	20.69080
2016/12/29 07:45:00	20.68240	20.69140	20.68100	20.68427	20.67950	20.68880	20.67730	20.68102
2016/12/29 07:30:00	20.68400	20.69620	20.67780	20.68240	20.68121	20.69270	20.67590	20.67950
2016/12/29 07:15:00	20.70100	20.70102	20.67830	20.68400	20.69730	20.69770	20.67572	20.68121
2016/12/29 07:00:00	20.69671	20.70676	20.69600	20.70100	20.69470	20.70460	20.69337	20.69730
2016/12/29 06:45:00	20.70910	20.71100	20.69620	20.69671	20.70717	20.70750	20.69394	20.69470
2016/12/29 06:30:00	20.70841	20.71282	20.70589	20.70910	20.70680	20.71107	20.70160	20.70717
2016/12/29 06:15:00	20.71090	20.71469	20.70019	20.70841	20.70836	20.71147	20.69640	20.70680
2016/12/29 06:00:00	20.72080	20.72390	20.70480	20.71090	20.71690	20.72171	20.70051	20.70836
2016/12/29 05:45:00	20.72520	20.72543	20.71690	20.72080	20.72151	20.72271	20.71330	20.71690
2016/12/29 05:30:00	20.70270	20.72530	20.69880	20.72520	20.69831	20.72251	20.69750	20.72151
2016/12/29 05:15:00	20.69380	20.70290	20.68990	20.70270	20.68890	20.69911	20.68510	20.69831
2016/12/29 05:00:00	20.68400	20.69700	20.68110	20.69380	20.67983	20.69270	20.67925	20.68890
2016/12/29 04:45:00	20.68329	20.68496	20.67940	20.68400	20.67983	20.68146	20.67700	20.67983
2016/12/29 04:30:00	20.69080	20.69370	20.68097	20.68329	20.68584	20.68835	20.67978	20.67983
2016/12/29 04:15:00	20.69252	20.69490	20.68407	20.69080	20.68940	20.69210	20.68060	20.68584
