日時	"USD/NOK(始値, 買い)"	"USD/NOK(高値, 買い)"	"USD/NOK(安値, 買い)"	"USD/NOK(終値, 買い)"	"USD/NOK(始値, 売り)*"	"USD/NOK(高値, 売り)*"	"USD/NOK(安値, 売り)*"	"USD/NOK(終値, 売り)*"
2017/01/09 06:00:00	8.56360	8.56390	8.56280	8.56386	8.56218	8.56256	8.56146	8.56243
2017/01/09 05:45:00	8.56820	8.56980	8.56268	8.56360	8.56689	8.56821	8.56140	8.56218
2017/01/09 05:30:00	8.56827	8.57378	8.56680	8.56820	8.56683	8.57239	8.56559	8.56689
2017/01/09 05:15:00	8.56670	8.57161	8.56457	8.56827	8.56550	8.57012	8.56336	8.56683
2017/01/09 05:00:00	8.56090	8.57020	8.55700	8.56670	8.55850	8.56912	8.55630	8.56550
2017/01/09 04:45:00	8.55260	8.56150	8.55260	8.56090	8.55170	8.56020	8.55170	8.55850
2017/01/09 04:30:00	8.55110	8.55550	8.54520	8.55260	8.54942	8.55443	8.54410	8.55170
2017/01/09 04:15:00	8.55217	8.55456	8.54405	8.55110	8.55105	8.55340	8.54290	8.54942
2017/01/09 04:00:00	8.54679	8.55346	8.54350	8.55217	8.54550	8.55241	8.54195	8.55105
2017/01/09 03:45:00	8.54627	8.54793	8.53905	8.54679	8.54482	8.54680	8.53760	8.54550
2017/01/09 03:30:00	8.54179	8.54670	8.54010	8.54627	8.54105	8.54510	8.53873	8.54482
2017/01/09 03:15:00	8.54250	8.54790	8.53952	8.54179	8.54149	8.54706	8.53810	8.54105
2017/01/09 03:00:00	8.54846	8.55025	8.53868	8.54250	8.54692	8.54870	8.53710	8.54149
2017/01/09 02:45:00	8.55500	8.55515	8.54810	8.54846	8.55386	8.55386	8.54650	8.54692
2017/01/09 02:30:00	8.53436	8.55520	8.53436	8.55500	8.53300	8.55386	8.53300	8.55386
2017/01/09 02:15:00	8.53989	8.54600	8.53436	8.53436	8.53821	8.54460	8.53290	8.53300
2017/01/09 02:00:00	8.54139	8.54449	8.53505	8.53989	8.53864	8.54300	8.53350	8.53821
2017/01/09 01:45:00	8.54745	8.54770	8.53946	8.54139	8.54577	8.54597	8.53778	8.53864
2017/01/09 01:30:00	8.54780	8.55020	8.54533	8.54745	8.54534	8.54854	8.54364	8.54577
2017/01/09 01:15:00	8.55216	8.55289	8.54709	8.54780	8.55000	8.55041	8.54499	8.54534
2017/01/09 01:00:00	8.54776	8.55252	8.54756	8.55216	8.54544	8.55010	8.54527	8.55000
2017/01/09 00:45:00	8.54519	8.55084	8.54281	8.54776	8.54310	8.54832	8.54060	8.54544
2017/01/09 00:30:00	8.54364	8.54666	8.54227	8.54519	8.54089	8.54440	8.54020	8.54310
2017/01/09 00:15:00	8.53815	8.54430	8.53815	8.54364	8.53565	8.54340	8.53565	8.54089
2017/01/09 00:00:00	8.54220	8.54374	8.53765	8.53815	8.54001	8.54122	8.53525	8.53565
2017/01/08 23:45:00	8.54013	8.54248	8.54013	8.54220	8.53810	8.54019	8.53810	8.54001
2017/01/08 23:30:00	8.53953	8.54045	8.53896	8.54013	8.53706	8.53815	8.53646	8.53810
2017/01/08 23:15:00	8.53827	8.54058	8.53799	8.53953	8.53606	8.53824	8.53546	8.53706
2017/01/08 23:00:00	8.53701	8.53872	8.53618	8.53827	8.53459	8.53621	8.53386	8.53606
2017/01/08 22:45:00	8.53739	8.53825	8.53572	8.53701	8.53489	8.53606	8.53320	8.53459
2017/01/08 22:30:00	8.53341	8.53832	8.53341	8.53739	8.53105	8.53553	8.53105	8.53489
2017/01/08 22:15:00	8.53184	8.53372	8.53134	8.53341	8.52960	8.53158	8.52893	8.53105
2017/01/08 22:00:00	8.53120	8.53320	8.53000	8.53184	8.52960	8.53099	8.52859	8.52960
2017/01/08 21:45:00	8.53190	8.53210	8.53010	8.53120	8.53010	8.53010	8.52875	8.52960
2017/01/08 21:30:00	8.52939	8.53290	8.52939	8.53190	8.52760	8.53140	8.52740	8.53010
2017/01/08 21:15:00	8.53053	8.53196	8.52939	8.52939	8.52860	8.53020	8.52740	8.52760
2017/01/08 21:00:00	8.52763	8.53110	8.52660	8.53053	8.52540	8.52913	8.52430	8.52860
2017/01/08 20:45:00	8.53212	8.53212	8.52560	8.52763	8.52984	8.52985	8.52339	8.52540
2017/01/08 20:30:00	8.53265	8.53309	8.52909	8.53212	8.53030	8.53060	8.52671	8.52984
2017/01/08 20:15:00	8.52897	8.53300	8.52885	8.53265	8.52622	8.53070	8.52610	8.53030
2017/01/08 20:00:00	8.53411	8.53460	8.52618	8.52897	8.53175	8.53220	8.52370	8.52622
2017/01/08 19:45:00	8.53950	8.54048	8.53353	8.53411	8.53699	8.53796	8.53101	8.53175
2017/01/08 19:30:00	8.54255	8.54435	8.53950	8.53950	8.53884	8.54182	8.53698	8.53699
2017/01/08 19:15:00	8.53713	8.54511	8.53707	8.54255	8.53438	8.54189	8.53415	8.53884
2017/01/08 19:00:00	8.53904	8.54093	8.53613	8.53713	8.53553	8.53616	8.53285	8.53438
2017/01/08 18:45:00	8.53799	8.54067	8.53655	8.53904	8.53524	8.53797	8.53378	8.53553
2017/01/08 18:30:00	8.54055	8.54251	8.53791	8.53799	8.53751	8.53901	8.53416	8.53524
2017/01/08 18:15:00	8.53564	8.54289	8.53500	8.54055	8.53094	8.53930	8.53084	8.53751
2017/01/08 18:00:00	8.54390	8.54480	8.53457	8.53564	8.53360	8.53800	8.53005	8.53094
2017/01/08 17:45:00	8.54460	8.54460	8.54180	8.54390	8.53740	8.53740	8.53310	8.53360
2017/01/08 17:30:00	8.54480	8.54810	8.54200	8.54460	8.53770	8.53870	8.53450	8.53740
2017/01/08 17:15:00	8.55326	8.55326	8.54460	8.54480	8.53360	8.53890	8.53294	8.53770
2017/01/08 17:00:00	8.55306	8.55450	8.54530	8.55326	8.53350	8.53920	8.53119	8.53360
2017/01/06 16:45:00	8.54230	8.55141	8.54230	8.55141	8.53940	8.53980	8.52482	8.52751
2017/01/06 16:30:00	8.54120	8.54360	8.54120	8.54230	8.53930	8.54120	8.53930	8.53940
2017/01/06 16:15:00	8.54310	8.54440	8.54090	8.54120	8.54110	8.54230	8.53900	8.53930
2017/01/06 16:00:00	8.54008	8.54310	8.53897	8.54310	8.53810	8.54110	8.53581	8.54110
2017/01/06 15:45:00	8.54120	8.54279	8.53777	8.54008	8.53878	8.54018	8.53493	8.53810
2017/01/06 15:30:00	8.53920	8.54250	8.53920	8.54120	8.53790	8.54040	8.53750	8.53878
2017/01/06 15:15:00	8.53970	8.54140	8.53780	8.53920	8.53850	8.54010	8.53670	8.53790
