日時	"USD/SEK(始値, 買い)"	"USD/SEK(高値, 買い)"	"USD/SEK(安値, 買い)"	"USD/SEK(終値, 買い)"	"USD/SEK(始値, 売り)*"	"USD/SEK(高値, 売り)*"	"USD/SEK(安値, 売り)*"	"USD/SEK(終値, 売り)*"
2017/01/09 05:45:00	9.08617	9.08728	9.08034	9.08197	9.08500	9.08614	9.07930	9.08080
2017/01/09 05:30:00	9.08596	9.08766	9.08300	9.08617	9.08500	9.08660	9.08204	9.08500
2017/01/09 05:15:00	9.08612	9.08879	9.08191	9.08596	9.08510	9.08790	9.08080	9.08500
2017/01/09 05:00:00	9.08683	9.09370	9.08319	9.08612	9.08539	9.09248	9.08270	9.08510
2017/01/09 04:45:00	9.07732	9.08707	9.07732	9.08683	9.07610	9.08563	9.07610	9.08539
2017/01/09 04:30:00	9.07850	9.08050	9.07041	9.07732	9.07760	9.07978	9.06972	9.07610
2017/01/09 04:15:00	9.07682	9.08190	9.07490	9.07850	9.07558	9.08111	9.07366	9.07760
2017/01/09 04:00:00	9.06836	9.07870	9.06510	9.07682	9.06718	9.07776	9.06420	9.07558
2017/01/09 03:45:00	9.07050	9.07140	9.06380	9.06836	9.06927	9.07034	9.06281	9.06718
2017/01/09 03:30:00	9.06600	9.07310	9.06340	9.07050	9.06484	9.07217	9.06246	9.06927
2017/01/09 03:15:00	9.06902	9.07532	9.06490	9.06600	9.06847	9.07468	9.06373	9.06484
2017/01/09 03:00:00	9.06629	9.07230	9.06199	9.06902	9.06466	9.07151	9.05982	9.06847
2017/01/09 02:45:00	9.07183	9.07433	9.06629	9.06629	9.07104	9.07385	9.06433	9.06466
2017/01/09 02:30:00	9.06808	9.07417	9.06700	9.07183	9.06690	9.07293	9.06582	9.07104
2017/01/09 02:15:00	9.07496	9.07690	9.06681	9.06808	9.07372	9.07587	9.06560	9.06690
2017/01/09 02:00:00	9.07196	9.07560	9.06756	9.07496	9.06930	9.07437	9.06632	9.07372
2017/01/09 01:45:00	9.07363	9.07400	9.06602	9.07196	9.07239	9.07274	9.06478	9.06930
2017/01/09 01:30:00	9.07160	9.07720	9.06596	9.07363	9.06913	9.07596	9.06472	9.07239
2017/01/09 01:15:00	9.07593	9.07638	9.07071	9.07160	9.07340	9.07391	9.06858	9.06913
2017/01/09 01:00:00	9.07135	9.07682	9.07105	9.07593	9.06900	9.07442	9.06868	9.07340
2017/01/09 00:45:00	9.06993	9.07655	9.06912	9.07135	9.06783	9.07425	9.06680	9.06900
2017/01/09 00:30:00	9.06584	9.07105	9.06508	9.06993	9.06250	9.06860	9.06250	9.06783
2017/01/09 00:15:00	9.06256	9.06698	9.06256	9.06584	9.06003	9.06444	9.06003	9.06250
2017/01/09 00:00:00	9.06742	9.06851	9.06204	9.06256	9.06518	9.06598	9.05950	9.06003
2017/01/08 23:45:00	9.06943	9.07006	9.06733	9.06742	9.06715	9.06753	9.06494	9.06518
2017/01/08 23:30:00	9.07052	9.07158	9.06901	9.06943	9.06813	9.06940	9.06667	9.06715
2017/01/08 23:15:00	9.06947	9.07175	9.06890	9.07052	9.06750	9.06960	9.06670	9.06813
2017/01/08 23:00:00	9.06646	9.06991	9.06608	9.06947	9.06430	9.06760	9.06400	9.06750
2017/01/08 22:45:00	9.06713	9.06767	9.06503	9.06646	9.06470	9.06540	9.06271	9.06430
2017/01/08 22:30:00	9.06392	9.06856	9.06392	9.06713	9.06180	9.06630	9.06180	9.06470
2017/01/08 22:15:00	9.06292	9.06578	9.06205	9.06392	9.06070	9.06390	9.05970	9.06180
2017/01/08 22:00:00	9.06447	9.06447	9.06119	9.06292	9.06215	9.06234	9.05890	9.06070
2017/01/08 21:45:00	9.06095	9.06447	9.05976	9.06447	9.05863	9.06221	9.05762	9.06215
2017/01/08 21:30:00	9.05700	9.06274	9.05684	9.06095	9.05480	9.06041	9.05480	9.05863
2017/01/08 21:15:00	9.05793	9.05944	9.05688	9.05700	9.05565	9.05702	9.05460	9.05480
2017/01/08 21:00:00	9.05588	9.05911	9.05538	9.05793	9.05350	9.05686	9.05296	9.05565
2017/01/08 20:45:00	9.06056	9.06060	9.05379	9.05588	9.05806	9.05811	9.05130	9.05350
2017/01/08 20:30:00	9.05943	9.06056	9.05632	9.06056	9.05770	9.05806	9.05383	9.05806
2017/01/08 20:15:00	9.05693	9.06049	9.05661	9.05943	9.05439	9.05826	9.05407	9.05770
2017/01/08 20:00:00	9.06281	9.06306	9.05509	9.05693	9.06048	9.06091	9.05275	9.05439
2017/01/08 19:45:00	9.06804	9.06877	9.06207	9.06281	9.06580	9.06644	9.05992	9.06048
2017/01/08 19:30:00	9.06900	9.07342	9.06804	9.06804	9.06646	9.07097	9.06561	9.06580
2017/01/08 19:15:00	9.06346	9.07125	9.06346	9.06900	9.06092	9.06813	9.06092	9.06646
2017/01/08 19:00:00	9.06468	9.06565	9.06250	9.06346	9.06214	9.06311	9.05996	9.06092
