日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/29 12:15:00	3.51905	3.52231	3.51903	3.52150	3.51855	3.52086	3.51848	3.52000
2016/12/29 12:00:00	3.51973	3.52003	3.51789	3.51905	3.51903	3.51925	3.51693	3.51855
2016/12/29 11:45:00	3.52199	3.52226	3.51944	3.51973	3.52051	3.52070	3.51849	3.51903
2016/12/29 11:30:00	3.51917	3.52278	3.51853	3.52199	3.51860	3.52164	3.51800	3.52051
2016/12/29 11:15:00	3.52043	3.52090	3.51774	3.51917	3.51888	3.51995	3.51624	3.51860
2016/12/29 11:00:00	3.51817	3.52130	3.51662	3.52043	3.51748	3.52072	3.51599	3.51888
2016/12/29 10:45:00	3.52605	3.52681	3.51726	3.51817	3.52553	3.52600	3.51671	3.51748
2016/12/29 10:30:00	3.52971	3.53068	3.52488	3.52605	3.52870	3.53013	3.52422	3.52553
2016/12/29 10:15:00	3.53220	3.53226	3.52895	3.52971	3.53153	3.53171	3.52849	3.52870
2016/12/29 10:00:00	3.53248	3.53290	3.53186	3.53220	3.53153	3.53239	3.53139	3.53153
2016/12/29 09:45:00	3.53182	3.53414	3.53050	3.53248	3.53097	3.53371	3.52986	3.53153
2016/12/29 09:30:00	3.53289	3.53428	3.53107	3.53182	3.53255	3.53374	3.53051	3.53097
2016/12/29 09:15:00	3.53112	3.53416	3.53105	3.53289	3.53049	3.53350	3.53032	3.53255
2016/12/29 09:00:00	3.52970	3.53122	3.52938	3.53112	3.52933	3.53062	3.52892	3.53049
2016/12/29 08:45:00	3.53084	3.53311	3.52949	3.52970	3.53032	3.53263	3.52907	3.52933
2016/12/29 08:30:00	3.53178	3.53238	3.52964	3.53084	3.53087	3.53129	3.52919	3.53032
2016/12/29 08:15:00	3.53240	3.53290	3.53032	3.53178	3.53191	3.53242	3.52988	3.53087
2016/12/29 08:00:00	3.53314	3.53386	3.53120	3.53240	3.53249	3.53299	3.53066	3.53191
2016/12/29 07:45:00	3.53215	3.53465	3.53094	3.53314	3.53179	3.53390	3.53019	3.53249
2016/12/29 07:30:00	3.53351	3.53370	3.53105	3.53215	3.53301	3.53320	3.53040	3.53179
2016/12/29 07:15:00	3.53280	3.53392	3.53249	3.53351	3.53216	3.53357	3.53194	3.53301
2016/12/29 07:00:00	3.53427	3.53466	3.53251	3.53280	3.53324	3.53403	3.53195	3.53216
2016/12/29 06:45:00	3.53025	3.53474	3.53016	3.53427	3.52978	3.53397	3.52968	3.53324
2016/12/29 06:30:00	3.53200	3.53360	3.52999	3.53025	3.53142	3.53317	3.52960	3.52978
2016/12/29 06:15:00	3.53382	3.53382	3.53139	3.53200	3.53300	3.53300	3.53097	3.53142
2016/12/29 06:00:00	3.53429	3.53652	3.53329	3.53382	3.53401	3.53553	3.53278	3.53300
2016/12/29 05:45:00	3.53478	3.53505	3.53302	3.53429	3.53407	3.53438	3.53231	3.53401
2016/12/29 05:30:00	3.53112	3.53501	3.53022	3.53478	3.53033	3.53422	3.52951	3.53407
2016/12/29 05:15:00	3.53083	3.53268	3.52975	3.53112	3.53002	3.53227	3.52906	3.53033
2016/12/29 05:00:00	3.53195	3.53385	3.52959	3.53083	3.53097	3.53310	3.52884	3.53002
